state_postal_abbr,year,property_type,stolen_value,recovered_value
"VA",2013,"",202,0
"TN",2013,"",1000,0
"TN",2014,"",2000,0
"TN",2014,"",300,0
"WV",2014,"",800,0
"AR",2014,"",466,0
"DE",2014,"",29533,0
"FL",2014,"",1822490,0
"MI",2014,"",64090,0
"MT",2014,"",1535,0
"NH",2014,"",950,0
"TX",2014,"",5000,0
"ME",2014,"",20,0
"FL",2014,"",4995,0
"TN",2014,"",21749,0
"WV",2014,"",1,0
"CO",2014,"",2624,0
"OK",2014,"",47860,0
"TN",2014,"",450,0
"TX",2014,"",150,0
"CO",2014,"",11550,0
"TX",2014,"",13440,0
"WV",2014,"",200,0
"TN",2014,"",200,0
"DE",2014,"",0,0
"HI",2014,"",1,0
"WV",2014,"",1042,0
"TN",2014,"",18000,0
"TX",2014,"",364943,0
"DE",2014,"",16,0
"IN",2014,"",445809,0
"MT",2014,"",0,0
"WV",2014,"",5715,0
"CO",2014,"",5200,0
"MT",2014,"",804,0
"TN",2014,"",1500,0
"TX",2014,"",234000,0
"FL",2014,"",850,0
"MT",2014,"",2204,0
"TX",2014,"",29600,0
"WV",2014,"",414,0
"AK",2014,"",492,0
"FL",2014,"",380344,0
"WV",2014,"",1912,0
"TX",2014,"",145,0
"OK",2014,"",1300,0
"TN",2014,"",1135,0
"UT",2014,"",550,0
"GU",2015,"",3950,0
"TX",2015,"",39800,0
"TX",2015,"",5446,0
"TN",2015,"",1400,0
"GU",2015,"",51900,0
"ME",2015,"",1,0
"VA",2015,"",188201,0
"TN",2015,"",85735,0
"TN",2015,"",7778,0
"FL",2015,"",4626,0
"TN",2015,"",9078,0
"AK",2015,"",3500,0
"AR",2015,"",220,0
"CO",2015,"",22000,0
"GA",2015,"",9137,0
"GU",2015,"",1873,0
"MI",2015,"",2,0
"OK",2015,"",1606,0
"UT",2015,"",654,0
"TX",2015,"",6,0
"TN",2015,"",25210,0
"TN",2015,"",4200,0
"TX",2015,"",68416,0
"GU",2015,"",762,0
"FL",2015,"",104,0
"TN",2015,"",2160,0
"TX",2015,"",571,0
"CO",2015,"",1800,0
"MI",2015,"",765,0
"TN",2015,"",3300,0
"MI",2015,"",8625,0
"TN",2015,"",46150,0
"AK",2015,"",600,0
"IN",2015,"",70207,0
"MI",2015,"",2,0
"WY",2015,"",889,0
"CO",2015,"",61,0
"IN",2015,"",4250,0
"UT",2015,"",777,0
"VA",2015,"",3000,0
"WV",2015,"",2400,0
"FL",2015,"",70000,0
"TX",2015,"",1870,0
"FL",2015,"",70000,0
"MT",2015,"",400,0
"TN",2015,"",36200,0
"TX",2015,"",14252,0
"FL",2015,"",84500,0
"TN",2015,"",1201,0
"TN",2015,"",32,0
"TX",2015,"",142,0
"TX",2015,"",1000,0
"MT",2015,"",1398,0
"IN",2015,"",240000,0
"WY",2015,"",250000,0
"GU",2015,"",150,0
"GA",2015,"",250,0
"TN",2015,"",2351,0
"TX",2015,"",36173,0
"VA",2013,"Alcohol",360000,0
"DE",2013,"Building Materials",6300,0
"MI",2013,"Building Materials",2600,0
"TN",2013,"Building Materials",3000,0
"VA",2013,"Building Materials",15200,0
"TN",2013,"Camping/ Hunting/ Fishing Equipment/ Supplies",37,0
"TN",2013,"Chemicals",3290,0
"TN",2013,"Clothes/ Furs",1328257,0
"VA",2013,"Clothes/ Furs",441000,0
"TN",2013,"Collections/ Collectibles",4558,0
"TN",2013,"Computer Hard/ Software",1121068,0
"VA",2013,"Computer Hard/ Software",400000,0
"DE",2013,"Consumable Goods",74,0
"IN",2013,"Consumable Goods",500,0
"MI",2013,"Consumable Goods",183875,0
"MI",2013,"Drugs/ Narcotics",27,0
"TN",2013,"Drugs/ Narcotics",8,0
"MI",2013,"Firearm Accessories",275,0
"TN",2013,"Firearms",600,0
"TN",2013,"Fuel",3000,0
"VA",2013,"Fuel",120,0
"DE",2013,"Household Goods",2040,0
"MI",2013,"Household Goods",235,0
"VA",2013,"Household Goods",20000,0
"MI",2013,"Industrial Equipment",1,0
"TN",2013,"Jewelry/ Precious Metals",34000,0
"MI",2013,"Medical/ Medical Lab Equipment",150,0
"TN",2013,"Medical/ Medical Lab Equipment",108,0
"TN",2013,"Metals, Non-Precious",1080,0
"VA",2013,"Metals, Non-Precious",11637,0
"VA",2013,"Money",1300,0
"VA",2013,"Non Negotiable Instruments",0,0
"MI",2013,"Other",55288,0
"TN",2013,"Other Motor Vehicles",20000,0
"TN",2013,"Pending Inventory",1,0
"TN",2013,"Purse/ Wallet",280,0
"VA",2013,"Purse/ Wallet",20,0
"MI",2013,"Radio/ TV/ VCR",4901,0
"VA",2013,"Radio/ TV/ VCR",200,0
"TN",2013,"Recordings",100000,0
"TN",2013,"Recreational/ Sports Equipment",2230,0
"MI",2013,"Structure/ Storage",9,0
"MI",2013,"Tools",650,0
"TN",2013,"Tools",52642,0
"DE",2013,"Vehicle Parts",4000,0
"MI",2013,"Vehicle Parts",201,0
"TN",2013,"Watercraft",1000,0
"DE",2014,"Alcohol",16,0
"FL",2014,"Alcohol",250000,0
"NH",2014,"Alcohol",1,0
"CO",2014,"Artistic Supplies/ Accessories",48,0
"MT",2014,"Automobile",1,0
"FL",2014,"Bicycles",200,0
"TX",2014,"Bicycles",150,0
"FL",2014,"Building Materials",1,0
"TN",2014,"Chemicals",350,0
"TX",2014,"Chemicals",86333,0
"CO",2014,"Clothes/ Furs",100,0
"HI",2014,"Clothes/ Furs",1,0
"TX",2014,"Clothes/ Furs",3288561,0
"TN",2014,"Collections/ Collectibles",80,0
"AR",2014,"Computer Hard/ Software",2000,0
"CO",2014,"Computer Hard/ Software",2500,0
"DE",2014,"Computer Hard/ Software",13891,0
"FL",2014,"Computer Hard/ Software",82300,0
"TX",2014,"Computer Hard/ Software",212601,0
"WV",2014,"Computer Hard/ Software",1000,0
"AK",2014,"Consumable Goods",492,0
"AR",2014,"Consumable Goods",1108,0
"CO",2014,"Consumable Goods",125,0
"UT",2014,"Consumable Goods",550,0
"FL",2014,"Credit/ Debit cards",0,0
"MT",2014,"Credit/ Debit cards",0,0
"NH",2014,"Credit/ Debit cards",0,0
"CO",2014,"Documents/ Personal or Business",0,0
"DE",2014,"Documents/ Personal or Business",0,0
"TN",2014,"Documents/ Personal or Business",0,0
"FL",2014,"Drugs/ Narcotics",500,0
"MT",2014,"Drugs/ Narcotics",1800,0
"TN",2014,"Drugs/ Narcotics",45152,0
"FL",2014,"Firearms",13600,0
"TX",2014,"Firearms",5600,0
"TN",2014,"Fuel",20,0
"TX",2014,"Fuel",100950,0
"CO",2014,"Household Goods",12,0
"MI",2014,"Household Goods",28225,0
"TN",2014,"Household Goods",24200,0
"WV",2014,"Household Goods",4100,0
"TN",2014,"Identity Documents",0,0
"TN",2014,"Identity-Intangible",0,0
"CO",2014,"Industrial Equipment",10700,0
"FL",2014,"Jewelry/ Precious Metals",115,0
"TX",2014,"Jewelry/ Precious Metals",6750,0
"CO",2014,"Medical/ Medical Lab Equipment",100,0
"TN",2014,"Medical/ Medical Lab Equipment",316001,0
"CO",2014,"Merchandise",2624,0
"FL",2014,"Merchandise",120000,0
"MI",2014,"Merchandise",184460,0
"TN",2014,"Merchandise",119275,0
"TX",2014,"Merchandise",338828,0
"FL",2014,"Metals, Non-Precious",253810,0
"IN",2014,"Metals, Non-Precious",445809,0
"MT",2014,"Money",1539,0
"NH",2014,"Money",5354,0
"TN",2014,"Money",2183,0
"TX",2014,"Money",550,0
"WV",2014,"Money",1964,0
"FL",2014,"Negotiable Instruments",150000,0
"TN",2014,"Negotiable Instruments",100000,0
"TN",2014,"Non Negotiable Instruments",0,0
"CO",2014,"Other",5906,0
"MI",2014,"Other",7325,0
"ND",2014,"Other",4733,0
"NH",2014,"Other",949,0
"OK",2014,"Other",1300,0
"WV",2014,"Other",2023,0
"TX",2014,"Photographic/ Optical Equipment",200,0
"DE",2014,"Portable Electronic Communications",14863,0
"FL",2014,"Portable Electronic Communications",10400,0
"TN",2014,"Purse/ Wallet",100,0
"TX",2014,"Purse/ Wallet",104870,0
"WV",2014,"Purse/ Wallet",60,0
"FL",2014,"Radio/ TV/ VCR",1321371,0
"MT",2014,"Radio/ TV/ VCR",400,0
"OK",2014,"Radio/ TV/ VCR",47860,0
"WV",2014,"Radio/ TV/ VCR",200,0
"CO",2014,"Recordings",20,0
"DE",2014,"Recordings",779,0
"MT",2014,"Recordings",2,0
"TN",2014,"Recordings",5004,0
"WV",2014,"Recordings",100,0
"TX",2014,"Recreational/ Sports Equipment",2900,0
"FL",2014,"Structure/ Other",150000,0
"TX",2014,"Structure/ Storage",28901,0
"CO",2014,"Tools",850,0
"MT",2014,"Tools",800,0
"TN",2014,"Tools",5564,0
"WV",2014,"Tools",552,0
"MI",2014,"Trailers",50000,0
"FL",2014,"Vehicle Parts",177190,0
"MI",2014,"Vehicle Parts",7600,0
"WV",2014,"Vehicle Parts",85,0
"TN",2014,"Watercraft Equipment/ Parts/ Accessories",350,0
"CO",2015,"Alcohol",60,0
"GA",2015,"Alcohol",2637,0
"MI",2015,"Alcohol",6200,0
"WY",2015,"Alcohol",250000,0
"MI",2015,"Automobile",5101,0
"TN",2015,"Bicycles",2000,0
"TX",2015,"Bicycles",500,0
"MI",2015,"Building Materials",11000,0
"MT",2015,"Building Materials",1398,0
"TN",2015,"Building Materials",10101,0
"WY",2015,"Camping/ Hunting/ Fishing Equipment/ Supplies",469,0
"TN",2015,"Chemicals",150,0
"FL",2015,"Clothes/ Furs",3025,0
"TX",2015,"Clothes/ Furs",913122,0
"FL",2015,"Computer Hard/ Software",79872,0
"GU",2015,"Computer Hard/ Software",2150,0
"MI",2015,"Computer Hard/ Software",2,0
"TX",2015,"Computer Hard/ Software",1024798,0
"VA",2015,"Computer Hard/ Software",800,0
"CO",2015,"Consumable Goods",1801,0
"MI",2015,"Consumable Goods",80000,0
"UT",2015,"Consumable Goods",1431,0
"TX",2015,"Credit/ Debit cards",0,0
"MI",2015,"Crops",1,0
"TN",2015,"Crops",300,0
"GU",2015,"Drugs/ Narcotics",150,0
"TX",2015,"Drugs/ Narcotics",600006,0
"MI",2015,"Farm Equipment",2000,0
"TN",2015,"Farm Equipment",24000,0
"AK",2015,"Firearms",4100,0
"GU",2015,"Firearms",762,0
"MT",2015,"Firearms",400,0
"TX",2015,"Firearms",8397,0
"TN",2015,"Fuel",382,0
"TX",2015,"Fuel",94958,0
"FL",2015,"Household Goods",45000,0
"GU",2015,"Household Goods",522,0
"TX",2015,"Identity Documents",0,0
"FL",2015,"Industrial Equipment",4994,0
"GU",2015,"Industrial Equipment",51900,0
"TN",2015,"Industrial Equipment",55333,0
"IN",2015,"Jewelry/ Precious Metals",47210,0
"TN",2015,"Jewelry/ Precious Metals",275000,0
"TX",2015,"Lawn/ Yard/ Garden Equipment",575,0
"TN",2015,"Livestock",4200,0
"TN",2015,"Medical/ Medical Lab Equipment",3502,0
"AR",2015,"Merchandise",220,0
"CO",2015,"Merchandise",54701,0
"GA",2015,"Merchandise",250,0
"ME",2015,"Merchandise",1,0
"MI",2015,"Merchandise",105001,0
"TX",2015,"Merchandise",216626,0
"WV",2015,"Merchandise",2400,0
"IN",2015,"Metals, Non-Precious",202997,0
"TN",2015,"Metals, Non-Precious",13698,0
"TX",2015,"Metals, Non-Precious",469622,0
"FL",2015,"Money",1180,0
"GU",2015,"Money",1800,0
"MI",2015,"Money",15,0
"TN",2015,"Money",11258,0
"TX",2015,"Money",11449,0
"TN",2015,"Musical Instruments",1400,0
"TX",2015,"Negotiable Instruments",2000,0
"FL",2015,"Office Equipment",1000,0
"GU",2015,"Office Equipment",1351,0
"GA",2015,"Other",1000,0
"SD",2015,"Other",115000,0
"VA",2015,"Other",1,0
"TN",2015,"Pending Inventory",1,0
"FL",2015,"Photographic/ Optical Equipment",5272,0
"VA",2015,"Portable Electronic Communications",189000,0
"TX",2015,"Purse/ Wallet",17510,0
"CO",2015,"Radio/ TV/ VCR",22000,0
"IN",2015,"Radio/ TV/ VCR",4250,0
"OK",2015,"Recreational/ Sports Equipment",1606,0
"IN",2015,"Recreational Vehicles",60000,0
"TX",2015,"Structure/ Storage",42000,0
"FL",2015,"Tools",1000,0
"MI",2015,"Tools",2,0
"TN",2015,"Tools",7698,0
"WY",2015,"Tools",420,0
"GA",2015,"Trailers",5500,0
"FL",2015,"Vehicle Parts",6160,0
"TN",2015,"Vehicle Parts",138473,0
"MI",2013,"Automobile",77005,5
"TN",2013,"Automobile",365635,304000
"VA",2013,"Automobile",40002,40002
"ME",2013,"Consumable Goods",300,300
"TN",2013,"Consumable Goods",207800,800
"VA",2013,"Consumable Goods",220794,160000
"TN",2013,"Crops",40000,40000
"TN",2013,"Household Goods",101975,100000
"TN",2013,"Lawn/ Yard/ Garden Equipment",14478,10880
"MI",2013,"Merchandise",152321,336
"TN",2013,"Merchandise",52031,30
"VA",2013,"Merchandise",1,1
"MI",2013,"Money",206302,204302
"TN",2013,"Other",438127,160000
"MI",2013,"Other Motor Vehicles",1,1
"VA",2013,"Other Motor Vehicles",35000,30000
"TN",2013,"Portable Electronic Communications",27757,1800
"TN",2013,"Radio/ TV/ VCR",3249,649
"MI",2013,"Trailers",56001,30001
"TN",2013,"Trailers",348002,213001
"VA",2013,"Trailers",375000,375000
"MI",2013,"Trucks",68000,30000
"TN",2013,"Trucks",467000,377000
"VA",2013,"Trucks",525000,525000
"TN",2013,"Vehicle Parts",42600,2000
"VA",2013,"Vehicle Parts",20000,20000
"ME",2014,"Alcohol",48,28
"TN",2014,"Alcohol",17146,362
"TX",2014,"Alcohol",21488,49
"FL",2014,"Automobile",45000,45000
"MI",2014,"Automobile",213000,213000
"TN",2014,"Automobile",223001,35000
"TX",2014,"Automobile",206800,104000
"OK",2014,"Building Materials",274400,274400
"TX",2014,"Building Materials",749406,72732
"FL",2014,"Clothes/ Furs",3050,2900
"TN",2014,"Clothes/ Furs",1330268,737553
"IN",2014,"Computer Hard/ Software",200,200
"MT",2014,"Computer Hard/ Software",501,500
"NH",2014,"Computer Hard/ Software",538325,527137
"TN",2014,"Computer Hard/ Software",3344455,2100
"FL",2014,"Consumable Goods",1942093,373000
"MI",2014,"Consumable Goods",6620,920
"OK",2014,"Consumable Goods",2100,150
"TN",2014,"Consumable Goods",729387,558954
"TX",2014,"Consumable Goods",1925126,78238
"TN",2014,"Firearms",5755,150
"FL",2014,"Fuel",100000,100000
"TX",2014,"Household Goods",1151908,232560
"FL",2014,"Industrial Equipment",86000,80000
"NH",2014,"Industrial Equipment",85078,85076
"TN",2014,"Industrial Equipment",2391,700
"TX",2014,"Industrial Equipment",129185,94479
"TN",2014,"Jewelry/ Precious Metals",22150,20000
"MT",2014,"Merchandise",3492,3492
"TN",2014,"Metals, Non-Precious",153814,27814
"TX",2014,"Metals, Non-Precious",365624,35718
"TN",2014,"Office Equipment",1217,140
"TX",2014,"Office Equipment",48072,42236
"FL",2014,"Other",652948,7000
"MT",2014,"Other",6,6
"TN",2014,"Other",36017,4046
"TX",2014,"Other",1190522,785270
"FL",2014,"Other Motor Vehicles",20000,20000
"TX",2014,"Other Motor Vehicles",16000,5000
"TN",2014,"Portable Electronic Communications",4009044,2250
"TX",2014,"Portable Electronic Communications",111741,105940
"TN",2014,"Radio/ TV/ VCR",8401,1000
"TX",2014,"Radio/ TV/ VCR",1021100,727872
"TX",2014,"Tools",135542,1518
"FL",2014,"Trailers",644549,343500
"OK",2014,"Trailers",10000,10000
"TN",2014,"Trailers",417500,99000
"TX",2014,"Trailers",1895386,447386
"AR",2014,"Trucks",250000,250000
"CO",2014,"Trucks",7500,7500
"FL",2014,"Trucks",1128829,678829
"ND",2014,"Trucks",110000,110000
"OK",2014,"Trucks",220000,220000
"TN",2014,"Trucks",833000,500000
"TX",2014,"Trucks",1321892,817360
"TN",2014,"Vehicle Parts",575947,8340
"TX",2014,"Vehicle Parts",538000,25000
"SD",2015,"Alcohol",3600,3600
"TN",2015,"Alcohol",22495,1600
"TX",2015,"Alcohol",358510,217035
"TN",2015,"Automobile",752500,126000
"TX",2015,"Automobile",216000,60000
"ND",2015,"Building Materials",10000,10000
"TX",2015,"Building Materials",346628,25000
"TX",2015,"Chemicals",60821,60800
"TN",2015,"Clothes/ Furs",75428,60180
"TN",2015,"Computer Hard/ Software",3599250,30050
"FL",2015,"Consumable Goods",828203,570000
"TN",2015,"Consumable Goods",215907,515
"TX",2015,"Consumable Goods",1335417,303760
"VA",2015,"Consumable Goods",503000,500000
"TN",2015,"Drugs/ Narcotics",9940,4924
"TN",2015,"Firearms",21500,500
"TN",2015,"Household Goods",10390,100
"TX",2015,"Household Goods",1071224,750
"TX",2015,"Industrial Equipment",980346,6000
"TX",2015,"Jewelry/ Precious Metals",54039,45939
"TN",2015,"Lawn/ Yard/ Garden Equipment",10751,320
"TN",2015,"Merchandise",28802,549
"TX",2015,"Office Equipment",522310,7809
"FL",2015,"Other",1810858,500000
"TN",2015,"Other",1460148,100
"TX",2015,"Other",1184115,43200
"MI",2015,"Other Motor Vehicles",1000,1000
"TN",2015,"Other Motor Vehicles",20000,20000
"TX",2015,"Other Motor Vehicles",89500,51500
"TX",2015,"Photographic/ Optical Equipment",700,600
"FL",2015,"Portable Electronic Communications",2196869,1700
"TN",2015,"Portable Electronic Communications",108404,32577
"TX",2015,"Portable Electronic Communications",281458,8704
"TN",2015,"Purse/ Wallet",105,65
"FL",2015,"Radio/ TV/ VCR",432355,60
"TN",2015,"Radio/ TV/ VCR",69181,1584
"TX",2015,"Radio/ TV/ VCR",794640,1887
"TX",2015,"Recreational Vehicles",171500,171500
"MT",2015,"Tools",6,6
"TX",2015,"Tools",12121,710
"CO",2015,"Trailers",10000,1
"FL",2015,"Trailers",420500,155000
"MI",2015,"Trailers",221377,45000
"ND",2015,"Trailers",20000,20000
"TN",2015,"Trailers",586111,112000
"TX",2015,"Trailers",1024302,541502
"VA",2015,"Trailers",160000,160000
"FL",2015,"Trucks",609000,450000
"MI",2015,"Trucks",50001,50000
"ND",2015,"Trucks",75000,75000
"TN",2015,"Trucks",497000,297000
"TX",2015,"Trucks",2949000,2080790
"VA",2015,"Trucks",500000,500000
"TX",2015,"Vehicle Parts",224410,8000
"IN",2013,"",,
"TN",2013,"",1452361,467831
"VA",2013,"",209899,195000
"TN",2013,"",120800,800
"TN",2013,"",248000,124000
"MI",2013,"",98000,98000
"TN",2013,"",35845,10880
"MI",2013,"",269009,60005
"TN",2013,"",2738270,604000
"VA",2013,"",1866312,835002
"MI",2013,"",69521,8304
"TN",2013,"",39520,649
"ME",2013,"",300,300
"MI",2013,"",10148,336
"TN",2013,"",136722,2000
"VA",2013,"",373171,120001
"MI",2013,"",98000,98000
"IN",2013,"",,
"FL",2014,"",3129810,275400
"IN",2014,"",446009,200
"ME",2014,"",28,28
"MI",2014,"",209915,94920
"TN",2014,"",2692736,761931
"TX",2014,"",5788417,1251077
"TN",2014,"",50730,2151
"TX",2014,"",508719,92000
"MT",2014,"",1569,1166
"TN",2014,"",247130,36130
"TX",2014,"",487273,2699
"NH",2014,"",628757,612213
"TN",2014,"",29217,27814
"AR",2014,"",126321,125000
"CO",2014,"",11111,7500
"FL",2014,"",3722379,1374829
"MI",2014,"",221788,119000
"ND",2014,"",114733,110000
"OK",2014,"",506500,504550
"TN",2014,"",8136427,1118726
"TX",2014,"",4905440,1934481
"MT",2014,"",1166,1166
"MT",2014,"",1766,1166
"TX",2014,"",2545956,150000
"TN",2014,"",4068,1500
"TX",2014,"",409649,107087
"AR",2014,"",126321,125000
"MT",2014,"",903,500
"TN",2014,"",720314,29157
"TX",2014,"",225517,38014
"TN",2014,"",287867,20000
"CO",2015,"",66501,1
"FL",2015,"",3951472,1156600
"SD",2015,"",118600,3600
"TN",2015,"",3453826,86642
"TX",2015,"",6869181,721381
"MT",2015,"",402,2
"TN",2015,"",88758,200
"MT",2015,"",2,2
"MT",2015,"",2,2
"TN",2015,"",2462,2462
"TN",2015,"",58231,2578
"TX",2015,"",26819,4896
"TX",2015,"",223973,3000
"FL",2015,"",839464,520160
"MI",2015,"",201106,96000
"ND",2015,"",105000,105000
"TN",2015,"",2845590,463000
"TX",2015,"",7507192,2831771
"VA",2015,"",580800,580000
"TX",2015,"",10500,10000
"TN",2015,"",200000,80000
"TN",2015,"",591814,9748
"TX",2015,"",66727,3808
"TN",2015,"",716948,43434
"TX",2015,"",233075,60630
"VA",2015,"",670001,580000
"ME",2013,"",300,300
"MI",2013,"",470305,162493
"TN",2013,"",1436895,514160
"VA",2013,"",1656544,872503
"MI",2013,"",239525,4152
"TN",2013,"",3094032,572000
"VA",2013,"",808730,277500
"MI",2013,"",98012,98000
"TN",2013,"",248000,124000
"IN",2013,"",,
"AR",2014,"",253108,250000
"FL",2014,"",5129750,705400
"IN",2014,"",408200,200
"ME",2014,"",48,28
"MI",2014,"",180305,25920
"MT",2014,"",3284,1749
"ND",2014,"",114733,110000
"NH",2014,"",629707,612213
"OK",2014,"",555660,504550
"TN",2014,"",12084869,1996744
"TX",2014,"",13132172,3156301
"CO",2014,"",11111,7500
"FL",2014,"",2021782,944829
"MI",2014,"",316925,188000
"MT",2014,"",4357,2249
"TN",2014,"",242703,665
"TX",2014,"",1857359,419057
"CO",2015,"",88562,1
"FL",2015,"",5708625,1386760
"ND",2015,"",105000,105000
"SD",2015,"",118600,3600
"TN",2015,"",7453736,414802
"TX",2015,"",12621754,2738840
"VA",2015,"",769001,580000
"FL",2015,"",496663,50000
"MI",2015,"",205478,96000
"TN",2015,"",378201,190800
"TX",2015,"",1828850,896646
"TN",2015,"",200000,80000
"FL",2015,"",240000,240000
"MT",2015,"",3,3
"MT",2015,"",3,3
"TN",2015,"",2462,2462
"VA",2015,"",580800,580000
"MI",2013,"",69504,8302
"TN",2013,"",1244000,240000
"VA",2013,"",385000,60000
"TN",2013,"",158357,2479
"TN",2013,"",248000,124000
"TN",2013,"",251750,124000
"MI",2013,"",202614,196003
"VA",2013,"",10001,1
"TN",2013,"",167446,160880
"ME",2013,"",300,300
"MI",2013,"",317049,60339
"TN",2013,"",1899810,190801
"VA",2013,"",721341,270001
"MI",2013,"",4,1
"TN",2013,"",368000,368000
"VA",2013,"",1261001,820001
"IN",2013,"",,
"TX",2014,"",103241,103241
"MT",2014,"",500,500
"TN",2014,"",760,460
"IN",2014,"",200,200
"OK",2014,"",11800,10000
"TN",2014,"",510621,15000
"TX",2014,"",2973268,7632
"OK",2014,"",20300,20150
"TN",2014,"",23179,500
"TX",2014,"",16474,16
"AR",2014,"",252642,250000
"TX",2014,"",27712,17560
"FL",2014,"",26000,10000
"MI",2014,"",41420,920
"TN",2014,"",277443,50205
"TX",2014,"",3826288,914593
"CO",2014,"",11111,7500
"TX",2014,"",755812,689005
"FL",2014,"",528278,316729
"MT",2014,"",2332,2332
"TN",2014,"",78212,1000
"TX",2014,"",720017,256756
"FL",2014,"",125000,25000
"TX",2014,"",250000,150000
"FL",2014,"",80001,80000
"ND",2014,"",114733,110000
"TN",2014,"",643900,508386
"TN",2014,"",362,362
"FL",2014,"",1670377,560000
"NH",2014,"",90432,85076
"TN",2014,"",254098,2480
"TX",2014,"",1271869,265130
"FL",2014,"",1769272,391000
"ME",2014,"",28,28
"MI",2014,"",391720,213000
"OK",2014,"",474400,474400
"TN",2014,"",10453293,1390986
"TX",2014,"",4125119,1012127
"FL",2014,"",174349,67500
"TN",2014,"",9934,150
"FL",2014,"",20000,20000
"TX",2014,"",48479,48000
"FL",2014,"",550000,180000
"TX",2014,"",197500,105198
"MT",2014,"",1166,1166
"NH",2014,"",538325,527137
"TN",2014,"",30636,27880
"TX",2014,"",41929,6100
"TN",2015,"",10161,1300
"FL",2015,"",3599382,501600
"TN",2015,"",5287,629
"TX",2015,"",1351986,131155
"TX",2015,"",524373,6000
