year,STATE_NAME,STATE_ABBR,locality,population,aggravated_assault,arson,burglary,homicide,larceny,motor_vehicle_theft,property_crime,rape_legacy,rape_revised,robbery,violent_crime
2006,American Samoa,AS,,,,,,,,,,,,,
2006,Guam,GM,,,,,,,,,,,,,
2006,Puerto Rico,PR,,3927776,2827,,16668,739,27936,8593,53197,118,,5245,8929
2006,U.S. Virgin Islands,VI,,,,,,,,,,,,,
2006,U.S. Virgin Islands,VI,St. Croix,,,,,,,,,,,,
2006,U.S. Virgin Islands,VI,St. Thomas,,,,,,,,,,,,
2007,American Samoa,AS,,,,,,,,,,,,,
2007,Guam,GM,,,,,,,,,,,,,
2007,Puerto Rico,PR,,3941459,2983,,17160,728,28955,7822,53937,97,,5134,8942
2007,U.S. Virgin Islands,VI,,,,,,,,,,,,,
2007,U.S. Virgin Islands,VI,St. Croix,,,,,,,,,,,,
2007,U.S. Virgin Islands,VI,St. Thomas,,,,,,,,,,,,
2008,American Samoa,AS,,,,,,,,,,,,,
2008,Guam,GM,,,,,,,,,,,,,
2008,Puerto Rico,PR,,3954553,3115,,19138,807,33113,7003,59254,95,,5467,9484
2008,U.S. Virgin Islands,VI,,,,,,,,,,,,,
2008,U.S. Virgin Islands,VI,St. Croix,,,,,,,,,,,,
2008,U.S. Virgin Islands,VI,St. Thomas,,,,,,,,,,,,
2009,American Samoa,AS,,,,,,,,,,,,,
2009,Guam,GM,,,,,,,,,,,,,
2009,Puerto Rico,PR,,3967288,3440,,18521,894,30584,6832,55937,65,,6093,10492
2009,U.S. Virgin Islands,VI,,,,,,,,,,,,,
2009,U.S. Virgin Islands,VI,St. Croix,,,,,,,,,,,,
2009,U.S. Virgin Islands,VI,St. Thomas,,,,,,,,,,,,
2010,American Samoa,AS,,,,,,,,,,,,,
2010,Guam,GM,,,,,,,,,,,,,
2010,Puerto Rico,PR,,3721978,2714,,17494,977,26773,6769,51036,39,,6516,10246
2010,U.S. Virgin Islands,VI,,,,,,,,,,,,,
2010,U.S. Virgin Islands,VI,St. Croix,,405,31,585,29,659,141,1385,21,,118,573
2010,U.S. Virgin Islands,VI,St. Thomas,,848,36,788,31,699,122,1609,45,,252,1176
2011,American Samoa,AS,,,,,,,,,,,,,
2011,Guam,GM,,,,,,,,,,,,,
2011,Puerto Rico,PR,,3706690,2894,,16591,1136,29273,5853,51717,45,,6465,10540
2011,U.S. Virgin Islands,VI,,,,,,,,,,,,,
2011,U.S. Virgin Islands,VI,St. Croix,,432,32,545,27,633,102,1280,20,,114,593
2011,U.S. Virgin Islands,VI,St. Thomas,,519,18,823,14,739,112,1674,35,,167,735
2012,American Samoa,AS,,,,,,,,,,,,,
2012,Guam,GM,,,,,,,,,,,,,
2012,Puerto Rico,PR,,3651545,2733,,15287,978,30545,5847,51679,32,,6298,10041
2012,U.S. Virgin Islands,VI,,,,,,,,,,,,,
2012,U.S. Virgin Islands,VI,St. Croix,,311,78,634,24,629,124,1387,21,,101,457
2012,U.S. Virgin Islands,VI,St. Thomas,,367,27,678,28,676,114,1468,26,,142,563
2013,American Samoa,AS,,,,,,,,,,,,,
2013,Guam,GM,,,400,9,1620,9,2521,378,4519,106,,145,660
2013,Puerto Rico,PR,,3595839,2395,,13961,883,29360,5530,48851,26,,6016,9320
2013,U.S. Virgin Islands,VI,,,,,,,,,,,,,
2013,U.S. Virgin Islands,VI,St. Croix,,212,58,571,18,563,114,1248,17,,103,350
2013,U.S. Virgin Islands,VI,St. Thomas,,576,44,564,15,727,112,1403,35,,128,754
2014,American Samoa,AS,,,,,,,,,,,,,
2014,Guam,GM,,,294,,1577,6,1970,258,3805,117,,128,545
2014,Puerto Rico,PR,,3534888,2475,,12035,681,28948,4639,45622,41,,5171,8368
2014,U.S. Virgin Islands,VI,,,,,,,,,,,,,
2014,U.S. Virgin Islands,VI,St. Croix,,149,50,462,19,510,100,1072,18,,64,250
2014,U.S. Virgin Islands,VI,St. Thomas,,495,67,400,18,712,112,1224,,36,144,693
2015,American Samoa,AS,,,,,,,,,,,,,
2015,Guam,GM,,,,,,,,,,,,,
2015,Puerto Rico,PR,,3474182,2965,,9427,584,25165,4129,38721,165,,4122,7836
2015,U.S. Virgin Islands,VI,,,,,,,,,,,,,
2015,U.S. Virgin Islands,VI,St. Croix,,172,49,440,23,403,89,932,,19,77,291
2015,U.S. Virgin Islands,VI,St. Thomas,,476,72,456,23,639,94,1189,,32,77,608
2016,Guam,GM,,,195,,1114,1,887,238,2239,,27,70,293
2016,Puerto Rico,PR,,3411307,3594,,8251,679,23163,3787,35201,128,169,3201,7643
2017,Puerto Rico,PR,,3337177,3819,,7949,679,19633,3594,31176,,209,3055,7762
