Category,Subcategory,ProductName,ProductKey,Month,BudgetAccount
Accessories,Bottles and Cages,Water Bottle - 30 oz.,477,2016-08-01 00:00:00.000,5231
Accessories,Bike Stands,All-Purpose Bike Stand,486,2016-01-01 00:00:00.000,666
Accessories,Bottles and Cages,Water Bottle - 30 oz.,477,2016-12-01 00:00:00.000,6025
Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",226,2016-01-01 00:00:00.000,4087
Accessories,Cleaners,Bike Wash - Dissolver,484,2016-07-01 00:00:00.000,777
Accessories,Hydration Packs,Hydration Pack - 70 oz.,487,2016-04-01 00:00:00.000,3425
Bikes,Touring Bikes,"Touring-2000 Blue, 60",560,2016-06-01 00:00:00.000,445270
Clothing,Shorts,"Men's Sports Shorts, S",445,2016-08-01 00:00:00.000,5384
Accessories,Fenders,Fender Set - Mountain,485,2016-04-01 00:00:00.000,4259
Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",226,2016-03-01 00:00:00.000,12872
Clothing,Vests,"Classic Vest, S",471,2016-10-01 00:00:00.000,4248
Accessories,Cleaners,Bike Wash - Dissolver,484,2016-06-01 00:00:00.000,582
Clothing,Gloves,"Half-Finger Gloves, S",462,2016-12-01 00:00:00.000,4084
Clothing,Gloves,"Half-Finger Gloves, S",462,2016-07-01 00:00:00.000,2975
Accessories,Bottles and Cages,Water Bottle - 30 oz.,477,2016-03-01 00:00:00.000,3656
Clothing,Shorts,"Men's Sports Shorts, S",445,2016-05-01 00:00:00.000,5288
Clothing,Caps,AWC Logo Cap,223,2016-06-01 00:00:00.000,2180
Clothing,Gloves,"Half-Finger Gloves, S",462,2016-05-01 00:00:00.000,2819
Accessories,Bike Racks,Hitch Rack - 4-Bike,483,2016-03-01 00:00:00.000,4134
Accessories,Hydration Packs,Hydration Pack - 70 oz.,487,2016-06-01 00:00:00.000,3260
Accessories,Cleaners,Bike Wash - Dissolver,484,2016-11-01 00:00:00.000,686
Clothing,Gloves,"Half-Finger Gloves, S",462,2016-10-01 00:00:00.000,3181
Clothing,Socks,"Mountain Bike Socks, M",218,2016-02-01 00:00:00.000,244
Accessories,Tires and Tubes,Patch Kit/8 Patches,480,2016-02-01 00:00:00.000,18758
Clothing,Shorts,"Men's Sports Shorts, S",445,2016-06-01 00:00:00.000,6829
Accessories,Cleaners,Bike Wash - Dissolver,484,2016-01-01 00:00:00.000,160
Clothing,Gloves,"Half-Finger Gloves, S",462,2016-02-01 00:00:00.000,2474
Accessories,Helmets,"Sport-100 Helmet, Red",212,2016-02-01 00:00:00.000,16221
Accessories,Bike Stands,All-Purpose Bike Stand,486,2016-11-01 00:00:00.000,3881
Clothing,Vests,"Classic Vest, S",471,2016-09-01 00:00:00.000,3600
Bikes,Touring Bikes,"Touring-2000 Blue, 60",560,2016-04-01 00:00:00.000,265901
Accessories,Bottles and Cages,Water Bottle - 30 oz.,477,2016-10-01 00:00:00.000,5529
Accessories,Bike Racks,Hitch Rack - 4-Bike,483,2016-12-01 00:00:00.000,3551
Bikes,Touring Bikes,"Touring-2000 Blue, 60",560,2016-07-01 00:00:00.000,299106
Clothing,Vests,"Classic Vest, S",471,2016-07-01 00:00:00.000,3379
Accessories,Bike Racks,Hitch Rack - 4-Bike,483,2016-07-01 00:00:00.000,2218
Accessories,Bottles and Cages,Water Bottle - 30 oz.,477,2016-04-01 00:00:00.000,4449
