WKT,Status,x,y,point,color,Block,id
POINT (4.5191740738046 34.6532355068023),Tracker,4.519174073,34.6532355,(4.519174073 34.6532355),#008000,D3,20990
POINT (4.52174096448177 34.6579127998912),Tracker,4.521740964,34.65791279,(4.521740964 34.65791279),#008000,C2,24255
POINT (4.51676590794533 34.6521358446815),Tracker,4.516765907,34.65213584,(4.516765907 34.65213584),#008000,D3,19430
POINT (4.50950013047675 34.6539597943647),Not Start,4.50950013,34.65395979,(4.50950013 34.65395979),#000000,F3,9099
POINT (4.51364924438186 34.6559519360683),Piling,4.513649244,34.65595193,(4.513649244 34.65595193),#808080,E2,13007
POINT (4.52525820506434 34.6581020074355),Panel,4.525258205,34.658102,(4.525258205 34.658102),#0000FF,B2,29556
POINT (4.51380504088678 34.6536461751636),Piling,4.51380504,34.65364617,(4.51380504 34.65364617),#808080,E3,14729
POINT (4.51828583996388 34.6592733145108),Tracker,4.51828584,34.65927331,(4.51828584 34.65927331),#008000,D1,17314
POINT (4.50359329978374 34.6579333237714),Not Start,4.503593299,34.65793332,(4.503593299 34.65793332),#000000,H1,32603
POINT (4.51436641656866 34.655775311302),Piling,4.514366416,34.65577531,(4.514366416 34.65577531),#808080,E2,13435
POINT (4.51486906690808 34.6520945630741),Piling,4.514869066,34.65209456,(4.514869066 34.65209456),#808080,E3,15281
POINT (4.52859406372164 34.6628930559236),Electrical,4.528594063,34.66289305,(4.528594063 34.66289305),#FF0000,A1,38370
POINT (4.51729917558687 34.6565132310556),Tracker,4.517299175,34.65651323,(4.517299175 34.65651323),#008000,D2,18265
POINT (4.52779605824092 34.6568790773963),Panel,4.527796058,34.65687907,(4.527796058 34.65687907),#0000FF,A2,39226
POINT (4.52596326100859 34.6529046100128),Panel,4.525963261,34.65290461,(4.525963261 34.65290461),#0000FF,B3,31428
POINT (4.51284339475737 34.6615324146626),Piling,4.512843394,34.66153241,(4.512843394 34.66153241),#808080,E1,11139
POINT (4.52717802393933 34.6596569368696),Panel,4.527178023,34.65965693,(4.527178023 34.65965693),#0000FF,A2,39027
POINT (4.52852427132909 34.6533042904126),Panel,4.528524271,34.65330429,(4.528524271 34.65330429),#0000FF,A3,41217
POINT (4.50240907226918 34.6533677397393),Not Start,4.502409072,34.65336773,(4.502409072 34.65336773),#000000,H3,35088
POINT (4.51970458714374 34.6560864816907),Tracker,4.519704587,34.65608648,(4.519704587 34.65608648),#008000,C2,22887
POINT (4.50926870156276 34.6605562280206),Not Start,4.509268701,34.66055622,(4.509268701 34.66055622),#000000,F1,5873
POINT (4.51740951247457 34.6594870557166),Tracker,4.517409512,34.65948705,(4.517409512 34.65948705),#008000,D1,16790
POINT (4.52354319355659 34.6548084442457),Panel,4.523543193,34.65480844,(4.523543193 34.65480844),#0000FF,B3,30066
POINT (4.5087036785076 34.6598289192215),Not Start,4.508703678,34.65982891,(4.508703678 34.65982891),#000000,F1,5479
POINT (4.51700568202321 34.6572359641741),Tracker,4.517005682,34.65723596,(4.517005682 34.65723596),#008000,D2,18132
