Store,Date,variable,value
40,2011-05-27 00:00:00.000,Fuel_Price,4.034
12,2012-02-24 00:00:00.000,Fuel_Price,3.95
7,2010-08-20 00:00:00.000,Fuel_Price,2.732
3,2012-02-10 00:00:00.000,Fuel_Price,3.409
32,2012-06-29 00:00:00.000,Fuel_Price,3.693
2,2012-05-25 00:00:00.000,Fuel_Price,3.561
35,2012-08-03 00:00:00.000,Fuel_Price,3.654
17,2012-05-04 00:00:00.000,Fuel_Price,3.831
9,2012-09-07 00:00:00.000,Fuel_Price,3.73
39,2011-12-09 00:00:00.000,Fuel_Price,3.158
33,2012-10-12 00:00:00.000,Fuel_Price,4.468
27,2010-08-20 00:00:00.000,Fuel_Price,2.913
14,2011-12-09 00:00:00.000,Fuel_Price,3.415
35,2011-03-25 00:00:00.000,Fuel_Price,3.625
31,2011-11-18 00:00:00.000,Fuel_Price,3.308
45,2010-07-30 00:00:00.000,Fuel_Price,2.781
4,2011-09-30 00:00:00.000,Fuel_Price,3.371
35,2010-04-16 00:00:00.000,Fuel_Price,2.899
39,2012-07-06 00:00:00.000,Fuel_Price,3.227
39,2010-08-06 00:00:00.000,Fuel_Price,2.627
16,2011-10-14 00:00:00.000,Fuel_Price,3.491
29,2011-10-21 00:00:00.000,Fuel_Price,3.618
32,2012-03-23 00:00:00.000,Fuel_Price,3.664
11,2013-05-03 00:00:00.000,Fuel_Price,3.386
8,2010-07-16 00:00:00.000,Fuel_Price,2.623
7,2012-09-07 00:00:00.000,Fuel_Price,3.596
45,2011-07-15 00:00:00.000,Fuel_Price,3.76
21,2010-10-29 00:00:00.000,Fuel_Price,2.716
8,2012-09-07 00:00:00.000,Fuel_Price,3.73
22,2011-11-04 00:00:00.000,Fuel_Price,3.586
45,2012-03-02 00:00:00.000,Fuel_Price,3.816
7,2012-03-23 00:00:00.000,Fuel_Price,3.664
23,2011-11-18 00:00:00.000,Fuel_Price,3.571
43,2011-03-25 00:00:00.000,Fuel_Price,3.473
44,2012-11-23 00:00:00.000,Fuel_Price,3.562
39,2013-02-15 00:00:00.000,Fuel_Price,3.475
38,2011-05-20 00:00:00.000,Fuel_Price,4.169
28,2012-02-10 00:00:00.000,Fuel_Price,3.722
19,2010-09-03 00:00:00.000,Fuel_Price,2.86
19,2011-04-01 00:00:00.000,Fuel_Price,3.811
29,2012-10-19 00:00:00.000,Fuel_Price,4.0
30,2012-04-27 00:00:00.000,Fuel_Price,3.814
20,2010-02-12 00:00:00.000,Fuel_Price,2.773
9,2012-07-13 00:00:00.000,Fuel_Price,3.256
3,2011-06-24 00:00:00.000,Fuel_Price,3.594
18,2012-05-18 00:00:00.000,Fuel_Price,3.899
27,2011-02-18 00:00:00.000,Fuel_Price,3.42
24,2010-05-21 00:00:00.000,Fuel_Price,3.096
2,2012-01-20 00:00:00.000,Fuel_Price,3.268
29,2012-04-20 00:00:00.000,Fuel_Price,4.046
28,2012-04-20 00:00:00.000,Fuel_Price,4.222
23,2011-09-30 00:00:00.000,Fuel_Price,3.684
12,2012-10-26 00:00:00.000,Fuel_Price,4.301
12,2012-11-16 00:00:00.000,Fuel_Price,3.834
20,2010-05-07 00:00:00.000,Fuel_Price,2.966
25,2011-05-20 00:00:00.000,MarkDown1,
44,2011-12-23 00:00:00.000,MarkDown1,38.0
20,2012-12-14 00:00:00.000,MarkDown1,6192.89
25,2012-04-27 00:00:00.000,MarkDown1,4318.51
36,2010-09-17 00:00:00.000,MarkDown1,
41,2013-06-21 00:00:00.000,MarkDown1,4996.41
14,2011-10-21 00:00:00.000,MarkDown1,
36,2012-05-25 00:00:00.000,MarkDown1,517.28
36,2013-01-25 00:00:00.000,MarkDown1,568.71
41,2012-02-03 00:00:00.000,MarkDown1,42353.77
22,2013-05-17 00:00:00.000,MarkDown1,7700.92
9,2012-05-04 00:00:00.000,MarkDown1,5917.56
38,2012-11-30 00:00:00.000,MarkDown1,213.32
9,2012-11-02 00:00:00.000,MarkDown1,2291.26
28,2013-01-04 00:00:00.000,MarkDown1,1529.2
24,2010-08-20 00:00:00.000,MarkDown1,
7,2012-04-06 00:00:00.000,MarkDown1,7550.89
10,2012-09-21 00:00:00.000,MarkDown1,11273.56
42,2011-12-23 00:00:00.000,MarkDown1,103.5
33,2012-04-06 00:00:00.000,MarkDown1,228.1
28,2013-07-05 00:00:00.000,MarkDown1,8886.95
27,2011-05-06 00:00:00.000,MarkDown1,
41,2011-06-24 00:00:00.000,MarkDown1,
7,2010-07-30 00:00:00.000,MarkDown1,
25,2012-07-27 00:00:00.000,MarkDown1,6287.52
17,2010-02-12 00:00:00.000,MarkDown1,
7,2012-03-30 00:00:00.000,MarkDown1,8460.02
5,2010-05-14 00:00:00.000,MarkDown1,
39,2010-12-24 00:00:00.000,MarkDown1,
19,2010-02-26 00:00:00.000,MarkDown1,
28,2011-03-11 00:00:00.000,MarkDown1,
40,2012-04-13 00:00:00.000,MarkDown1,3668.82
13,2011-04-29 00:00:00.000,MarkDown1,
18,2011-08-26 00:00:00.000,MarkDown1,
25,2010-06-25 00:00:00.000,MarkDown1,
34,2011-10-21 00:00:00.000,MarkDown1,
16,2012-04-13 00:00:00.000,MarkDown1,3532.73
5,2012-04-27 00:00:00.000,MarkDown1,1127.44
26,2011-11-04 00:00:00.000,MarkDown1,
3,2011-11-18 00:00:00.000,MarkDown1,1383.53
40,2012-05-04 00:00:00.000,MarkDown1,11685.51
42,2013-03-15 00:00:00.000,MarkDown1,160.55
6,2011-05-13 00:00:00.000,MarkDown1,
37,2013-05-10 00:00:00.000,MarkDown1,564.62
38,2011-01-14 00:00:00.000,MarkDown1,
40,2011-05-27 00:00:00.000,MarkDown1,
12,2012-02-24 00:00:00.000,MarkDown1,12862.31
7,2010-08-20 00:00:00.000,MarkDown1,
3,2012-02-10 00:00:00.000,MarkDown1,8687.47
32,2012-06-29 00:00:00.000,MarkDown1,3333.19
2,2012-05-25 00:00:00.000,MarkDown1,10701.32
35,2012-08-03 00:00:00.000,MarkDown1,35956.75
17,2012-05-04 00:00:00.000,MarkDown1,10140.57
9,2012-09-07 00:00:00.000,MarkDown1,4837.99
39,2011-12-09 00:00:00.000,MarkDown1,4462.95
33,2012-10-12 00:00:00.000,MarkDown1,33.23
27,2010-08-20 00:00:00.000,MarkDown1,
14,2011-12-09 00:00:00.000,MarkDown1,7297.72
35,2011-03-25 00:00:00.000,MarkDown1,
31,2011-11-18 00:00:00.000,MarkDown1,6756.03
45,2010-07-30 00:00:00.000,MarkDown1,
4,2011-09-30 00:00:00.000,MarkDown1,
35,2010-04-16 00:00:00.000,MarkDown1,
39,2012-07-06 00:00:00.000,MarkDown1,11507.92
39,2010-08-06 00:00:00.000,MarkDown1,
16,2011-10-14 00:00:00.000,MarkDown1,
29,2011-10-21 00:00:00.000,MarkDown1,
32,2012-03-23 00:00:00.000,MarkDown1,6403.49
11,2013-05-03 00:00:00.000,MarkDown1,7146.86
8,2010-07-16 00:00:00.000,MarkDown1,
7,2012-09-07 00:00:00.000,MarkDown1,5069.74
45,2011-07-15 00:00:00.000,MarkDown1,
21,2010-10-29 00:00:00.000,MarkDown1,
8,2012-09-07 00:00:00.000,MarkDown1,11548.63
22,2011-11-04 00:00:00.000,MarkDown1,
45,2012-03-02 00:00:00.000,MarkDown1,22832.38
7,2012-03-23 00:00:00.000,MarkDown1,8458.87
23,2011-11-18 00:00:00.000,MarkDown1,3761.33
43,2011-03-25 00:00:00.000,MarkDown1,
44,2012-11-23 00:00:00.000,MarkDown1,8.92
39,2013-02-15 00:00:00.000,MarkDown1,26474.58
38,2011-05-20 00:00:00.000,MarkDown1,
28,2012-02-10 00:00:00.000,MarkDown1,20097.48
19,2010-09-03 00:00:00.000,MarkDown1,
19,2011-04-01 00:00:00.000,MarkDown1,
29,2012-10-19 00:00:00.000,MarkDown1,1021.83
30,2012-04-27 00:00:00.000,MarkDown1,60.07
20,2010-02-12 00:00:00.000,MarkDown1,
9,2012-07-13 00:00:00.000,MarkDown1,3031.81
3,2011-06-24 00:00:00.000,MarkDown1,
18,2012-05-18 00:00:00.000,MarkDown1,9525.2
27,2011-02-18 00:00:00.000,MarkDown1,
24,2010-05-21 00:00:00.000,MarkDown1,
2,2012-01-20 00:00:00.000,MarkDown1,6552.26
29,2012-04-20 00:00:00.000,MarkDown1,2087.5
28,2012-04-20 00:00:00.000,MarkDown1,5343.29
23,2011-09-30 00:00:00.000,MarkDown1,
12,2012-10-26 00:00:00.000,MarkDown1,13749.1
12,2012-11-16 00:00:00.000,MarkDown1,13835.16
20,2010-05-07 00:00:00.000,MarkDown1,
25,2011-05-20 00:00:00.000,MarkDown2,
44,2011-12-23 00:00:00.000,MarkDown2,
20,2012-12-14 00:00:00.000,MarkDown2,
25,2012-04-27 00:00:00.000,MarkDown2,5.24
36,2010-09-17 00:00:00.000,MarkDown2,
41,2013-06-21 00:00:00.000,MarkDown2,584.29
14,2011-10-21 00:00:00.000,MarkDown2,
36,2012-05-25 00:00:00.000,MarkDown2,
36,2013-01-25 00:00:00.000,MarkDown2,11.75
41,2012-02-03 00:00:00.000,MarkDown2,4696.86
22,2013-05-17 00:00:00.000,MarkDown2,175.88
9,2012-05-04 00:00:00.000,MarkDown2,
38,2012-11-30 00:00:00.000,MarkDown2,
9,2012-11-02 00:00:00.000,MarkDown2,2178.48
28,2013-01-04 00:00:00.000,MarkDown2,28399.98
24,2010-08-20 00:00:00.000,MarkDown2,
7,2012-04-06 00:00:00.000,MarkDown2,
10,2012-09-21 00:00:00.000,MarkDown2,245.91
42,2011-12-23 00:00:00.000,MarkDown2,
33,2012-04-06 00:00:00.000,MarkDown2,
28,2013-07-05 00:00:00.000,MarkDown2,475.89
27,2011-05-06 00:00:00.000,MarkDown2,
41,2011-06-24 00:00:00.000,MarkDown2,
7,2010-07-30 00:00:00.000,MarkDown2,
25,2012-07-27 00:00:00.000,MarkDown2,582.48
17,2010-02-12 00:00:00.000,MarkDown2,
7,2012-03-30 00:00:00.000,MarkDown2,2.4
5,2010-05-14 00:00:00.000,MarkDown2,
39,2010-12-24 00:00:00.000,MarkDown2,
19,2010-02-26 00:00:00.000,MarkDown2,
28,2011-03-11 00:00:00.000,MarkDown2,
40,2012-04-13 00:00:00.000,MarkDown2,4728.85
13,2011-04-29 00:00:00.000,MarkDown2,
18,2011-08-26 00:00:00.000,MarkDown2,
25,2010-06-25 00:00:00.000,MarkDown2,
34,2011-10-21 00:00:00.000,MarkDown2,
16,2012-04-13 00:00:00.000,MarkDown2,1368.42
5,2012-04-27 00:00:00.000,MarkDown2,
26,2011-11-04 00:00:00.000,MarkDown2,
3,2011-11-18 00:00:00.000,MarkDown2,23.27
40,2012-05-04 00:00:00.000,MarkDown2,
42,2013-03-15 00:00:00.000,MarkDown2,
6,2011-05-13 00:00:00.000,MarkDown2,
37,2013-05-10 00:00:00.000,MarkDown2,
38,2011-01-14 00:00:00.000,MarkDown2,
40,2011-05-27 00:00:00.000,MarkDown2,
12,2012-02-24 00:00:00.000,MarkDown2,5681.93
7,2010-08-20 00:00:00.000,MarkDown2,
3,2012-02-10 00:00:00.000,MarkDown2,1594.87
32,2012-06-29 00:00:00.000,MarkDown2,599.5
2,2012-05-25 00:00:00.000,MarkDown2,
35,2012-08-03 00:00:00.000,MarkDown2,
17,2012-05-04 00:00:00.000,MarkDown2,
9,2012-09-07 00:00:00.000,MarkDown2,-5.96
39,2011-12-09 00:00:00.000,MarkDown2,
33,2012-10-12 00:00:00.000,MarkDown2,
27,2010-08-20 00:00:00.000,MarkDown2,
14,2011-12-09 00:00:00.000,MarkDown2,15.0
35,2011-03-25 00:00:00.000,MarkDown2,
31,2011-11-18 00:00:00.000,MarkDown2,591.76
45,2010-07-30 00:00:00.000,MarkDown2,
4,2011-09-30 00:00:00.000,MarkDown2,
35,2010-04-16 00:00:00.000,MarkDown2,
39,2012-07-06 00:00:00.000,MarkDown2,254.4
39,2010-08-06 00:00:00.000,MarkDown2,
16,2011-10-14 00:00:00.000,MarkDown2,
29,2011-10-21 00:00:00.000,MarkDown2,
32,2012-03-23 00:00:00.000,MarkDown2,147.83
11,2013-05-03 00:00:00.000,MarkDown2,52.0
8,2010-07-16 00:00:00.000,MarkDown2,
7,2012-09-07 00:00:00.000,MarkDown2,
45,2011-07-15 00:00:00.000,MarkDown2,
21,2010-10-29 00:00:00.000,MarkDown2,
8,2012-09-07 00:00:00.000,MarkDown2,9.0
22,2011-11-04 00:00:00.000,MarkDown2,
45,2012-03-02 00:00:00.000,MarkDown2,2515.25
7,2012-03-23 00:00:00.000,MarkDown2,
23,2011-11-18 00:00:00.000,MarkDown2,206.48
43,2011-03-25 00:00:00.000,MarkDown2,
44,2012-11-23 00:00:00.000,MarkDown2,
39,2013-02-15 00:00:00.000,MarkDown2,3524.05
38,2011-05-20 00:00:00.000,MarkDown2,
28,2012-02-10 00:00:00.000,MarkDown2,2774.5
19,2010-09-03 00:00:00.000,MarkDown2,
19,2011-04-01 00:00:00.000,MarkDown2,
29,2012-10-19 00:00:00.000,MarkDown2,
30,2012-04-27 00:00:00.000,MarkDown2,
20,2010-02-12 00:00:00.000,MarkDown2,
9,2012-07-13 00:00:00.000,MarkDown2,
3,2011-06-24 00:00:00.000,MarkDown2,
18,2012-05-18 00:00:00.000,MarkDown2,
27,2011-02-18 00:00:00.000,MarkDown2,
24,2010-05-21 00:00:00.000,MarkDown2,
2,2012-01-20 00:00:00.000,MarkDown2,4355.69
29,2012-04-20 00:00:00.000,MarkDown2,1908.99
28,2012-04-20 00:00:00.000,MarkDown2,3895.86
23,2011-09-30 00:00:00.000,MarkDown2,
12,2012-10-26 00:00:00.000,MarkDown2,104.54
12,2012-11-16 00:00:00.000,MarkDown2,237.82
20,2010-05-07 00:00:00.000,MarkDown2,
25,2011-05-20 00:00:00.000,MarkDown3,
44,2011-12-23 00:00:00.000,MarkDown3,
20,2012-12-14 00:00:00.000,MarkDown3,179.0
25,2012-04-27 00:00:00.000,MarkDown3,5.83
36,2010-09-17 00:00:00.000,MarkDown3,
41,2013-06-21 00:00:00.000,MarkDown3,267.69
14,2011-10-21 00:00:00.000,MarkDown3,
36,2012-05-25 00:00:00.000,MarkDown3,
36,2013-01-25 00:00:00.000,MarkDown3,
41,2012-02-03 00:00:00.000,MarkDown3,231.92
22,2013-05-17 00:00:00.000,MarkDown3,19.84
9,2012-05-04 00:00:00.000,MarkDown3,68.0
38,2012-11-30 00:00:00.000,MarkDown3,
9,2012-11-02 00:00:00.000,MarkDown3,65.25
28,2013-01-04 00:00:00.000,MarkDown3,17.51
24,2010-08-20 00:00:00.000,MarkDown3,
7,2012-04-06 00:00:00.000,MarkDown3,21.98
10,2012-09-21 00:00:00.000,MarkDown3,27.0
42,2011-12-23 00:00:00.000,MarkDown3,19.63
33,2012-04-06 00:00:00.000,MarkDown3,
28,2013-07-05 00:00:00.000,MarkDown3,863.71
27,2011-05-06 00:00:00.000,MarkDown3,
41,2011-06-24 00:00:00.000,MarkDown3,
7,2010-07-30 00:00:00.000,MarkDown3,
25,2012-07-27 00:00:00.000,MarkDown3,2.07
17,2010-02-12 00:00:00.000,MarkDown3,
7,2012-03-30 00:00:00.000,MarkDown3,9.25
5,2010-05-14 00:00:00.000,MarkDown3,
39,2010-12-24 00:00:00.000,MarkDown3,
19,2010-02-26 00:00:00.000,MarkDown3,
28,2011-03-11 00:00:00.000,MarkDown3,
40,2012-04-13 00:00:00.000,MarkDown3,34.1
13,2011-04-29 00:00:00.000,MarkDown3,
18,2011-08-26 00:00:00.000,MarkDown3,
25,2010-06-25 00:00:00.000,MarkDown3,
34,2011-10-21 00:00:00.000,MarkDown3,
16,2012-04-13 00:00:00.000,MarkDown3,22.0
5,2012-04-27 00:00:00.000,MarkDown3,5.05
26,2011-11-04 00:00:00.000,MarkDown3,
3,2011-11-18 00:00:00.000,MarkDown3,19.95
40,2012-05-04 00:00:00.000,MarkDown3,78.21
42,2013-03-15 00:00:00.000,MarkDown3,16.66
6,2011-05-13 00:00:00.000,MarkDown3,
37,2013-05-10 00:00:00.000,MarkDown3,21.33
38,2011-01-14 00:00:00.000,MarkDown3,
40,2011-05-27 00:00:00.000,MarkDown3,
12,2012-02-24 00:00:00.000,MarkDown3,2.0
7,2010-08-20 00:00:00.000,MarkDown3,
3,2012-02-10 00:00:00.000,MarkDown3,2.2
32,2012-06-29 00:00:00.000,MarkDown3,
2,2012-05-25 00:00:00.000,MarkDown3,1030.53
35,2012-08-03 00:00:00.000,MarkDown3,11.63
17,2012-05-04 00:00:00.000,MarkDown3,181.65
9,2012-09-07 00:00:00.000,MarkDown3,22.74
39,2011-12-09 00:00:00.000,MarkDown3,292.36
33,2012-10-12 00:00:00.000,MarkDown3,
27,2010-08-20 00:00:00.000,MarkDown3,
14,2011-12-09 00:00:00.000,MarkDown3,342.71
35,2011-03-25 00:00:00.000,MarkDown3,
31,2011-11-18 00:00:00.000,MarkDown3,71.38
45,2010-07-30 00:00:00.000,MarkDown3,
4,2011-09-30 00:00:00.000,MarkDown3,
35,2010-04-16 00:00:00.000,MarkDown3,
39,2012-07-06 00:00:00.000,MarkDown3,90.79
39,2010-08-06 00:00:00.000,MarkDown3,
16,2011-10-14 00:00:00.000,MarkDown3,
29,2011-10-21 00:00:00.000,MarkDown3,
32,2012-03-23 00:00:00.000,MarkDown3,4.54
11,2013-05-03 00:00:00.000,MarkDown3,90.39
8,2010-07-16 00:00:00.000,MarkDown3,
7,2012-09-07 00:00:00.000,MarkDown3,10.15
45,2011-07-15 00:00:00.000,MarkDown3,
21,2010-10-29 00:00:00.000,MarkDown3,
8,2012-09-07 00:00:00.000,MarkDown3,29.22
22,2011-11-04 00:00:00.000,MarkDown3,
45,2012-03-02 00:00:00.000,MarkDown3,4.0
7,2012-03-23 00:00:00.000,MarkDown3,3.84
23,2011-11-18 00:00:00.000,MarkDown3,140.88
43,2011-03-25 00:00:00.000,MarkDown3,
44,2012-11-23 00:00:00.000,MarkDown3,4.24
39,2013-02-15 00:00:00.000,MarkDown3,70.0
38,2011-05-20 00:00:00.000,MarkDown3,
28,2012-02-10 00:00:00.000,MarkDown3,66.42
19,2010-09-03 00:00:00.000,MarkDown3,
19,2011-04-01 00:00:00.000,MarkDown3,
29,2012-10-19 00:00:00.000,MarkDown3,2.28
30,2012-04-27 00:00:00.000,MarkDown3,3.21
20,2010-02-12 00:00:00.000,MarkDown3,
9,2012-07-13 00:00:00.000,MarkDown3,2.02
3,2011-06-24 00:00:00.000,MarkDown3,
18,2012-05-18 00:00:00.000,MarkDown3,70.23
27,2011-02-18 00:00:00.000,MarkDown3,
24,2010-05-21 00:00:00.000,MarkDown3,
2,2012-01-20 00:00:00.000,MarkDown3,105.97
29,2012-04-20 00:00:00.000,MarkDown3,9.68
28,2012-04-20 00:00:00.000,MarkDown3,17.32
23,2011-09-30 00:00:00.000,MarkDown3,
12,2012-10-26 00:00:00.000,MarkDown3,56.0
12,2012-11-16 00:00:00.000,MarkDown3,51.29
20,2010-05-07 00:00:00.000,MarkDown3,
25,2011-05-20 00:00:00.000,MarkDown4,
44,2011-12-23 00:00:00.000,MarkDown4,
20,2012-12-14 00:00:00.000,MarkDown4,155.58
25,2012-04-27 00:00:00.000,MarkDown4,62.58
36,2010-09-17 00:00:00.000,MarkDown4,
41,2013-06-21 00:00:00.000,MarkDown4,2367.06
14,2011-10-21 00:00:00.000,MarkDown4,
36,2012-05-25 00:00:00.000,MarkDown4,0.92
36,2013-01-25 00:00:00.000,MarkDown4,
41,2012-02-03 00:00:00.000,MarkDown4,46238.28
22,2013-05-17 00:00:00.000,MarkDown4,2100.48
9,2012-05-04 00:00:00.000,MarkDown4,969.06
38,2012-11-30 00:00:00.000,MarkDown4,0.63
9,2012-11-02 00:00:00.000,MarkDown4,20.52
28,2013-01-04 00:00:00.000,MarkDown4,15.74
24,2010-08-20 00:00:00.000,MarkDown4,
7,2012-04-06 00:00:00.000,MarkDown4,1156.2
10,2012-09-21 00:00:00.000,MarkDown4,2976.5
