Store,variable,value
1,2018-01-01 00:00:00.000,211940
10,2018-01-01 00:00:00.000,267120
11,2018-01-01 00:00:00.000,301520
12,2018-01-01 00:00:00.000,166320
2,2018-01-01 00:00:00.000,21624000
3,2018-01-01 00:00:00.000,29656000
4,2018-01-01 00:00:00.000,27370000
5,2018-01-01 00:00:00.000,22673000
6,2018-01-01 00:00:00.000,214110
7,2018-01-01 00:00:00.000,628200
8,2018-01-01 00:00:00.000,583540
9,2018-01-01 00:00:00.000,376280
1,2018-02-01 00:00:00.000,282780
10,2018-02-01 00:00:00.000,241780
11,2018-02-01 00:00:00.000,352250
12,2018-02-01 00:00:00.000,159570
2,2018-02-01 00:00:00.000,23940000
3,2018-02-01 00:00:00.000,25504000
4,2018-02-01 00:00:00.000,26442000
5,2018-02-01 00:00:00.000,20241000
6,2018-02-01 00:00:00.000,236080
7,2018-02-01 00:00:00.000,665300
8,2018-02-01 00:00:00.000,548500
9,2018-02-01 00:00:00.000,448920
1,2018-03-01 00:00:00.000,3315420
10,2018-03-01 00:00:00.000,241500
11,2018-03-01 00:00:00.000,323500
12,2018-03-01 00:00:00.000,196710
2,2018-03-01 00:00:00.000,31289000
3,2018-03-01 00:00:00.000,34092000
4,2018-03-01 00:00:00.000,31978000
5,2018-03-01 00:00:00.000,24000000
6,2018-03-01 00:00:00.000,189300
7,2018-03-01 00:00:00.000,665300
8,2018-03-01 00:00:00.000,582970
9,2018-03-01 00:00:00.000,445790
1,2018-04-01 00:00:00.000,389000
10,2018-04-01 00:00:00.000,263200
11,2018-04-01 00:00:00.000,314000
12,2018-04-01 00:00:00.000,139390
2,2018-04-01 00:00:00.000,35500000
3,2018-04-01 00:00:00.000,34560000
4,2018-04-01 00:00:00.000,38414000
5,2018-04-01 00:00:00.000,26166000
6,2018-04-01 00:00:00.000,182100
7,2018-04-01 00:00:00.000,622940
8,2018-04-01 00:00:00.000,523550
9,2018-04-01 00:00:00.000,437600
1,2018-05-01 00:00:00.000,307700
10,2018-05-01 00:00:00.000,181770
11,2018-05-01 00:00:00.000,327700
12,2018-05-01 00:00:00.000,117420
2,2018-05-01 00:00:00.000,37030000
3,2018-05-01 00:00:00.000,32644000
4,2018-05-01 00:00:00.000,35064000
5,2018-05-01 00:00:00.000,29082000
6,2018-05-01 00:00:00.000,201480
7,2018-05-01 00:00:00.000,588150
8,2018-05-01 00:00:00.000,531620
9,2018-05-01 00:00:00.000,577000
1,2018-06-01 00:00:00.000,324250
10,2018-06-01 00:00:00.000,285120
11,2018-06-01 00:00:00.000,422780
12,2018-06-01 00:00:00.000,183570
2,2018-06-01 00:00:00.000,33050000
3,2018-06-01 00:00:00.000,38970000
4,2018-06-01 00:00:00.000,32285000
5,2018-06-01 00:00:00.000,26992000
6,2018-06-01 00:00:00.000,126500
7,2018-06-01 00:00:00.000,538380
8,2018-06-01 00:00:00.000,543360
9,2018-06-01 00:00:00.000,529600
1,2018-07-01 00:00:00.000,393440
10,2018-07-01 00:00:00.000,256200
11,2018-07-01 00:00:00.000,438580
12,2018-07-01 00:00:00.000,169510
2,2018-07-01 00:00:00.000,34336000
3,2018-07-01 00:00:00.000,35792000
4,2018-07-01 00:00:00.000,35288000
5,2018-07-01 00:00:00.000,25812000
6,2018-07-01 00:00:00.000,183200
7,2018-07-01 00:00:00.000,556320
8,2018-07-01 00:00:00.000,515050
9,2018-07-01 00:00:00.000,564140
1,2018-08-01 00:00:00.000,325660
10,2018-08-01 00:00:00.000,182700
11,2018-08-01 00:00:00.000,441510
12,2018-08-01 00:00:00.000,253330
2,2018-08-01 00:00:00.000,33056000
3,2018-08-01 00:00:00.000,34601000
4,2018-08-01 00:00:00.000,39631000
5,2018-08-01 00:00:00.000,27019000
6,2018-08-01 00:00:00.000,187840
7,2018-08-01 00:00:00.000,592640
8,2018-08-01 00:00:00.000,471430
9,2018-08-01 00:00:00.000,589750
1,2018-09-01 00:00:00.000,323650
10,2018-09-01 00:00:00.000,189240
11,2018-09-01 00:00:00.000,446970
12,2018-09-01 00:00:00.000,143100
2,2018-09-01 00:00:00.000,58354000
3,2018-09-01 00:00:00.000,33400000
4,2018-09-01 00:00:00.000,44596000
5,2018-09-01 00:00:00.000,23454000
6,2018-09-01 00:00:00.000,188000
7,2018-09-01 00:00:00.000,641080
8,2018-09-01 00:00:00.000,334190
9,2018-09-01 00:00:00.000,558010
1,2018-10-01 00:00:00.000,358710
10,2018-10-01 00:00:00.000,202230
11,2018-10-01 00:00:00.000,474960
12,2018-10-01 00:00:00.000,180960
2,2018-10-01 00:00:00.000,51514000
3,2018-10-01 00:00:00.000,46880000
4,2018-10-01 00:00:00.000,43100000
5,2018-10-01 00:00:00.000,25120000
6,2018-10-01 00:00:00.000,276960
7,2018-10-01 00:00:00.000,677100
8,2018-10-01 00:00:00.000,355940
9,2018-10-01 00:00:00.000,323220
1,2018-11-01 00:00:00.000,382490
10,2018-11-01 00:00:00.000,222950
11,2018-11-01 00:00:00.000,509560
12,2018-11-01 00:00:00.000,207400
2,2018-11-01 00:00:00.000,69380000
3,2018-11-01 00:00:00.000,45602000
4,2018-11-01 00:00:00.000,41542000
5,2018-11-01 00:00:00.000,25833000
6,2018-11-01 00:00:00.000,331320
7,2018-11-01 00:00:00.000,706720
8,2018-11-01 00:00:00.000,355780
9,2018-11-01 00:00:00.000,225760
1,2018-12-01 00:00:00.000,318560
10,2018-12-01 00:00:00.000,151700
11,2018-12-01 00:00:00.000,572040
12,2018-12-01 00:00:00.000,132060
2,2018-12-01 00:00:00.000,65308000
3,2018-12-01 00:00:00.000,43485000
4,2018-12-01 00:00:00.000,42248000
5,2018-12-01 00:00:00.000,22624000
6,2018-12-01 00:00:00.000,385360
7,2018-12-01 00:00:00.000,786000
8,2018-12-01 00:00:00.000,388490
9,2018-12-01 00:00:00.000,204610
1,2019-01-01 00:00:00.000,16190290
10,2019-01-01 00:00:00.000,909850
11,2019-01-01 00:00:00.000,323832
12,2019-01-01 00:00:00.000,209563
2,2019-01-01 00:00:00.000,30706080
3,2019-01-01 00:00:00.000,49658000
4,2019-01-01 00:00:00.000,26548900
5,2019-01-01 00:00:00.000,46300680
6,2019-01-01 00:00:00.000,592699
7,2019-01-01 00:00:00.000,480278
8,2019-01-01 00:00:00.000,265186
9,2019-01-01 00:00:00.000,253843
1,2019-02-01 00:00:00.000,1174713
10,2019-02-01 00:00:00.000,925820
11,2019-02-01 00:00:00.000,387267
12,2019-02-01 00:00:00.000,236100
2,2019-02-01 00:00:00.000,3046000
3,2019-02-01 00:00:00.000,51938080
4,2019-02-01 00:00:00.000,32259240
5,2019-02-01 00:00:00.000,42084380
6,2019-02-01 00:00:00.000,515668
7,2019-02-01 00:00:00.000,571912
8,2019-02-01 00:00:00.000,3025720
9,2019-02-01 00:00:00.000,293596
1,2019-03-01 00:00:00.000,11758125
10,2019-03-01 00:00:00.000,965955
11,2019-03-01 00:00:00.000,410090
12,2019-03-01 00:00:00.000,271450
2,2019-03-01 00:00:00.000,30950330
3,2019-03-01 00:00:00.000,57896840
4,2019-03-01 00:00:00.000,32747220
5,2019-03-01 00:00:00.000,37780000
6,2019-03-01 00:00:00.000,443440
7,2019-03-01 00:00:00.000,652076
8,2019-03-01 00:00:00.000,312970
9,2019-03-01 00:00:00.000,366200
1,2019-04-01 00:00:00.000,1849310
10,2019-04-01 00:00:00.000,984256
11,2019-04-01 00:00:00.000,465300
12,2019-04-01 00:00:00.000,358900
2,2019-04-01 00:00:00.000,31975000
3,2019-04-01 00:00:00.000,61548800
4,2019-04-01 00:00:00.000,28598140
5,2019-04-01 00:00:00.000,35500780
6,2019-04-01 00:00:00.000,446363
7,2019-04-01 00:00:00.000,736316
8,2019-04-01 00:00:00.000,319676
9,2019-04-01 00:00:00.000,413840
1,2019-05-01 00:00:00.000,1851550
10,2019-05-01 00:00:00.000,985416
11,2019-05-01 00:00:00.000,232254
12,2019-05-01 00:00:00.000,415070
2,2019-05-01 00:00:00.000,32137900
3,2019-05-01 00:00:00.000,64229080
4,2019-05-01 00:00:00.000,26118480
5,2019-05-01 00:00:00.000,32898400
6,2019-05-01 00:00:00.000,404234
7,2019-05-01 00:00:00.000,786268
8,2019-05-01 00:00:00.000,352465
9,2019-05-01 00:00:00.000,462840
1,2019-06-01 00:00:00.000,1857705
10,2019-06-01 00:00:00.000,986572
11,2019-06-01 00:00:00.000,278224
12,2019-06-01 00:00:00.000,445020
2,2019-06-01 00:00:00.000,33877000
3,2019-06-01 00:00:00.000,66937400
4,2019-06-01 00:00:00.000,21179350
5,2019-06-01 00:00:00.000,28657920
6,2019-06-01 00:00:00.000,488485
7,2019-06-01 00:00:00.000,881168
8,2019-06-01 00:00:00.000,435836
9,2019-06-01 00:00:00.000,507664
1,2019-07-01 00:00:00.000,1863112
10,2019-07-01 00:00:00.000,1040000
11,2019-07-01 00:00:00.000,233808
12,2019-07-01 00:00:00.000,486460
2,2019-07-01 00:00:00.000,33849280
3,2019-07-01 00:00:00.000,7421120
4,2019-07-01 00:00:00.000,26511040
5,2019-07-01 00:00:00.000,29927400
6,2019-07-01 00:00:00.000,384416
7,2019-07-01 00:00:00.000,933251
8,2019-07-01 00:00:00.000,519351
9,2019-07-01 00:00:00.000,536361
1,2019-08-01 00:00:00.000,18969641
10,2019-08-01 00:00:00.000,1075100
11,2019-08-01 00:00:00.000,357076
12,2019-08-01 00:00:00.000,571063
2,2019-08-01 00:00:00.000,4492160
3,2019-08-01 00:00:00.000,81402870
4,2019-08-01 00:00:00.000,28649450
5,2019-08-01 00:00:00.000,39487290
6,2019-08-01 00:00:00.000,568948
7,2019-08-01 00:00:00.000,948332
8,2019-08-01 00:00:00.000,568000
9,2019-08-01 00:00:00.000,593545
1,2019-09-01 00:00:00.000,18988508
10,2019-09-01 00:00:00.000,11034650
11,2019-09-01 00:00:00.000,374894
12,2019-09-01 00:00:00.000,610357
2,2019-09-01 00:00:00.000,44233820
3,2019-09-01 00:00:00.000,83930000
4,2019-09-01 00:00:00.000,36402080
5,2019-09-01 00:00:00.000,48028360
6,2019-09-01 00:00:00.000,621440
7,2019-09-01 00:00:00.000,949277
8,2019-09-01 00:00:00.000,603326
9,2019-09-01 00:00:00.000,653269
1,2019-10-01 00:00:00.000,18934903
10,2019-10-01 00:00:00.000,1212045
11,2019-10-01 00:00:00.000,446966
12,2019-10-01 00:00:00.000,668292
2,2019-10-01 00:00:00.000,45701660
3,2019-10-01 00:00:00.000,85192000
4,2019-10-01 00:00:00.000,26565000
5,2019-10-01 00:00:00.000,48075200
6,2019-10-01 00:00:00.000,663670
7,2019-10-01 00:00:00.000,969192
8,2019-10-01 00:00:00.000,623192
9,2019-10-01 00:00:00.000,845399
1,2019-11-01 00:00:00.000,20017163
10,2019-11-01 00:00:00.000,1215648
11,2019-11-01 00:00:00.000,467648
12,2019-11-01 00:00:00.000,757624
2,2019-11-01 00:00:00.000,47907200
3,2019-11-01 00:00:00.000,85445980
4,2019-11-01 00:00:00.000,21542000
5,2019-11-01 00:00:00.000,48007950
6,2019-11-01 00:00:00.000,685161
7,2019-11-01 00:00:00.000,973676
8,2019-11-01 00:00:00.000,724840
9,2019-11-01 00:00:00.000,855108
1,2019-12-01 00:00:00.000,20016188
10,2019-12-01 00:00:00.000,126018
11,2019-12-01 00:00:00.000,470310
12,2019-12-01 00:00:00.000,832060
2,2019-12-01 00:00:00.000,59993320
3,2019-12-01 00:00:00.000,93719850
4,2019-12-01 00:00:00.000,28910800
5,2019-12-01 00:00:00.000,48052800
6,2019-12-01 00:00:00.000,690943
7,2019-12-01 00:00:00.000,9804600
8,2019-12-01 00:00:00.000,816763
9,2019-12-01 00:00:00.000,935300
1,2020-01-01 00:00:00.000,12313400
10,2020-01-01 00:00:00.000,5712880
11,2020-01-01 00:00:00.000,6030980
12,2020-01-01 00:00:00.000,6092350
2,2020-01-01 00:00:00.000,32003520
3,2020-01-01 00:00:00.000,14938560
4,2020-01-01 00:00:00.000,27096300
5,2020-01-01 00:00:00.000,26073950
6,2020-01-01 00:00:00.000,20707128
7,2020-01-01 00:00:00.000,20710309
8,2020-01-01 00:00:00.000,710923
9,2020-01-01 00:00:00.000,706746
1,2020-02-01 00:00:00.000,15040800
10,2020-02-01 00:00:00.000,5918720
11,2020-02-01 00:00:00.000,5586880
12,2020-02-01 00:00:00.000,5440450
2,2020-02-01 00:00:00.000,36388800
3,2020-02-01 00:00:00.000,22170720
4,2020-02-01 00:00:00.000,21153600
5,2020-02-01 00:00:00.000,12494020
6,2020-02-01 00:00:00.000,20709187
7,2020-02-01 00:00:00.000,20705868
8,2020-02-01 00:00:00.000,704404
9,2020-02-01 00:00:00.000,704147
1,2020-03-01 00:00:00.000,17313000
10,2020-03-01 00:00:00.000,6188265
11,2020-03-01 00:00:00.000,6166953
12,2020-03-01 00:00:00.000,6263476
2,2020-03-01 00:00:00.000,36369050
3,2020-03-01 00:00:00.000,17755920
4,2020-03-01 00:00:00.000,33406560
5,2020-03-01 00:00:00.000,16800000
6,2020-03-01 00:00:00.000,20711882
7,2020-03-01 00:00:00.000,10711669
8,2020-03-01 00:00:00.000,712634
9,2020-03-01 00:00:00.000,711326
1,2020-04-01 00:00:00.000,16089000
10,2020-04-01 00:00:00.000,6213150
11,2020-04-01 00:00:00.000,6243004
12,2020-04-01 00:00:00.000,6192253
2,2020-04-01 00:00:00.000,51620000
3,2020-04-01 00:00:00.000,17617600
4,2020-04-01 00:00:00.000,17861580
5,2020-04-01 00:00:00.000,13579440
6,2020-04-01 00:00:00.000,60712131
7,2020-04-01 00:00:00.000,10712430
8,2020-04-01 00:00:00.000,711922
9,2020-04-01 00:00:00.000,713587
1,2020-05-01 00:00:00.000,13470100
10,2020-05-01 00:00:00.000,6298190
11,2020-05-01 00:00:00.000,6250239
12,2020-05-01 00:00:00.000,6178347
2,2020-05-01 00:00:00.000,50814200
3,2020-05-01 00:00:00.000,20379600
4,2020-05-01 00:00:00.000,11599280
5,2020-05-01 00:00:00.000,22516760
6,2020-05-01 00:00:00.000,60712981
7,2020-05-01 00:00:00.000,10712502
8,2020-05-01 00:00:00.000,711783
9,2020-05-01 00:00:00.000,711575
1,2020-06-01 00:00:00.000,11528000
10,2020-06-01 00:00:00.000,6986700
11,2020-06-01 00:00:00.000,6340883
12,2020-06-01 00:00:00.000,6255528
2,2020-06-01 00:00:00.000,56182000
3,2020-06-01 00:00:00.000,19159700
4,2020-06-01 00:00:00.000,14373450
5,2020-06-01 00:00:00.000,23109120
6,2020-06-01 00:00:00.000,60719867
7,2020-06-01 00:00:00.000,10713408
8,2020-06-01 00:00:00.000,712555
9,2020-06-01 00:00:00.000,711767
1,2020-07-01 00:00:00.000,17409600
10,2020-07-01 00:00:00.000,6138720
11,2020-07-01 00:00:00.000,6310147
12,2020-07-01 00:00:00.000,6255909
2,2020-07-01 00:00:00.000,55552800
3,2020-07-01 00:00:00.000,8225280
4,2020-07-01 00:00:00.000,15593760
5,2020-07-01 00:00:00.000,17551320
6,2020-07-01 00:00:00.000,60711387
7,2020-07-01 00:00:00.000,10713101
8,2020-07-01 00:00:00.000,712559
9,2020-07-01 00:00:00.000,711444
1,2020-08-01 00:00:00.000,13068600
10,2020-08-01 00:00:00.000,6174283
11,2020-08-01 00:00:00.000,6256211
12,2020-08-01 00:00:00.000,6241716
2,2020-08-01 00:00:00.000,55928320
3,2020-08-01 00:00:00.000,22632920
4,2020-08-01 00:00:00.000,28857570
5,2020-08-01 00:00:00.000,23826600
6,2020-08-01 00:00:00.000,60711742
7,2020-08-01 00:00:00.000,10712562
8,2020-08-01 00:00:00.000,712417
9,2020-08-01 00:00:00.000,711916
1,2020-09-01 00:00:00.000,13994800
10,2020-09-01 00:00:00.000,6193200
11,2020-09-01 00:00:00.000,6291706
12,2020-09-01 00:00:00.000,6189207
2,2020-09-01 00:00:00.000,51841260
3,2020-09-01 00:00:00.000,23868000
4,2020-09-01 00:00:00.000,30253080
5,2020-09-01 00:00:00.000,11301360
6,2020-09-01 00:00:00.000,60711932
7,2020-09-01 00:00:00.000,10712917
