Donations,Date Paid,Donation Amt,Postcode original,State original,Country,Payment Method,Card Type,Postcode Clean,State,Date only,Postcode,Metro,Month
237488,2021-10-02 12:42:00.000,42.0,2138.0,NSW,Australia,credit card,mastercard,2138.0,NSW,2021-02-10 00:00:00.000,2138.0,Metro,"10, October"
285916,2021-10-11 11:57:00.000,150.0,2323.0,NSW,Australia,paypal,,2323.0,NSW,2021-11-10 00:00:00.000,2323.0,Non-Metro,"10, October"
21832,2020-09-20 16:30:00.000,21.0,3429.0,VIC,Australia,paypal,,3429.0,VIC,2020-09-20 00:00:00.000,3429.0,Non-Metro,"9, September"
12033,2020-09-14 18:09:00.000,75.6,3782.0,VIC,Australia,credit card,visa,3782.0,VIC,2020-09-14 00:00:00.000,3782.0,Non-Metro,"9, September"
109920,2020-10-19 12:35:00.000,15.75,,,Australia,credit card,visa,0.0,Unknown,2020-10-19 00:00:00.000,,Unknown,"10, October"
120445,2020-10-27 15:07:00.000,150.0,2093.0,NSW,Australia,credit card,visa,2093.0,NSW,2020-10-27 00:00:00.000,2093.0,Metro,"10, October"
280175,2021-10-10 08:54:00.000,52.5,4812.0,QLD,Australia,paypal,,4812.0,QLD,2021-10-10 00:00:00.000,4812.0,Non-Metro,"10, October"
207711,2021-09-30 17:20:00.000,10.5,2580.0,NSW,Australia,paypal,,2580.0,NSW,2021-09-30 00:00:00.000,2580.0,Non-Metro,"9, September"
159574,2021-09-11 13:54:00.000,21.0,2307.0,NSW,Australia,credit card,mastercard,2307.0,NSW,2021-11-09 00:00:00.000,2307.0,Non-Metro,"9, September"
240798,2021-10-02 18:00:00.000,21.0,,,Australia,credit card,mastercard,0.0,Unknown,2021-02-10 00:00:00.000,,Unknown,"10, October"
295908,2021-10-14 22:01:00.000,50.0,2810.0,NSW,Australia,paypal,,2810.0,NSW,2021-10-14 00:00:00.000,2810.0,Non-Metro,"10, October"
128186,2020-10-31 13:10:00.000,105.0,5163.0,SA,Australia,credit card,visa,5163.0,SA,2020-10-31 00:00:00.000,5163.0,Metro,"10, October"
324113,2021-10-28 12:58:00.000,157.5,,,,credit card,visa,,Unknown,2021-10-28 00:00:00.000,,Unknown,"10, October"
330081,2021-10-30 20:01:00.000,262.5,,,Australia,paypal,,0.0,Unknown,2021-10-30 00:00:00.000,,Unknown,"10, October"
24879,2020-09-22 07:25:00.000,75.6,34292.0,Florida,United States,credit card,mastercard,,Unknown,2020-09-22 00:00:00.000,,Unknown,"9, September"
86249,2020-10-07 01:59:00.000,21.0,2534.0,NSW,Australia,paypal,,2534.0,NSW,2020-07-10 00:00:00.000,2534.0,Non-Metro,"10, October"
216334,2021-10-01 09:59:00.000,40.0,4573.0,QLD,Australia,credit card,visa,4573.0,QLD,2021-01-10 00:00:00.000,4573.0,Non-Metro,"10, October"
258987,2021-10-05 16:58:00.000,65.0,3089.0,VIC,Australia,credit card,mastercard,3089.0,VIC,2021-05-10 00:00:00.000,3089.0,Metro,"10, October"
291557,2021-10-13 11:50:00.000,50.0,5038.0,SA,Australia,paypal,,5038.0,SA,2021-10-13 00:00:00.000,5038.0,Metro,"10, October"
12136,2020-09-14 19:04:00.000,52.5,4075.0,QLD,Australia,credit card,visa,4075.0,QLD,2020-09-14 00:00:00.000,4075.0,Metro,"9, September"
217973,2021-10-01 11:09:00.000,40.95,2452.0,NSW,Australia,paypal,,2452.0,NSW,2021-01-10 00:00:00.000,2452.0,Non-Metro,"10, October"
253994,2021-10-04 18:40:00.000,105.0,4557.0,QLD,Australia,paypal,,4557.0,QLD,2021-04-10 00:00:00.000,4557.0,Non-Metro,"10, October"
152566,2021-09-06 17:50:00.000,50.0,2526.0,NSW,Australia,paypal,,2526.0,NSW,2021-06-09 00:00:00.000,2526.0,Non-Metro,"9, September"
230113,2021-10-01 20:06:00.000,21.0,3196.0,VIC,Australia,credit card,mastercard,3196.0,VIC,2021-01-10 00:00:00.000,3196.0,Metro,"10, October"
157213,2021-09-10 10:53:00.000,26.25,3330.0,TAUPO,New Zealand,credit card,mastercard,,Unknown,2021-10-09 00:00:00.000,,Unknown,"9, September"
246810,2021-10-03 15:15:00.000,157.5,3122.0,VIC,Australia,credit card,mastercard,3122.0,VIC,2021-03-10 00:00:00.000,3122.0,Metro,"10, October"
263634,2021-10-06 13:24:00.000,68.25,2127.0,NSW,Australia,credit card,visa,2127.0,NSW,2021-06-10 00:00:00.000,2127.0,Metro,"10, October"
219071,2021-10-01 11:43:00.000,30.0,5052.0,SA,Australia,credit card,mastercard,5052.0,SA,2021-01-10 00:00:00.000,5052.0,Metro,"10, October"
53825,2020-09-30 20:00:00.000,40.95,,,Australia,credit card,visa,0.0,Unknown,2020-09-30 00:00:00.000,,Unknown,"9, September"
246074,2021-10-03 13:15:00.000,50.0,2620.0,NSW,Australia,credit card,mastercard,2620.0,NSW,2021-03-10 00:00:00.000,2620.0,Metro,"10, October"
95730,2020-10-10 19:14:00.000,21.0,3088.0,VIC,Australia,credit card,mastercard,3088.0,VIC,2020-10-10 00:00:00.000,3088.0,Metro,"10, October"
203926,2021-09-30 10:27:00.000,68.25,2601.0,ACT,Australia,paypal,,2601.0,ACT,2021-09-30 00:00:00.000,2601.0,Metro,"9, September"
319604,2021-10-26 18:45:00.000,21.0,,,,credit card,mastercard,,Unknown,2021-10-26 00:00:00.000,,Unknown,"10, October"
308276,2021-10-20 21:18:00.000,52.5,4305.0,QLD,Australia,credit card,visa,4305.0,QLD,2021-10-20 00:00:00.000,4305.0,Non-Metro,"10, October"
98572,2020-10-12 11:21:00.000,21.0,2830.0,NSW,Australia,credit card,visa,2830.0,NSW,2020-12-10 00:00:00.000,2830.0,Non-Metro,"10, October"
27794,2020-09-23 07:25:00.000,31.5,4650.0,QLD,Australia,credit card,visa,4650.0,QLD,2020-09-23 00:00:00.000,4650.0,Non-Metro,"9, September"
337580,2021-11-01 21:20:00.000,21.0,,,,credit card,mastercard,,Unknown,2021-01-11 00:00:00.000,,Unknown,"11, November"
138904,2021-08-20 19:19:00.000,40.95,,,Australia,paypal,,0.0,Unknown,2021-08-20 00:00:00.000,,Unknown,"8, August"
14675,2020-09-16 09:51:00.000,50.0,2233.0,,Australia,credit card,visa,2233.0,Unknown,2020-09-16 00:00:00.000,2233.0,Metro,"9, September"
296329,2021-10-15 07:57:00.000,50.0,3956.0,VIC,Australia,credit card,mastercard,3956.0,VIC,2021-10-15 00:00:00.000,3956.0,Non-Metro,"10, October"
94460,2020-10-10 11:35:00.000,105.0,3977.0,VIC,Australia,paypal,,3977.0,VIC,2020-10-10 00:00:00.000,3977.0,Non-Metro,"10, October"
147797,2021-08-31 21:11:00.000,20.0,,,Australia,credit card,visa,0.0,Unknown,2021-08-31 00:00:00.000,,Unknown,"8, August"
72256,2020-10-02 14:55:00.000,21.0,2830.0,NSW,Australia,credit card,mastercard,2830.0,NSW,2020-02-10 00:00:00.000,2830.0,Non-Metro,"10, October"
303141,2021-10-18 12:20:00.000,40.95,,,Australia,paypal,,0.0,Unknown,2021-10-18 00:00:00.000,,Unknown,"10, October"
52475,2020-09-30 17:25:00.000,52.5,5024.0,SA,Australia,credit card,mastercard,5024.0,SA,2020-09-30 00:00:00.000,5024.0,Metro,"9, September"
319409,2021-10-26 17:31:00.000,52.5,,,,paypal,,,Unknown,2021-10-26 00:00:00.000,,Unknown,"10, October"
49839,2020-09-30 07:07:00.000,21.0,4874.0,QLD,Australia,paypal,,4874.0,QLD,2020-09-30 00:00:00.000,4874.0,Non-Metro,"9, September"
150239,2021-09-03 14:19:00.000,100.0,3107.0,VIC,Australia,credit card,mastercard,3107.0,VIC,2021-03-09 00:00:00.000,3107.0,Metro,"9, September"
189235,2021-09-27 22:06:00.000,40.95,2096.0,NSW,Australia,credit card,mastercard,2096.0,NSW,2021-09-27 00:00:00.000,2096.0,Metro,"9, September"
187206,2021-09-27 13:50:00.000,15.0,5062.0,SA,Australia,paypal,,5062.0,SA,2021-09-27 00:00:00.000,5062.0,Metro,"9, September"
103395,2020-10-14 21:12:00.000,52.5,3116.0,VIC,Australia,paypal,,3116.0,VIC,2020-10-14 00:00:00.000,3116.0,Metro,"10, October"
212435,2021-09-30 23:03:00.000,52.5,,,Australia,credit card,mastercard,0.0,Unknown,2021-09-30 00:00:00.000,,Unknown,"9, September"
137096,2021-08-17 11:28:00.000,21.0,,,Australia,credit card,visa,0.0,Unknown,2021-08-17 00:00:00.000,,Unknown,"8, August"
198886,2021-09-29 17:04:00.000,52.5,,,Australia,credit card,visa,0.0,Unknown,2021-09-29 00:00:00.000,,Unknown,"9, September"
311098,2021-10-22 09:48:00.000,21.0,,,,credit card,mastercard,,Unknown,2021-10-22 00:00:00.000,,Unknown,"10, October"
160153,2021-09-11 23:59:00.000,100.0,,,Australia,paypal,,0.0,Unknown,2021-11-09 00:00:00.000,,Unknown,"9, September"
256731,2021-10-05 10:07:00.000,31.5,3111.0,VIC,Australia,paypal,,3111.0,VIC,2021-05-10 00:00:00.000,3111.0,Metro,"10, October"
130346,2020-11-01 09:52:00.000,194.25,5267.0,SA,Australia,credit card,mastercard,5267.0,SA,2020-01-11 00:00:00.000,5267.0,Non-Metro,"11, November"
37418,2020-09-25 22:35:00.000,40.95,3977.0,VIC,Australia,paypal,,3977.0,VIC,2020-09-25 00:00:00.000,3977.0,Non-Metro,"9, September"
98372,2020-10-12 09:27:00.000,52.5,3280.0,VIC,Australia,credit card,visa,3280.0,VIC,2020-12-10 00:00:00.000,3280.0,Non-Metro,"10, October"
314966,2021-10-24 15:10:00.000,210.0,,,,paypal,,,Unknown,2021-10-24 00:00:00.000,,Unknown,"10, October"
247808,2021-10-03 17:54:00.000,52.5,3135.0,VIC,Australia,credit card,mastercard,3135.0,VIC,2021-03-10 00:00:00.000,3135.0,Metro,"10, October"
215204,2021-10-01 09:13:00.000,52.5,2250.0,NSW,Australia,credit card,visa,2250.0,NSW,2021-01-10 00:00:00.000,2250.0,Non-Metro,"10, October"
204143,2021-09-30 10:48:00.000,10.5,2527.0,NSW,Australia,paypal,,2527.0,NSW,2021-09-30 00:00:00.000,2527.0,Non-Metro,"9, September"
134317,2021-08-10 17:57:00.000,20.0,,,Australia,credit card,mastercard,0.0,Unknown,2021-10-08 00:00:00.000,,Unknown,"8, August"
76435,2020-10-03 14:25:00.000,52.5,3085.0,VIC,Australia,credit card,visa,3085.0,VIC,2020-03-10 00:00:00.000,3085.0,Metro,"10, October"
202757,2021-09-30 08:14:00.000,10.5,4814.0,QLD,Australia,credit card,mastercard,4814.0,QLD,2021-09-30 00:00:00.000,4814.0,Non-Metro,"9, September"
108529,2020-10-18 10:02:00.000,84.0,,,Australia,credit card,mastercard,0.0,Unknown,2020-10-18 00:00:00.000,,Unknown,"10, October"
36512,2020-09-25 18:12:00.000,52.5,4034.0,QLD,Australia,credit card,mastercard,4034.0,QLD,2020-09-25 00:00:00.000,4034.0,Metro,"9, September"
12215,2020-09-14 19:40:00.000,50.0,2528.0,NSW,Australia,credit card,visa,2528.0,NSW,2020-09-14 00:00:00.000,2528.0,Non-Metro,"9, September"
329977,2021-10-30 19:25:00.000,20.0,3075.0,VIC,Australia,credit card,mastercard,3075.0,VIC,2021-10-30 00:00:00.000,3075.0,Metro,"10, October"
232907,2021-10-01 23:14:00.000,10.0,2529.0,NSW,Australia,credit card,visa,2529.0,NSW,2021-01-10 00:00:00.000,2529.0,Non-Metro,"10, October"
108896,2020-10-18 16:12:00.000,20.0,2486.0,NSW,Australia,credit card,visa,2486.0,NSW,2020-10-18 00:00:00.000,2486.0,Non-Metro,"10, October"
147763,2021-08-31 20:45:00.000,52.5,2830.0,NSW,Australia,credit card,visa,2830.0,NSW,2021-08-31 00:00:00.000,2830.0,Non-Metro,"8, August"
220158,2021-10-01 12:20:00.000,21.0,,,Australia,paypal,,0.0,Unknown,2021-01-10 00:00:00.000,,Unknown,"10, October"
206025,2021-09-30 14:24:00.000,105.0,2048.0,NSW,Australia,paypal,,2048.0,NSW,2021-09-30 00:00:00.000,2048.0,Metro,"9, September"
