nadb_statusdescription_projrr,statuscode,overriddencreatedon,timezoneruleversionnumber,versionnumber,_owningteam_value,_owninguser_value,_nadb_riskindicator_rating_value,_nadb_project_rating_value,nadb_projectriskratingid,_createdby_value,modifiedon,_owningbusinessunit_value,_modifiedby_value,nadb_indicatordescription_projrr,createdon,nadb_statuspoints_porjrr,nadb_value_pjrisk,importsequencenumber,nadb_name,_ownerid_value,_createdonbehalfby_value,nadb_methodologydescription_projrr,utcconversiontimezonecode,nadb_measuredate_pjrisk,_nadb_riskratingproject_projrr_value,statecode,_modifiedonbehalfby_value,_nadb_riskstatus_rating_value,_nadb_nadbinternalscaleused_value,_nadb_internalcreditriskrating_value,_nadb_methodologyused_value,_nadb_creditriskratingadministration_value
Yes,1,,0,12469828,,c7205e36-d6ee-42c5-8733-e670621cd834,f19930ab-c154-ea11-a813-000d3a4ed0f6,,e8ddaff6-1359-ea11-a811-000d3a4ed4e6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-02-27 03:48:19.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 03:48:18.000,10,,121,Yes-1/1/2019-2019,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2019-01-01 00:00:00.000,,0,,e87f9979-cc54-ea11-a813-000d3a4edd29,,739a0343-d754-ea11-a812-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,d8c2e488-e658-ea11-a811-000d3a4f6db7
O&M Agreement with a term of 10Y+,1,,0,12469836,,c7205e36-d6ee-42c5-8733-e670621cd834,f59930ab-c154-ea11-a813-000d3a4ed0f6,,f0ddaff6-1359-ea11-a811-000d3a4ed4e6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-02-27 03:48:19.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 03:48:19.000,5,,121,O&M Agreement with a term of 10Y+-1/1/2019-2019,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2019-01-01 00:00:00.000,,0,,f47f9979-cc54-ea11-a813-000d3a4edd29,,739a0343-d754-ea11-a812-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,d8c2e488-e658-ea11-a811-000d3a4f6db7
Level 2: Neutral,1,,0,13477782,,c7205e36-d6ee-42c5-8733-e670621cd834,e59930ab-c154-ea11-a813-000d3a4ed0f6,,a86184c2-1859-ea11-a811-000d3a4ed0f6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-03-13 21:55:43.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 04:22:40.000,0,,123,Level 2: Neutral-1/1/2019-2018,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2018-01-01 00:00:00.000,,0,,c87f9979-cc54-ea11-a813-000d3a4edd29,,f917e21c-1859-ea11-a811-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,06b27cba-1459-ea11-a811-000d3a4f6c19
Has not fallen more than 2 consecutive times in the last 12 months,1,,0,12471071,,c7205e36-d6ee-42c5-8733-e670621cd834,e99930ab-c154-ea11-a813-000d3a4ed0f6,,706184c2-1859-ea11-a811-000d3a4ed0f6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-02-27 04:22:38.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 04:22:38.000,0,,123,Has not fallen more than 2 consecutive times in the last 12 months-1/1/2019-2019,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2019-01-01 00:00:00.000,,0,,d47f9979-cc54-ea11-a813-000d3a4edd29,,739a0343-d754-ea11-a812-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,06b27cba-1459-ea11-a811-000d3a4f6c19
Cash reserve,1,,0,12469840,,c7205e36-d6ee-42c5-8733-e670621cd834,f79930ab-c154-ea11-a813-000d3a4ed0f6,,f4ddaff6-1359-ea11-a811-000d3a4ed4e6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-02-27 03:48:19.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 03:48:19.000,10,,121,Cash reserve-1/1/2019-2019,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2019-01-01 00:00:00.000,,0,,fa7f9979-cc54-ea11-a813-000d3a4edd29,,739a0343-d754-ea11-a812-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,d8c2e488-e658-ea11-a811-000d3a4f6db7
Yes,1,,0,12471897,,c7205e36-d6ee-42c5-8733-e670621cd834,f19930ab-c154-ea11-a813-000d3a4ed0f6,,8c6184c2-1859-ea11-a811-000d3a4ed0f6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-02-27 04:45:14.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 04:22:39.000,10,,123,Yes-1/1/2019-2017,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2017-01-01 00:00:00.000,,0,,e87f9979-cc54-ea11-a813-000d3a4edd29,,f917e21c-1859-ea11-a811-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,06b27cba-1459-ea11-a811-000d3a4f6c19
At 1.2x or higher,1,,0,12471886,,c7205e36-d6ee-42c5-8733-e670621cd834,eb9930ab-c154-ea11-a813-000d3a4ed0f6,,7a6184c2-1859-ea11-a811-000d3a4ed0f6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-02-27 04:45:14.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 04:22:38.000,10,,123,At 1.2x or higher-1/1/2019-2017,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2017-01-01 00:00:00.000,,0,,d67f9979-cc54-ea11-a813-000d3a4edd29,,f917e21c-1859-ea11-a811-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,06b27cba-1459-ea11-a811-000d3a4f6c19
At 1.2x or higher,1,,0,12471077,,c7205e36-d6ee-42c5-8733-e670621cd834,eb9930ab-c154-ea11-a813-000d3a4ed0f6,,766184c2-1859-ea11-a811-000d3a4ed0f6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-02-27 04:22:38.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 04:22:38.000,10,,123,At 1.2x or higher-1/1/2019-2019,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2019-01-01 00:00:00.000,,0,,d67f9979-cc54-ea11-a813-000d3a4edd29,,739a0343-d754-ea11-a812-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,06b27cba-1459-ea11-a811-000d3a4f6c19
At 1.2x or higher,1,,0,12469816,,c7205e36-d6ee-42c5-8733-e670621cd834,eb9930ab-c154-ea11-a813-000d3a4ed0f6,,dcddaff6-1359-ea11-a811-000d3a4ed4e6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-02-27 03:48:18.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 03:48:18.000,10,,121,At 1.2x or higher-1/1/2019-2019,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2019-01-01 00:00:00.000,,0,,d67f9979-cc54-ea11-a813-000d3a4edd29,,739a0343-d754-ea11-a812-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,d8c2e488-e658-ea11-a811-000d3a4f6db7
Has not fallen more than 2 consecutive times in the last 12 months,1,,0,13477785,,c7205e36-d6ee-42c5-8733-e670621cd834,e99930ab-c154-ea11-a813-000d3a4ed0f6,,726184c2-1859-ea11-a811-000d3a4ed0f6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-03-13 21:55:44.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 04:22:38.000,0,,123,Has not fallen more than 2 consecutive times in the last 12 months-1/1/2019-2018,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2018-01-01 00:00:00.000,,0,,d47f9979-cc54-ea11-a813-000d3a4edd29,,f917e21c-1859-ea11-a811-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,06b27cba-1459-ea11-a811-000d3a4f6c19
History shows no more than 30 days past due,1,,0,13477790,,c7205e36-d6ee-42c5-8733-e670621cd834,ed9930ab-c154-ea11-a813-000d3a4ed0f6,,e2ddaff6-1359-ea11-a811-000d3a4ed4e6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-03-13 21:55:44.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 03:48:18.000,10,,121,History shows no more than 30 days past due-1/1/2019-2018,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2018-01-01 00:00:00.000,,0,,dc7f9979-cc54-ea11-a813-000d3a4edd29,,f917e21c-1859-ea11-a811-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,d8c2e488-e658-ea11-a811-000d3a4f6db7
"External ISP/OEM Operator with 5+ YoE & 1,500 MW wind or 500 MW solar",1,,0,13477795,,c7205e36-d6ee-42c5-8733-e670621cd834,f39930ab-c154-ea11-a813-000d3a4ed0f6,,906184c2-1859-ea11-a811-000d3a4ed0f6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-03-13 21:55:44.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 04:22:39.000,10,,123,"External ISP/OEM Operator with 5+ YoE & 1,500 MW wind or 500 MW solar-1/1/2019-2018",c7205e36-d6ee-42c5-8733-e670621cd834,,,,2018-01-01 00:00:00.000,,0,,ec7f9979-cc54-ea11-a813-000d3a4edd29,,f917e21c-1859-ea11-a811-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,06b27cba-1459-ea11-a811-000d3a4f6c19
Level 1: Positive,1,,0,13477783,,c7205e36-d6ee-42c5-8733-e670621cd834,e79930ab-c154-ea11-a813-000d3a4ed0f6,,ae6184c2-1859-ea11-a811-000d3a4ed0f6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-03-13 21:55:44.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 04:22:40.000,5,,123,Level 1: Positive-1/1/2019-2018,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2018-01-01 00:00:00.000,,0,,cc7f9979-cc54-ea11-a813-000d3a4edd29,,f917e21c-1859-ea11-a811-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,06b27cba-1459-ea11-a811-000d3a4f6c19
Level 1: Positive,1,,0,12469852,,c7205e36-d6ee-42c5-8733-e670621cd834,e79930ab-c154-ea11-a813-000d3a4ed0f6,,00deaff6-1359-ea11-a811-000d3a4ed4e6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-02-27 03:48:20.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 03:48:20.000,5,,121,Level 1: Positive-1/1/2019-2019,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2019-01-01 00:00:00.000,,0,,cc7f9979-cc54-ea11-a813-000d3a4edd29,,739a0343-d754-ea11-a812-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,d8c2e488-e658-ea11-a811-000d3a4f6db7
Letter of Credit or Parent Guaranty supported on a rating of at least BBB,1,,0,13477800,,c7205e36-d6ee-42c5-8733-e670621cd834,f79930ab-c154-ea11-a813-000d3a4ed0f6,,9c6184c2-1859-ea11-a811-000d3a4ed0f6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-03-13 21:55:44.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 04:22:39.000,8,,123,Letter of Credit or Parent Guaranty supported on a rating of at least BBB-1/1/2019-2018,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2018-01-01 00:00:00.000,,0,,fc7f9979-cc54-ea11-a813-000d3a4edd29,,f917e21c-1859-ea11-a811-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,06b27cba-1459-ea11-a811-000d3a4f6c19
Level 2: Neutral,1,,0,12469848,,c7205e36-d6ee-42c5-8733-e670621cd834,e59930ab-c154-ea11-a813-000d3a4ed0f6,,fcddaff6-1359-ea11-a811-000d3a4ed4e6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-02-27 03:48:19.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 03:48:19.000,0,,121,Level 2: Neutral-1/1/2019-2019,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2019-01-01 00:00:00.000,,0,,c87f9979-cc54-ea11-a813-000d3a4edd29,,739a0343-d754-ea11-a812-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,d8c2e488-e658-ea11-a811-000d3a4f6db7
Yes,1,,0,12471095,,c7205e36-d6ee-42c5-8733-e670621cd834,f19930ab-c154-ea11-a813-000d3a4ed0f6,,886184c2-1859-ea11-a811-000d3a4ed0f6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-02-27 04:22:39.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 04:22:39.000,10,,123,Yes-1/1/2019-2019,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2019-01-01 00:00:00.000,,0,,e87f9979-cc54-ea11-a813-000d3a4edd29,,739a0343-d754-ea11-a812-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,06b27cba-1459-ea11-a811-000d3a4f6c19
Letter of Credit or Parent Guaranty supported on a rating of at least BBB,1,,0,12471119,,c7205e36-d6ee-42c5-8733-e670621cd834,e39930ab-c154-ea11-a813-000d3a4ed0f6,,a06184c2-1859-ea11-a811-000d3a4ed0f6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-02-27 04:22:40.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 04:22:40.000,8,,123,Letter of Credit or Parent Guaranty supported on a rating of at least BBB-1/1/2019-2019,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2019-01-01 00:00:00.000,,0,,c07f9979-cc54-ea11-a813-000d3a4edd29,,739a0343-d754-ea11-a812-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,06b27cba-1459-ea11-a811-000d3a4f6c19
History shows no more than 30 days past due,1,,0,12471083,,c7205e36-d6ee-42c5-8733-e670621cd834,ed9930ab-c154-ea11-a813-000d3a4ed0f6,,7c6184c2-1859-ea11-a811-000d3a4ed0f6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-02-27 04:22:38.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 04:22:38.000,10,,123,History shows no more than 30 days past due-1/1/2019-2019,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2019-01-01 00:00:00.000,,0,,dc7f9979-cc54-ea11-a813-000d3a4edd29,,739a0343-d754-ea11-a812-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,06b27cba-1459-ea11-a811-000d3a4f6c19
Level 2: Neutral,1,,0,12471125,,c7205e36-d6ee-42c5-8733-e670621cd834,e59930ab-c154-ea11-a813-000d3a4ed0f6,,a66184c2-1859-ea11-a811-000d3a4ed0f6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-02-27 04:22:40.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 04:22:40.000,0,,123,Level 2: Neutral-1/1/2019-2019,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2019-01-01 00:00:00.000,,0,,c87f9979-cc54-ea11-a813-000d3a4edd29,,739a0343-d754-ea11-a812-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,06b27cba-1459-ea11-a811-000d3a4f6c19
Letter of Credit or Parent Guaranty supported on a rating of at least BBB,1,,0,12471908,,c7205e36-d6ee-42c5-8733-e670621cd834,f79930ab-c154-ea11-a813-000d3a4ed0f6,,9e6184c2-1859-ea11-a811-000d3a4ed0f6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-02-27 04:45:14.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 04:22:39.000,8,,123,Letter of Credit or Parent Guaranty supported on a rating of at least BBB-1/1/2019-2017,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2017-01-01 00:00:00.000,,0,,fc7f9979-cc54-ea11-a813-000d3a4edd29,,f917e21c-1859-ea11-a811-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,06b27cba-1459-ea11-a811-000d3a4f6c19
Yes,1,,0,13477793,,c7205e36-d6ee-42c5-8733-e670621cd834,f19930ab-c154-ea11-a813-000d3a4ed0f6,,8a6184c2-1859-ea11-a811-000d3a4ed0f6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-03-13 21:55:44.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 04:22:39.000,10,,123,Yes-1/1/2019-2018,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2018-01-01 00:00:00.000,,0,,e87f9979-cc54-ea11-a813-000d3a4edd29,,f917e21c-1859-ea11-a811-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,06b27cba-1459-ea11-a811-000d3a4f6c19
Letter of Credit or Parent Guaranty supported on a rating of at least BBB,1,,0,12471113,,c7205e36-d6ee-42c5-8733-e670621cd834,f79930ab-c154-ea11-a813-000d3a4ed0f6,,9a6184c2-1859-ea11-a811-000d3a4ed0f6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-02-27 04:22:39.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 04:22:39.000,8,,123,Letter of Credit or Parent Guaranty supported on a rating of at least BBB-1/1/2019-2019,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2019-01-01 00:00:00.000,,0,,fc7f9979-cc54-ea11-a813-000d3a4edd29,,739a0343-d754-ea11-a812-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,06b27cba-1459-ea11-a811-000d3a4f6c19
