Index,variable,value
86,EventSubclass,59
120,EventSubclass,1
121,EventSubclass,59
150,EventSubclass,1
151,EventSubclass,59
164,EventSubclass,25
188,EventSubclass,1
189,EventSubclass,59
213,EventSubclass,25
246,EventSubclass,1
247,EventSubclass,59
372,EventSubclass,1
373,EventSubclass,59
384,EventSubclass,1
385,EventSubclass,59
283,EventSubclass,59
287,EventSubclass,59
288,EventSubclass,59
290,EventSubclass,59
292,EventSubclass,59
293,EventSubclass,59
303,EventSubclass,59
316,EventSubclass,59
3,EventSubclass,59
5,EventSubclass,59
13,EventSubclass,59
14,EventSubclass,59
37,EventSubclass,59
45,EventSubclass,59
46,EventSubclass,59
47,EventSubclass,59
48,EventSubclass,59
49,EventSubclass,59
58,EventSubclass,59
59,EventSubclass,59
60,EventSubclass,59
61,EventSubclass,59
87,EventSubclass,59
89,EventSubclass,59
90,EventSubclass,59
91,EventSubclass,59
95,EventSubclass,59
96,EventSubclass,59
97,EventSubclass,59
101,EventSubclass,59
102,EventSubclass,59
103,EventSubclass,59
105,EventSubclass,59
106,EventSubclass,59
107,EventSubclass,59
132,EventSubclass,59
133,EventSubclass,59
134,EventSubclass,59
135,EventSubclass,59
152,EventSubclass,59
153,EventSubclass,59
154,EventSubclass,59
161,EventSubclass,59
162,EventSubclass,59
163,EventSubclass,59
190,EventSubclass,59
191,EventSubclass,59
199,EventSubclass,59
200,EventSubclass,59
201,EventSubclass,59
202,EventSubclass,59
203,EventSubclass,59
204,EventSubclass,59
205,EventSubclass,59
206,EventSubclass,59
207,EventSubclass,59
214,EventSubclass,59
215,EventSubclass,59
216,EventSubclass,59
217,EventSubclass,59
218,EventSubclass,59
219,EventSubclass,59
248,EventSubclass,59
255,EventSubclass,59
257,EventSubclass,59
258,EventSubclass,59
260,EventSubclass,59
261,EventSubclass,59
262,EventSubclass,59
263,EventSubclass,59
264,EventSubclass,59
265,EventSubclass,59
266,EventSubclass,59
267,EventSubclass,59
268,EventSubclass,59
269,EventSubclass,59
270,EventSubclass,59
278,EventSubclass,59
280,EventSubclass,59
281,EventSubclass,59
289,EventSubclass,59
291,EventSubclass,59
294,EventSubclass,59
295,EventSubclass,59
296,EventSubclass,59
297,EventSubclass,59
298,EventSubclass,59
299,EventSubclass,59
300,EventSubclass,59
301,EventSubclass,59
302,EventSubclass,59
305,EventSubclass,59
306,EventSubclass,59
308,EventSubclass,59
309,EventSubclass,59
310,EventSubclass,59
311,EventSubclass,59
315,EventSubclass,59
318,EventSubclass,59
319,EventSubclass,59
320,EventSubclass,59
323,EventSubclass,59
327,EventSubclass,59
328,EventSubclass,59
329,EventSubclass,59
330,EventSubclass,59
331,EventSubclass,59
332,EventSubclass,59
333,EventSubclass,59
334,EventSubclass,59
335,EventSubclass,59
336,EventSubclass,59
337,EventSubclass,59
338,EventSubclass,59
340,EventSubclass,59
341,EventSubclass,59
342,EventSubclass,59
343,EventSubclass,59
345,EventSubclass,59
346,EventSubclass,59
347,EventSubclass,59
348,EventSubclass,59
349,EventSubclass,59
351,EventSubclass,59
352,EventSubclass,59
353,EventSubclass,59
355,EventSubclass,59
356,EventSubclass,59
357,EventSubclass,59
358,EventSubclass,59
359,EventSubclass,59
360,EventSubclass,59
361,EventSubclass,59
362,EventSubclass,59
363,EventSubclass,59
364,EventSubclass,59
374,EventSubclass,59
376,EventSubclass,59
386,EventSubclass,59
387,EventSubclass,59
388,EventSubclass,59
389,EventSubclass,59
390,EventSubclass,59
391,EventSubclass,59
392,EventSubclass,59
393,EventSubclass,59
394,EventSubclass,59
395,EventSubclass,59
396,EventSubclass,59
397,EventSubclass,59
398,EventSubclass,59
399,EventSubclass,59
400,EventSubclass,59
401,EventSubclass,59
402,EventSubclass,59
403,EventSubclass,59
404,EventSubclass,59
405,EventSubclass,59
406,EventSubclass,59
407,EventSubclass,59
408,EventSubclass,59
410,EventSubclass,59
411,EventSubclass,59
20,EventSubclass,17
50,EventSubclass,17
62,EventSubclass,17
100,EventSubclass,17
136,EventSubclass,17
165,EventSubclass,17
223,EventSubclass,17
365,EventSubclass,17
368,EventSubclass,17
38,IntegerData,0
39,IntegerData,0
40,IntegerData,0
41,IntegerData,0
42,IntegerData,0
43,IntegerData,0
44,IntegerData,0
88,IntegerData,0
92,IntegerData,0
93,IntegerData,0
94,IntegerData,0
98,IntegerData,0
99,IntegerData,0
122,IntegerData,0
123,IntegerData,0
124,IntegerData,0
125,IntegerData,0
126,IntegerData,0
127,IntegerData,0
128,IntegerData,0
129,IntegerData,0
130,IntegerData,0
131,IntegerData,0
155,IntegerData,0
156,IntegerData,0
157,IntegerData,0
158,IntegerData,0
159,IntegerData,0
160,IntegerData,0
192,IntegerData,0
193,IntegerData,0
194,IntegerData,0
195,IntegerData,0
196,IntegerData,0
197,IntegerData,0
198,IntegerData,0
208,IntegerData,0
209,IntegerData,0
210,IntegerData,0
211,IntegerData,0
212,IntegerData,0
220,IntegerData,0
221,IntegerData,0
222,IntegerData,0
249,IntegerData,0
250,IntegerData,0
251,IntegerData,0
252,IntegerData,0
253,IntegerData,0
254,IntegerData,0
256,IntegerData,0
259,IntegerData,0
282,IntegerData,0
284,IntegerData,0
285,IntegerData,0
286,IntegerData,0
304,IntegerData,0
307,IntegerData,0
312,IntegerData,0
313,IntegerData,0
314,IntegerData,0
317,IntegerData,0
321,IntegerData,0
322,IntegerData,0
324,IntegerData,0
325,IntegerData,0
326,IntegerData,0
339,IntegerData,0
344,IntegerData,0
350,IntegerData,0
354,IntegerData,0
379,IntegerData,0
409,IntegerData,0
412,IntegerData,0
2,IntegerData,0
4,IntegerData,0
276,IntegerData,0
277,IntegerData,0
279,IntegerData,0
6,IntegerData,0
7,IntegerData,0
11,IntegerData,0
12,IntegerData,0
15,IntegerData,0
16,IntegerData,0
17,IntegerData,0
18,IntegerData,0
19,IntegerData,0
35,IntegerData,0
36,IntegerData,0
56,IntegerData,0
57,IntegerData,0
85,IntegerData,0
86,IntegerData,0
120,IntegerData,0
121,IntegerData,0
150,IntegerData,0
151,IntegerData,0
164,IntegerData,0
188,IntegerData,0
189,IntegerData,0
213,IntegerData,0
246,IntegerData,0
247,IntegerData,0
372,IntegerData,0
373,IntegerData,0
384,IntegerData,0
385,IntegerData,0
283,IntegerData,0
287,IntegerData,0
288,IntegerData,0
290,IntegerData,0
292,IntegerData,0
293,IntegerData,0
303,IntegerData,0
316,IntegerData,0
3,IntegerData,0
5,IntegerData,0
13,IntegerData,0
14,IntegerData,0
37,IntegerData,0
45,IntegerData,0
46,IntegerData,0
47,IntegerData,0
48,IntegerData,0
49,IntegerData,0
58,IntegerData,0
59,IntegerData,0
60,IntegerData,0
61,IntegerData,0
87,IntegerData,0
89,IntegerData,0
90,IntegerData,0
91,IntegerData,0
95,IntegerData,0
96,IntegerData,0
97,IntegerData,0
101,IntegerData,0
102,IntegerData,0
103,IntegerData,0
105,IntegerData,0
106,IntegerData,0
107,IntegerData,0
132,IntegerData,0
133,IntegerData,0
134,IntegerData,0
135,IntegerData,0
152,IntegerData,0
153,IntegerData,0
154,IntegerData,0
161,IntegerData,0
162,IntegerData,0
163,IntegerData,0
190,IntegerData,0
191,IntegerData,0
199,IntegerData,0
200,IntegerData,0
201,IntegerData,0
202,IntegerData,0
203,IntegerData,0
204,IntegerData,0
205,IntegerData,0
206,IntegerData,0
207,IntegerData,0
214,IntegerData,0
215,IntegerData,0
216,IntegerData,0
217,IntegerData,0
218,IntegerData,0
219,IntegerData,0
248,IntegerData,0
255,IntegerData,0
257,IntegerData,0
258,IntegerData,0
260,IntegerData,0
261,IntegerData,0
262,IntegerData,0
263,IntegerData,0
264,IntegerData,0
265,IntegerData,0
266,IntegerData,0
267,IntegerData,0
268,IntegerData,0
269,IntegerData,0
270,IntegerData,0
278,IntegerData,0
280,IntegerData,0
281,IntegerData,0
289,IntegerData,0
291,IntegerData,0
294,IntegerData,0
295,IntegerData,0
296,IntegerData,0
297,IntegerData,0
298,IntegerData,0
299,IntegerData,0
300,IntegerData,0
301,IntegerData,0
302,IntegerData,0
305,IntegerData,0
306,IntegerData,0
308,IntegerData,0
309,IntegerData,0
310,IntegerData,0
311,IntegerData,0
315,IntegerData,0
318,IntegerData,0
319,IntegerData,0
320,IntegerData,0
323,IntegerData,0
327,IntegerData,0
328,IntegerData,0
329,IntegerData,0
330,IntegerData,0
331,IntegerData,0
332,IntegerData,0
333,IntegerData,0
334,IntegerData,0
335,IntegerData,0
336,IntegerData,0
337,IntegerData,0
338,IntegerData,0
340,IntegerData,0
341,IntegerData,0
342,IntegerData,0
343,IntegerData,0
345,IntegerData,0
346,IntegerData,0
347,IntegerData,0
348,IntegerData,0
349,IntegerData,0
351,IntegerData,0
352,IntegerData,0
353,IntegerData,0
355,IntegerData,0
356,IntegerData,0
357,IntegerData,0
358,IntegerData,0
359,IntegerData,0
360,IntegerData,0
361,IntegerData,0
362,IntegerData,0
363,IntegerData,0
364,IntegerData,0
374,IntegerData,0
376,IntegerData,0
386,IntegerData,0
387,IntegerData,0
388,IntegerData,0
389,IntegerData,0
390,IntegerData,0
391,IntegerData,0
392,IntegerData,0
393,IntegerData,0
394,IntegerData,0
395,IntegerData,0
396,IntegerData,0
397,IntegerData,0
398,IntegerData,0
399,IntegerData,0
400,IntegerData,0
401,IntegerData,0
402,IntegerData,0
403,IntegerData,0
404,IntegerData,0
405,IntegerData,0
406,IntegerData,0
407,IntegerData,0
408,IntegerData,0
410,IntegerData,0
411,IntegerData,0
20,IntegerData,29
50,IntegerData,8
62,IntegerData,9
100,IntegerData,77
136,IntegerData,91
165,IntegerData,2155
223,IntegerData,672
365,IntegerData,830
368,IntegerData,2155
38,TextData,Finished processing hierarchy 'Region' of table 'Suppliers'.
39,TextData,Finished processing hierarchy 'CompanyName' of table 'Suppliers'.
40,TextData,Finished processing hierarchy 'City' of table 'Suppliers'.
41,TextData,Finished processing hierarchy 'PostalCode' of table 'Suppliers'.
42,TextData,Finished processing hierarchy 'RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61' of table 'Suppliers'.
43,TextData,Finished processing hierarchy 'Phone' of table 'Suppliers'.
44,TextData,Finished processing hierarchy 'SupplierID' of table 'Suppliers'.
88,TextData,Finished processing hierarchy 'HireDate' of table 'Employees'.
92,TextData,Finished processing hierarchy 'Title' of table 'Employees'.
93,TextData,Finished processing hierarchy 'PhotoPath' of table 'Employees'.
94,TextData,Finished processing hierarchy 'Full Name' of table 'Employees'.
98,TextData,Finished processing hierarchy 'PostalCode' of table 'Employees'.
99,TextData,Finished processing hierarchy 'Extension' of table 'Employees'.
122,TextData,Finished processing hierarchy 'ReorderLevel' of table 'Products'.
123,TextData,Finished processing hierarchy 'Discontinued' of table 'Products'.
124,TextData,Finished processing hierarchy 'UnitsInStock' of table 'Products'.
125,TextData,Finished processing hierarchy 'ProductID' of table 'Products'.
126,TextData,Finished processing hierarchy 'CategoryID' of table 'Products'.
127,TextData,Finished processing hierarchy 'RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61' of table 'Products'.
128,TextData,Finished processing relationship '03a667a1-a29f-451b-8508-dc265e6de1b7'.
129,TextData,Finished processing hierarchy 'QuantityPerUnit' of table 'Products'.
130,TextData,Finished processing hierarchy 'ProductName' of table 'Products'.
131,TextData,Finished processing relationship '58995b8d-9935-4eaa-93dd-cfbc1e5eea5e'.
155,TextData,Finished processing hierarchy 'CustomerID' of table 'Customers'.
156,TextData,Finished processing hierarchy 'Address' of table 'Customers'.
157,TextData,Finished processing hierarchy 'Fax' of table 'Customers'.
158,TextData,Finished processing hierarchy 'Region' of table 'Customers'.
159,TextData,Finished processing hierarchy 'ContactTitle' of table 'Customers'.
160,TextData,Finished processing hierarchy 'RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61' of table 'Customers'.
192,TextData,Finished processing hierarchy 'ShippedDate' of table 'Orders'.
193,TextData,Finished processing relationship 'fc9bbea6-473f-4cd1-9c40-6f9d69405546'.
194,TextData,Finished processing hierarchy 'ShipCountry' of table 'Orders'.
195,TextData,Finished processing hierarchy 'EmployeeID' of table 'Orders'.
196,TextData,Finished processing hierarchy 'Freight' of table 'Orders'.
197,TextData,Finished processing hierarchy 'ShipPostalCode' of table 'Orders'.
198,TextData,Finished processing hierarchy 'OrderID' of table 'Orders'.
208,TextData,Finished processing hierarchy 'ProductID' of table 'Table'.
209,TextData,Finished processing hierarchy 'OrderID' of table 'Table'.
210,TextData,Finished processing hierarchy 'No of Products' of table 'Table'.
211,TextData,Finished processing hierarchy '_Sales' of table 'Orders'.
212,TextData,Finished processing hierarchy 'CustomerID' of table 'Table'.
220,TextData,Finished processing hierarchy 'RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61' of table 'Question8'.
221,TextData,Finished processing hierarchy 'OrderID' of table 'Question8'.
222,TextData,Finished processing hierarchy '@NumberOfProducts' of table 'Question8'.
249,TextData,Finished processing hierarchy 'Fiscal Year-Quarter' of table 'Calendar'.
250,TextData,Finished processing hierarchy 'Year' of table 'Calendar'.
251,TextData,Finished processing hierarchy 'Fiscal Quarter' of table 'Calendar'.
252,TextData,Finished processing hierarchy 'Sort FMonthYear' of table 'Calendar'.
253,TextData,Finished processing hierarchy 'Month Number' of table 'Calendar'.
254,TextData,Finished processing hierarchy 'Sort FQuarterYear' of table 'Calendar'.
256,TextData,Finished processing relationship '101685ea-07ee-4f88-a2d5-77cd3317e91c'.
259,TextData,Finished processing hierarchy 'Year-Month' of table 'Calendar'.
282,TextData,Finished processing hierarchy 'UnitsOnOrder' of table 'Products'.
284,TextData,Finished processing hierarchy 'Full Name' of table 'Employees'.
285,TextData,Finished processing hierarchy 'Notes' of table 'Employees'.
286,TextData,Finished processing hierarchy 'ProductID' of table 'Products'.
304,TextData,Finished processing hierarchy 'Day' of table 'Calendar'.
307,TextData,Finished processing hierarchy 'ShipVia' of table 'Orders'.
312,TextData,Finished processing hierarchy 'ShippedDate' of table 'Orders'.
313,TextData,Finished processing hierarchy 'RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61' of table 'Calendar'.
314,TextData,Finished processing hierarchy 'CategoryID' of table 'Categories'.
317,TextData,Finished processing hierarchy 'ShipName' of table 'Orders'.
321,TextData,Finished processing hierarchy 'Quarter Number' of table 'Calendar'.
322,TextData,Finished processing hierarchy 'Sort FQuarterYear' of table 'Calendar'.
324,TextData,Finished processing hierarchy 'FQuarter Name' of table 'Calendar'.
325,TextData,Finished processing hierarchy 'Region' of table 'Suppliers'.
326,TextData,Finished processing hierarchy 'ContactName' of table 'Suppliers'.
339,TextData,Finished processing hierarchy 'CustomerID' of table 'Customers'.
344,TextData,Finished processing hierarchy 'Column1' of table 'Solutions'.
350,TextData,Finished processing hierarchy 'Region' of table 'Customers'.
354,TextData,Finished processing hierarchy 'City' of table 'Customers'.
379,TextData,Finished processing hierarchy 'OrderID' of table 'Question8'.
409,TextData,Finished processing hierarchy 'Month Name' of table 'Calendar'.
412,TextData,Finished processing hierarchy '_Sales' of table 'Orders'.
2,TextData,Finished processing the 'Question8-09dddaa4-3971-4124-8f64-82f470b60343' partition of the 'Question8' table.
4,TextData,Finished processing the 'Table-b801effa-82a6-41a8-b110-220ddaccbf9e' partition of the 'Table' table.
276,TextData,Finished processing hierarchy 'FirstName' of table 'Employees'.
277,TextData,Finished processing hierarchy 'RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61' of table 'Employees'.
279,TextData,Finished processing hierarchy 'HireDate' of table 'Employees'.
6,TextData,"let __AS_Query__ = Solutions,
__AS_Table__ = Table.FromValue(__AS_Query__, [DefaultColumnName = ""Column1""]),
__AS_Compact__ = Table.RemoveColumns(__AS_Table__, Table.ColumnsOfType(__AS_Table__, { type table, type record, type list })),
__AS_Effective__ = Table.TransformColumnNames(__AS_Compact__, Text.Clean)
in __AS_Effective__"
7,TextData,Finished reading data for the 'Solutions' table.
11,TextData,Finished processing the 'Solutions-f4ed0f31-1dad-4374-82ec-1c2def9a1e02' partition of the 'Solutions' table.
12,TextData,Finished processing partition 'Solutions-f4ed0f31-1dad-4374-82ec-1c2def9a1e02' of table 'Solutions'.
15,TextData,"let __AS_Query__ = Suppliers,
__AS_Table__ = Table.FromValue(__AS_Query__),
__AS_Compact__ = Table.RemoveColumns(__AS_Table__, Table.ColumnsOfType(__AS_Table__, { type table, type record, type list })),
__AS_Effective__ = Table.TransformColumnNames(__AS_Compact__, Text.Clean)
in __AS_Effective__"
16,TextData,"let __AS_Query__ = Products,
__AS_Table__ = Table.FromValue(__AS_Query__),
__AS_Compact__ = Table.RemoveColumns(__AS_Table__, Table.ColumnsOfType(__AS_Table__, { type table, type record, type list })),
__AS_Effective__ = Table.TransformColumnNames(__AS_Compact__, Text.Clean)
in __AS_Effective__"
17,TextData,"let __AS_Query__ = Categories,
__AS_Table__ = Table.FromValue(__AS_Query__),
__AS_Compact__ = Table.RemoveColumns(__AS_Table__, Table.ColumnsOfType(__AS_Table__, { type table, type record, type list })),
__AS_Effective__ = Table.TransformColumnNames(__AS_Compact__, Text.Clean)
in __AS_Effective__"
18,TextData,"let __AS_Query__ = Customers,
__AS_Table__ = Table.FromValue(__AS_Query__),
__AS_Compact__ = Table.RemoveColumns(__AS_Table__, Table.ColumnsOfType(__AS_Table__, { type table, type record, type list })),
__AS_Effective__ = Table.TransformColumnNames(__AS_Compact__, Text.Clean)
in __AS_Effective__"
19,TextData,"let __AS_Query__ = Employees,
__AS_Table__ = Table.FromValue(__AS_Query__),
__AS_Compact__ = Table.RemoveColumns(__AS_Table__, Table.ColumnsOfType(__AS_Table__, { type table, type record, type list })),
__AS_Effective__ = Table.TransformColumnNames(__AS_Compact__, Text.Clean)
in __AS_Effective__"
35,TextData,Finished processing the 'Suppliers-dd82d4c7-2c53-42dc-a512-8ed5bb15f0d3' partition of the 'Suppliers' table.
36,TextData,Finished processing partition 'Suppliers-dd82d4c7-2c53-42dc-a512-8ed5bb15f0d3' of table 'Suppliers'.
56,TextData,Finished processing the 'Categories-4bd4c706-bd36-4d75-838e-2e58d7a7d15a' partition of the 'Categories' table.
57,TextData,Finished processing partition 'Categories-4bd4c706-bd36-4d75-838e-2e58d7a7d15a' of table 'Categories'.
85,TextData,Finished processing the 'Employees-4d52b04d-7e3c-4b2f-88e2-84f70329223f' partition of the 'Employees' table.
86,TextData,Finished processing partition 'Employees-4d52b04d-7e3c-4b2f-88e2-84f70329223f' of table 'Employees'.
120,TextData,Finished processing the 'Products-1951eefd-487e-47d1-acd4-96896fa2b2b3' partition of the 'Products' table.
121,TextData,Finished processing partition 'Products-1951eefd-487e-47d1-acd4-96896fa2b2b3' of table 'Products'.
150,TextData,Finished processing the 'Customers-9b267f2a-d56d-4c80-8561-2d19309878bb' partition of the 'Customers' table.
151,TextData,Finished processing partition 'Customers-9b267f2a-d56d-4c80-8561-2d19309878bb' of table 'Customers'.
164,TextData,"let __AS_Query__ = Orders,
__AS_Table__ = Table.FromValue(__AS_Query__),
__AS_Compact__ = Table.RemoveColumns(__AS_Table__, Table.ColumnsOfType(__AS_Table__, { type table, type record, type list })),
__AS_Effective__ = Table.TransformColumnNames(__AS_Compact__, Text.Clean)
in __AS_Effective__"
188,TextData,Finished processing the 'Orders-84605934-8ef4-48d9-9de5-b2f1d13afe13' partition of the 'Orders' table.
189,TextData,Finished processing partition 'Orders-84605934-8ef4-48d9-9de5-b2f1d13afe13' of table 'Orders'.
213,TextData,"let __AS_Query__ = Calendar,
__AS_Table__ = Table.FromValue(__AS_Query__),
__AS_Compact__ = Table.RemoveColumns(__AS_Table__, Table.ColumnsOfType(__AS_Table__, { type table, type record, type list })),
__AS_Effective__ = Table.TransformColumnNames(__AS_Compact__, Text.Clean)
in __AS_Effective__"
246,TextData,Finished processing the 'Calendar-0154c2ab-c463-4172-a79c-58edddea5f72' partition of the 'Calendar' table.
247,TextData,Finished processing partition 'Calendar-0154c2ab-c463-4172-a79c-58edddea5f72' of table 'Calendar'.
372,TextData,Finished processing the 'Question8-09dddaa4-3971-4124-8f64-82f470b60343' partition of the 'Question8' table.
373,TextData,Finished processing partition 'Question8-09dddaa4-3971-4124-8f64-82f470b60343' of table 'Question8'.
384,TextData,Finished processing the 'Table-b801effa-82a6-41a8-b110-220ddaccbf9e' partition of the 'Table' table.
385,TextData,Finished processing partition 'Table-b801effa-82a6-41a8-b110-220ddaccbf9e' of table 'Table'.
283,TextData,Finished processing hierarchy 'EmployeeID' of table 'Employees'.
287,TextData,Finished processing hierarchy 'Title' of table 'Employees'.
288,TextData,Finished processing hierarchy 'LastName' of table 'Employees'.
290,TextData,Finished processing hierarchy 'Address' of table 'Employees'.
292,TextData,Finished processing hierarchy 'BirthDate' of table 'Employees'.
293,TextData,Finished processing hierarchy 'TitleOfCourtesy' of table 'Employees'.
303,TextData,Finished processing hierarchy 'City' of table 'Employees'.
316,TextData,Finished processing hierarchy 'Region' of table 'Employees'.
3,TextData,Finished processing partition 'Question8-09dddaa4-3971-4124-8f64-82f470b60343' of table 'Question8'.
5,TextData,Finished processing partition 'Table-b801effa-82a6-41a8-b110-220ddaccbf9e' of table 'Table'.
13,TextData,Finished processing hierarchy 'RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61' of table 'Solutions'.
14,TextData,Finished processing hierarchy 'Column1' of table 'Solutions'.
37,TextData,Finished processing hierarchy 'ContactName' of table 'Suppliers'.
45,TextData,Finished processing hierarchy 'Address' of table 'Suppliers'.
46,TextData,Finished processing hierarchy 'ContactTitle' of table 'Suppliers'.
47,TextData,Finished processing hierarchy 'HomePage' of table 'Suppliers'.
48,TextData,Finished processing hierarchy 'Fax' of table 'Suppliers'.
49,TextData,Finished processing hierarchy 'Country' of table 'Suppliers'.
58,TextData,Finished processing hierarchy 'RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61' of table 'Categories'.
59,TextData,Finished processing hierarchy 'Description' of table 'Categories'.
60,TextData,Finished processing hierarchy 'CategoryID' of table 'Categories'.
61,TextData,Finished processing hierarchy 'CategoryName' of table 'Categories'.
87,TextData,Finished processing hierarchy 'Notes' of table 'Employees'.
89,TextData,Finished processing hierarchy 'ReportsTo' of table 'Employees'.
90,TextData,Finished processing hierarchy 'HomePhone' of table 'Employees'.
91,TextData,Finished processing hierarchy 'Gender' of table 'Employees'.
95,TextData,Finished processing hierarchy 'FirstName' of table 'Employees'.
96,TextData,Finished processing hierarchy 'TitleOfCourtesy' of table 'Employees'.
97,TextData,Finished processing hierarchy 'Address' of table 'Employees'.
101,TextData,Finished processing hierarchy 'Country' of table 'Employees'.
102,TextData,Finished processing hierarchy 'BirthDate' of table 'Employees'.
103,TextData,Finished processing hierarchy 'City' of table 'Employees'.
105,TextData,Finished processing hierarchy 'RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61' of table 'Employees'.
106,TextData,Finished processing hierarchy 'LastName' of table 'Employees'.
107,TextData,Finished processing hierarchy 'Region' of table 'Employees'.
132,TextData,Finished processing hierarchy 'UnitPrice' of table 'Products'.
133,TextData,Finished processing hierarchy 'UnitsOnOrder' of table 'Products'.
134,TextData,Finished processing hierarchy 'SupplierID' of table 'Products'.
135,TextData,Finished processing hierarchy 'EmployeeID' of table 'Employees'.
152,TextData,Finished processing hierarchy 'Phone' of table 'Customers'.
153,TextData,Finished processing hierarchy 'Country' of table 'Customers'.
154,TextData,Finished processing hierarchy 'ContactName' of table 'Customers'.
161,TextData,Finished processing hierarchy 'PostalCode' of table 'Customers'.
162,TextData,Finished processing hierarchy 'CompanyName' of table 'Customers'.
163,TextData,Finished processing hierarchy 'City' of table 'Customers'.
190,TextData,Finished processing hierarchy 'CustomerID' of table 'Orders'.
191,TextData,Finished processing hierarchy 'OrderDate' of table 'Orders'.
199,TextData,Finished processing hierarchy 'RequiredDate' of table 'Orders'.
200,TextData,Finished processing hierarchy 'UnitPrice' of table 'Orders'.
201,TextData,Finished processing hierarchy 'ProductID' of table 'Orders'.
202,TextData,Finished processing hierarchy 'Quantity' of table 'Orders'.
203,TextData,Finished processing hierarchy 'Discount' of table 'Orders'.
204,TextData,Finished processing calculated column '_Sales' of table 'Orders'.
205,TextData,Finished processing hierarchy 'ShipName' of table 'Orders'.
206,TextData,Finished processing hierarchy 'ShipRegion' of table 'Orders'.
207,TextData,Finished processing hierarchy 'RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61' of table 'Table'.
214,TextData,Finished processing hierarchy 'RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61' of table 'Orders'.
215,TextData,Finished processing hierarchy 'ShipCity' of table 'Orders'.
216,TextData,Finished processing relationship 'b5d40f35-dece-456a-92e0-52665dbc7aec'.
217,TextData,Finished processing relationship '40578fee-490f-4057-ae19-528f954c8f15'.
218,TextData,Finished processing hierarchy 'ShipAddress' of table 'Orders'.
219,TextData,Finished processing hierarchy 'ShipVia' of table 'Orders'.
248,TextData,Finished processing hierarchy 'Year Week' of table 'Calendar'.
255,TextData,Finished processing hierarchy 'Month Name' of table 'Calendar'.
257,TextData,Finished processing hierarchy 'Date' of table 'Calendar'.
258,TextData,Finished processing relationship '6c663929-1b68-4e74-a271-ce1a0302d254'.
260,TextData,Finished processing hierarchy 'Sort FWeek no' of table 'Calendar'.
261,TextData,Finished processing hierarchy 'Week No' of table 'Calendar'.
262,TextData,Finished processing relationship '278c082b-7ea1-4967-b286-254a09d5c57f'.
263,TextData,Finished processing hierarchy 'RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61' of table 'Calendar'.
264,TextData,Finished processing hierarchy 'Fiscal Year' of table 'Calendar'.
265,TextData,Finished processing hierarchy 'SortYearWeek' of table 'Calendar'.
266,TextData,Finished processing hierarchy 'Quarter Number' of table 'Calendar'.
