store_id,variable,value
17,last_remodel_date,1976-06-23 00:00:00.000
18,last_remodel_date,1975-08-30 00:00:00.000
19,last_remodel_date,1990-10-25 00:00:00.000
20,last_remodel_date,1987-04-09 00:00:00.000
21,last_remodel_date,1990-04-16 00:00:00.000
22,last_remodel_date,1969-10-17 00:00:00.000
23,last_remodel_date,1987-07-24 00:00:00.000
24,last_remodel_date,1986-04-20 00:00:00.000
1,total_sqft,23593
2,total_sqft,28206
3,total_sqft,39696
4,total_sqft,23759
5,total_sqft,24597
6,total_sqft,23688
7,total_sqft,23598
8,total_sqft,30797
9,total_sqft,36509
10,total_sqft,34791
11,total_sqft,20319
12,total_sqft,30584
13,total_sqft,27694
14,total_sqft,22478
15,total_sqft,21215
16,total_sqft,30268
17,total_sqft,33858
18,total_sqft,38382
19,total_sqft,23112
20,total_sqft,34452
21,total_sqft,32717
22,total_sqft,35918
23,total_sqft,29182
24,total_sqft,27372
1,grocery_sqft,17475
2,grocery_sqft,22271
3,grocery_sqft,24390
4,grocery_sqft,16844
5,grocery_sqft,15012
6,grocery_sqft,15337
7,grocery_sqft,14210
8,grocery_sqft,20141
9,grocery_sqft,22450
10,grocery_sqft,26354
11,grocery_sqft,16232
12,grocery_sqft,21938
13,grocery_sqft,18670
14,grocery_sqft,15321
15,grocery_sqft,13305
16,grocery_sqft,22063
17,grocery_sqft,22123
18,grocery_sqft,30351
19,grocery_sqft,16418
20,grocery_sqft,27463
21,grocery_sqft,25453
22,grocery_sqft,24837
23,grocery_sqft,19283
24,grocery_sqft,18293
1,full_address,"2853 Bailey Rd, Acapulco, Guerrero"
2,full_address,"5203 Catanzaro Way, Bellingham, WA"
3,full_address,"1501 Ramsey Circle, Bremerton, WA"
4,full_address,"433 St George Dr, Camacho, Zacatecas"
5,full_address,"1250 Coggins Drive, Guadalajara, Jalisco"
6,full_address,"5495 Mitchell Canyon Road, Beverly Hills, CA"
7,full_address,"1077 Wharf Drive, Los Angeles, CA"
8,full_address,"3173 Buena Vista Ave, Merida, Yucatan"
9,full_address,"1872 El Pintado Road, Mexico City, DF"
10,full_address,"7894 Rotherham Dr, Orizaba, Veracruz"
11,full_address,"5371 Holland Circle, Portland, OR"
12,full_address,"1120 Westchester Pl, Hidalgo, Zacatecas"
13,full_address,"5179 Valley Ave, Salem, OR"
14,full_address,"4365 Indigo Ct, San Francisco, CA"
15,full_address,"5006 Highland Drive, Seattle, WA"
16,full_address,"5922 La Salle Ct, Spokane, WA"
17,full_address,"490 Risdon Road, Tacoma, WA"
18,full_address,"6764 Glen Road, Hidalgo, Zacatecas"
19,full_address,"6644 Sudance Drive, Vancouver, BC"
20,full_address,"3706 Marvelle Ln, Victoria, BC"
21,full_address,"4093 Steven Circle, San Andres, DF"
22,full_address,"9606 Julpum Loop, Walla Walla, WA"
23,full_address,"3920 Noah Court, Yakima, WA"
24,full_address,"2342 Waltham St., San Diego, CA"
1,area_code,262
2,area_code,605
3,area_code,509
4,area_code,304
5,area_code,801
6,area_code,958
7,area_code,477
8,area_code,797
9,area_code,439
10,area_code,212
11,area_code,685
12,area_code,151
13,area_code,977
14,area_code,135
15,area_code,893
16,area_code,643
17,area_code,855
18,area_code,528
19,area_code,862
20,area_code,897
21,area_code,493
22,area_code,881
23,area_code,170
24,area_code,111
1,Years_Since_Remodel,32
2,Years_Since_Remodel,49
3,Years_Since_Remodel,55
4,Years_Since_Remodel,27
5,Years_Since_Remodel,31
6,Years_Since_Remodel,31
7,Years_Since_Remodel,41
8,Years_Since_Remodel,55
9,Years_Since_Remodel,63
10,Years_Since_Remodel,40
11,Years_Since_Remodel,40
12,Years_Since_Remodel,29
13,Years_Since_Remodel,25
14,Years_Since_Remodel,64
15,Years_Since_Remodel,49
16,Years_Since_Remodel,45
17,Years_Since_Remodel,46
18,Years_Since_Remodel,47
19,Years_Since_Remodel,32
20,Years_Since_Remodel,35
21,Years_Since_Remodel,32
22,Years_Since_Remodel,53
23,Years_Since_Remodel,35
24,Years_Since_Remodel,36
