PurchaseOrderID,PurchaseOrderDetailID,variable,value
529,1188,OrderQty,550
2951,6516,OrderQty,60
634,1411,OrderQty,3
436,960,OrderQty,3
1305,2951,OrderQty,3
1667,3732,OrderQty,550
1484,3352,OrderQty,550
644,1432,OrderQty,550
218,518,OrderQty,550
1589,3570,OrderQty,3
1928,4323,OrderQty,3
2932,6479,OrderQty,3
852,1915,OrderQty,550
682,1519,OrderQty,3
584,1301,OrderQty,550
427,943,OrderQty,3
1440,3263,OrderQty,550
1445,3270,OrderQty,3
1889,4227,OrderQty,3
3580,7901,OrderQty,550
1458,3295,OrderQty,3
863,1939,OrderQty,550
1107,2496,OrderQty,550
2741,6085,OrderQty,550
3860,8493,OrderQty,3
1222,2761,OrderQty,60
2916,6446,OrderQty,3
2714,6030,OrderQty,60
1031,2324,OrderQty,3
2612,5802,OrderQty,550
3902,8569,OrderQty,3
2622,5825,OrderQty,550
261,612,OrderQty,550
1435,3249,OrderQty,3
3929,8638,OrderQty,3
2175,4830,OrderQty,550
2780,6169,OrderQty,550
1629,3655,OrderQty,550
2922,6458,OrderQty,550
1908,4285,OrderQty,550
2145,4770,OrderQty,550
850,1909,OrderQty,3
4007,8814,OrderQty,1000
2668,5918,OrderQty,3
146,352,OrderQty,550
2819,6249,OrderQty,550
194,470,OrderQty,550
2598,5777,OrderQty,3
1445,3269,OrderQty,3
2221,4936,ProductID,383
236,557,ProductID,370
1009,2249,ProductID,365
1846,4124,ProductID,523
867,1947,ProductID,345
45,101,ProductID,510
2170,4821,ProductID,357
3056,6750,ProductID,922
1714,3833,ProductID,317
1245,2807,ProductID,1
2794,6194,ProductID,523
1503,3387,ProductID,508
1855,4151,ProductID,387
3122,6876,ProductID,408
1889,4226,ProductID,320
2835,6287,ProductID,458
2380,5275,ProductID,488
2026,4529,ProductID,321
3688,8132,ProductID,923
1154,2615,ProductID,332
732,1623,ProductID,388
3779,8317,ProductID,318
325,734,ProductID,434
464,1024,ProductID,524
363,821,ProductID,509
3159,6964,ProductID,914
1373,3113,ProductID,426
653,1459,ProductID,386
2308,5115,ProductID,357
2221,4937,ProductID,384
1745,3906,ProductID,348
1045,2350,ProductID,535
2067,4622,ProductID,407
2044,4561,ProductID,321
1317,2989,ProductID,952
1521,3425,ProductID,912
2889,6397,ProductID,931
29,73,ProductID,379
3106,6842,ProductID,511
3352,7413,ProductID,938
1836,4110,ProductID,524
3591,7921,ProductID,441
1214,2740,ProductID,523
3003,6631,ProductID,679
1237,2793,ProductID,930
3020,6677,ProductID,936
3486,7711,ProductID,479
3399,7512,ProductID,508
257,603,ProductID,506
765,1694,ProductID,408
19,42,ProductID,908
529,1188,ProductID,507
2951,6516,ProductID,494
634,1411,ProductID,473
436,960,ProductID,439
1305,2951,ProductID,415
1667,3732,ProductID,935
1484,3352,ProductID,530
644,1432,ProductID,523
218,518,ProductID,513
1589,3570,ProductID,391
1928,4323,ProductID,528
2932,6479,ProductID,381
852,1915,ProductID,941
682,1519,ProductID,404
584,1301,ProductID,928
427,943,ProductID,368
1440,3263,ProductID,936
1445,3270,ProductID,474
1889,4227,ProductID,321
3580,7901,ProductID,510
1458,3295,ProductID,448
863,1939,ProductID,535
1107,2496,ProductID,352
2741,6085,ProductID,319
3860,8493,ProductID,433
1222,2761,ProductID,356
2916,6446,ProductID,320
2714,6030,ProductID,493
1031,2324,ProductID,432
2612,5802,ProductID,507
3902,8569,ProductID,490
2622,5825,ProductID,526
261,612,ProductID,679
1435,3249,ProductID,407
3929,8638,ProductID,374
2175,4830,ProductID,931
2780,6169,ProductID,526
1629,3655,ProductID,948
2922,6458,ProductID,914
1908,4285,ProductID,512
2145,4770,ProductID,511
850,1909,ProductID,321
4007,8814,ProductID,856
2668,5918,ProductID,359
146,352,ProductID,928
2819,6249,ProductID,923
194,470,ProductID,908
2598,5777,ProductID,460
1445,3269,ProductID,473
2221,4936,UnitPrice,47.544
236,557,UnitPrice,43.3965
1009,2249,UnitPrice,43.323
1846,4124,UnitPrice,10.3845
867,1947,UnitPrice,36.9705
45,101,UnitPrice,23.4045
2170,4821,UnitPrice,4.3155
3056,6750,UnitPrice,6.531
1714,3833,UnitPrice,29.5785
1245,2807,UnitPrice,50.2635
2794,6194,UnitPrice,10.3845
1503,3387,UnitPrice,27.6465
1855,4151,UnitPrice,43.2705
3122,6876,UnitPrice,36.9705
1889,4226,UnitPrice,45.3705
2835,6287,UnitPrice,43.554
2380,5275,UnitPrice,8.862
2026,4529,UnitPrice,44.3205
3688,8132,UnitPrice,6.1845
1154,2615,UnitPrice,10.815
732,1623,UnitPrice,47.544
3779,8317,UnitPrice,33.579
325,734,UnitPrice,39.123
464,1024,UnitPrice,12.9675
363,821,UnitPrice,36.2775
3159,6964,UnitPrice,21.0945
1373,3113,UnitPrice,43.4805
653,1459,UnitPrice,47.4915
2308,5115,UnitPrice,3.9795
2221,4937,UnitPrice,43.2705
1745,3906,UnitPrice,34.8705
1045,2350,UnitPrice,3.486
2067,4622,UnitPrice,47.544
2044,4561,UnitPrice,42.798
1317,2989,UnitPrice,15.7395
1521,3425,UnitPrice,30.4395
2889,6397,UnitPrice,34.3455
29,73,UnitPrice,36.9705
3106,6842,UnitPrice,27.867
3352,7413,UnitPrice,31.4895
1836,4110,UnitPrice,12.9675
3591,7921,UnitPrice,45.5805
1214,2740,UnitPrice,10.3845
3003,6631,UnitPrice,5.775
1237,2793,UnitPrice,42.5145
3020,6677,UnitPrice,48.2895
3486,7711,UnitPrice,15.8865
3399,7512,UnitPrice,27.6465
257,603,UnitPrice,9.198
765,1694,UnitPrice,47.544
19,42,UnitPrice,21.0945
529,1188,UnitPrice,22.1655
2951,6516,UnitPrice,50.7465
634,1411,UnitPrice,39.123
436,960,UnitPrice,45.4965
1305,2951,UnitPrice,49.749
1667,3732,UnitPrice,31.4895
1484,3352,UnitPrice,16.086
644,1432,UnitPrice,10.3845
218,518,UnitPrice,39.1965
1589,3570,UnitPrice,36.9705
1928,4323,UnitPrice,38.157
2932,6479,UnitPrice,47.4915
852,1915,UnitPrice,62.9895
682,1519,UnitPrice,45.3705
584,1301,UnitPrice,32.2455
427,943,UnitPrice,41.3805
1440,3263,UnitPrice,48.2895
1445,3270,UnitPrice,43.3965
1889,4227,UnitPrice,40.488
3580,7901,UnitPrice,23.4045
1458,3295,UnitPrice,39.2805
863,1939,UnitPrice,3.486
1107,2496,UnitPrice,1.155
2741,6085,UnitPrice,48.5835
3860,8493,UnitPrice,43.3965
1222,2761,UnitPrice,3.381
2916,6446,UnitPrice,45.3705
2714,6030,UnitPrice,58.2645
1031,2324,UnitPrice,39.123
2612,5802,UnitPrice,22.1655
3902,8569,UnitPrice,12.7155
2622,5825,UnitPrice,3.6435
261,612,UnitPrice,6.195
1435,3249,UnitPrice,47.544
3929,8638,UnitPrice,37.023
2175,4830,UnitPrice,34.8705
2780,6169,UnitPrice,3.6435
1629,3655,UnitPrice,82.8345
2922,6458,UnitPrice,21.0945
1908,4285,UnitPrice,34.9755
2145,4770,UnitPrice,29.274
850,1909,UnitPrice,42.798
4007,8814,UnitPrice,37.1
2668,5918,UnitPrice,47.6805
146,352,UnitPrice,32.7705
2819,6249,UnitPrice,6.1845
194,470,UnitPrice,21.0945
2598,5777,UnitPrice,37.1805
1445,3269,UnitPrice,39.123
2221,4936,LineTotal,142.632
236,557,LineTotal,130.1895
1009,2249,LineTotal,129.969
1846,4124,LineTotal,5711.475
867,1947,LineTotal,110.9115
45,101,LineTotal,12872.475
2170,4821,LineTotal,258.93
3056,6750,LineTotal,3592.05
1714,3833,LineTotal,16268.175
1245,2807,LineTotal,150.7905
2794,6194,LineTotal,5711.475
1503,3387,LineTotal,15205.575
1855,4151,LineTotal,129.8115
3122,6876,LineTotal,110.9115
1889,4226,LineTotal,136.1115
2835,6287,LineTotal,130.662
2380,5275,LineTotal,4874.1
2026,4529,LineTotal,132.9615
3688,8132,LineTotal,3401.475
1154,2615,LineTotal,5948.25
732,1623,LineTotal,142.632
3779,8317,LineTotal,18468.45
325,734,LineTotal,117.369
464,1024,LineTotal,7132.125
363,821,LineTotal,19952.625
3159,6964,LineTotal,11601.975
1373,3113,LineTotal,130.4415
653,1459,LineTotal,142.4745
2308,5115,LineTotal,238.77
2221,4937,LineTotal,129.8115
1745,3906,LineTotal,104.6115
1045,2350,LineTotal,1917.3
2067,4622,LineTotal,142.632
2044,4561,LineTotal,128.394
1317,2989,LineTotal,944.37
1521,3425,LineTotal,16741.725
2889,6397,LineTotal,18890.025
29,73,LineTotal,110.9115
3106,6842,LineTotal,15326.85
3352,7413,LineTotal,17319.225
1836,4110,LineTotal,7132.125
3591,7921,LineTotal,136.7415
1214,2740,LineTotal,5711.475
3003,6631,LineTotal,3176.25
1237,2793,LineTotal,23382.975
3020,6677,LineTotal,26559.225
3486,7711,LineTotal,8737.575
3399,7512,LineTotal,15205.575
257,603,LineTotal,551.88
765,1694,LineTotal,142.632
19,42,LineTotal,11601.975
529,1188,LineTotal,12191.025
2951,6516,LineTotal,3044.79
634,1411,LineTotal,117.369
436,960,LineTotal,136.4895
1305,2951,LineTotal,149.247
1667,3732,LineTotal,17319.225
1484,3352,LineTotal,8847.3
644,1432,LineTotal,5711.475
218,518,LineTotal,21558.075
1589,3570,LineTotal,110.9115
1928,4323,LineTotal,114.471
2932,6479,LineTotal,142.4745
852,1915,LineTotal,34644.225
682,1519,LineTotal,136.1115
584,1301,LineTotal,17735.025
427,943,LineTotal,124.1415
1440,3263,LineTotal,26559.225
1445,3270,LineTotal,130.1895
1889,4227,LineTotal,121.464
3580,7901,LineTotal,12872.475
1458,3295,LineTotal,117.8415
863,1939,LineTotal,1917.3
1107,2496,LineTotal,635.25
2741,6085,LineTotal,26720.925
3860,8493,LineTotal,130.1895
1222,2761,LineTotal,202.86
2916,6446,LineTotal,136.1115
2714,6030,LineTotal,3495.87
1031,2324,LineTotal,117.369
2612,5802,LineTotal,12191.025
3902,8569,LineTotal,38.1465
2622,5825,LineTotal,2003.925
261,612,LineTotal,3407.25
1435,3249,LineTotal,142.632
3929,8638,LineTotal,111.069
2175,4830,LineTotal,19178.775
2780,6169,LineTotal,2003.925
1629,3655,LineTotal,45558.975
2922,6458,LineTotal,11601.975
1908,4285,LineTotal,19236.525
2145,4770,LineTotal,16100.7
850,1909,LineTotal,128.394
4007,8814,LineTotal,37100.0
2668,5918,LineTotal,143.0415
146,352,LineTotal,18023.775
2819,6249,LineTotal,3401.475
194,470,LineTotal,11601.975
2598,5777,LineTotal,111.5415
1445,3269,LineTotal,117.369
2221,4936,ReceivedQty,3
236,557,ReceivedQty,3
1009,2249,ReceivedQty,3
1846,4124,ReceivedQty,468
867,1947,ReceivedQty,3
45,101,ReceivedQty,550
2170,4821,ReceivedQty,60
3056,6750,ReceivedQty,550
1714,3833,ReceivedQty,550
1245,2807,ReceivedQty,3
2794,6194,ReceivedQty,550
1503,3387,ReceivedQty,550
1855,4151,ReceivedQty,3
3122,6876,ReceivedQty,3
1889,4226,ReceivedQty,3
2835,6287,ReceivedQty,3
2380,5275,ReceivedQty,550
2026,4529,ReceivedQty,3
3688,8132,ReceivedQty,550
1154,2615,ReceivedQty,550
732,1623,ReceivedQty,3
3779,8317,ReceivedQty,550
325,734,ReceivedQty,3
464,1024,ReceivedQty,550
363,821,ReceivedQty,550
3159,6964,ReceivedQty,550
1373,3113,ReceivedQty,3
653,1459,ReceivedQty,3
2308,5115,ReceivedQty,60
2221,4937,ReceivedQty,3
1745,3906,ReceivedQty,3
1045,2350,ReceivedQty,550
2067,4622,ReceivedQty,3
2044,4561,ReceivedQty,3
1317,2989,ReceivedQty,60
1521,3425,ReceivedQty,550
2889,6397,ReceivedQty,550
29,73,ReceivedQty,3
3106,6842,ReceivedQty,550
3352,7413,ReceivedQty,550
1836,4110,ReceivedQty,468
3591,7921,ReceivedQty,3
1214,2740,ReceivedQty,550
3003,6631,ReceivedQty,550
1237,2793,ReceivedQty,550
3020,6677,ReceivedQty,550
3486,7711,ReceivedQty,550
3399,7512,ReceivedQty,550
257,603,ReceivedQty,60
765,1694,ReceivedQty,3
19,42,ReceivedQty,550
529,1188,ReceivedQty,550
2951,6516,ReceivedQty,60
634,1411,ReceivedQty,3
436,960,ReceivedQty,3
1305,2951,ReceivedQty,3
1667,3732,ReceivedQty,550
1484,3352,ReceivedQty,550
644,1432,ReceivedQty,550
218,518,ReceivedQty,550
1589,3570,ReceivedQty,3
1928,4323,ReceivedQty,3
2932,6479,ReceivedQty,3
852,1915,ReceivedQty,550
682,1519,ReceivedQty,3
584,1301,ReceivedQty,550
427,943,ReceivedQty,3
1440,3263,ReceivedQty,550
1445,3270,ReceivedQty,3
1889,4227,ReceivedQty,3
3580,7901,ReceivedQty,550
1458,3295,ReceivedQty,3
863,1939,ReceivedQty,550
1107,2496,ReceivedQty,550
2741,6085,ReceivedQty,550
3860,8493,ReceivedQty,3
1222,2761,ReceivedQty,60
2916,6446,ReceivedQty,3
2714,6030,ReceivedQty,60
1031,2324,ReceivedQty,3
2612,5802,ReceivedQty,550
3902,8569,ReceivedQty,3
2622,5825,ReceivedQty,550
261,612,ReceivedQty,550
1435,3249,ReceivedQty,3
3929,8638,ReceivedQty,3
2175,4830,ReceivedQty,550
2780,6169,ReceivedQty,550
1629,3655,ReceivedQty,550
2922,6458,ReceivedQty,550
1908,4285,ReceivedQty,550
2145,4770,ReceivedQty,523
850,1909,ReceivedQty,3
4007,8814,ReceivedQty,1000
2668,5918,ReceivedQty,3
146,352,ReceivedQty,468
2819,6249,ReceivedQty,550
194,470,ReceivedQty,550
2598,5777,ReceivedQty,3
1445,3269,ReceivedQty,3
2221,4936,RejectedQty,0
236,557,RejectedQty,0
1009,2249,RejectedQty,0
1846,4124,RejectedQty,0
867,1947,RejectedQty,0
45,101,RejectedQty,0
2170,4821,RejectedQty,6
3056,6750,RejectedQty,0
1714,3833,RejectedQty,0
1245,2807,RejectedQty,0
2794,6194,RejectedQty,0
1503,3387,RejectedQty,0
1855,4151,RejectedQty,0
3122,6876,RejectedQty,0
1889,4226,RejectedQty,0
2835,6287,RejectedQty,0
2380,5275,RejectedQty,55
2026,4529,RejectedQty,0
3688,8132,RejectedQty,0
1154,2615,RejectedQty,0
732,1623,RejectedQty,0
3779,8317,RejectedQty,0
325,734,RejectedQty,0
464,1024,RejectedQty,0
363,821,RejectedQty,0
3159,6964,RejectedQty,0
1373,3113,RejectedQty,0
653,1459,RejectedQty,0
2308,5115,RejectedQty,0
2221,4937,RejectedQty,0
1745,3906,RejectedQty,0
1045,2350,RejectedQty,0
2067,4622,RejectedQty,0
2044,4561,RejectedQty,0
1317,2989,RejectedQty,0
1521,3425,RejectedQty,0
2889,6397,RejectedQty,0
29,73,RejectedQty,0
3106,6842,RejectedQty,0
3352,7413,RejectedQty,82
1836,4110,RejectedQty,0
3591,7921,RejectedQty,0
1214,2740,RejectedQty,0
3003,6631,RejectedQty,0
1237,2793,RejectedQty,0
3020,6677,RejectedQty,55
3486,7711,RejectedQty,0
3399,7512,RejectedQty,0
257,603,RejectedQty,0
765,1694,RejectedQty,0
19,42,RejectedQty,0
529,1188,RejectedQty,0
2951,6516,RejectedQty,0
634,1411,RejectedQty,0
436,960,RejectedQty,0
1305,2951,RejectedQty,0
1667,3732,RejectedQty,0
1484,3352,RejectedQty,0
644,1432,RejectedQty,550
218,518,RejectedQty,0
1589,3570,RejectedQty,0
1928,4323,RejectedQty,0
2932,6479,RejectedQty,0
852,1915,RejectedQty,82
682,1519,RejectedQty,0
584,1301,RejectedQty,0
427,943,RejectedQty,0
1440,3263,RejectedQty,55
1445,3270,RejectedQty,0
1889,4227,RejectedQty,0
3580,7901,RejectedQty,0
1458,3295,RejectedQty,0
863,1939,RejectedQty,0
1107,2496,RejectedQty,0
2741,6085,RejectedQty,0
3860,8493,RejectedQty,0
1222,2761,RejectedQty,9
2916,6446,RejectedQty,0
2714,6030,RejectedQty,0
1031,2324,RejectedQty,0
2612,5802,RejectedQty,82
3902,8569,RejectedQty,0
2622,5825,RejectedQty,82
261,612,RejectedQty,0
1435,3249,RejectedQty,0
3929,8638,RejectedQty,0
2175,4830,RejectedQty,0
2780,6169,RejectedQty,0
1629,3655,RejectedQty,0
2922,6458,RejectedQty,0
1908,4285,RejectedQty,0
2145,4770,RejectedQty,0
850,1909,RejectedQty,0
4007,8814,RejectedQty,0
2668,5918,RejectedQty,0
146,352,RejectedQty,0
2819,6249,RejectedQty,0
194,470,RejectedQty,550
2598,5777,RejectedQty,0
1445,3269,RejectedQty,0
2221,4936,StockedQty,3
236,557,StockedQty,3
1009,2249,StockedQty,3
1846,4124,StockedQty,468
867,1947,StockedQty,3
45,101,StockedQty,550
2170,4821,StockedQty,54
3056,6750,StockedQty,550
1714,3833,StockedQty,550
1245,2807,StockedQty,3
2794,6194,StockedQty,550
1503,3387,StockedQty,550
1855,4151,StockedQty,3
3122,6876,StockedQty,3
1889,4226,StockedQty,3
2835,6287,StockedQty,3
2380,5275,StockedQty,495
2026,4529,StockedQty,3
3688,8132,StockedQty,550
1154,2615,StockedQty,550
732,1623,StockedQty,3
3779,8317,StockedQty,550
325,734,StockedQty,3
464,1024,StockedQty,550
363,821,StockedQty,550
3159,6964,StockedQty,550
1373,3113,StockedQty,3
653,1459,StockedQty,3
2308,5115,StockedQty,60
2221,4937,StockedQty,3
1745,3906,StockedQty,3
1045,2350,StockedQty,550
2067,4622,StockedQty,3
2044,4561,StockedQty,3
1317,2989,StockedQty,60
1521,3425,StockedQty,550
2889,6397,StockedQty,550
29,73,StockedQty,3
3106,6842,StockedQty,550
3352,7413,StockedQty,468
1836,4110,StockedQty,468
3591,7921,StockedQty,3
1214,2740,StockedQty,550
3003,6631,StockedQty,550
1237,2793,StockedQty,550
3020,6677,StockedQty,495
3486,7711,StockedQty,550
3399,7512,StockedQty,550
257,603,StockedQty,60
765,1694,StockedQty,3
19,42,StockedQty,550
529,1188,StockedQty,550
2951,6516,StockedQty,60
634,1411,StockedQty,3
436,960,StockedQty,3
1305,2951,StockedQty,3
1667,3732,StockedQty,550
1484,3352,StockedQty,550
644,1432,StockedQty,0
218,518,StockedQty,550
1589,3570,StockedQty,3
1928,4323,StockedQty,3
2932,6479,StockedQty,3
852,1915,StockedQty,468
682,1519,StockedQty,3
584,1301,StockedQty,550
427,943,StockedQty,3
1440,3263,StockedQty,495
1445,3270,StockedQty,3
1889,4227,StockedQty,3
3580,7901,StockedQty,550
1458,3295,StockedQty,3
863,1939,StockedQty,550
1107,2496,StockedQty,550
2741,6085,StockedQty,550
3860,8493,StockedQty,3
1222,2761,StockedQty,51
2916,6446,StockedQty,3
2714,6030,StockedQty,60
1031,2324,StockedQty,3
2612,5802,StockedQty,468
3902,8569,StockedQty,3
2622,5825,StockedQty,468
261,612,StockedQty,550
1435,3249,StockedQty,3
3929,8638,StockedQty,3
2175,4830,StockedQty,550
2780,6169,StockedQty,550
1629,3655,StockedQty,550
2922,6458,StockedQty,550
1908,4285,StockedQty,550
2145,4770,StockedQty,523
850,1909,StockedQty,3
4007,8814,StockedQty,1000
2668,5918,StockedQty,3
146,352,StockedQty,468
2819,6249,StockedQty,550
194,470,StockedQty,0
2598,5777,StockedQty,3
1445,3269,StockedQty,3
2221,4936,ModifiedDate,2014-03-13 00:00:00.000
236,557,ModifiedDate,2012-09-04 00:00:00.000
1009,2249,ModifiedDate,2013-10-13 00:00:00.000
1846,4124,ModifiedDate,2014-02-05 00:00:00.000
867,1947,ModifiedDate,2013-09-16 00:00:00.000
45,101,ModifiedDate,2012-01-23 00:00:00.000
2170,4821,ModifiedDate,2014-03-10 00:00:00.000
3056,6750,ModifiedDate,2014-05-31 00:00:00.000
1714,3833,ModifiedDate,2014-01-23 00:00:00.000
1245,2807,ModifiedDate,2013-12-02 00:00:00.000
2794,6194,ModifiedDate,2014-05-07 00:00:00.000
1503,3387,ModifiedDate,2013-12-30 00:00:00.000
1855,4151,ModifiedDate,2014-02-05 00:00:00.000
3122,6876,ModifiedDate,2014-06-05 00:00:00.000
1889,4226,ModifiedDate,2014-02-12 00:00:00.000
2835,6287,ModifiedDate,2014-05-12 00:00:00.000
2380,5275,ModifiedDate,2014-03-31 00:00:00.000
2026,4529,ModifiedDate,2014-02-26 00:00:00.000
3688,8132,ModifiedDate,2014-07-21 00:00:00.000
1154,2615,ModifiedDate,2013-11-19 00:00:00.000
732,1623,ModifiedDate,2013-09-04 00:00:00.000
3779,8317,ModifiedDate,2014-07-28 00:00:00.000
325,734,ModifiedDate,2013-05-02 00:00:00.000
464,1024,ModifiedDate,2013-08-13 00:00:00.000
363,821,ModifiedDate,2013-05-29 00:00:00.000
3159,6964,ModifiedDate,2014-06-09 00:00:00.000
1373,3113,ModifiedDate,2013-12-16 00:00:00.000
653,1459,ModifiedDate,2013-08-28 00:00:00.000
2308,5115,ModifiedDate,2014-03-21 00:00:00.000
2221,4937,ModifiedDate,2014-03-13 00:00:00.000
1745,3906,ModifiedDate,2014-01-27 00:00:00.000
1045,2350,ModifiedDate,2013-10-21 00:00:00.000
2067,4622,ModifiedDate,2014-02-28 00:00:00.000
2044,4561,ModifiedDate,2014-02-27 00:00:00.000
1317,2989,ModifiedDate,2013-12-09 00:00:00.000
