ProductKey,CustomerKey,OrderDateKey,Order Date,Delivery Date,Order Number,Order Line Number,Quantity,Unit Price,Unit Discount,Unit Cost,Net Price,DiscountCategory
1175,19100,20080610,2008-06-10 00:00:00.000,2008-06-17 00:00:00.000,200806104CS596,449,1,410.0,41.0,209.03,369.0,MEDIUM
895,19125,20090609,2009-06-09 00:00:00.000,2009-06-16 00:00:00.000,200906093CS715,147,1,41.73,4.173,21.28,37.557,MEDIUM
2516,19054,20080706,2008-07-06 00:00:00.000,2008-07-17 00:00:00.000,200807065CS588,269,1,3.35,0.0,1.71,3.35,FULL PRICE
275,13173,20070214,2007-02-14 00:00:00.000,2007-02-23 00:00:00.000,20070214224172,1,4,199.0,39.8,101.46,159.2,HIGH
1770,19134,20090904,2009-09-04 00:00:00.000,2009-09-10 00:00:00.000,200909047CS724,581,1,34.0,0.0,17.33,34.0,FULL PRICE
1456,19039,20070506,2007-05-06 00:00:00.000,2007-05-16 00:00:00.000,200705065CS429,387,1,301.0,0.0,138.42,301.0,FULL PRICE
698,19041,20070412,2007-04-12 00:00:00.000,2007-04-24 00:00:00.000,200704123CS489,67,1,188.0,13.16,86.45,174.84,MEDIUM
935,18868,20080904,2008-09-04 00:00:00.000,2008-09-15 00:00:00.000,200809043CS688,494,1,79.0,7.9,36.33,71.1,MEDIUM
906,19120,20090419,2009-04-19 00:00:00.000,2009-04-28 00:00:00.000,200904193CS710,87,1,75.99,15.198,38.74,60.792,HIGH
752,19103,20080730,2008-07-30 00:00:00.000,2008-08-06 00:00:00.000,200807303CS628,268,3,9.5,0.0,4.84,9.5,FULL PRICE
646,19084,20070401,2007-04-01 00:00:00.000,2007-04-10 00:00:00.000,200704013CS487,44,1,219.0,43.8,72.56,175.2,HIGH
756,19101,20080625,2008-06-25 00:00:00.000,2008-07-06 00:00:00.000,200806253CS599,390,1,29.9,2.99,13.75,26.91,MEDIUM
1346,18891,20081127,2008-11-27 00:00:00.000,2008-12-05 00:00:00.000,200811275CS798,224,1,23.0,4.6,10.58,18.4,HIGH
864,4081,20070122,2007-01-22 00:00:00.000,2007-02-02 00:00:00.000,20070122815080,4,1,50.99,10.198,23.45,40.792,HIGH
2508,19000,20091003,2009-10-03 00:00:00.000,2009-10-12 00:00:00.000,200910035CS913,144,1,4.74,0.0,2.42,4.74,FULL PRICE
2442,19040,20070520,2007-05-20 00:00:00.000,2007-05-27 00:00:00.000,200705208CS449,32,1,9.99,0.0,5.09,9.99,FULL PRICE
2494,19095,20080229,2008-02-29 00:00:00.000,2008-03-08 00:00:00.000,200802295CS553,1183,1,2.94,0.588,1.5,2.352,HIGH
2282,19141,20091122,2009-11-22 00:00:00.000,2009-11-28 00:00:00.000,200911228CS731,1085,1,119.99,17.9985,61.17,101.9915,HIGH
658,19139,20091009,2009-10-09 00:00:00.000,2009-10-15 00:00:00.000,200910093CS729,39,1,209.0,0.0,69.25,209.0,FULL PRICE
2102,17868,20071228,2007-12-28 00:00:00.000,2008-01-06 00:00:00.000,20071228828867,1,1,791.0,158.2,363.75,632.8,HIGH
2495,18843,20080601,2008-06-01 00:00:00.000,2008-06-12 00:00:00.000,200806015CS612,178,4,9.99,0.0,5.09,9.99,FULL PRICE
1692,19143,20091212,2009-12-12 00:00:00.000,2009-12-22 00:00:00.000,200912127CS733,593,1,6.99,1.0485,3.56,5.9415,HIGH
1857,8939,20071204,2007-12-04 00:00:00.000,2007-12-11 00:00:00.000,20071204819938,1,1,2652.9,530.58,878.96,2122.32,HIGH
523,18787,20070831,2007-08-31 00:00:00.000,2007-09-12 00:00:00.000,200708313CS464,262,1,139.0,13.9,70.87,125.1,MEDIUM
176,14467,20070706,2007-07-06 00:00:00.000,2007-07-15 00:00:00.000,20070706325466,3,1,126.9,0.0,58.36,126.9,FULL PRICE
2429,18819,20080206,2008-02-06 00:00:00.000,2008-02-15 00:00:00.000,200802068CS570,23,1,32.89,1.6445,16.77,31.2455,LOW
2204,18902,20081231,2008-12-31 00:00:00.000,2009-01-10 00:00:00.000,200812318CS810,150,1,79.95,15.99,40.76,63.96,HIGH
363,19073,20090831,2009-08-31 00:00:00.000,2009-09-06 00:00:00.000,200908313CS763,257,1,699.0,69.9,321.44,629.1,MEDIUM
452,9838,20070207,2007-02-07 00:00:00.000,2007-02-13 00:00:00.000,20070207320837,1,1,219.95,15.3965,112.14,204.5535,MEDIUM
1657,18819,20080206,2008-02-06 00:00:00.000,2008-02-16 00:00:00.000,200802066CS570,7,3,179.99,8.9995,82.77,170.9905,LOW
1223,18830,20080403,2008-04-03 00:00:00.000,2008-04-09 00:00:00.000,200804034CS593,62,1,460.0,0.0,234.52,460.0,FULL PRICE
2497,19033,20091223,2009-12-23 00:00:00.000,2009-12-30 00:00:00.000,200912235CS949,2115,1,9.99,1.998,5.09,7.992,HIGH
176,6242,20070304,2007-03-04 00:00:00.000,2007-03-11 00:00:00.000,20070304717241,3,1,126.9,25.38,58.36,101.52,HIGH
1970,19059,20081125,2008-11-25 00:00:00.000,2008-12-05 00:00:00.000,200811258CS672,106,1,899.0,179.8,413.42,719.2,HIGH
2498,19074,20090912,2009-09-12 00:00:00.000,2009-09-22 00:00:00.000,200909125CS764,108,1,23.72,2.372,12.09,21.348,MEDIUM
1589,19021,20091128,2009-11-28 00:00:00.000,2009-12-06 00:00:00.000,200911286CS936,33,1,9.99,1.998,5.09,7.992,HIGH
1114,19038,20070325,2007-03-25 00:00:00.000,2007-04-06 00:00:00.000,200703254CS428,105,1,334.0,23.38,153.59,310.62,MEDIUM
2185,18807,20071206,2007-12-06 00:00:00.000,2007-12-13 00:00:00.000,200712068CS535,227,1,163.0,32.6,83.1,130.4,HIGH
833,18924,20090318,2009-03-18 00:00:00.000,2009-03-26 00:00:00.000,200903183CS833,182,1,17.9,0.895,9.13,17.005,LOW
1667,19144,20091216,2009-12-16 00:00:00.000,2009-12-25 00:00:00.000,200912167CS734,46,1,5.5,0.825,2.8,4.675,HIGH
2491,18785,20070818,2007-08-18 00:00:00.000,2007-08-27 00:00:00.000,200708185CS462,691,1,24.99,2.499,12.74,22.491,MEDIUM
2505,19136,20090930,2009-09-30 00:00:00.000,2009-10-09 00:00:00.000,200909305CS726,1377,1,9.99,0.0,5.09,9.99,FULL PRICE
1697,19116,20090217,2009-02-17 00:00:00.000,2009-02-24 00:00:00.000,200902177CS699,324,1,5.39,1.078,2.75,4.312,HIGH
2516,19054,20080706,2008-07-06 00:00:00.000,2008-07-12 00:00:00.000,200807065CS588,258,1,3.35,0.0,1.71,3.35,FULL PRICE
1621,19018,20091119,2009-11-19 00:00:00.000,2009-11-27 00:00:00.000,200911196CS933,37,1,12.99,2.598,6.62,10.392,HIGH
772,18908,20090124,2009-01-24 00:00:00.000,2009-02-01 00:00:00.000,200901243CS816,323,1,11.9,0.595,6.07,11.305,LOW
2397,19115,20090202,2009-02-02 00:00:00.000,2009-02-12 00:00:00.000,200902028CS697,423,1,635.99,127.198,210.72,508.792,HIGH
697,19104,20080319,2008-03-19 00:00:00.000,2008-03-27 00:00:00.000,200803193CS632,9,1,147.0,29.4,67.6,117.6,HIGH
2511,19082,20070422,2007-04-22 00:00:00.000,2007-04-29 00:00:00.000,200704225CS473,185,1,4.06,0.812,2.07,3.248,HIGH
645,18935,20081229,2008-12-29 00:00:00.000,2009-01-06 00:00:00.000,200812293CS844,106,1,209.0,41.8,69.25,167.2,HIGH
2509,19117,20090303,2009-03-03 00:00:00.000,2009-03-13 00:00:00.000,200903035CS706,928,1,4.06,0.812,2.07,3.248,HIGH
1583,18962,20090706,2009-07-06 00:00:00.000,2009-07-12 00:00:00.000,200907066CS873,65,1,13.89,1.389,6.39,12.501,MEDIUM
2506,19114,20090127,2009-01-27 00:00:00.000,2009-02-04 00:00:00.000,200901275CS692,1496,2,4.74,0.711,2.42,4.029,HIGH
176,120,20070205,2007-02-05 00:00:00.000,2007-02-12 00:00:00.000,20070205711119,3,2,126.9,25.38,58.36,101.52,HIGH
312,19031,20091219,2009-12-19 00:00:00.000,2009-12-25 00:00:00.000,200912192CS947,322,1,259.0,51.8,132.05,207.2,HIGH
1604,19037,20070225,2007-02-25 00:00:00.000,2007-03-08 00:00:00.000,200702256CS427,55,1,259.99,18.1993,86.14,241.7907,MEDIUM
2441,18933,20090418,2009-04-18 00:00:00.000,2009-04-26 00:00:00.000,200904188CS842,862,1,9.99,0.0,5.09,9.99,FULL PRICE
2320,18836,20080428,2008-04-28 00:00:00.000,2008-05-05 00:00:00.000,200804288CS604,196,3,268.5,0.0,123.47,268.5,FULL PRICE
1979,18879,20081015,2008-10-15 00:00:00.000,2008-10-22 00:00:00.000,200810158CS784,112,1,279.99,0.0,142.75,279.99,FULL PRICE
1717,16350,20081019,2008-10-19 00:00:00.000,2008-10-26 00:00:00.000,20081019727349,1,1,70.13,0.0,32.25,70.13,FULL PRICE
2496,19023,20091201,2009-12-01 00:00:00.000,2009-12-07 00:00:00.000,200912015CS938,20,1,9.99,1.998,5.09,7.992,HIGH
