Date,MonthNum,Month,MonthLong,Quarter,Year,FiscalMonthNum,FiscalMonth,FiscalMonthLong,FiscalQuarter,FiscalYear,CurMonthOffset,CurQuarterOffset,CurYearOffset,FutureDate,CurFiscalYearOffset,MonthYearNum,MonthYear,MonthYearLong,WeekdayNum,Weekday,WeekdayWeekend,WeekSequenceNum,CurWeekOffset
2018-07-30 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",1,"Mon","Weekday",31,-42
2018-07-31 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",2,"Tue","Weekday",31,-42
2018-08-01 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",3,"Wed","Weekday",31,-42
2018-08-02 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",4,"Thu","Weekday",31,-42
2018-08-03 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",5,"Fri","Weekday",31,-42
2018-08-06 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",1,"Mon","Weekday",32,-41
2018-08-07 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",2,"Tue","Weekday",32,-41
2018-08-08 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",3,"Wed","Weekday",32,-41
2018-08-09 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",4,"Thu","Weekday",32,-41
2018-08-10 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",5,"Fri","Weekday",32,-41
2018-08-13 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",1,"Mon","Weekday",33,-40
2018-08-14 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",2,"Tue","Weekday",33,-40
2018-08-15 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",3,"Wed","Weekday",33,-40
2018-08-16 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",4,"Thu","Weekday",33,-40
2018-08-17 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",5,"Fri","Weekday",33,-40
2018-08-20 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",1,"Mon","Weekday",34,-39
2018-08-21 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",2,"Tue","Weekday",34,-39
2018-08-22 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",3,"Wed","Weekday",34,-39
2018-08-23 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",4,"Thu","Weekday",34,-39
2018-08-24 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",5,"Fri","Weekday",34,-39
2018-08-27 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",1,"Mon","Weekday",35,-38
2018-08-28 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",2,"Tue","Weekday",35,-38
2018-08-29 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",3,"Wed","Weekday",35,-38
2018-08-30 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",4,"Thu","Weekday",35,-38
2018-08-31 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",5,"Fri","Weekday",35,-38
2018-09-03 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",1,"Mon","Weekday",36,-37
2018-09-04 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",2,"Tue","Weekday",36,-37
2018-09-05 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",3,"Wed","Weekday",36,-37
2018-09-06 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",4,"Thu","Weekday",36,-37
2018-09-07 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",5,"Fri","Weekday",36,-37
2018-09-10 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",1,"Mon","Weekday",37,-36
2018-09-11 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",2,"Tue","Weekday",37,-36
2018-09-12 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",3,"Wed","Weekday",37,-36
2018-09-13 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",4,"Thu","Weekday",37,-36
2018-09-14 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",5,"Fri","Weekday",37,-36
2018-09-17 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",1,"Mon","Weekday",38,-35
2018-09-18 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",2,"Tue","Weekday",38,-35
2018-09-19 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",3,"Wed","Weekday",38,-35
2018-09-20 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",4,"Thu","Weekday",38,-35
2018-09-21 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",5,"Fri","Weekday",38,-35
2018-09-24 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",1,"Mon","Weekday",39,-34
2018-09-25 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",2,"Tue","Weekday",39,-34
2018-09-26 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",3,"Wed","Weekday",39,-34
2018-09-27 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",4,"Thu","Weekday",39,-34
2018-09-28 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",5,"Fri","Weekday",39,-34
2018-07-01 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",0,"Sun","Weekend",27,-46
2018-07-07 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",6,"Sat","Weekend",27,-46
2018-07-08 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",0,"Sun","Weekend",28,-45
2018-07-14 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",6,"Sat","Weekend",28,-45
2018-07-15 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",0,"Sun","Weekend",29,-44
2018-07-21 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",6,"Sat","Weekend",29,-44
2018-07-22 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",0,"Sun","Weekend",30,-43
2018-07-28 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",6,"Sat","Weekend",30,-43
2018-07-29 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",0,"Sun","Weekend",31,-42
2018-08-04 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",6,"Sat","Weekend",31,-42
2018-08-05 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",0,"Sun","Weekend",32,-41
2018-08-11 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",6,"Sat","Weekend",32,-41
2018-08-12 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",0,"Sun","Weekend",33,-40
2018-08-18 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",6,"Sat","Weekend",33,-40
2018-08-19 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",0,"Sun","Weekend",34,-39
2018-08-25 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",6,"Sat","Weekend",34,-39
2018-08-26 00:00:00.000,8,"Aug","August","Q3",2018,2,"Aug","August","FQ1","FY19",-9,-3,-1,"Past","0",201808,"Aug-18","Aug-2018",0,"Sun","Weekend",35,-38
2018-09-01 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",6,"Sat","Weekend",35,-38
2018-09-02 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",0,"Sun","Weekend",36,-37
2018-09-08 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",6,"Sat","Weekend",36,-37
2018-09-09 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",0,"Sun","Weekend",37,-36
2018-09-15 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",6,"Sat","Weekend",37,-36
2018-09-16 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",0,"Sun","Weekend",38,-35
2018-09-22 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",6,"Sat","Weekend",38,-35
2018-09-23 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",0,"Sun","Weekend",39,-34
2018-09-29 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",6,"Sat","Weekend",39,-34
2018-09-30 00:00:00.000,9,"Sep","September","Q3",2018,3,"Sep","September","FQ1","FY19",-8,-3,-1,"Past","0",201809,"Sep-18","Sep-2018",0,"Sun","Weekend",40,-33
2018-10-06 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",6,"Sat","Weekend",40,-33
2018-10-07 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",0,"Sun","Weekend",41,-32
2018-10-13 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",6,"Sat","Weekend",41,-32
2018-10-14 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",0,"Sun","Weekend",42,-31
2018-10-20 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",6,"Sat","Weekend",42,-31
2018-10-21 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",0,"Sun","Weekend",43,-30
2018-10-27 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",6,"Sat","Weekend",43,-30
2018-10-28 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",0,"Sun","Weekend",44,-29
2018-11-03 00:00:00.000,11,"Nov","November","Q4",2018,5,"Nov","November","FQ2","FY19",-6,-2,-1,"Past","0",201811,"Nov-18","Nov-2018",6,"Sat","Weekend",44,-29
2018-11-04 00:00:00.000,11,"Nov","November","Q4",2018,5,"Nov","November","FQ2","FY19",-6,-2,-1,"Past","0",201811,"Nov-18","Nov-2018",0,"Sun","Weekend",45,-28
2018-11-10 00:00:00.000,11,"Nov","November","Q4",2018,5,"Nov","November","FQ2","FY19",-6,-2,-1,"Past","0",201811,"Nov-18","Nov-2018",6,"Sat","Weekend",45,-28
2018-11-11 00:00:00.000,11,"Nov","November","Q4",2018,5,"Nov","November","FQ2","FY19",-6,-2,-1,"Past","0",201811,"Nov-18","Nov-2018",0,"Sun","Weekend",46,-27
2018-11-17 00:00:00.000,11,"Nov","November","Q4",2018,5,"Nov","November","FQ2","FY19",-6,-2,-1,"Past","0",201811,"Nov-18","Nov-2018",6,"Sat","Weekend",46,-27
2018-11-18 00:00:00.000,11,"Nov","November","Q4",2018,5,"Nov","November","FQ2","FY19",-6,-2,-1,"Past","0",201811,"Nov-18","Nov-2018",0,"Sun","Weekend",47,-26
2018-11-24 00:00:00.000,11,"Nov","November","Q4",2018,5,"Nov","November","FQ2","FY19",-6,-2,-1,"Past","0",201811,"Nov-18","Nov-2018",6,"Sat","Weekend",47,-26
2018-11-25 00:00:00.000,11,"Nov","November","Q4",2018,5,"Nov","November","FQ2","FY19",-6,-2,-1,"Past","0",201811,"Nov-18","Nov-2018",0,"Sun","Weekend",48,-25
2018-12-01 00:00:00.000,12,"Dec","December","Q4",2018,6,"Dec","December","FQ2","FY19",-5,-2,-1,"Past","0",201812,"Dec-18","Dec-2018",6,"Sat","Weekend",48,-25
2018-12-02 00:00:00.000,12,"Dec","December","Q4",2018,6,"Dec","December","FQ2","FY19",-5,-2,-1,"Past","0",201812,"Dec-18","Dec-2018",0,"Sun","Weekend",49,-24
2018-12-08 00:00:00.000,12,"Dec","December","Q4",2018,6,"Dec","December","FQ2","FY19",-5,-2,-1,"Past","0",201812,"Dec-18","Dec-2018",6,"Sat","Weekend",49,-24
2018-12-09 00:00:00.000,12,"Dec","December","Q4",2018,6,"Dec","December","FQ2","FY19",-5,-2,-1,"Past","0",201812,"Dec-18","Dec-2018",0,"Sun","Weekend",50,-23
2018-12-15 00:00:00.000,12,"Dec","December","Q4",2018,6,"Dec","December","FQ2","FY19",-5,-2,-1,"Past","0",201812,"Dec-18","Dec-2018",6,"Sat","Weekend",50,-23
2018-12-16 00:00:00.000,12,"Dec","December","Q4",2018,6,"Dec","December","FQ2","FY19",-5,-2,-1,"Past","0",201812,"Dec-18","Dec-2018",0,"Sun","Weekend",51,-22
2018-12-22 00:00:00.000,12,"Dec","December","Q4",2018,6,"Dec","December","FQ2","FY19",-5,-2,-1,"Past","0",201812,"Dec-18","Dec-2018",6,"Sat","Weekend",51,-22
2018-12-23 00:00:00.000,12,"Dec","December","Q4",2018,6,"Dec","December","FQ2","FY19",-5,-2,-1,"Past","0",201812,"Dec-18","Dec-2018",0,"Sun","Weekend",52,-21
2018-12-29 00:00:00.000,12,"Dec","December","Q4",2018,6,"Dec","December","FQ2","FY19",-5,-2,-1,"Past","0",201812,"Dec-18","Dec-2018",6,"Sat","Weekend",52,-21
2018-12-30 00:00:00.000,12,"Dec","December","Q4",2018,6,"Dec","December","FQ2","FY19",-5,-2,-1,"Past","0",201812,"Dec-18","Dec-2018",0,"Sun","Weekend",53,-20
2018-10-01 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",1,"Mon","Weekday",40,-33
2018-10-02 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",2,"Tue","Weekday",40,-33
2018-10-03 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",3,"Wed","Weekday",40,-33
2018-10-04 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",4,"Thu","Weekday",40,-33
2018-10-05 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",5,"Fri","Weekday",40,-33
2018-10-08 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",1,"Mon","Weekday",41,-32
2018-10-09 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",2,"Tue","Weekday",41,-32
2018-10-10 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",3,"Wed","Weekday",41,-32
2018-10-11 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",4,"Thu","Weekday",41,-32
2018-10-12 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",5,"Fri","Weekday",41,-32
2018-10-15 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",1,"Mon","Weekday",42,-31
2018-10-16 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",2,"Tue","Weekday",42,-31
2018-10-17 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",3,"Wed","Weekday",42,-31
2018-10-18 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",4,"Thu","Weekday",42,-31
2018-10-19 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",5,"Fri","Weekday",42,-31
2018-10-22 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",1,"Mon","Weekday",43,-30
2018-10-23 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",2,"Tue","Weekday",43,-30
2018-10-24 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",3,"Wed","Weekday",43,-30
2018-10-25 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",4,"Thu","Weekday",43,-30
2018-10-26 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",5,"Fri","Weekday",43,-30
2018-10-29 00:00:00.000,10,"Oct","October","Q4",2018,4,"Oct","October","FQ2","FY19",-7,-2,-1,"Past","0",201810,"Oct-18","Oct-2018",1,"Mon","Weekday",44,-29
