SKFact,SKCasualty_Severity,SKCasualty_Type,SKDate,SKAge_Group,Number_of_Casualties,create_date,update_date
98200,3,5,2594,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98219,3,5,2596,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98304,3,5,2605,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98323,3,5,2607,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98336,3,5,2608,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98366,3,5,2611,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98375,3,5,2612,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98404,3,5,2614,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98447,3,5,2619,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98465,3,5,2621,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98472,3,5,2622,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98500,3,5,2625,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98600,3,5,2635,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98628,3,5,2638,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98639,3,5,2639,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98676,3,5,2643,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98688,3,5,2644,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98723,3,5,2647,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98773,3,5,2653,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98802,3,5,2656,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98810,3,5,2657,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98859,3,5,2662,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98883,3,5,2664,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98896,3,5,2665,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98925,3,5,2669,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99005,3,5,2678,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99031,3,5,2681,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99041,3,5,2682,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99070,3,5,2685,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99095,3,5,2688,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99104,3,5,2689,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99141,3,5,2693,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99150,3,5,2694,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99193,3,5,2698,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99198,3,5,2699,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99263,3,5,2706,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99270,3,5,2707,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99288,3,5,2709,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99297,3,5,2710,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99308,3,5,2711,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99334,3,5,2714,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99339,3,5,2715,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99402,3,5,2722,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99411,3,5,2723,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99421,3,5,2724,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99456,3,5,2728,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99465,3,5,2729,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99477,3,5,2730,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99503,3,5,2733,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99542,3,5,2738,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99563,3,5,2741,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99572,3,5,2742,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99623,3,5,2748,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99641,3,5,2750,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99648,3,5,2751,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99661,3,5,2753,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99703,3,5,2758,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99756,3,5,2765,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99803,3,5,2771,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99812,3,5,2772,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99899,3,5,2783,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99916,3,5,2785,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99991,3,5,2794,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99995,3,5,2795,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100008,3,5,2797,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100016,3,5,2798,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100038,3,5,2801,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100049,3,5,2802,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100065,3,5,2804,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100078,3,5,2806,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100092,3,5,2808,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100108,3,5,2809,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100131,3,5,2813,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100153,3,5,2816,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100185,3,5,2820,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100198,3,5,2821,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100209,3,5,2823,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100224,3,5,2825,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100230,3,5,2826,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100238,3,5,2827,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100258,3,5,2830,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100317,3,5,2838,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100338,3,5,2841,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100345,3,5,2842,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100385,3,5,2848,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100397,3,5,2850,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100438,3,5,2856,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100446,3,5,2857,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100511,3,5,2867,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100578,3,5,2877,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100584,3,5,2878,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100602,3,5,2881,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100637,3,5,2886,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100644,3,5,2887,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100673,3,5,2892,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100713,3,5,2899,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100720,3,5,2900,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100726,3,5,2901,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100737,3,5,2903,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100757,3,5,2906,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100769,3,5,2908,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100797,3,5,2913,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100807,3,5,2915,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100820,3,5,2917,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100824,3,5,2918,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
96927,3,10,2145,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
96959,3,10,2148,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
96978,3,10,2150,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
96991,3,10,2151,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97052,3,10,2157,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97157,3,10,2168,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97168,3,10,2169,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97218,3,10,2174,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97227,3,10,2175,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97243,3,10,2177,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97299,3,10,2183,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97316,3,10,2185,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97377,3,10,2191,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97432,3,10,2197,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97441,3,10,2198,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97461,3,10,2200,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97472,3,10,2201,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97512,3,10,2205,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97524,3,10,2206,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97565,3,10,2209,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97589,3,10,2212,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97620,3,10,2215,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97643,3,10,2217,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97660,3,10,2219,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97691,3,10,2222,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97752,3,10,2228,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97766,3,10,2229,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97775,3,10,2230,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97791,3,10,2232,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97802,3,10,2233,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97811,3,10,2234,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97849,3,10,2238,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97879,3,10,2242,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97913,3,10,2245,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97937,3,10,2248,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97989,3,10,2253,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98041,3,10,2258,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98120,3,10,2266,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98147,3,10,2269,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98175,3,10,2271,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98182,3,10,2272,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98190,3,10,2273,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98199,3,10,2274,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98257,3,10,2280,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98322,3,10,2287,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98339,3,10,2288,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98368,3,10,2291,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98377,3,10,2292,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98444,3,10,2299,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98466,3,10,2301,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98507,3,10,2306,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98518,3,10,2307,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98535,3,10,2309,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98564,3,10,2312,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98631,3,10,2318,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98638,3,10,2319,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98677,3,10,2323,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98701,3,10,2325,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98709,3,10,2326,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98744,3,10,2330,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98783,3,10,2334,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98793,3,10,2335,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98819,3,10,2338,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98885,3,10,2344,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98902,3,10,2346,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98916,3,10,2348,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98963,3,10,2353,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98990,3,10,2356,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99040,3,10,2362,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99055,3,10,2363,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99079,3,10,2366,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99088,3,10,2367,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99125,3,10,2371,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99163,3,10,2375,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99189,3,10,2378,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99207,3,10,2380,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99273,3,10,2387,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99289,3,10,2389,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99359,3,10,2397,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99401,3,10,2402,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99422,3,10,2404,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99431,3,10,2405,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99440,3,10,2406,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99447,3,10,2407,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99524,3,10,2415,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99556,3,10,2420,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99573,3,10,2422,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99582,3,10,2423,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99630,3,10,2429,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99663,3,10,2433,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99670,3,10,2434,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99676,3,10,2435,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99713,3,10,2439,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99721,3,10,2440,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99735,3,10,2442,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99758,3,10,2445,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99791,3,10,2449,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99830,3,10,2454,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99841,3,10,2455,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99901,3,10,2463,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99909,3,10,2464,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99932,3,10,2467,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99945,3,10,2468,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99975,3,10,2472,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99980,3,10,2473,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
99993,3,10,2475,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100028,3,10,2479,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100081,3,10,2486,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100101,3,10,2489,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100138,3,10,2494,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100176,3,10,2499,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100207,3,10,2503,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100237,3,10,2507,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100272,3,10,2512,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100289,3,10,2514,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100304,3,10,2516,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100410,3,10,2532,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100456,3,10,2538,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100476,3,10,2541,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100592,3,10,2559,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100603,3,10,2561,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100615,3,10,2563,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100624,3,10,2564,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100643,3,10,2567,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100649,3,10,2568,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100671,3,10,2572,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100712,3,10,2579,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100771,3,10,2589,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100798,3,10,2593,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100833,3,10,2599,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100844,3,10,2601,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100851,3,10,2602,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100870,3,10,2605,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100892,3,10,2609,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100902,3,10,2611,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100937,3,10,2617,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100963,3,10,2622,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
100974,3,10,2624,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
101016,3,10,2632,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
96934,3,16,1761,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
96987,3,16,1767,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97039,3,16,1772,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97050,3,16,1773,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97119,3,16,1780,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97135,3,16,1782,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97207,3,16,1789,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97348,3,16,1804,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97361,3,16,1805,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97378,3,16,1807,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97388,3,16,1808,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97419,3,16,1811,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97430,3,16,1812,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97469,3,16,1816,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97519,3,16,1821,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97594,3,16,1828,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97628,3,16,1831,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97699,3,16,1838,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97726,3,16,1841,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97740,3,16,1842,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97746,3,16,1843,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97773,3,16,1845,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97778,3,16,1846,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97884,3,16,1858,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97996,3,16,1870,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98034,3,16,1873,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98045,3,16,1874,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98079,3,16,1877,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98151,3,16,1885,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98176,3,16,1887,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98188,3,16,1888,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98197,3,16,1889,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98226,3,16,1892,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98264,3,16,1896,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
