SKFact,SKCasualty_Severity,SKDate,SKLocal_Authority_District,Number_of_Casualities,create_date,update_date
4192,3,975,371,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4193,3,4,14,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4196,3,367,220,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4201,3,488,289,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4206,3,1224,61,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4207,3,609,358,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4208,3,610,294,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4211,3,976,308,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4212,3,1342,322,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4214,3,368,157,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4223,3,609,359,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4224,3,613,103,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4226,3,976,309,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4228,3,977,245,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4229,3,1347,3,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4231,3,366,286,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4235,3,1101,122,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4240,3,487,355,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4244,3,857,113,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4248,3,246,154,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4253,3,613,104,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4256,3,3,81,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4258,3,734,173,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4259,3,1098,315,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4260,3,121,342,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4261,3,126,22,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4266,3,858,50,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4276,3,736,46,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4277,3,733,238,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4280,3,1221,257,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4281,3,248,28,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4284,3,609,362,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4285,3,611,234,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4289,3,124,152,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4291,3,487,358,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4292,3,489,230,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4294,3,858,52,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4296,3,246,157,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4298,3,612,171,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4304,3,1102,62,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4305,3,125,89,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4306,3,124,153,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4307,3,492,39,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4308,3,491,103,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4310,3,857,117,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4311,3,855,245,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4314,3,246,158,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4320,3,2,149,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4323,3,368,163,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4326,3,1098,319,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4327,3,124,154,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4330,3,854,310,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4333,3,1225,4,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4339,3,366,292,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4340,3,735,114,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4347,3,244,288,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4350,3,370,37,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4351,3,1101,129,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4354,3,121,348,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4357,3,491,106,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4359,3,854,312,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4362,3,248,33,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4363,3,609,367,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4366,3,976,317,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4371,3,124,157,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4387,3,126,30,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4390,3,855,250,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4392,3,243,355,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4394,3,613,113,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4397,3,976,319,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4400,3,732,310,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4401,3,731,374,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4404,3,122,287,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4406,3,492,45,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4407,3,854,315,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4410,3,1223,137,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4412,3,245,228,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4413,3,244,292,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4415,3,614,50,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4418,3,369,105,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4419,3,366,297,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4424,3,489,238,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4425,3,854,316,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4426,3,1225,10,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4434,3,2,156,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4435,3,4,28,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4440,3,854,317,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4441,3,1222,203,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4445,3,370,43,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4451,3,610,309,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4452,3,613,117,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4457,3,1346,81,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4458,3,1343,273,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4460,3,370,44,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4464,3,489,241,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4465,3,491,113,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4470,3,243,360,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4471,3,609,374,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4472,3,981,4,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4473,3,732,315,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4474,3,123,228,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4478,3,1220,334,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4487,3,489,243,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4490,3,1220,335,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4496,3,732,317,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4502,3,488,308,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4504,3,1224,80,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4511,3,124,167,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4512,3,126,39,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4513,3,489,245,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4517,3,854,323,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4521,3,1347,22,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4524,3,366,305,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4528,3,126,40,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4533,3,857,132,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4540,3,1098,334,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4541,3,124,169,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4542,3,487,375,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4548,3,1344,216,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4549,3,1345,152,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4550,3,1,229,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4551,3,367,243,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4553,3,733,257,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4554,3,1098,335,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4560,3,854,326,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4563,3,1220,340,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4567,3,244,303,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4569,3,978,203,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4570,3,979,139,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4571,3,1345,153,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4572,3,3,102,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4573,3,2,166,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4574,3,1098,336,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4575,3,1100,208,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4583,3,610,318,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4595,3,491,122,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4598,3,247,113,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4600,3,614,63,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4605,3,735,132,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4607,3,1099,274,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4608,3,124,173,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4610,3,488,315,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4612,3,245,242,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4623,3,488,316,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4624,3,490,188,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4625,3,857,138,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4626,3,1222,216,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4627,3,1220,344,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4637,3,1098,340,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4641,3,488,317,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4643,3,856,203,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4644,3,1222,217,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4645,3,244,308,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4647,3,610,322,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4648,3,611,258,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4654,3,369,121,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4655,3,125,112,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4658,3,492,62,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4660,3,1221,282,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4661,3,1223,154,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4663,3,611,259,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4664,3,981,17,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4665,3,1,236,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4667,3,367,250,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4668,3,1098,342,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4669,3,123,241,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4671,3,492,63,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4672,3,859,13,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4673,3,243,374,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4680,3,1345,160,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4683,3,733,265,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4684,3,1101,151,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4687,3,125,114,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4688,3,126,50,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4698,3,981,19,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4706,3,1224,93,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4707,3,248,56,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4716,3,734,203,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4717,3,1101,153,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4719,3,489,258,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4722,3,1225,30,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4723,3,244,313,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4725,3,979,149,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4727,3,1342,355,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4736,3,488,323,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4742,3,245,250,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4744,3,613,136,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4745,3,981,22,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4746,3,979,150,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4747,3,976,342,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4749,3,1,241,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4750,3,3,113,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4751,3,370,63,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4752,3,1101,155,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4753,3,493,4,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4761,3,1343,293,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4762,3,4,50,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4765,3,735,142,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4770,3,493,5,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4771,3,859,19,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4772,3,1225,33,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4773,3,243,380,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4782,3,368,193,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4783,3,367,257,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4784,3,1103,29,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4785,3,1102,93,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4786,3,488,326,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4787,3,855,276,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4794,3,366,322,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4795,3,371,2,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4798,3,732,336,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4801,3,123,249,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4802,3,122,313,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4804,3,854,341,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4810,3,977,282,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4811,3,979,154,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4813,3,1343,296,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4816,3,4,53,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4822,3,1101,159,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4823,3,124,186,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4825,3,857,150,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4830,3,610,333,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4832,3,371,4,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4833,3,1101,160,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4834,3,1099,288,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4836,3,125,123,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4837,3,491,137,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4840,3,610,334,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4841,3,615,14,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4844,3,981,28,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4847,3,371,5,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4848,3,367,261,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4850,3,854,344,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4854,3,610,335,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4857,3,4,56,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4858,3,366,326,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4862,3,490,203,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4864,3,857,153,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4867,3,1220,359,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4872,3,981,30,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4873,3,979,158,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4875,3,1344,236,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4876,3,1347,44,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4877,3,1099,291,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4878,3,1098,355,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4880,3,122,318,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4884,3,857,154,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4885,3,854,346,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4887,3,1222,232,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4888,3,249,3,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4894,3,1344,237,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4897,3,1,250,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4898,3,369,136,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4899,3,737,22,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4901,3,1100,228,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4902,3,1099,292,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4903,3,1101,164,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4905,3,1221,297,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4906,3,1220,361,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4913,3,369,137,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4919,3,245,261,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4924,3,981,33,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4927,3,1342,367,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4932,3,488,335,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4933,3,489,271,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4934,3,858,93,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4935,3,857,157,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4938,3,615,20,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4940,3,976,354,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4943,3,735,153,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4946,3,859,30,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4947,3,857,158,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4949,3,610,341,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4954,3,1346,113,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4956,3,1103,40,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4958,3,123,259,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4959,3,127,3,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4960,3,492,81,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4964,3,615,22,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4966,3,1344,242,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4969,3,855,288,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4977,3,1344,243,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4978,3,1343,307,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4982,3,1101,170,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4984,3,855,289,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4986,3,1221,303,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4988,3,613,152,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4989,3,612,216,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
