Date,Year,Month,Day,MonthName,MonthAndYear,MonthAndYearNum
2021-11-05 00:00:00.000,2021,11,5,"Nov","Nov-21",202111
2021-11-06 00:00:00.000,2021,11,6,"Nov","Nov-21",202111
2021-11-07 00:00:00.000,2021,11,7,"Nov","Nov-21",202111
2021-11-08 00:00:00.000,2021,11,8,"Nov","Nov-21",202111
2021-11-09 00:00:00.000,2021,11,9,"Nov","Nov-21",202111
2021-11-10 00:00:00.000,2021,11,10,"Nov","Nov-21",202111
2021-11-11 00:00:00.000,2021,11,11,"Nov","Nov-21",202111
2021-11-12 00:00:00.000,2021,11,12,"Nov","Nov-21",202111
2021-11-13 00:00:00.000,2021,11,13,"Nov","Nov-21",202111
2021-11-14 00:00:00.000,2021,11,14,"Nov","Nov-21",202111
2021-11-15 00:00:00.000,2021,11,15,"Nov","Nov-21",202111
2021-11-16 00:00:00.000,2021,11,16,"Nov","Nov-21",202111
2021-11-17 00:00:00.000,2021,11,17,"Nov","Nov-21",202111
