Index,Attribute:Slot,CPUTime,Duration (ms),Duration Text,End Time,End Time (int),EndTime,EventSubclass,IntegerData,ObjectName,Partition Event,RequestID,SessionID,Start Time (int),StartTime,TextData
15,03,156,3752,0 mins 4 sec,2022-03-20 17:54:32.000,20220320175432,2022-03-20 17:54:32.000,25,0,Suppliers-dd82d4c7-2c53-42dc-a512-8ed5bb15f0d3,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175428,2022-03-20 17:54:28.000,"let __AS_Query__ = Suppliers,
__AS_Table__ = Table.FromValue(__AS_Query__),
__AS_Compact__ = Table.RemoveColumns(__AS_Table__, Table.ColumnsOfType(__AS_Table__, { type table, type record, type list })),
__AS_Effective__ = Table.TransformColumnNames(__AS_Compact__, Text.Clean)
in __AS_Effective__"
16,07,172,3771,0 mins 4 sec,2022-03-20 17:54:32.000,20220320175432,2022-03-20 17:54:32.000,25,0,Products-1951eefd-487e-47d1-acd4-96896fa2b2b3,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175428,2022-03-20 17:54:28.000,"let __AS_Query__ = Products,
__AS_Table__ = Table.FromValue(__AS_Query__),
__AS_Compact__ = Table.RemoveColumns(__AS_Table__, Table.ColumnsOfType(__AS_Table__, { type table, type record, type list })),
__AS_Effective__ = Table.TransformColumnNames(__AS_Compact__, Text.Clean)
in __AS_Effective__"
17,06,172,3833,0 mins 4 sec,2022-03-20 17:54:32.000,20220320175432,2022-03-20 17:54:32.000,25,0,Categories-4bd4c706-bd36-4d75-838e-2e58d7a7d15a,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175428,2022-03-20 17:54:28.000,"let __AS_Query__ = Categories,
__AS_Table__ = Table.FromValue(__AS_Query__),
__AS_Compact__ = Table.RemoveColumns(__AS_Table__, Table.ColumnsOfType(__AS_Table__, { type table, type record, type list })),
__AS_Effective__ = Table.TransformColumnNames(__AS_Compact__, Text.Clean)
in __AS_Effective__"
18,04,156,3867,0 mins 4 sec,2022-03-20 17:54:32.000,20220320175432,2022-03-20 17:54:32.000,25,0,Customers-9b267f2a-d56d-4c80-8561-2d19309878bb,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175428,2022-03-20 17:54:28.000,"let __AS_Query__ = Customers,
__AS_Table__ = Table.FromValue(__AS_Query__),
__AS_Compact__ = Table.RemoveColumns(__AS_Table__, Table.ColumnsOfType(__AS_Table__, { type table, type record, type list })),
__AS_Effective__ = Table.TransformColumnNames(__AS_Compact__, Text.Clean)
in __AS_Effective__"
19,01,219,4022,0 mins 4 sec,2022-03-20 17:54:32.000,20220320175432,2022-03-20 17:54:32.000,25,0,Employees-4d52b04d-7e3c-4b2f-88e2-84f70329223f,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175428,2022-03-20 17:54:28.000,"let __AS_Query__ = Employees,
__AS_Table__ = Table.FromValue(__AS_Query__),
__AS_Compact__ = Table.RemoveColumns(__AS_Table__, Table.ColumnsOfType(__AS_Table__, { type table, type record, type list })),
__AS_Effective__ = Table.TransformColumnNames(__AS_Compact__, Text.Clean)
in __AS_Effective__"
20,03,16,765,0 mins 1 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,17,29,Suppliers-dd82d4c7-2c53-42dc-a512-8ed5bb15f0d3,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175432,2022-03-20 17:54:32.000,Finished reading data for the 'Suppliers' table.
35,03,16,768,0 mins 1 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,1,0,Suppliers-dd82d4c7-2c53-42dc-a512-8ed5bb15f0d3,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175432,2022-03-20 17:54:32.000,Finished processing the 'Suppliers-dd82d4c7-2c53-42dc-a512-8ed5bb15f0d3' partition of the 'Suppliers' table.
36,03,328,4953,0 mins 5 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,Suppliers-dd82d4c7-2c53-42dc-a512-8ed5bb15f0d3,True,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175428,2022-03-20 17:54:28.000,Finished processing partition 'Suppliers-dd82d4c7-2c53-42dc-a512-8ed5bb15f0d3' of table 'Suppliers'.
37,,0,0,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,ContactName,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'ContactName' of table 'Suppliers'.
38,,0,1,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,Region,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'Region' of table 'Suppliers'.
39,,0,1,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,CompanyName,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'CompanyName' of table 'Suppliers'.
40,,0,1,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,City,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'City' of table 'Suppliers'.
41,,0,1,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,PostalCode,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'PostalCode' of table 'Suppliers'.
42,,0,1,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61' of table 'Suppliers'.
43,,0,1,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,Phone,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'Phone' of table 'Suppliers'.
44,,0,1,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,SupplierID,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'SupplierID' of table 'Suppliers'.
45,,0,2,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,Address,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'Address' of table 'Suppliers'.
46,,0,2,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,ContactTitle,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'ContactTitle' of table 'Suppliers'.
47,,0,2,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,HomePage,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'HomePage' of table 'Suppliers'.
48,,0,2,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,Fax,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'Fax' of table 'Suppliers'.
49,,0,3,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,Country,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'Country' of table 'Suppliers'.
50,06,0,751,0 mins 1 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,17,8,Categories-4bd4c706-bd36-4d75-838e-2e58d7a7d15a,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175432,2022-03-20 17:54:32.000,Finished reading data for the 'Categories' table.
56,06,0,752,0 mins 1 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,1,0,Categories-4bd4c706-bd36-4d75-838e-2e58d7a7d15a,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175432,2022-03-20 17:54:32.000,Finished processing the 'Categories-4bd4c706-bd36-4d75-838e-2e58d7a7d15a' partition of the 'Categories' table.
57,06,297,4995,0 mins 5 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,Categories-4bd4c706-bd36-4d75-838e-2e58d7a7d15a,True,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175428,2022-03-20 17:54:28.000,Finished processing partition 'Categories-4bd4c706-bd36-4d75-838e-2e58d7a7d15a' of table 'Categories'.
58,,0,0,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61' of table 'Categories'.
59,,0,0,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,Description,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'Description' of table 'Categories'.
60,,0,0,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,CategoryID,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'CategoryID' of table 'Categories'.
61,,0,0,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,CategoryName,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'CategoryName' of table 'Categories'.
62,01,0,1194,0 mins 1 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,17,9,Employees-4d52b04d-7e3c-4b2f-88e2-84f70329223f,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175432,2022-03-20 17:54:32.000,Finished reading data for the 'Employees' table.
85,01,0,1198,0 mins 1 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,1,0,Employees-4d52b04d-7e3c-4b2f-88e2-84f70329223f,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175432,2022-03-20 17:54:32.000,Finished processing the 'Employees-4d52b04d-7e3c-4b2f-88e2-84f70329223f' partition of the 'Employees' table.
86,01,313,5563,0 mins 5 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,Employees-4d52b04d-7e3c-4b2f-88e2-84f70329223f,True,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175428,2022-03-20 17:54:28.000,Finished processing partition 'Employees-4d52b04d-7e3c-4b2f-88e2-84f70329223f' of table 'Employees'.
87,,0,0,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,Notes,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'Notes' of table 'Employees'.
88,,0,1,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,HireDate,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'HireDate' of table 'Employees'.
89,,0,0,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,ReportsTo,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'ReportsTo' of table 'Employees'.
90,,0,0,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,HomePhone,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'HomePhone' of table 'Employees'.
91,,0,0,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,Gender,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'Gender' of table 'Employees'.
92,,0,1,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,Title,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'Title' of table 'Employees'.
93,,0,1,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,PhotoPath,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'PhotoPath' of table 'Employees'.
94,,0,1,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,Full Name,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'Full Name' of table 'Employees'.
95,,0,2,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,FirstName,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'FirstName' of table 'Employees'.
96,,0,2,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,TitleOfCourtesy,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'TitleOfCourtesy' of table 'Employees'.
97,,0,2,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,Address,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'Address' of table 'Employees'.
98,,0,1,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,PostalCode,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'PostalCode' of table 'Employees'.
99,,0,1,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,Extension,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'Extension' of table 'Employees'.
100,07,0,1393,0 mins 1 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,17,77,Products-1951eefd-487e-47d1-acd4-96896fa2b2b3,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175432,2022-03-20 17:54:32.000,Finished reading data for the 'Products' table.
101,,0,13,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,Country,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'Country' of table 'Employees'.
102,,0,14,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,BirthDate,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'BirthDate' of table 'Employees'.
103,,0,15,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,City,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'City' of table 'Employees'.
105,,0,15,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61' of table 'Employees'.
106,,0,15,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,LastName,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'LastName' of table 'Employees'.
107,,0,15,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,Region,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'Region' of table 'Employees'.
120,07,0,1396,0 mins 1 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,1,0,Products-1951eefd-487e-47d1-acd4-96896fa2b2b3,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175432,2022-03-20 17:54:32.000,Finished processing the 'Products-1951eefd-487e-47d1-acd4-96896fa2b2b3' partition of the 'Products' table.
121,07,297,5558,0 mins 5 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,Products-1951eefd-487e-47d1-acd4-96896fa2b2b3,True,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175428,2022-03-20 17:54:28.000,Finished processing partition 'Products-1951eefd-487e-47d1-acd4-96896fa2b2b3' of table 'Products'.
122,,0,1,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,ReorderLevel,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'ReorderLevel' of table 'Products'.
123,,0,1,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,Discontinued,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'Discontinued' of table 'Products'.
124,,0,1,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,UnitsInStock,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'UnitsInStock' of table 'Products'.
125,,0,1,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,ProductID,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'ProductID' of table 'Products'.
126,,0,1,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,CategoryID,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'CategoryID' of table 'Products'.
127,,0,1,0 mins 0 sec,2022-03-20 17:54:33.000,20220320175433,2022-03-20 17:54:33.000,59,0,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175433,2022-03-20 17:54:33.000,Finished processing hierarchy 'RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61' of table 'Products'.
