State,Year,Miles (millions),Fatalities
"Illinois",2010,105787.8524,927
"Indiana",2010,75760.50984,754
"Iowa",2010,31388.61561,390
"Kansas",2010,29899.65838,431
"Kentucky",2010,48006.7429,760
"Louisiana",2010,45438.69082,721
"Maine",2010,14549.3831,161
"Maryland",2010,56125.52196,496
"Massachusetts",2010,54361.98633,347
"Michigan",2010,97567.36027,942
"Minnesota",2010,56631.67446,411
"Mississippi",2010,39841.02978,641
"Missouri",2010,70863.99668,821
"Montana",2010,11189.80595,189
"Nebraska",2010,19437.95166,190
"Nevada",2010,22201.41949,257
"New Hampshire",2010,13065.22025,128
"New Jersey",2010,73027.65919,556
"New Mexico",2010,25273.67897,349
"New York",2010,131252.0615,1201
"North Carolina",2010,102384.9676,1320
"North Dakota",2010,8262.258786,105
"Ohio",2010,111835.7316,1080
"Oklahoma",2010,47745.91733,668
"Oregon",2010,33774.10556,317
"Pennsylvania",2010,100328.7123,1324
"Rhode Island",2010,8280.220439,67
"South Carolina",2010,49124.3352,809
"South Dakota",2010,8865.980485,140
"Tennessee",2010,70438.82433,1032
"Texas",2010,234015.906,3023
"Utah",2010,26585.22215,253
"Vermont",2010,7247.55584,71
"Virginia",2010,82170.61428,740
"Washington",2010,57190.44282,460
"West Virginia",2010,19203.03357,315
"Wisconsin",2010,59420.26643,572
"Wyoming",2010,9362.789824,155
"Alabama",2011,64914.37237,895
"Alaska",2011,4593.089397,72
"Arizona",2011,59574.9492,826
"Arkansas",2011,32952.94952,551
"California",2011,320783.9054,2816
"Colorado",2011,46606.26373,447
"Connecticut",2011,31197.24686,221
"Delaware",2011,9028.172588,99
"District of Columbia",2011,3568.115084,27
"Florida",2011,191854.9549,2400
"Georgia",2011,108453.5027,1226
"Hawaii",2011,10066.37931,100
"Idaho",2011,15936.59932,167
"Illinois",2011,103234.0169,918
"Indiana",2011,76485.23088,751
"Iowa",2011,31274.31114,360
"Kansas",2011,30021.24703,386
"Kentucky",2011,48061.31448,720
"Louisiana",2011,46512.71124,680
"Maine",2011,14248.22904,136
"Maryland",2011,56220.50652,485
"Massachusetts",2011,54791.71248,374
"Michigan",2011,94754.26973,889
"Minnesota",2011,56684.71798,368
"Mississippi",2011,38850.7218,630
"Missouri",2011,68789.22335,786
"Montana",2011,11659.59807,209
"Nebraska",2011,19093.31857,181
"Nevada",2011,24189.31581,246
"New Hampshire",2011,12719.52976,90
"New Jersey",2011,73093.7711,627
"New Mexico",2011,25650.16525,350
"New York",2011,127725.6673,1171
"North Carolina",2011,103772.3593,1230
"North Dakota",2011,9130.650273,148
"Ohio",2011,111989.9482,1017
"Oklahoma",2011,47463.57742,696
"Oregon",2011,33373.39764,331
"Pennsylvania",2011,99204.17877,1286
"Rhode Island",2011,7901.42839,66
"South Carolina",2011,48730.17947,828
"South Dakota",2011,9002.048071,111
"Tennessee",2011,70751.10387,937
"Texas",2011,237439.8911,3054
"Utah",2011,26221.62634,243
"Vermont",2011,7141.03908,55
"Virginia",2011,80973.99206,764
"Washington",2011,56954.57284,454
"West Virginia",2011,18963.12603,338
"Wisconsin",2011,58553.70387,582
"Wyoming",2011,9244.90554,135
"Alabama",2012,64959.17207,865
"Alaska",2012,4792.081999,59
"Arizona",2012,60129.35825,821
"Arkansas",2012,33522.13681,560
"California",2012,326271.6506,2966
"Colorado",2012,46768.77109,474
"Connecticut",2012,31269.36372,264
"Delaware",2012,9185.73807,114
"District of Columbia",2012,3571.830096,15
"Florida",2012,191373.7705,2431
"Georgia",2012,107488.4972,1192
"Hawaii",2012,10049.66346,125
"Idaho",2012,16314.57164,184
"Illinois",2012,104578.407,956
"Indiana",2012,78922.58,781
"Iowa",2012,31596.24047,365
"Kansas",2012,30572.47519,405
"Kentucky",2012,47343.94452,746
"Louisiana",2012,46889.04026,723
"Maine",2012,14198.8263,164
"Maryland",2012,56475.58826,511
"Massachusetts",2012,55939.71675,383
"Michigan",2012,94547.98654,940
"Minnesota",2012,56988.31803,395
"Mississippi",2012,38667.12981,582
"Missouri",2012,68503.68445,826
"Montana",2012,11885.12375,205
"Nebraska",2012,19276.55085,212
"Nevada",2012,24148.28844,261
"New Hampshire",2012,12893.65174,108
"New Jersey",2012,74225.3757,589
"New Mexico",2012,25561.64959,366
"New York",2012,128220.5631,1180
"North Carolina",2012,104949.9412,1299
"North Dakota",2012,10081.49157,170
"Ohio",2012,112715.1131,1121
"Oklahoma",2012,47871.81167,709
"Oregon",2012,33172.93743,337
"Pennsylvania",2012,98884.38578,1310
"Rhode Island",2012,7806.872883,64
"South Carolina",2012,49036.19029,863
"South Dakota",2012,9113.47146,133
"Tennessee",2012,71166.87119,1015
"Texas",2012,237835.8227,3408
"Utah",2012,26527.83436,217
"Vermont",2012,7215.657792,77
"Virginia",2012,80958.66779,776
"Washington",2012,56762.00621,438
"West Virginia",2012,19225.78561,339
"Wisconsin",2012,59087.29989,615
"Wyoming",2012,9270.993558,123
"Alabama",2013,65046.48393,853
"Alaska",2013,4848.454772,51
"Arizona",2013,60586.17136,849
"Arkansas",2013,33493.27431,498
"California",2013,329534.133,3107
"Colorado",2013,46968.08474,482
"Connecticut",2013,30941.1856,286
"Delaware",2013,9307.81002,99
"District of Columbia",2013,3527.268919,20
"Florida",2013,192701.8157,2403
"Georgia",2013,109354.5119,1180
"Hawaii",2013,10099.35059,102
"Idaho",2013,15980.10637,214
"Illinois",2013,105297.1041,991
"Indiana",2013,78311.29441,784
"Iowa",2013,31641.00166,317
"Kansas",2013,30208.2842,350
"Kentucky",2013,46995.99686,638
"Louisiana",2013,47757.96708,703
"Maine",2013,14129.25004,144
"Maryland",2013,56687.63974,465
"Massachusetts",2013,56311.17282,351
"Michigan",2013,95131.56498,947
"Minnesota",2013,56974.04513,387
"Mississippi",2013,38757.69339,613
"Missouri",2013,69458.42184,757
"Montana",2013,12032.72721,229
"Nebraska",2013,19321.5614,211
"Nevada",2013,24649.41667,266
"New Hampshire",2013,12902.81476,135
"New Jersey",2013,74529.79194,542
"New Mexico",2013,25086.11077,311
"New York",2013,129736.7468,1202
"North Carolina",2013,105212.5578,1290
"North Dakota",2013,10099.64871,148
"Ohio",2013,112766.7288,989
"Oklahoma",2013,47998.60776,678
"Oregon",2013,33705.84607,313
"Pennsylvania",2013,98627.97611,1210
"Rhode Island",2013,7775.124822,65
"South Carolina",2013,48986.25958,767
"South Dakota",2013,9121.797359,135
"Tennessee",2013,71067.04361,995
"Texas",2013,244524.8829,3389
"Utah",2013,27005.47607,220
"Vermont",2013,7115.877038,69
"Virginia",2013,80767.0057,740
"Washington",2013,57211.21142,436
"West Virginia",2013,19232.34743,332
"Wisconsin",2013,59486.15042,543
"Wyoming",2013,9308.940396,87
"Alabama",2014,65666.60432,820
"Alaska",2014,4856.704008,73
"Arizona",2014,62630.73598,773
"Arkansas",2014,34023.96012,470
"California",2014,332857.198,3102
"Colorado",2014,48985.14118,488
"Connecticut",2014,31190.31408,248
"Delaware",2014,9596.403603,124
"District of Columbia",2014,3527.5882,23
"Florida",2014,201040.4039,2494
"Georgia",2014,111534.8934,1164
"Hawaii",2014,10174.34633,95
"Idaho",2014,16154.04002,186
"Illinois",2014,104905.5064,924
"Indiana",2014,79203.62949,745
"Iowa",2014,31413.67447,322
"Kansas",2014,30709.71729,385
"Kentucky",2014,47940.63478,672
"Louisiana",2014,48251.73611,740
"Maine",2014,14301.4973,131
"Maryland",2014,56431.74512,442
"Massachusetts",2014,57552.34578,354
"Michigan",2014,97384.02233,901
"Minnesota",2014,57394.87165,361
"Mississippi",2014,39499.19021,607
"Missouri",2014,70909.03657,766
"Montana",2014,12157.12895,192
"Nebraska",2014,19612.58157,225
"Nevada",2014,25301.90126,291
"New Hampshire",2014,12970.40852,95
"New Jersey",2014,74856.38516,556
"New Mexico",2014,25347.19786,386
"New York",2014,129263.0117,1041
"North Carolina",2014,108012.1312,1284
"North Dakota",2014,10511.26907,135
"Ohio",2014,112766.2818,1006
"Oklahoma",2014,47698.78222,669
"Oregon",2014,34610.07129,357
"Pennsylvania",2014,99881.53756,1195
"Rhode Island",2014,7676.978023,51
"South Carolina",2014,49931.2691,823
"South Dakota",2014,9225.040605,136
"Tennessee",2014,72335.75425,963
"Texas",2014,243075.8458,3536
"Utah",2014,27554.41929,256
"Vermont",2014,7059.200784,44
"Virginia",2014,80984.63614,703
"Washington",2014,58059.8,462
"West Virginia",2014,19117.49047,272
"Wisconsin",2014,60053.38039,506
"Wyoming",2014,9457.283095,150
"Alabama",2015,67257.00465,850
"Alaska",2015,5045.390231,65
"Arizona",2015,65044.85807,897
"Arkansas",2015,34897.33423,550
"California",2015,335538.5566,3387
"Colorado",2015,50437.33835,547
"Connecticut",2015,31591.79366,270
"Delaware",2015,9930.610378,131
"District of Columbia",2015,3557.192653,23
"Florida",2015,206982.4642,2938
"Georgia",2015,118106.5611,1432
"Hawaii",2015,10300.52988,93
"Idaho",2015,16661.94971,216
"Illinois",2015,105223.406,998
"Indiana",2015,78818.67261,817
"Iowa",2015,33160.97573,320
"Kansas",2015,31379.12459,355
"Kentucky",2015,48674.69601,761
"Louisiana",2015,48180.25257,752
"Maine",2015,14629.43917,156
"Maryland",2015,57515.82372,520
"Massachusetts",2015,59257.48057,344
"Michigan",2015,97843.1965,967
"Minnesota",2015,57394.87167,411
"Mississippi",2015,39890.36248,677
"Missouri",2015,71917.51859,870
"Montana",2015,12345.07126,224
"Nebraska",2015,20100.95861,246
"Nevada",2015,25925.4421,326
"New Hampshire",2015,13093.74176,114
"New Jersey",2015,75393.41931,561
"New Mexico",2015,27435.41838,298
"New York",2015,127230.2144,1136
"North Carolina",2015,111878.5688,1379
"North Dakota",2015,10036.21684,131
"Ohio",2015,113672.5052,1110
"Oklahoma",2015,47713.00021,645
"Oregon",2015,35998.50454,446
"Pennsylvania",2015,100945.0602,1200
"Rhode Island",2015,7832.561416,45
"South Carolina",2015,51726.04848,979
"South Dakota",2015,9324.353332,134
"Tennessee",2015,76670.31841,962
"Texas",2015,258122.3092,3582
"Utah",2015,29603.66349,278
"Vermont",2015,7313.841852,57
"Virginia",2015,82624.52764,754
"Washington",2015,59652.50424,551
"West Virginia",2015,19826.64297,268
"Wisconsin",2015,62073.36822,566
"Wyoming",2015,9597.036265,145
"Alabama",2016,69226.97081,1083
"Alaska",2016,5258.555818,84
"Arizona",2016,65785.73004,952
"Arkansas",2016,35754.7969,561
"California",2016,340114.9368,3837
"Colorado",2016,52151.61111,608
"Connecticut",2016,31638.569,304
"Delaware",2016,10177.58523,119
"District of Columbia",2016,3621.959298,27
"Florida",2016,215550.7493,3176
"Georgia",2016,122802.1859,1556
"Hawaii",2016,10635.42844,120
"Idaho",2016,17198.71536,253
"Illinois",2016,107314.1027,1078
"Indiana",2016,83182.77568,829
"Iowa",2016,33336.97203,402
"Kansas",2016,32102.60971,429
"Kentucky",2016,49312.718,834
"Louisiana",2016,49155.61297,757
"Maine",2016,14838.25752,160
"Maryland",2016,59137.32716,522
"Massachusetts",2016,61824.85135,387
"Michigan",2016,99432.53809,1065
"Minnesota",2016,59028.80169,392
"Mississippi",2016,40754.70886,687
"Missouri",2016,74018.57646,947
"Montana",2016,12598.72287,190
"Nebraska",2016,20699.916,218
"Nevada",2016,26787.98836,329
"New Hampshire",2016,13512.59654,136
"New Jersey",2016,77092.63216,602
"New Mexico",2016,27885.52084,405
"New York",2016,122929.9694,1041
"North Carolina",2016,116748.6809,1450
"North Dakota",2016,9739.208759,113
"Ohio",2016,118607.6223,1132
"Oklahoma",2016,49013.27792,687
"Oregon",2016,36719.18866,498
"Pennsylvania",2016,101362.4929,1188
"Rhode Island",2016,7927.070507,51
"South Carolina",2016,54552.64223,1020
"South Dakota",2016,9506.534323,116
"Tennessee",2016,76883.74738,1037
"Texas",2016,271262.8383,3797
"Utah",2016,31448.89706,281
"Vermont",2016,7381.890092,62
"Virginia",2016,84462.67161,760
"Washington",2016,61017.81094,536
"West Virginia",2016,19539.44268,269
"Wisconsin",2016,64046.40659,607
"Wyoming",2016,9322.542399,112
"Alabama",2017,70677.2482,948
"Alaska",2017,5518.7163,79
"Arizona",2017,65069.57894,998
"Arkansas",2017,36389.32516,525
"California",2017,343862.1124,3884
"Colorado",2017,53382.10272,648
"Connecticut",2017,31500.06154,281
"Delaware",2017,10466.907,119
"District of Columbia",2017,3715.86458,31
"Florida",2017,218825.8034,3116
"Georgia",2017,124733.3944,1540
"Hawaii",2017,10748.61946,107
"Idaho",2017,17300.37193,245
"Illinois",2017,108011.2553,1090
"Indiana",2017,81751.85677,916
"Iowa",2017,33482.08768,330
"Kansas",2017,32258.18896,461
"Kentucky",2017,49239.33409,782
"Louisiana",2017,49220.89766,770
"Maine",2017,14738.11789,173
"Maryland",2017,60044.56432,558
"Massachusetts",2017,62660.41137,347
"Michigan",2017,101757.1987,1031
"Minnesota",2017,59970.85392,358
"Mississippi",2017,40877.09802,685
"Missouri",2017,75911.31624,932
"Montana",2017,12644.67235,186
"Nebraska",2017,21002.01479,228
"Nevada",2017,27587.00971,311
"New Hampshire",2017,13681.37662,102
"New Jersey",2017,77508.60231,624
"New Mexico",2017,29680.1674,380
"New York",2017,123731.84,1006
"North Carolina",2017,119176.3686,1412
"North Dakota",2017,9716.83639,116
"Ohio",2017,119597.9667,1179
"Oklahoma",2017,49402.26041,657
"Oregon",2017,36752.88329,439
"Pennsylvania",2017,101614.0539,1137
"Rhode Island",2017,8000.98044,84
"South Carolina",2017,55497.23573,989
"South Dakota",2017,9642.55937,129
"Tennessee",2017,82253.26396,1024
"Texas",2017,272980.9071,3732
"Utah",2017,31475.02571,273
"Vermont",2017,7424.41989,69
"Virginia",2017,85262.94494,839
"Washington",2017,61419.92487,563
"West Virginia",2017,19072.33545,304
"Wisconsin",2017,65323.70927,613
"Wyoming",2017,9784.66527,123
"Alabama",2018,71167.20675,953
"Alaska",2018,5487.319994,80
"Arizona",2018,66144.51121,1010
"Arkansas",2018,36675.30905,516
"California",2018,348795.7135,3563
"Colorado",2018,53953.6075,632
"Connecticut",2018,31595.70533,294
"Delaware",2018,10179.38381,111
"District of Columbia",2018,3690.677971,31
"Florida",2018,221815.7407,3133
"Georgia",2018,131455.5328,1504
"Hawaii",2018,10886.76775,117
"Idaho",2018,17709.14577,231
"Illinois",2018,107954.2539,1031
"Indiana",2018,81528.8118,858
"Iowa",2018,33282.40004,318
"Kansas",2018,32190.41298,404
"Kentucky",2018,49543.60624,724
"Louisiana",2018,50045.42745,768
"Maine",2018,14783.55489,137
"Maryland",2018,59775.43547,501
"Massachusetts",2018,66771.98073,360
"Michigan",2018,102397.5575,974
"Minnesota",2018,60438.31409,381
"Mississippi",2018,40730.43949,664
"Missouri",2018,76594.99928,921
"Montana",2018,12699.63599,182
"Nebraska",2018,20974.73509,230
"Nevada",2018,28319.01217,330
"New Hampshire",2018,13776.47306,147
"New Jersey",2018,77538.91117,564
"New Mexico",2018,27288.30697,391
"New York",2018,123510.3986,943
"North Carolina",2018,121127.2486,1437
"North Dakota",2018,9855.663669,105
"Ohio",2018,114474.4406,1068
"Oklahoma",2018,45433.01282,655
"Oregon",2018,36848.41693,506
"Pennsylvania",2018,102109.4468,1190
"Rhode Island",2018,8008.582207,59
"South Carolina",2018,56800.68275,1037
"South Dakota",2018,9719.406133,130
"Tennessee",2018,81321.49097,1041
"Texas",2018,282037.2651,3642
"Utah",2018,32069.28791,260
"Vermont",2018,7346.350178,68
"Virginia",2018,85336.10206,820
"Washington",2018,62366.65613,546
"West Virginia",2018,19447.32321,294
"Wisconsin",2018,65885.43495,588
"Wyoming",2018,10438.44261,111
