Apellidos y Nombres,variable,value
Lay Sun Humberto,Votacion Obtenida,215066.0
Romero Rodríguez Eulogio Amado,Votacion Obtenida,5.915
Ruiz Loayza Wilder,Votacion Obtenida,10789.0
Iberico Nuñez Luis Carlos Antonio,Votacion Obtenida,53494.0
Mendoza Frisch Verónika Fanny,Votacion Obtenida,47088.0
Angulo Álvarez Roberto Edmundo,Votacion Obtenida,24512.0
Ccama Layme Francisco,Votacion Obtenida,15045.0
Cárdenas Cerrón Johnny,Votacion Obtenida,34017.0
Luna Gálvez José León,Votacion Obtenida,69996.0
Inga Vásquez Leonardo Agustín,Votacion Obtenida,25937.0
Valle Ramírez Willyam Tito,Votacion Obtenida,13095.0
Pérez Del Solar Cuculiza Gabriela Lourdes,Votacion Obtenida,60530.0
Rodríguez Zavaleta Elías Nicolás,Votacion Obtenida,39690.0
Oseda Soto Doris Gladys,Votacion Obtenida,32146.0
Cuculiza Torre Luisa María,Votacion Obtenida,77292.0
Rosas Huaranga Julio Pablo,Votacion Obtenida,75322.0
Hurtado Zamudio Jesús Panfilo,Votacion Obtenida,14632.0
Canches Guzmán Rogelio Antenor,Votacion Obtenida,28460.0
Yrupailla Montes César Elmer,Votacion Obtenida,16842.0
Chehade Moya Omar Karim,Votacion Obtenida,31320.0
Gutiérrez Cóndor Josue Manuel,Votacion Obtenida,29655.0
Tait Villacorta Cecilia,Votacion Obtenida,78829.0
Bedoya De Vivanco Javier,Votacion Obtenida,51051.0
Chacón De Vettori Cecilia Isabel,Votacion Obtenida,15762.0
Molina Martínez Agustín F.,Votacion Obtenida,17108.0
Espinoza Rosales Rennán Samuel,Votacion Obtenida,60791.0
López Córdova María Magdalena,Votacion Obtenida,28948.0
Crisólogo Espejo Víctor Walberto,Votacion Obtenida,12352.0
Reggiardo Barreto Renzo Andrés,Votacion Obtenida,43541.0
Llatas Altamirano Cristóbal Luis,Votacion Obtenida,17731.0
Isla Rojas Víctor,Votacion Obtenida,18131.0
Otárola Peñaranda Fredy Rolando,Periodo de Inicio,2011-07-27 00:00:00.000
Chávez Cossío Martha Gladys,Periodo de Inicio,2011-07-27 00:00:00.000
Condori Jahuira Gladys Natalie,Periodo de Inicio,2011-07-27 00:00:00.000
Tapia Bernal Segundo Leocadio,Periodo de Inicio,2011-07-27 00:00:00.000
Bruce Montes De Oca Carlos Ricardo,Periodo de Inicio,2011-07-27 00:00:00.000
Rivas Texeira Martín,Periodo de Inicio,2011-07-27 00:00:00.000
Condori Cusi Rubén,Periodo de Inicio,2011-07-27 00:00:00.000
Lewis Del Alcázar Norman David,Periodo de Inicio,2011-07-27 00:00:00.000
León Rivera José Raguberto,Periodo de Inicio,2011-07-27 00:00:00.000
Medina Ortiz Antonio,Periodo de Inicio,2011-07-27 00:00:00.000
Acuña Núñez Richard Frank,Periodo de Inicio,2011-07-27 00:00:00.000
Neyra Olaychea Angel,Periodo de Inicio,2011-07-27 00:00:00.000
Teves Quispe Julia,Periodo de Inicio,2011-07-27 00:00:00.000
Dammert Ego Aguirre Manuel Enrique Ernesto,Periodo de Inicio,2011-07-27 00:00:00.000
Eguren Neuenschwander Juan Carlos,Periodo de Inicio,2011-07-27 00:00:00.000
Zeballos Salinas Vicente Antonio,Periodo de Inicio,2011-07-27 00:00:00.000
Tan De Inafuko Aurelia,Periodo de Inicio,2011-07-27 00:00:00.000
Mora Zevallos Daniel Emiliano,Periodo de Inicio,2011-07-27 00:00:00.000
Pérez Tello De Rodríguez María Soledad,Periodo de Inicio,2011-07-27 00:00:00.000
Simon Munaro Yehude,Periodo de Inicio,2011-07-27 00:00:00.000
Delgado Zegarra Jaime Ricardo,Periodo de Inicio,2011-07-27 00:00:00.000
Reynaga Soto Jhon Arquimides,Periodo de Inicio,2011-07-27 00:00:00.000
Grández Saldaña Víctor Raul,Periodo de Inicio,2011-07-27 00:00:00.000
Tejada Galindo Sergio Fernando,Periodo de Inicio,2011-07-27 00:00:00.000
Díaz Dios Juan José,Periodo de Inicio,2011-07-27 00:00:00.000
Chihuán Ramos Leyla Felicita,Periodo de Inicio,2011-07-27 00:00:00.000
Abugattás Majluf Daniel,Periodo de Inicio,2011-07-27 00:00:00.000
Gastañadui Ramírez Santiago,Periodo de Inicio,2011-07-27 00:00:00.000
Gagó Pérez Julio César,Periodo de Inicio,2011-07-27 00:00:00.000
Mavila León Rosa Delsa,Periodo de Inicio,2011-07-27 00:00:00.000
Saavedra Vela Esther,Periodo de Inicio,2011-07-27 00:00:00.000
Bardález Cochagne Aldo Maximiliano,Periodo de Inicio,2011-07-27 00:00:00.000
Cordero Jon Tay María del Pilar,Periodo de Inicio,2011-07-27 00:00:00.000
Reátegui Flores Rolando,Periodo de Inicio,2011-07-27 00:00:00.000
Carrillo Cavero Hugo,Periodo de Inicio,2011-07-27 00:00:00.000
Velásquez Quesquén Angel Javier,Periodo de Inicio,2011-07-27 00:00:00.000
Huaire Chuquichaico Casio Faustino,Periodo de Inicio,2011-07-27 00:00:00.000
Apaza Ordóñez Justiniano Rómulo,Periodo de Inicio,2011-07-27 00:00:00.000
Gamarra Saldívar Teófilo,Periodo de Inicio,2011-07-27 00:00:00.000
Pariona Galindo Federico,Periodo de Inicio,2011-07-27 00:00:00.000
Becerril Rodríguez Héctor Virgilio,Periodo de Inicio,2011-07-27 00:00:00.000
Urquizo Maggia José Antonio,Periodo de Inicio,2011-07-27 00:00:00.000
Beingolea Delgado Alberto Ismael,Periodo de Inicio,2011-07-27 00:00:00.000
Tubino Arias Schreiber Carlos Mario Del Carmen,Periodo de Inicio,2011-07-27 00:00:00.000
Zamudio Briceño Tomás Martín,Periodo de Inicio,2011-07-27 00:00:00.000
Benítez Rivas Heriberto Manuel,Periodo de Inicio,2011-07-27 00:00:00.000
Rimarachín Cabrera Jorge Antonio,Periodo de Inicio,2011-07-27 00:00:00.000
Vacchelli Corbetto Gian Carlo,Periodo de Inicio,2011-07-27 00:00:00.000
Valencia Quiroz Jaime Rubén,Periodo de Inicio,2011-07-27 00:00:00.000
Melgar Valdez Elard Galo,Periodo de Inicio,2011-07-27 00:00:00.000
Mulder Bedoya Mauricio,Periodo de Inicio,2011-07-27 00:00:00.000
Neyra Huamaní Rofilio T.,Periodo de Inicio,2011-07-27 00:00:00.000
Rondón Fudinaga Gustavo Bernardo,Periodo de Inicio,2011-07-27 00:00:00.000
Núñez Campos Carmen Rosa,Periodo de Inicio,2014-01-06 00:00:00.000
Elías Ávalos José Luis,Periodo de Inicio,2011-07-27 00:00:00.000
García Belaúnde Víctor Andrés,Periodo de Inicio,2011-07-27 00:00:00.000
Coa Aguilar Rubén Rolando,Periodo de Inicio,2011-07-27 00:00:00.000
De La Torre Dueñas Hernán,Periodo de Inicio,2011-07-27 00:00:00.000
Cabrera Ganoza Eduardo Felipe,Periodo de Inicio,2011-07-27 00:00:00.000
Kobashigawa Kobashigawa Ramón,Periodo de Inicio,2011-07-27 00:00:00.000
Sarmiento Betancourt Freddy Fernando,Periodo de Inicio,2011-07-27 00:00:00.000
Anicama Ñáñez Elsa Celia,Periodo de Inicio,2011-07-27 00:00:00.000
Acha Romaní Walter,Periodo de Inicio,2011-07-27 00:00:00.000
Schaefer Cuculiza Karla Melissa,Periodo de Inicio,2011-07-27 00:00:00.000
Julca Jara Dalmacio Modesto,Periodo de Inicio,2011-07-27 00:00:00.000
Guevara Amasifuén Mesias Antonio,Periodo de Inicio,2011-07-27 00:00:00.000
Aguinaga Recuenco Alejandro Aurelio,Periodo de Inicio,2011-07-27 00:00:00.000
Jara Velásquez Ana Ethel Del Rosario,Periodo de Inicio,2011-07-27 00:00:00.000
Capuñay Quispe Esther Yovana,Periodo de Inicio,2011-07-27 00:00:00.000
Lay Sun Humberto,Periodo de Inicio,2011-07-27 00:00:00.000
Romero Rodríguez Eulogio Amado,Periodo de Inicio,2011-07-27 00:00:00.000
Ruiz Loayza Wilder,Periodo de Inicio,2011-07-27 00:00:00.000
Iberico Nuñez Luis Carlos Antonio,Periodo de Inicio,2011-07-27 00:00:00.000
Mendoza Frisch Verónika Fanny,Periodo de Inicio,2011-07-27 00:00:00.000
Angulo Álvarez Roberto Edmundo,Periodo de Inicio,2011-07-27 00:00:00.000
Ccama Layme Francisco,Periodo de Inicio,2011-07-27 00:00:00.000
Cárdenas Cerrón Johnny,Periodo de Inicio,2011-07-27 00:00:00.000
Luna Gálvez José León,Periodo de Inicio,2011-07-27 00:00:00.000
Inga Vásquez Leonardo Agustín,Periodo de Inicio,2011-07-27 00:00:00.000
Valle Ramírez Willyam Tito,Periodo de Inicio,2011-07-27 00:00:00.000
Pérez Del Solar Cuculiza Gabriela Lourdes,Periodo de Inicio,2011-07-27 00:00:00.000
Rodríguez Zavaleta Elías Nicolás,Periodo de Inicio,2011-07-27 00:00:00.000
Oseda Soto Doris Gladys,Periodo de Inicio,2011-07-27 00:00:00.000
Cuculiza Torre Luisa María,Periodo de Inicio,2011-07-27 00:00:00.000
Rosas Huaranga Julio Pablo,Periodo de Inicio,2011-07-27 00:00:00.000
Hurtado Zamudio Jesús Panfilo,Periodo de Inicio,2011-07-27 00:00:00.000
Canches Guzmán Rogelio Antenor,Periodo de Inicio,2011-07-27 00:00:00.000
Yrupailla Montes César Elmer,Periodo de Inicio,2011-07-27 00:00:00.000
Chehade Moya Omar Karim,Periodo de Inicio,2011-07-27 00:00:00.000
Gutiérrez Cóndor Josue Manuel,Periodo de Inicio,2011-07-27 00:00:00.000
Tait Villacorta Cecilia,Periodo de Inicio,2011-07-27 00:00:00.000
Bedoya De Vivanco Javier,Periodo de Inicio,2011-07-27 00:00:00.000
Chacón De Vettori Cecilia Isabel,Periodo de Inicio,2011-07-27 00:00:00.000
Molina Martínez Agustín F.,Periodo de Inicio,2011-07-27 00:00:00.000
Espinoza Rosales Rennán Samuel,Periodo de Inicio,2011-07-27 00:00:00.000
López Córdova María Magdalena,Periodo de Inicio,2011-07-27 00:00:00.000
Crisólogo Espejo Víctor Walberto,Periodo de Inicio,2011-07-27 00:00:00.000
Reggiardo Barreto Renzo Andrés,Periodo de Inicio,2011-07-27 00:00:00.000
