Congresistas,Partido Político,Bancada,Proyectos de Ley,Leyes Aprobadas,Efectividad Individual,Porporción de contribucion x Bancada,IdRecord,Foto,Foto 1,Foto 130,Efectividad Bancada,Score,Ranking
"Spadaro Philipps Pedro Carmelo","Fuerza Popular","Fuerza Popular",198,51,0.2576,0.0076,33,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/112-t1Jr1Bl4Ip7Ih1A.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.2080657206870799,0.23283286034353995,12
"Cuculiza Torre Luisa María","Fuerza Popular","Fuerza Popular",179,46,0.257,0.0069,34,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/36-c6De4Sq2Es9So2I.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.2080657206870799,0.23253286034353995,13
"Chihuán Ramos Leyla Felicita","Fuerza Popular","Fuerza Popular",141,36,0.2553,0.0054,35,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/29-u8Bq9Df5Op1As2W.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.2080657206870799,0.23168286034353996,14
"Cordero Jon Tay María del Pilar","Fuerza Popular","Fuerza Popular",214,52,0.243,0.0078000000000000005,36,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/34-r6Lf7Wv8Ay8Li7Z.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.2080657206870799,0.22553286034353995,15
"Ramírez Gamarra Reber Joaquín","Fuerza Popular","Fuerza Popular",125,30,0.24,0.0045000000000000005,37,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/94-w2Yk1Te6Kz7Bh0C.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.2080657206870799,0.22403286034353995,16
"Abugattás Majluf Daniel","Gana Perú","Nacionalista Gana Perú",68,20,0.29410000000000003,0.0026,65,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/1-g9Nv0Fm9Qc1Pk0G.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.15148034711587546,0.22279017355793773,17
"Fujimori Higuchi Kenji Gerardo","Fuerza Popular","Fuerza Popular",116,27,0.2328,0.004,39,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/47-g1Ik9Lk2Mt9Ra4A.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.2080657206870799,0.22043286034353995,18
"Grández Saldaña Víctor Raul","Fuerza Popular","No Agrupados",144,34,0.2361,0.0256,92,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/53-r9Ly1Mz5Kj8Xs1W.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.20316027088036118,0.21963013544018059,19
"Reátegui Flores Rolando","Fuerza Popular","Fuerza Popular",181,41,0.22649999999999998,0.0060999999999999995,40,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/95-n2Zh2En6Gr2Uk3G.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.2080657206870799,0.21728286034353994,20
"Otárola Peñaranda Fredy Rolando","Gana Perú","Nacionalista Gana Perú",145,41,0.2828,0.0052,66,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/88-h8Mh9Tf6Ie9Vb9T.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.15148034711587546,0.21714017355793774,21
"Melgar Valdez Elard Galo","Fuerza Popular","Fuerza Popular",231,52,0.22510000000000002,0.0078000000000000005,38,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/75-d7Eo7Ei7Eg8Xp0U.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.2080657206870799,0.21658286034353996,22
"Tubino Arias Schreiber Carlos Mario Del Carmen","Fuerza Popular","Fuerza Popular",197,44,0.2234,0.0066,42,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/118-p8Pj4Ys3Pp1Ul5T.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.2080657206870799,0.21573286034353995,23
"Andrade Carmona Fernando Juan","Somos Perú","Perú Posible",158,39,0.2468,0.0134,101,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/7-x8Nc9En1Qe1Th0Z.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.18340761055879326,0.21510380527939663,24
"Valqui Matos Néstor Antonio","Fuerza Popular","Fuerza Popular",221,49,0.2217,0.0073,41,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/125-a0Xy3Li9Bm1Xx4X.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.2080657206870799,0.21488286034353996,25
"León Rivera José Raguberto","Perú Posible","Perú Posible",233,57,0.2446,0.0195,100,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/66-p9Mr9Po9Tu0Qa8P.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.18340761055879326,0.21400380527939664,26
"Reggiardo Barreto Renzo Andrés","Alianza Solidaridad Nacional","Concertación Parlamentaria",160,36,0.225,0.0259,11,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/96-w8Om7Ui6Ai9Au3Z.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.20230381569474443,0.2136519078473722,27
"Espinoza Cruz Marisol","Gana Perú","No Agrupados",121,27,0.2231,0.0203,94,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/44-n9Yx5Ii1Ym1Ou8X.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.20316027088036118,0.21313013544018058,28
"Cabrera Ganoza Eduardo Felipe","Fuerza Popular","Fuerza Popular",126,27,0.2143,0.004,46,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/19-w9Ua0Ls7Hl7Yr8C.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.2080657206870799,0.21118286034353995,29
"Aguinaga Recuenco Alejandro Aurelio","Fuerza Popular","Fuerza Popular",136,29,0.2132,0.0043,47,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/5-i5Zy7Ev0Ud1Ht7P.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.2080657206870799,0.21063286034353995,30
"Becerril Rodríguez Héctor Virgilio","Fuerza Popular","Fuerza Popular",268,57,0.2127,0.0085,43,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/13-w8Hp0Oj9Lp7Ij1E.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.2080657206870799,0.21038286034353995,31
"Rodríguez Zavaleta Elías Nicolás","Partido Aprista Peruano","Concertación Parlamentaria",189,41,0.2169,0.029500000000000002,10,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/100-g1Qb8Pq4Qf8Fl5H.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.20230381569474443,0.2096019078473722,32
"Rosas Huaranga Julio Pablo","Fuerza Popular","No Agrupados",102,22,0.2157,0.0166,96,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/103-q1Zw2Fm3Iu4Fk1S.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.20316027088036118,0.20943013544018058,33
"Salazar Miranda Octavio Edilberto","Fuerza Popular","Fuerza Popular",201,42,0.209,0.0063,44,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/106-y4Jw0Do8Js4Ri5G.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.2080657206870799,0.20853286034353996,34
"Díaz Dios Juan José","Fuerza Popular","No Agrupados",187,40,0.2139,0.0301,93,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/40-w2Vf0Zj7Iz7Sd5U.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.20316027088036118,0.20853013544018059,35
"Benítez Rivas Heriberto Manuel","Alianza Solidaridad Nacional","No Agrupados",145,31,0.2138,0.0233,95,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/17-i8Fr6Vd6Fu6Wx6S.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.20316027088036118,0.20848013544018057,36
"Tapia Bernal Segundo Leocadio","Fuerza Popular","Fuerza Popular",219,45,0.20550000000000002,0.0067,48,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/115-v1Eu6Zs9Dl9Hz7K.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.2080657206870799,0.20678286034353996,37
"Velásquez Quesquén Angel Javier","Partido Aprista Peruano","Concertación Parlamentaria",199,42,0.21109999999999998,0.0302,12,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/126-h2Lp4Qm6An8Wr4E.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.20230381569474443,0.20670190784737219,38
"Medina Ortiz Antonio","Fuerza Popular","Fuerza Popular",254,52,0.2047,0.0078000000000000005,45,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/74-a4Lh3Dm7Hx5Mn3D.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.2080657206870799,0.20638286034353995,39
"Neyra Olaychea Angel","Fuerza Popular","Fuerza Popular",176,36,0.2045,0.0054,49,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/84-h7Mp2Dy3Nx9Ah4W.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.2080657206870799,0.20628286034353993,40
"Simon Munaro Yehude","Alianza por el Gran Cambio","Perú Posible",159,36,0.22640000000000002,0.0123,102,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/110-n1Sg1Jr3Zq0Bc3F.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.18340761055879326,0.20490380527939664,41
"Gagó Pérez Julio César","Fuerza Popular","Fuerza Popular",201,40,0.19899999999999998,0.006,50,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/48-w1Ib4Vz6Ed1Ca5A.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.2080657206870799,0.20353286034353996,42
"Elías Ávalos José Luis","Fuerza Popular","Fuerza Popular",146,29,0.1986,0.0043,55,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/43-f3Av5Of2Dg9Yb7L.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.2080657206870799,0.20333286034353995,43
"Chacón De Vettori Cecilia Isabel","Fuerza Popular","Fuerza Popular",96,19,0.1979,0.0028000000000000004,58,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/26-n3Me9Nx1Ay9In9F.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.2080657206870799,0.20298286034353996,44
"Pariona Galindo Federico","Fuerza Popular","Fuerza Popular",221,43,0.1946,0.0064,52,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/90-m6Ec8Ps2So5Ow0U.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.2080657206870799,0.20133286034353995,45
"León Romero Luciana Milagros","Partido Aprista Peruano","Concertación Parlamentaria",190,38,0.2,0.0274,13,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/67-g7Um0Dh5Ey9Jq7X.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.20230381569474443,0.20115190784737222,46
"Hurtado Zamudio Jesús Panfilo","Fuerza Popular","Fuerza Popular",286,55,0.1923,0.008199999999999999,51,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/58-d2Js5Op7Zx7Cu7N.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.2080657206870799,0.20018286034353994,47
"López Córdova María Magdalena","Fuerza Popular","Fuerza Popular",262,50,0.19079999999999997,0.0075,53,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/71-g2Iv2Zl1Bl3Hq9I.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.2080657206870799,0.19943286034353994,48
"Tait Villacorta Cecilia","Perú Posible","No Agrupados",123,24,0.19510000000000002,0.0181,97,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/113-n0Gi5Vf9Rv6Lq3P.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.20316027088036118,0.1991301354401806,49
"Schaefer Cuculiza Karla Melissa","Fuerza Popular","Fuerza Popular",298,56,0.18789999999999998,0.0084,54,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/109-o5Hj2Ic3Vr8Hv3Q.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.2080657206870799,0.19798286034353996,50
