country,variable,value
Rwanda,1945,
Samoa,1945,
San Marino,1945,0.0
Sao Tome and Principe,1945,
Saudi Arabia,1945,
Senegal,1945,
Serbia,1945,
Seychelles,1945,
Sierra Leone,1945,
Singapore,1945,
Slovak Republic,1945,
Slovenia,1945,
Solomon Islands,1945,
Somalia,1945,
South Africa,1945,
South Korea,1945,
South Sudan,1945,
Spain,1945,
Sri Lanka,1945,
"St, Kitts and Nevis",1945,
"St, Lucia",1945,
"St, Vincent and the Grenadines",1945,
Sudan,1945,
Suriname,1945,
Sweden,1945,0.0133
Switzerland,1945,
Syria,1945,
Tajikistan,1945,
Tanzania,1945,
Thailand,1945,0.0
Timor-Leste,1945,
Togo,1945,
Tonga,1945,
Trinidad and Tobago,1945,
Tunisia,1945,
Turkey,1945,
Turkmenistan,1945,
Tuvalu,1945,
Uganda,1945,
Ukraine,1945,
United Arab Emirates,1945,
United Kingdom,1945,0.0375
United States,1945,
Uruguay,1945,
Uzbekistan,1945,
Vanuatu,1945,
Venezuela,1945,
Vietnam,1945,
Yemen,1945,
Zambia,1945,
Zimbabwe,1945,
Afghanistan,1946,
Albania,1946,0.0646
Algeria,1946,
Andorra,1946,
Angola,1946,
Antigua and Barbuda,1946,
Argentina,1946,0.0
Armenia,1946,
Australia,1946,0.036
Austria,1946,0.0
Azerbaijan,1946,
Bahamas,1946,
Bahrain,1946,
Bangladesh,1946,
Barbados,1946,
Belarus,1946,
Belgium,1946,0.0217
Belize,1946,
Benin,1946,
Bhutan,1946,
Bolivia,1946,
Bosnia and Herzegovina,1946,
Botswana,1946,
Brazil,1946,0.0006
Brunei,1946,
Bulgaria,1946,0.0817
Burkina Faso,1946,
Burundi,1946,
Cambodia,1946,
Cameroon,1946,
Canada,1946,0.0211
Cape Verde,1946,
Central African Republic,1946,
Chad,1946,
Chile,1946,
China,1946,
Colombia,1946,
Comoros,1946,
"Congo, Dem, Rep,",1946,
"Congo, Rep,",1946,
Costa Rica,1946,
Cote d'Ivoire,1946,
Croatia,1946,
Cuba,1946,
Cyprus,1946,
Czech Republic,1946,
Denmark,1946,0.0853
Djibouti,1946,
Dominica,1946,
Dominican Republic,1946,0.0
Ecuador,1946,
Egypt,1946,
El Salvador,1946,
Equatorial Guinea,1946,
Eritrea,1946,
Estonia,1946,
Eswatini,1946,
Ethiopia,1946,
Fiji,1946,
Finland,1946,0.0967
France,1946,0.0619
Gabon,1946,
Gambia,1946,
Georgia,1946,
Germany,1946,
Ghana,1946,
Greece,1946,0.0
Grenada,1946,
Guatemala,1946,
Guinea,1946,
Guinea-Bissau,1946,
Guyana,1946,
Haiti,1946,0.0
Honduras,1946,
Hungary,1946,0.0409
Iceland,1946,0.0192
India,1946,
Indonesia,1946,
Iran,1946,
Iraq,1946,
Ireland,1946,
Israel,1946,
Italy,1946,0.0378
Jamaica,1946,
Japan,1946,0.0837
Jordan,1946,0.0
Kazakhstan,1946,
Kenya,1946,
Kiribati,1946,
Kuwait,1946,
Kyrgyz Republic,1946,
Lao,1946,
Latvia,1946,
Lebanon,1946,
Lesotho,1946,
Liberia,1946,
Libya,1946,
Liechtenstein,1946,
Lithuania,1946,
Luxembourg,1946,0.0
Madagascar,1946,
Malawi,1946,
Malaysia,1946,
Maldives,1946,
Mali,1946,
Malta,1946,
Marshall Islands,1946,
Mauritania,1946,
Mauritius,1946,
Mexico,1946,
"Micronesia, Fed, Sts,",1946,
Moldova,1946,
Monaco,1946,
Mongolia,1946,
Montenegro,1946,
Morocco,1946,
Mozambique,1946,
Myanmar,1946,
Namibia,1946,
Nauru,1946,
Nepal,1946,
Netherlands,1946,0.04
New Zealand,1946,0.0381
Nicaragua,1946,
Niger,1946,
Nigeria,1946,
North Korea,1946,
North Macedonia,1946,
Norway,1946,0.0467
Oman,1946,
Pakistan,1946,
Palau,1946,
Panama,1946,0.04
Papua New Guinea,1946,
Paraguay,1946,
Peru,1946,0.0
Philippines,1946,0.0087
Poland,1946,
Portugal,1946,0.0167
Qatar,1946,
Romania,1946,0.0531
Russia,1946,
Rwanda,1946,
Samoa,1946,
San Marino,1946,0.0
Sao Tome and Principe,1946,
Saudi Arabia,1946,
Senegal,1946,
Serbia,1946,
Seychelles,1946,
Sierra Leone,1946,
Singapore,1946,
Slovak Republic,1946,
Slovenia,1946,
Solomon Islands,1946,
Somalia,1946,
South Africa,1946,
South Korea,1946,
South Sudan,1946,
Spain,1946,0.0034
Sri Lanka,1946,
"St, Kitts and Nevis",1946,
"St, Lucia",1946,
"St, Vincent and the Grenadines",1946,
Sudan,1946,
Suriname,1946,
Sweden,1946,0.0491
Switzerland,1946,
Syria,1946,
Tajikistan,1946,
Tanzania,1946,
Thailand,1946,0.0
Timor-Leste,1946,
Togo,1946,
Tonga,1946,
Trinidad and Tobago,1946,
Tunisia,1946,
Turkey,1946,0.0181
Turkmenistan,1946,
Tuvalu,1946,
Uganda,1946,
Ukraine,1946,
United Arab Emirates,1946,
United Kingdom,1946,0.0367
United States,1946,0.0204
Uruguay,1946,0.0
Uzbekistan,1946,
Vanuatu,1946,
Venezuela,1946,0.0563
Vietnam,1946,
Yemen,1946,
Zambia,1946,
Zimbabwe,1946,
Afghanistan,1947,
Albania,1947,0.0881
Algeria,1947,
Andorra,1947,
Angola,1947,
Antigua and Barbuda,1947,
Argentina,1947,0.0
Armenia,1947,
Australia,1947,0.0321
Austria,1947,0.0
Azerbaijan,1947,
Bahamas,1947,
Bahrain,1947,
Bangladesh,1947,
Barbados,1947,
Belarus,1947,
Belgium,1947,0.0249
Belize,1947,
Benin,1947,
Bhutan,1947,
Bolivia,1947,
Bosnia and Herzegovina,1947,
Botswana,1947,
Brazil,1947,0.0011
Brunei,1947,
Bulgaria,1947,0.0958
Burkina Faso,1947,
Burundi,1947,
Cambodia,1947,
Cameroon,1947,
Canada,1947,0.0233
Cape Verde,1947,
Central African Republic,1947,
Chad,1947,
Chile,1947,
China,1947,
Colombia,1947,
Comoros,1947,
"Congo, Dem, Rep,",1947,
"Congo, Rep,",1947,
Costa Rica,1947,
Cote d'Ivoire,1947,
Croatia,1947,
Cuba,1947,
Cyprus,1947,
Czech Republic,1947,
Denmark,1947,0.106
Djibouti,1947,
Dominica,1947,
Dominican Republic,1947,0.0263
Ecuador,1947,
Egypt,1947,
El Salvador,1947,
Equatorial Guinea,1947,
Eritrea,1947,
Estonia,1947,
Eswatini,1947,
Ethiopia,1947,
Fiji,1947,
Finland,1947,0.103
France,1947,0.0577
Gabon,1947,
Gambia,1947,
Georgia,1947,
Germany,1947,
Ghana,1947,
Greece,1947,0.0
Grenada,1947,
Guatemala,1947,
Guinea,1947,
Guinea-Bissau,1947,
Guyana,1947,
Haiti,1947,0.0
Honduras,1947,
Hungary,1947,0.0535
Iceland,1947,0.0256
India,1947,
Indonesia,1947,
Iran,1947,0.0
Iraq,1947,
Ireland,1947,
Israel,1947,
Italy,1947,0.0469
Jamaica,1947,
Japan,1947,0.0349
Jordan,1947,0.0
Kazakhstan,1947,
Kenya,1947,
Kiribati,1947,
Kuwait,1947,
Kyrgyz Republic,1947,
Lao,1947,
Latvia,1947,
Lebanon,1947,0.0
Lesotho,1947,
Liberia,1947,
Libya,1947,
Liechtenstein,1947,
Lithuania,1947,
Luxembourg,1947,0.0
Madagascar,1947,
Malawi,1947,
Malaysia,1947,
Maldives,1947,
Mali,1947,
Malta,1947,
Marshall Islands,1947,
Mauritania,1947,
Mauritius,1947,
Mexico,1947,
"Micronesia, Fed, Sts,",1947,
Moldova,1947,
Monaco,1947,
Mongolia,1947,
Montenegro,1947,
Morocco,1947,
Mozambique,1947,
Myanmar,1947,0.0127
Namibia,1947,
Nauru,1947,
Nepal,1947,
Netherlands,1947,0.04
New Zealand,1947,0.0379
Nicaragua,1947,
Niger,1947,
Nigeria,1947,
North Korea,1947,
North Macedonia,1947,
Norway,1947,0.0467
Oman,1947,
Pakistan,1947,
Palau,1947,
Panama,1947,0.0326
Papua New Guinea,1947,
Paraguay,1947,
Peru,1947,0.0
Philippines,1947,0.125
Poland,1947,0.0
Portugal,1947,0.0167
Qatar,1947,
Romania,1947,0.0628
Russia,1947,
Rwanda,1947,
Samoa,1947,
San Marino,1947,0.0
Sao Tome and Principe,1947,
Saudi Arabia,1947,
Senegal,1947,
Serbia,1947,
Seychelles,1947,
Sierra Leone,1947,
Singapore,1947,
Slovak Republic,1947,
Slovenia,1947,
Solomon Islands,1947,
Somalia,1947,
South Africa,1947,
South Korea,1947,
South Sudan,1947,
Spain,1947,0.0034
Sri Lanka,1947,0.0229
"St, Kitts and Nevis",1947,
"St, Lucia",1947,
"St, Vincent and the Grenadines",1947,
Sudan,1947,
Suriname,1947,
Sweden,1947,0.0754
Switzerland,1947,
Syria,1947,0.0
Tajikistan,1947,
Tanzania,1947,
Thailand,1947,0.02
Timor-Leste,1947,
Togo,1947,
Tonga,1947,
Trinidad and Tobago,1947,
Tunisia,1947,
Turkey,1947,0.0151
Turkmenistan,1947,
Tuvalu,1947,
Uganda,1947,
Ukraine,1947,
United Arab Emirates,1947,
United Kingdom,1947,0.036
United States,1947,0.0176
Uruguay,1947,0.0
Uzbekistan,1947,
Vanuatu,1947,
Venezuela,1947,0.0413
Vietnam,1947,
Yemen,1947,
Zambia,1947,
Zimbabwe,1947,
Afghanistan,1948,
Albania,1948,0.108
Algeria,1948,
Andorra,1948,
Angola,1948,
Antigua and Barbuda,1948,
Argentina,1948,0.0
Armenia,1948,
Australia,1948,0.0294
Austria,1948,0.0
Azerbaijan,1948,
Bahamas,1948,
Bahrain,1948,
Bangladesh,1948,
Barbados,1948,
Belarus,1948,
Belgium,1948,0.028
Belize,1948,
Benin,1948,
Bhutan,1948,
Bolivia,1948,
Bosnia and Herzegovina,1948,
Botswana,1948,
Brazil,1948,0.0017
Brunei,1948,
Bulgaria,1948,0.117
Burkina Faso,1948,
Burundi,1948,
Cambodia,1948,
Cameroon,1948,
Canada,1948,0.0244
Cape Verde,1948,
Central African Republic,1948,
Chad,1948,
Chile,1948,
China,1948,
Colombia,1948,
Comoros,1948,
"Congo, Dem, Rep,",1948,
"Congo, Rep,",1948,
Costa Rica,1948,
Cote d'Ivoire,1948,
Croatia,1948,
Cuba,1948,0.0317
Cyprus,1948,
Czech Republic,1948,
Denmark,1948,0.0995
Djibouti,1948,
Dominica,1948,
Dominican Republic,1948,0.0208
Ecuador,1948,0.0
Egypt,1948,
El Salvador,1948,
Equatorial Guinea,1948,
Eritrea,1948,
Estonia,1948,
Eswatini,1948,
Ethiopia,1948,
Fiji,1948,
Finland,1948,0.11
France,1948,0.0375
Gabon,1948,
Gambia,1948,
Georgia,1948,
Germany,1948,
Ghana,1948,
Greece,1948,0.0
Grenada,1948,
Guatemala,1948,
Guinea,1948,
Guinea-Bissau,1948,
Guyana,1948,
Haiti,1948,0.0
Honduras,1948,
Hungary,1948,0.114
Iceland,1948,0.0321
India,1948,
Indonesia,1948,
Iran,1948,0.0
Iraq,1948,0.0
Ireland,1948,0.0386
Israel,1948,
Italy,1948,0.0524
Jamaica,1948,
Japan,1948,0.0313
Jordan,1948,0.0
Kazakhstan,1948,
Kenya,1948,
Kiribati,1948,
Kuwait,1948,
Kyrgyz Republic,1948,
Lao,1948,
Latvia,1948,
Lebanon,1948,0.0
Lesotho,1948,
Liberia,1948,
Libya,1948,
Liechtenstein,1948,
Lithuania,1948,
Luxembourg,1948,0.0
Madagascar,1948,
Malawi,1948,
Malaysia,1948,
Maldives,1948,
Mali,1948,
Malta,1948,
Marshall Islands,1948,
Mauritania,1948,
Mauritius,1948,
Mexico,1948,
"Micronesia, Fed, Sts,",1948,
Moldova,1948,
Monaco,1948,
Mongolia,1948,
Montenegro,1948,
Morocco,1948,
Mozambique,1948,
Myanmar,1948,0.0132
Namibia,1948,
Nauru,1948,
Nepal,1948,
Netherlands,1948,0.04
New Zealand,1948,0.0377
Nicaragua,1948,0.0
Niger,1948,
Nigeria,1948,
North Korea,1948,
North Macedonia,1948,
Norway,1948,0.0467
Oman,1948,
Pakistan,1948,
Palau,1948,
Panama,1948,0.0238
Papua New Guinea,1948,
Paraguay,1948,0.0
Peru,1948,0.0
Philippines,1948,0.0169
Poland,1948,0.0341
Portugal,1948,0.0167
Qatar,1948,
Romania,1948,0.0725
Russia,1948,
Rwanda,1948,
Samoa,1948,
San Marino,1948,0.0
Sao Tome and Principe,1948,
Saudi Arabia,1948,
Senegal,1948,
Serbia,1948,
Seychelles,1948,
Sierra Leone,1948,
Singapore,1948,
Slovak Republic,1948,
Slovenia,1948,
Solomon Islands,1948,
Somalia,1948,
South Africa,1948,0.0131
South Korea,1948,0.005
South Sudan,1948,
Spain,1948,0.0033
Sri Lanka,1948,0.0244
"St, Kitts and Nevis",1948,
"St, Lucia",1948,
"St, Vincent and the Grenadines",1948,
Sudan,1948,
Suriname,1948,
Sweden,1948,0.0957
Switzerland,1948,
Syria,1948,0.0
Tajikistan,1948,
Tanzania,1948,
Thailand,1948,0.0
Timor-Leste,1948,
Togo,1948,
Tonga,1948,
Trinidad and Tobago,1948,
Tunisia,1948,
Turkey,1948,0.0121
Turkmenistan,1948,
Tuvalu,1948,
Uganda,1948,
Ukraine,1948,
United Arab Emirates,1948,
United Kingdom,1948,0.0352
United States,1948,0.0148
Uruguay,1948,0.0
Uzbekistan,1948,
Vanuatu,1948,
Venezuela,1948,0.0258
Vietnam,1948,
Yemen,1948,
Zambia,1948,
Zimbabwe,1948,
Afghanistan,1949,
Albania,1949,0.125
Algeria,1949,
Andorra,1949,
Angola,1949,
Antigua and Barbuda,1949,
Argentina,1949,0.0599
Armenia,1949,
Australia,1949,0.0273
Austria,1949,0.0423
Azerbaijan,1949,
Bahamas,1949,
Bahrain,1949,
Bangladesh,1949,
Barbados,1949,
Belarus,1949,
Belgium,1949,0.031
Belize,1949,
Benin,1949,
Bhutan,1949,
Bolivia,1949,
Bosnia and Herzegovina,1949,
Botswana,1949,
Brazil,1949,0.0022
Brunei,1949,
Bulgaria,1949,0.151
Burkina Faso,1949,
Burundi,1949,
Cambodia,1949,
Cameroon,1949,
Canada,1949,0.0085
Cape Verde,1949,
Central African Republic,1949,
Chad,1949,
Chile,1949,
China,1949,
Colombia,1949,
Comoros,1949,
"Congo, Dem, Rep,",1949,
"Congo, Rep,",1949,
Costa Rica,1949,0.0
Cote d'Ivoire,1949,
Croatia,1949,
Cuba,1949,0.0304
Cyprus,1949,
Czech Republic,1949,
Denmark,1949,0.0909
Djibouti,1949,
Dominica,1949,
Dominican Republic,1949,0.0128
Ecuador,1949,0.0
Egypt,1949,
El Salvador,1949,
Equatorial Guinea,1949,
Eritrea,1949,
Estonia,1949,
Eswatini,1949,
Ethiopia,1949,
Fiji,1949,
Finland,1949,0.117
France,1949,0.0353
Gabon,1949,
Gambia,1949,
Georgia,1949,
Germany,1949,
Ghana,1949,
Greece,1949,0.0
Grenada,1949,
Guatemala,1949,
Guinea,1949,
Guinea-Bissau,1949,
Guyana,1949,
Haiti,1949,0.0
Honduras,1949,0.0
Hungary,1949,0.177
Iceland,1949,0.0385
India,1949,
Indonesia,1949,
Iran,1949,0.0
Iraq,1949,0.0
Ireland,1949,0.0386
Israel,1949,0.108
Italy,1949,0.0503
Jamaica,1949,
Japan,1949,0.0258
Jordan,1949,0.0
Kazakhstan,1949,
Kenya,1949,
Kiribati,1949,
Kuwait,1949,
Kyrgyz Republic,1949,
Lao,1949,
Latvia,1949,
Lebanon,1949,0.0
Lesotho,1949,
Liberia,1949,
Libya,1949,
Liechtenstein,1949,
Lithuania,1949,
Luxembourg,1949,0.0
Madagascar,1949,
Malawi,1949,
Malaysia,1949,
Maldives,1949,
Mali,1949,
Malta,1949,
Marshall Islands,1949,
Mauritania,1949,
Mauritius,1949,
Mexico,1949,
"Micronesia, Fed, Sts,",1949,
Moldova,1949,
Monaco,1949,
Mongolia,1949,
Montenegro,1949,
Morocco,1949,
Mozambique,1949,
Myanmar,1949,0.0136
Namibia,1949,
Nauru,1949,
Nepal,1949,
Netherlands,1949,0.0371
New Zealand,1949,0.0375
Nicaragua,1949,0.0
Niger,1949,
Nigeria,1949,
North Korea,1949,
North Macedonia,1949,
Norway,1949,0.0467
Oman,1949,
Pakistan,1949,
Palau,1949,
Panama,1949,0.0223
Papua New Guinea,1949,
Paraguay,1949,0.0
Peru,1949,0.0
Philippines,1949,0.0091
Poland,1949,0.0687
Portugal,1949,0.0167
Qatar,1949,
Romania,1949,0.0931
Russia,1949,
Rwanda,1949,
Samoa,1949,
San Marino,1949,0.0
Sao Tome and Principe,1949,
Saudi Arabia,1949,
Senegal,1949,
Serbia,1949,
Seychelles,1949,
Sierra Leone,1949,
Singapore,1949,
Slovak Republic,1949,
Slovenia,1949,
Solomon Islands,1949,
Somalia,1949,
South Africa,1949,0.0143
South Korea,1949,0.0073
South Sudan,1949,
Spain,1949,0.0033
Sri Lanka,1949,0.026
"St, Kitts and Nevis",1949,
"St, Lucia",1949,
"St, Vincent and the Grenadines",1949,
Sudan,1949,
Suriname,1949,
Sweden,1949,0.04
Switzerland,1949,
Syria,1949,0.0
Tajikistan,1949,
Tanzania,1949,
Thailand,1949,0.0028
Timor-Leste,1949,
Togo,1949,
Tonga,1949,
Trinidad and Tobago,1949,
Tunisia,1949,
Turkey,1949,0.0091
Turkmenistan,1949,
Tuvalu,1949,
Uganda,1949,
Ukraine,1949,
United Arab Emirates,1949,
United Kingdom,1949,0.0344
United States,1949,0.0167
Uruguay,1949,0.0
Uzbekistan,1949,
Vanuatu,1949,
Venezuela,1949,0.0247
Vietnam,1949,
Yemen,1949,
Zambia,1949,
Zimbabwe,1949,
Afghanistan,1950,
Albania,1950,0.141
Algeria,1950,
Andorra,1950,
Angola,1950,
Antigua and Barbuda,1950,
Argentina,1950,0.114
Armenia,1950,
Australia,1950,0.0246
Austria,1950,0.0208
Azerbaijan,1950,
Bahamas,1950,
Bahrain,1950,
Bangladesh,1950,
Barbados,1950,
Belarus,1950,
Belgium,1950,0.0362
Belize,1950,
Benin,1950,
Bhutan,1950,
Bolivia,1950,
Bosnia and Herzegovina,1950,
Botswana,1950,
Brazil,1950,0.0027
Brunei,1950,
Bulgaria,1950,0.152
Burkina Faso,1950,
Burundi,1950,
Cambodia,1950,
Cameroon,1950,
Canada,1950,0.0227
Cape Verde,1950,
Central African Republic,1950,
Chad,1950,
Chile,1950,
China,1950,
Colombia,1950,
Comoros,1950,
"Congo, Dem, Rep,",1950,
"Congo, Rep,",1950,
Costa Rica,1950,0.0167
Cote d'Ivoire,1950,
Croatia,1950,
Cuba,1950,0.0292
Cyprus,1950,
Czech Republic,1950,
Denmark,1950,0.0795
Djibouti,1950,
Dominica,1950,
Dominican Republic,1950,0.0
Ecuador,1950,0.0
Egypt,1950,0.0
El Salvador,1950,
Equatorial Guinea,1950,
Eritrea,1950,
Estonia,1950,
Eswatini,1950,
Ethiopia,1950,
Fiji,1950,
Finland,1950,0.123
France,1950,0.0344
Gabon,1950,
Gambia,1950,
Georgia,1950,
Germany,1950,
Ghana,1950,
Greece,1950,0.0
Grenada,1950,
Guatemala,1950,
Guinea,1950,
Guinea-Bissau,1950,
Guyana,1950,
Haiti,1950,0.0
Honduras,1950,0.0
Hungary,1950,0.176
Iceland,1950,0.0288
India,1950,
Indonesia,1950,0.031
Iran,1950,0.0
Iraq,1950,0.0
Ireland,1950,0.0386
Israel,1950,0.1
Italy,1950,0.048
Jamaica,1950,
Japan,1950,0.048
Jordan,1950,0.0
Kazakhstan,1950,
Kenya,1950,
Kiribati,1950,
Kuwait,1950,
Kyrgyz Republic,1950,
Lao,1950,
Latvia,1950,
Lebanon,1950,0.0
Lesotho,1950,
Liberia,1950,
Libya,1950,
Liechtenstein,1950,
Lithuania,1950,
Luxembourg,1950,0.0
Madagascar,1950,
Malawi,1950,
Malaysia,1950,
Maldives,1950,
Mali,1950,
Malta,1950,
Marshall Islands,1950,
Mauritania,1950,
Mauritius,1950,
Mexico,1950,
"Micronesia, Fed, Sts,",1950,
Moldova,1950,
Monaco,1950,
Mongolia,1950,
Montenegro,1950,
Morocco,1950,
Mozambique,1950,
Myanmar,1950,0.0141
Namibia,1950,
Nauru,1950,
Nepal,1950,
Netherlands,1950,0.032
New Zealand,1950,0.0943
Nicaragua,1950,0.0
Niger,1950,
Nigeria,1950,
North Korea,1950,
North Macedonia,1950,
Norway,1950,0.0467
Oman,1950,
Pakistan,1950,
Palau,1950,
Panama,1950,0.0211
Papua New Guinea,1950,
Paraguay,1950,0.0
Peru,1950,0.0
Philippines,1950,0.0085
Poland,1950,0.104
Portugal,1950,0.0167
Qatar,1950,
Romania,1950,0.113
Russia,1950,
Rwanda,1950,
Samoa,1950,
San Marino,1950,0.0
Sao Tome and Principe,1950,
Saudi Arabia,1950,
Senegal,1950,
Serbia,1950,
Seychelles,1950,
Sierra Leone,1950,
Singapore,1950,
Slovak Republic,1950,
Slovenia,1950,
Solomon Islands,1950,
Somalia,1950,
South Africa,1950,0.0154
South Korea,1950,0.0095
South Sudan,1950,
Spain,1950,0.0033
Sri Lanka,1950,0.0275
"St, Kitts and Nevis",1950,
"St, Lucia",1950,
"St, Vincent and the Grenadines",1950,
Sudan,1950,
Suriname,1950,
Sweden,1950,0.0755
Switzerland,1950,
Syria,1950,0.0
Tajikistan,1950,
Tanzania,1950,
Thailand,1950,0.0055
Timor-Leste,1950,
Togo,1950,
Tonga,1950,
Trinidad and Tobago,1950,
Tunisia,1950,
Turkey,1950,0.0061
Turkmenistan,1950,
Tuvalu,1950,
Uganda,1950,
Ukraine,1950,
United Arab Emirates,1950,
United Kingdom,1950,0.0336
United States,1950,0.0185
Uruguay,1950,0.0
Uzbekistan,1950,
Vanuatu,1950,
Venezuela,1950,0.0236
Vietnam,1950,
Yemen,1950,
Zambia,1950,
Zimbabwe,1950,
Afghanistan,1951,
Albania,1951,0.135
Algeria,1951,
Andorra,1951,
Angola,1951,
Antigua and Barbuda,1951,
Argentina,1951,0.162
Armenia,1951,
Australia,1951,0.0219
Austria,1951,0.0208
Azerbaijan,1951,
Bahamas,1951,
Bahrain,1951,
Bangladesh,1951,
Barbados,1951,
Belarus,1951,
Belgium,1951,0.0368
Belize,1951,
Benin,1951,
Bhutan,1951,
Bolivia,1951,0.0
Bosnia and Herzegovina,1951,
Botswana,1951,
Brazil,1951,0.0027
Brunei,1951,
Bulgaria,1951,0.154
Burkina Faso,1951,
Burundi,1951,
Cambodia,1951,
Cameroon,1951,
Canada,1951,0.023
Cape Verde,1951,
Central African Republic,1951,
Chad,1951,
Chile,1951,
China,1951,
Colombia,1951,
Comoros,1951,
"Congo, Dem, Rep,",1951,
"Congo, Rep,",1951,
Costa Rica,1951,0.0333
Cote d'Ivoire,1951,
Croatia,1951,
Cuba,1951,0.028
Cyprus,1951,
Czech Republic,1951,
Denmark,1951,0.158
Djibouti,1951,
Dominica,1951,
Dominican Republic,1951,0.0417
Ecuador,1951,0.0
Egypt,1951,0.0009
El Salvador,1951,
Equatorial Guinea,1951,
Eritrea,1951,
Estonia,1951,
Eswatini,1951,
Ethiopia,1951,
Fiji,1951,
Finland,1951,0.13
France,1951,0.0338
Gabon,1951,
Gambia,1951,
Georgia,1951,
Germany,1951,
Ghana,1951,
Greece,1951,0.0
Grenada,1951,
Guatemala,1951,
Guinea,1951,
Guinea-Bissau,1951,
Guyana,1951,
Haiti,1951,0.0
Honduras,1951,0.0
Hungary,1951,0.176
Iceland,1951,0.0192
India,1951,0.0382
Indonesia,1951,0.0357
Iran,1951,0.0
Iraq,1951,0.0
Ireland,1951,0.0386
Israel,1951,0.0917
Italy,1951,0.0457
Jamaica,1951,
Japan,1951,0.0293
Jordan,1951,0.0
Kazakhstan,1951,
Kenya,1951,
Kiribati,1951,
Kuwait,1951,
Kyrgyz Republic,1951,
Lao,1951,
Latvia,1951,
Lebanon,1951,0.0
Lesotho,1951,
Liberia,1951,
Libya,1951,
Liechtenstein,1951,
Lithuania,1951,
Luxembourg,1951,0.0
Madagascar,1951,
Malawi,1951,
Malaysia,1951,
Maldives,1951,
Mali,1951,
Malta,1951,
Marshall Islands,1951,
Mauritania,1951,
Mauritius,1951,
Mexico,1951,
"Micronesia, Fed, Sts,",1951,
Moldova,1951,
Monaco,1951,
Mongolia,1951,0.2
Montenegro,1951,
Morocco,1951,
Mozambique,1951,
Myanmar,1951,0.0145
Namibia,1951,
Nauru,1951,
Nepal,1951,
Netherlands,1951,0.02
New Zealand,1951,0.0375
Nicaragua,1951,0.0
Niger,1951,
Nigeria,1951,
North Korea,1951,
North Macedonia,1951,
Norway,1951,0.0467
Oman,1951,
Pakistan,1951,
Palau,1951,
Panama,1951,0.0199
Papua New Guinea,1951,
Paraguay,1951,0.0
Peru,1951,0.0075
Philippines,1951,0.0
Poland,1951,0.14
Portugal,1951,0.0167
Qatar,1951,
Romania,1951,0.134
Russia,1951,
Rwanda,1951,
Samoa,1951,
San Marino,1951,0.0
