Facility_ID,variable,value
500002,Facility_Name,PROVIDENCE ST MARY MEDICAL CENTER
51321,Facility_Name,HEALDSBURG HOSPITAL
271327,Facility_Name,ROSEBUD HEALTH CARE CENTER
40088,Facility_Name,MEDICAL CENTER OF SOUTH ARKANSAS
430015,Facility_Name,AVERA ST MARY'S HOSPITAL
370016,Facility_Name,INTEGRIS BASS BAPTIST HEALTH CENTER
420103,Facility_Name,PELHAM MEDICAL CENTER
50067,Facility_Name,OAK VALLEY HOSPITAL DISTRICT
281353,Facility_Name,VALLEY COUNTY HEALTH SYSTEM
190002,Facility_Name,OCHSNER LAFAYETTE GENERAL MEDICAL CENTER
50069,Facility_Name,PROVIDENCE ST. JOSEPH HOSPITAL
520198,Facility_Name,AURORA MEDICAL CTR OSHKOSH
210024,Facility_Name,MEDSTAR UNION MEMORIAL HOSPITAL
171351,Facility_Name,WASHINGTON COUNTY HOSPITAL
451331,Facility_Name,COON MEMORIAL HOSPITAL
70004,Facility_Name,SHARON HOSPITAL
390093,Facility_Name,CLARION HOSPITAL
511303,Facility_Name,MINNIE HAMILTON HEALTH SYSTEM
140117,Facility_Name,AMITA HEALTH RESURRECTION MEDICAL CENTER
130066,Facility_Name,NORTHWEST SPECIALTY HOSPITAL
140174,Facility_Name,PRESENCE MERCY MEDICAL CENTER
100249,Facility_Name,BAYFRONT HEALTH SEVEN RIVERS
420027,Facility_Name,ANMED HEALTH
191323,Facility_Name,RICHLAND PARISH HOSPITAL-DELHI
450833,Facility_Name,ENNIS REGIONAL MEDICAL CENTER
230047,Facility_Name,HENRY FORD MACOMB HOSPITAL
10148,Facility_Name,EVERGREEN MEDICAL CENTER
230273,Facility_Name,DETROIT RECEIVING HOSPITAL
50779,Facility_Name,"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL"
50353,Facility_Name,PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE
50336,Facility_Name,ADVENTIST HEALTH LODI MEMORIAL
521302,Facility_Name,MAYO CLINIC HEALTH SYSTEM OAKRIDGE
111336,Facility_Name,MOUNTAIN LAKES MEDICAL CENTER
230066,Facility_Name,MERCY HEALTH HACKLEY CAMPUS
111306,Facility_Name,EFFINGHAM HEALTH SYSTEM
310001,Facility_Name,HACKENSACK UNIVERSITY MEDICAL CENTER
261328,Facility_Name,MOSAIC MEDICAL CENTER ALBANY
231306,Facility_Name,MACKINAC STRAITS HOSPITAL AND HEALTH CENTER
141310,Facility_Name,OSF SAINT PAUL MEDICAL CENTER
30137,Facility_Name,SANTA CRUZ VALLEY REGIONAL HOSPITAL
531312,Facility_Name,CODY REGIONAL HEALTH
220084,Facility_Name,EMERSON HOSPITAL -
330008,Facility_Name,WYOMING COUNTY COMMUNITY HOSPITAL
290057,Facility_Name,HENDERSON HOSPITAL
131302,Facility_Name,NORTH CANYON MEDICAL CENTER
41312,Facility_Name,BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS
360148,Facility_Name,POMERENE HOSPITAL
141340,Facility_Name,VALLEY WEST COMMUNITY HOSPITAL
371322,Facility_Name,BEAVER COUNTY MEMORIAL HOSPITAL
150091,Facility_Name,PARKVIEW HUNTINGTON HOSPITAL
221303,Facility_Name,ATHOL MEMORIAL HOSPITAL
190017,Facility_Name,OPELOUSAS GENERAL HEALTH SYSTEM
61314,Facility_Name,"MEMORIAL HOSPITAL, THE"
50735,Facility_Name,WHITTIER HOSPITAL MEDICAL CENTER
390116,Facility_Name,SUBURBAN COMMUNITY HOSPITAL
150045,Facility_Name,PARKVIEW DEKALB HOSPITAL
10103,Facility_Name,PRINCETON BAPTIST MEDICAL CENTER
300003,Facility_Name,MARY HITCHCOCK MEMORIAL HOSPITAL
131321,Facility_Name,ST MARYS HOSPITAL AND CLINICS
360354,Facility_Name,WEST CHESTER HOSPITAL
240014,Facility_Name,NORTHFIELD HOSPITAL
450864,Facility_Name,BAYLOR SCOTT & WHITE TEXAS SPINE & JOINT HOSPITAL
241359,Facility_Name,AVERA MARSHALL REGIONAL MEDICAL CTR
50226,Facility_Name,AHMC ANAHEIM REGIONAL MEDICAL CENTER
50382,Facility_Name,EMANATE HEALTH INTER-COMMUNITY HOSPITAL
510058,Facility_Name,CAMDEN CLARK MEDICAL CENTER
170146,Facility_Name,PROVIDENCE MEDICAL CENTER
531305,Facility_Name,PLATTE COUNTY MEMORIAL HOSPITAL
391312,Facility_Name,PENN HIGHLANDS BROOKVILLE
510012,Location_City,POINT PLEASANT
431325,Location_City,MOBRIDGE
190036,Location_City,NEW ORLEANS
180127,Location_City,FRANKFORT
370228,Location_City,OWASSO
251315,Location_City,CARTHAGE
250162,Location_City,BAY SAINT LOUIS
360087,Location_City,CLEVELAND
340090,Location_City,SMITHFIELD
240207,Location_City,BURNSVILLE
321306,Location_City,RUIDOSO
100286,Location_City,NAPLES
50077,Location_City,SAN DIEGO
340016,Location_City,SYLVA
111320,Location_City,BREMEN
230075,Location_City,BATTLE CREEK
150047,Location_City,FORT WAYNE
361309,Location_City,NAPOLEON
450085,Location_City,GRAHAM
160016,Location_City,FORT DODGE
210065,Location_City,GERMANTOWN
500051,Location_City,BELLEVUE
10038,Location_City,ANNISTON
440156,Location_City,CHATTANOOGA
310048,Location_City,SOMERVILLE
450035,Location_City,HOUSTON
171339,Location_City,EUREKA
301309,Location_City,PETERBOROUGH
50055,Location_City,SAN FRANCISCO
420107,Location_City,CHERAW
100228,Location_City,PLANTATION
500002,Location_City,WALLA WALLA
51321,Location_City,HEALDSBURG
271327,Location_City,FORSYTH
40088,Location_City,EL DORADO
430015,Location_City,PIERRE
370016,Location_City,ENID
420103,Location_City,GREER
50067,Location_City,OAKDALE
281353,Location_City,ORD
190002,Location_City,LAFAYETTE
50069,Location_City,ORANGE
520198,Location_City,OSHKOSH
210024,Location_City,BALTIMORE
171351,Location_City,WASHINGTON
451331,Location_City,DALHART
70004,Location_City,SHARON
390093,Location_City,CLARION
511303,Location_City,GRANTSVILLE
140117,Location_City,CHICAGO
130066,Location_City,POST FALLS
140174,Location_City,AURORA
100249,Location_City,CRYSTAL RIVER
420027,Location_City,ANDERSON
191323,Location_City,DELHI
450833,Location_City,ENNIS
230047,Location_City,CLINTON TOWNSHIP
10148,Location_City,EVERGREEN
230273,Location_City,DETROIT
50779,Location_City,LOS ANGELES
50353,Location_City,TORRANCE
50336,Location_City,LODI
521302,Location_City,OSSEO
111336,Location_City,CLAYTON
230066,Location_City,MUSKEGON
111306,Location_City,SPRINGFIELD
310001,Location_City,HACKENSACK
261328,Location_City,ALBANY
231306,Location_City,SAINT IGNACE
141310,Location_City,MENDOTA
30137,Location_City,GREEN VALLEY
531312,Location_City,CODY
220084,Location_City,W CONCORD
330008,Location_City,WARSAW
290057,Location_City,HENDERSON
131302,Location_City,GOODING
41312,Location_City,HEBER SPRINGS
360148,Location_City,MILLERSBURG
141340,Location_City,SANDWICH
371322,Location_City,BEAVER
150091,Location_City,HUNTINGTON
221303,Location_City,ATHOL
190017,Location_City,OPELOUSAS
61314,Location_City,CRAIG
50735,Location_City,WHITTIER
390116,Location_City,NORRISTOWN
150045,Location_City,AUBURN
10103,Location_City,BIRMINGHAM
300003,Location_City,LEBANON
131321,Location_City,COTTONWOOD
360354,Location_City,WEST CHESTER
240014,Location_City,NORTHFIELD
450864,Location_City,TYLER
241359,Location_City,MARSHALL
50226,Location_City,ANAHEIM
50382,Location_City,COVINA
510058,Location_City,PARKERSBURG
170146,Location_City,KANSAS CITY
531305,Location_City,WHEATLAND
391312,Location_City,BROOKVILLE
510012,Location_State,WV
431325,Location_State,SD
190036,Location_State,LA
180127,Location_State,KY
370228,Location_State,OK
251315,Location_State,MS
250162,Location_State,MS
360087,Location_State,OH
340090,Location_State,NC
240207,Location_State,MN
321306,Location_State,NM
100286,Location_State,FL
50077,Location_State,CA
340016,Location_State,NC
111320,Location_State,GA
230075,Location_State,MI
150047,Location_State,IN
361309,Location_State,OH
450085,Location_State,TX
160016,Location_State,IA
210065,Location_State,MD
500051,Location_State,WA
10038,Location_State,AL
440156,Location_State,TN
310048,Location_State,NJ
450035,Location_State,TX
171339,Location_State,KS
301309,Location_State,NH
50055,Location_State,CA
420107,Location_State,SC
100228,Location_State,FL
500002,Location_State,WA
51321,Location_State,CA
271327,Location_State,MT
40088,Location_State,AR
430015,Location_State,SD
370016,Location_State,OK
420103,Location_State,SC
50067,Location_State,CA
281353,Location_State,NE
190002,Location_State,LA
50069,Location_State,CA
520198,Location_State,WI
210024,Location_State,MD
171351,Location_State,KS
451331,Location_State,TX
70004,Location_State,CT
390093,Location_State,PA
511303,Location_State,WV
140117,Location_State,IL
130066,Location_State,ID
140174,Location_State,IL
100249,Location_State,FL
420027,Location_State,SC
191323,Location_State,LA
450833,Location_State,TX
230047,Location_State,MI
10148,Location_State,AL
230273,Location_State,MI
50779,Location_State,CA
50353,Location_State,CA
50336,Location_State,CA
521302,Location_State,WI
111336,Location_State,GA
230066,Location_State,MI
111306,Location_State,GA
310001,Location_State,NJ
261328,Location_State,MO
231306,Location_State,MI
141310,Location_State,IL
30137,Location_State,AZ
531312,Location_State,WY
220084,Location_State,MA
330008,Location_State,NY
290057,Location_State,NV
131302,Location_State,ID
41312,Location_State,AR
360148,Location_State,OH
141340,Location_State,IL
371322,Location_State,OK
150091,Location_State,IN
221303,Location_State,MA
190017,Location_State,LA
61314,Location_State,CO
50735,Location_State,CA
390116,Location_State,PA
150045,Location_State,IN
10103,Location_State,AL
300003,Location_State,NH
131321,Location_State,ID
360354,Location_State,OH
240014,Location_State,MN
450864,Location_State,TX
241359,Location_State,MN
50226,Location_State,CA
50382,Location_State,CA
510058,Location_State,WV
170146,Location_State,KS
531305,Location_State,WY
391312,Location_State,PA
510012,Location_Zip_Code,25550
431325,Location_Zip_Code,57601
190036,Location_Zip_Code,70121
180127,Location_Zip_Code,40601
370228,Location_Zip_Code,74055
251315,Location_Zip_Code,39051
250162,Location_Zip_Code,39520
360087,Location_Zip_Code,44113
340090,Location_Zip_Code,27577
240207,Location_Zip_Code,55337
321306,Location_Zip_Code,88345
100286,Location_Zip_Code,34119
50077,Location_Zip_Code,92103
340016,Location_Zip_Code,28779
111320,Location_Zip_Code,30110
230075,Location_Zip_Code,49017
150047,Location_Zip_Code,46802
361309,Location_Zip_Code,43545
450085,Location_Zip_Code,76450
160016,Location_Zip_Code,50501
210065,Location_Zip_Code,20876
500051,Location_Zip_Code,98004
10038,Location_Zip_Code,36201
440156,Location_Zip_Code,37404
310048,Location_Zip_Code,8876
450035,Location_Zip_Code,77002
171339,Location_Zip_Code,67045
301309,Location_Zip_Code,3458
50055,Location_Zip_Code,94110
420107,Location_Zip_Code,29520
100228,Location_Zip_Code,33324
500002,Location_Zip_Code,99362
51321,Location_Zip_Code,95448
271327,Location_Zip_Code,59327
40088,Location_Zip_Code,71730
430015,Location_Zip_Code,57501
370016,Location_Zip_Code,73701
420103,Location_Zip_Code,29651
50067,Location_Zip_Code,95361
281353,Location_Zip_Code,68862
190002,Location_Zip_Code,70503
50069,Location_Zip_Code,92868
520198,Location_Zip_Code,54904
210024,Location_Zip_Code,21218
171351,Location_Zip_Code,66968
451331,Location_Zip_Code,79022
70004,Location_Zip_Code,6069
390093,Location_Zip_Code,16214
511303,Location_Zip_Code,26147
140117,Location_Zip_Code,60631
130066,Location_Zip_Code,83854
140174,Location_Zip_Code,60506
100249,Location_Zip_Code,34428
420027,Location_Zip_Code,29621
191323,Location_Zip_Code,71232
450833,Location_Zip_Code,75119
230047,Location_Zip_Code,48038
10148,Location_Zip_Code,36401
230273,Location_Zip_Code,48201
50779,Location_Zip_Code,90059
50353,Location_Zip_Code,90503
50336,Location_Zip_Code,95240
521302,Location_Zip_Code,54758
111336,Location_Zip_Code,30525
230066,Location_Zip_Code,49442
111306,Location_Zip_Code,31329
310001,Location_Zip_Code,7601
261328,Location_Zip_Code,64402
231306,Location_Zip_Code,49781
141310,Location_Zip_Code,61342
30137,Location_Zip_Code,85614
531312,Location_Zip_Code,82414
220084,Location_Zip_Code,1742
330008,Location_Zip_Code,14569
290057,Location_Zip_Code,89011
131302,Location_Zip_Code,83330
41312,Location_Zip_Code,72543
360148,Location_Zip_Code,44654
141340,Location_Zip_Code,60548
371322,Location_Zip_Code,73932
150091,Location_Zip_Code,46750
221303,Location_Zip_Code,1331
190017,Location_Zip_Code,70570
61314,Location_Zip_Code,81625
50735,Location_Zip_Code,90605
390116,Location_Zip_Code,19401
150045,Location_Zip_Code,46706
10103,Location_Zip_Code,35211
300003,Location_Zip_Code,3756
131321,Location_Zip_Code,83522
360354,Location_Zip_Code,45069
240014,Location_Zip_Code,55057
450864,Location_Zip_Code,75701
241359,Location_Zip_Code,56258
50226,Location_Zip_Code,92801
50382,Location_Zip_Code,91723
510058,Location_Zip_Code,26101
170146,Location_Zip_Code,66112
531305,Location_Zip_Code,82201
391312,Location_Zip_Code,15825
510012,Location_County,MASON
431325,Location_County,WALWORTH
190036,Location_County,JEFFERSON
180127,Location_County,FRANKLIN
370228,Location_County,TULSA
251315,Location_County,LEAKE
250162,Location_County,HANCOCK
360087,Location_County,CUYAHOGA
340090,Location_County,JOHNSTON
240207,Location_County,DAKOTA
321306,Location_County,LINCOLN
100286,Location_County,COLLIER
50077,Location_County,SAN DIEGO
340016,Location_County,JACKSON
111320,Location_County,HARALSON
230075,Location_County,CALHOUN
150047,Location_County,ALLEN
361309,Location_County,HENRY
450085,Location_County,YOUNG
160016,Location_County,WEBSTER
210065,Location_County,MONTGOMERY
500051,Location_County,KING
10038,Location_County,CALHOUN
440156,Location_County,HAMILTON
310048,Location_County,SOMERSET
450035,Location_County,HARRIS
171339,Location_County,GREENWOOD
301309,Location_County,HILLSBOROUGH
50055,Location_County,SAN FRANCISCO
420107,Location_County,CHESTERFIELD
100228,Location_County,BROWARD
500002,Location_County,WALLA WALLA
51321,Location_County,SONOMA
271327,Location_County,ROSEBUD
40088,Location_County,UNION
430015,Location_County,HUGHES
370016,Location_County,GARFIELD
420103,Location_County,GREENVILLE
50067,Location_County,STANISLAUS
281353,Location_County,VALLEY
190002,Location_County,LAFAYETTE
50069,Location_County,ORANGE
520198,Location_County,WINNEBAGO
210024,Location_County,BALTIMORE CITY
171351,Location_County,WASHINGTON
451331,Location_County,DALLAM
70004,Location_County,LITCHFIELD
390093,Location_County,CLARION
511303,Location_County,CALHOUN
140117,Location_County,COOK
130066,Location_County,KOOTENAI
140174,Location_County,KANE
100249,Location_County,CITRUS
420027,Location_County,ANDERSON
191323,Location_County,RICHLAND
450833,Location_County,ELLIS
230047,Location_County,MACOMB
10148,Location_County,CONECUH
230273,Location_County,WAYNE
50779,Location_County,LOS ANGELES
50353,Location_County,LOS ANGELES
50336,Location_County,SAN JOAQUIN
521302,Location_County,TREMPEALEAU
111336,Location_County,RABUN
230066,Location_County,MUSKEGON
111306,Location_County,EFFINGHAM
310001,Location_County,BERGEN
261328,Location_County,GENTRY
231306,Location_County,MACKINAC
141310,Location_County,LA SALLE
30137,Location_County,PIMA
531312,Location_County,PARK
220084,Location_County,MIDDLESEX
330008,Location_County,WYOMING
290057,Location_County,CLARK
131302,Location_County,GOODING
41312,Location_County,CLEBURNE
360148,Location_County,HOLMES
141340,Location_County,DE KALB
371322,Location_County,BEAVER
150091,Location_County,HUNTINGTON
221303,Location_County,WORCESTER
190017,Location_County,ST. LANDRY
61314,Location_County,MOFFAT
50735,Location_County,LOS ANGELES
390116,Location_County,MONTGOMERY
150045,Location_County,DE KALB
10103,Location_County,JEFFERSON
300003,Location_County,GRAFTON
131321,Location_County,IDAHO
360354,Location_County,BUTLER
240014,Location_County,RICE
450864,Location_County,SMITH
241359,Location_County,LYON
50226,Location_County,ORANGE
50382,Location_County,LOS ANGELES
510058,Location_County,WOOD
170146,Location_County,WYANDOTTE
531305,Location_County,PLATTE
391312,Location_County,JEFFERSON
510012,State_ID,54
431325,State_ID,46
190036,State_ID,22
180127,State_ID,21
370228,State_ID,40
251315,State_ID,28
250162,State_ID,28
360087,State_ID,39
340090,State_ID,37
240207,State_ID,27
321306,State_ID,35
100286,State_ID,12
50077,State_ID,6
340016,State_ID,37
111320,State_ID,13
230075,State_ID,26
150047,State_ID,18
361309,State_ID,39
450085,State_ID,48
160016,State_ID,19
210065,State_ID,24
500051,State_ID,53
10038,State_ID,1
440156,State_ID,47
310048,State_ID,34
450035,State_ID,48
171339,State_ID,20
301309,State_ID,33
50055,State_ID,6
420107,State_ID,45
100228,State_ID,12
500002,State_ID,53
51321,State_ID,6
271327,State_ID,30
40088,State_ID,5
430015,State_ID,46
370016,State_ID,40
420103,State_ID,45
50067,State_ID,6
281353,State_ID,31
190002,State_ID,22
50069,State_ID,6
520198,State_ID,55
210024,State_ID,24
171351,State_ID,20
451331,State_ID,48
70004,State_ID,9
390093,State_ID,42
511303,State_ID,54
140117,State_ID,17
130066,State_ID,16
140174,State_ID,17
100249,State_ID,12
420027,State_ID,45
191323,State_ID,22
450833,State_ID,48
230047,State_ID,26
10148,State_ID,1
230273,State_ID,26
50779,State_ID,6
50353,State_ID,6
50336,State_ID,6
521302,State_ID,55
111336,State_ID,13
230066,State_ID,26
111306,State_ID,13
310001,State_ID,34
261328,State_ID,29
231306,State_ID,26
141310,State_ID,17
30137,State_ID,4
531312,State_ID,56
220084,State_ID,25
330008,State_ID,36
290057,State_ID,32
131302,State_ID,16
41312,State_ID,5
360148,State_ID,39
141340,State_ID,17
371322,State_ID,40
150091,State_ID,18
221303,State_ID,25
190017,State_ID,22
61314,State_ID,8
50735,State_ID,6
390116,State_ID,42
150045,State_ID,18
10103,State_ID,1
300003,State_ID,33
131321,State_ID,16
360354,State_ID,39
240014,State_ID,27
450864,State_ID,48
241359,State_ID,27
50226,State_ID,6
50382,State_ID,6
510058,State_ID,54
170146,State_ID,20
531305,State_ID,56
391312,State_ID,42
