Code_Agence,Nom_Agence,Code_Adresse
"AG0327","Agence de RAMBOUILLET","AD0605"
"AG0328","Agence de MONTESSON","AD0606"
"AG0329","Agence de LE VESINET","AD0607"
"AG0330","Agence de MAISONS-LAFFITTE","AD0608"
"AG0331","Agence de MAUREPAS","AD0609"
"AG0332","Agence de HOUILLES","AD0610"
"AG0333","Agence de LES MUREAUX","AD0611"
"AG0334","Agence de SARTROUVILLE","AD0612"
"AG0335","Agence de CROISSY-SUR-SEINE","AD0613"
"AG0336","Agence de BOIS-D'ARCY","AD0614"
"AG0337","Agence de TRIEL-SUR-SEINE","AD0615"
"AG0338","Agence de ACHERES","AD0616"
"AG0339","Agence de CARRIERES-SOUS-POISSY","AD0617"
"AG0340","Agence de POISSY","AD0618"
"AG0341","Agence de MARLY-LE-ROI","AD0619"
"AG0342","Agence de CARRIERES-SUR-SEINE","AD0620"
"AG0343","Agence de VERNEUIL-SUR-SEINE","AD0621"
"AG0344","Agence de ANDRESY","AD0622"
"AG0345","Agence de PLAISIR","AD0623"
"AG0346","Agence de MANTES-LA-VILLE","AD0624"
"AG0347","Agence de SAINT-CYR-L'ECOLE","AD0625"
"AG0348","Agence de VERSAILLES","AD0626"
"AG0349","Agence de GUYANCOURT","AD0627"
"AG0350","Agence de CHATOU","AD0628"
"AG0351","Agence de SORGUES","AD0685"
"AG0352","Agence de L'ISLE-SUR-LA-SORGUE","AD0686"
"AG0353","Agence de CARPENTRAS","AD0687"
"AG0354","Agence de BOLLENE","AD0688"
"AG0355","Agence de MONTEUX","AD0689"
"AG0356","Agence de ORANGE","AD0690"
"AG0357","Agence de AVIGNON","AD0691"
"AG0358","Agence de PERTUIS","AD0692"
"AG0359","Agence de APT","AD0693"
"AG0360","Agence de CHATEAU-D'OLONNE","AD0694"
"AG0361","Agence de FONTENAY-LE-COMTE","AD0695"
"AG0362","Agence de OLONNE-SUR-MER","AD0696"
"AG0363","Agence de CHALLANS","AD0697"
"AG0364","Agence de LES SABLES-D'OLONNE","AD0698"
"AG0365","Agence de LA ROCHE-SUR-YON","AD0699"
"AG0366","Agence de SAINT-HILAIRE-DE-RIEZ","AD0700"
"AG0367","Agence de LES HERBIERS","AD0701"
"AG0368","Agence de BUXEROLLES","AD0702"
"AG0369","Agence de POITIERS","AD0703"
"AG0370","Agence de CHATELLERAULT","AD0704"
"AG0371","Agence de SAINT-JUNIEN","AD0705"
"AG0372","Agence de LIMOGES","AD0706"
"AG0373","Agence de PANAZOL","AD0707"
"AG0374","Agence de EPINAL","AD0708"
"AG0375","Agence de SAINT-DIE-DES-VOSGES","AD0709"
"AG0376","Agence de SENS","AD0710"
"AG0377","Agence de JOIGNY","AD0711"
"AG0378","Agence de AUXERRE","AD0712"
"AG0379","Agence de BELFORT","AD0713"
"AG0380","Agence de BRUNOY","AD0714"
"AG0381","Agence de EVRY","AD0715"
"AG0382","Agence de DRAVEIL","AD0716"
"AG0383","Agence de MENNECY","AD0717"
"AG0384","Agence de GRIGNY","AD0718"
"AG0385","Agence de RIS-ORANGIS","AD0719"
"AG0386","Agence de PALAISEAU","AD0720"
"AG0387","Agence de ARPAJON","AD0721"
"AG0388","Agence de EPINAY-SUR-ORGE","AD0722"
"AG0389","Agence de VERRIERES-LE-BUISSON","AD0723"
"AG0390","Agence de SAINT-MICHEL-SUR-ORGE","AD0724"
"AG0391","Agence de VIGNEUX-SUR-SEINE","AD0725"
"AG0392","Agence de COURCOURONNES","AD0726"
"AG0393","Agence de IGNY","AD0727"
"AG0394","Agence de VIRY-CHATILLON","AD0728"
"AG0395","Agence de ETAMPES","AD0729"
"AG0396","Agence de CORBEIL-ESSONNES","AD0730"
"AG0397","Agence de ORSAY","AD0731"
"AG0398","Agence de MASSY","AD0732"
"AG0399","Agence de YERRES","AD0733"
"AG0400","Agence de GIF-SUR-YVETTE","AD0734"
"AG0401","Agence de MORANGIS","AD0735"
"AG0402","Agence de CHILLY-MAZARIN","AD0736"
"AG0403","Agence de EPINAY-SOUS-SENART","AD0737"
"AG0404","Agence de LES ULIS","AD0738"
"AG0405","Agence de ATHIS-MONS","AD0739"
"AG0406","Agence de MORSANG-SUR-ORGE","AD0740"
"AG0407","Agence de JUVISY-SUR-ORGE","AD0741"
"AG0408","Agence de MONTGERON","AD0742"
"AG0409","Agence de BRETIGNY-SUR-ORGE","AD0743"
"AG0410","Agence de SAINTE-GENEVIEVE-DES-BOIS","AD0744"
"AG0411","Agence de SAVIGNY-SUR-ORGE","AD0745"
"AG0412","Agence de LONGJUMEAU","AD0746"
"AG0413","Agence de NEUILLY-SUR-SEINE","AD0747"
"AG0414","Agence de CHATILLON","AD0748"
"AG0415","Agence de BOIS-COLOMBES","AD0749"
"AG0416","Agence de PUTEAUX","AD0750"
"AG0417","Agence de CLAMART","AD0751"
"AG0418","Agence de MEUDON","AD0752"
"AG0419","Agence de ISSY-LES-MOULINEAUX","AD0753"
"AG0420","Agence de RUEIL-MALMAISON","AD0754"
"AG0421","Agence de ANTONY","AD0755"
"AG0422","Agence de LE PLESSIS-ROBINSON","AD0756"
"AG0423","Agence de LEVALLOIS-PERRET","AD0757"
"AG0424","Agence de BOULOGNE-BILLANCOURT","AD0758"
"AG0425","Agence de ASNIERES-SUR-SEINE","AD0759"
"AG0426","Agence de COLOMBES","AD0760"
"AG0427","Agence de FONTENAY-AUX-ROSES","AD0761"
"AG0428","Agence de GARCHES","AD0762"
"AG0429","Agence de VILLENEUVE-LA-GARENNE","AD0763"
"AG0430","Agence de COURBEVOIE","AD0764"
"AG0431","Agence de MONTROUGE","AD0765"
"AG0432","Agence de CHATENAY-MALABRY","AD0766"
"AG0433","Agence de CLICHY","AD0767"
"AG0434","Agence de VANVES","AD0768"
"AG0435","Agence de VILLE-D'AVRAY","AD0769"
"AG0436","Agence de SURESNES","AD0770"
"AG0437","Agence de SEVRES","AD0771"
"AG0438","Agence de SCEAUX","AD0772"
"AG0439","Agence de CHAVILLE","AD0773"
"AG0440","Agence de LA GARENNE-COLOMBES","AD0774"
"AG0441","Agence de GENNEVILLIERS","AD0775"
"AG0442","Agence de NANTERRE","AD0776"
"AG0443","Agence de SAINT-CLOUD","AD0777"
"AG0444","Agence de MALAKOFF","AD0778"
"AG0445","Agence de BAGNEUX","AD0779"
"AG0446","Agence de BOURG-LA-REINE","AD0780"
"AG0447","Agence de LE BOURGET","AD0781"
"AG0448","Agence de BAGNOLET","AD0782"
"AG0449","Agence de LA COURNEUVE","AD0783"
"AG0450","Agence de LES PAVILLONS-SOUS-BOIS","AD0784"
"AG0451","Agence de SEVRAN","AD0785"
"AG0452","Agence de VILLEMOMBLE","AD0786"
"AG0453","Agence de MONTREUIL","AD0787"
"AG0454","Agence de LIVRY-GARGAN","AD0788"
"AG0455","Agence de AULNAY-SOUS-BOIS","AD0789"
"AG0456","Agence de DUGNY","AD0790"
"AG0457","Agence de VILLETANEUSE","AD0791"
"AG0458","Agence de LE RAINCY","AD0792"
"AG0459","Agence de SAINT-DENIS","AD0793"
"AG0460","Agence de LES LILAS","AD0794"
"AG0461","Agence de CLICHY-SOUS-BOIS","AD0795"
"AG0462","Agence de NOISY-LE-GRAND","AD0796"
"AG0463","Agence de ROMAINVILLE","AD0797"
"AG0464","Agence de AUBERVILLIERS","AD0798"
"AG0465","Agence de NOISY-LE-SEC","AD0799"
"AG0466","Agence de VILLEPINTE","AD0800"
"AG0467","Agence de BOBIGNY","AD0801"
"AG0468","Agence de PIERREFITTE-SUR-SEINE","AD0802"
"AG0469","Agence de TREMBLAY-EN-FRANCE","AD0803"
"AG0470","Agence de MONTFERMEIL","AD0804"
"AG0471","Agence de LE PRE-SAINT-GERVAIS","AD0805"
"AG0472","Agence de STAINS","AD0806"
"AG0473","Agence de PANTIN","AD0807"
"AG0474","Agence de NEUILLY-PLAISANCE","AD0808"
"AG0475","Agence de ROSNY-SOUS-BOIS","AD0809"
"AG0476","Agence de SAINT-OUEN","AD0810"
"AG0477","Agence de BONDY","AD0811"
"AG0478","Agence de EPINAY-SUR-SEINE","AD0812"
"AG0479","Agence de NEUILLY-SUR-MARNE","AD0813"
"AG0480","Agence de DRANCY","AD0814"
"AG0481","Agence de LE BLANC-MESNIL","AD0815"
"AG0482","Agence de GAGNY","AD0816"
"AG0483","Agence de FONTENAY-SOUS-BOIS","AD0817"
"AG0484","Agence de L'HAY-LES-ROSES","AD0818"
"AG0485","Agence de LIMEIL-BREVANNES","AD0819"
"AG0486","Agence de ALFORTVILLE","AD0820"
"AG0487","Agence de LE PLESSIS-TREVISE","AD0821"
"AG0488","Agence de CHOISY-LE-ROI","AD0822"
"AG0489","Agence de SAINT-MANDE","AD0823"
"AG0490","Agence de FRESNES","AD0824"
"AG0491","Agence de VILLIERS-SUR-MARNE","AD0825"
"AG0492","Agence de LE KREMLIN-BICETRE","AD0826"
"AG0493","Agence de BOISSY-SAINT-LEGER","AD0827"
"AG0494","Agence de LA QUEUE-EN-BRIE","AD0828"
"AG0495","Agence de ARCUEIL","AD0829"
"AG0496","Agence de LE PERREUX-SUR-MARNE","AD0830"
"AG0497","Agence de VALENTON","AD0831"
"AG0498","Agence de NOGENT-SUR-MARNE","AD0832"
"AG0499","Agence de CACHAN","AD0833"
"AG0500","Agence de SAINT-MAUR-DES-FOSSES","AD0834"
"AG0501","Agence de THIAIS","AD0835"
"AG0502","Agence de SUCY-EN-BRIE","AD0836"
"AG0503","Agence de VINCENNES","AD0837"
"AG0504","Agence de CHARENTON-LE-PONT","AD0838"
"AG0505","Agence de SAINT-MAURICE","AD0839"
"AG0506","Agence de BRY-SUR-MARNE","AD0840"
"AG0507","Agence de BONNEUIL-SUR-MARNE","AD0841"
"AG0508","Agence de JOINVILLE-LE-PONT","AD0842"
"AG0509","Agence de GENTILLY","AD0843"
"AG0510","Agence de VILLEJUIF","AD0844"
"AG0511","Agence de VITRY-SUR-SEINE","AD0845"
"AG0512","Agence de CHEVILLY-LARUE","AD0846"
"AG0513","Agence de CHENNEVIERES-SUR-MARNE","AD0847"
"AG0514","Agence de CHAMPIGNY-SUR-MARNE","AD0848"
"AG0515","Agence de IVRY-SUR-SEINE","AD0849"
"AG0516","Agence de MAISONS-ALFORT","AD0850"
"AG0517","Agence de ORLY","AD0851"
"AG0518","Agence de VILLENEUVE-LE-ROI","AD0852"
"AG0519","Agence de VILLENEUVE-SAINT-GEORGES","AD0853"
"AG0520","Agence de CRETEIL","AD0854"
"AG0521","Agence de OSNY","AD0855"
"AG0522","Agence de CERGY","AD0856"
"AG0523","Agence de JOUY-LE-MOUTIER","AD0857"
"AG0524","Agence de DOMONT","AD0858"
"AG0525","Agence de MONTMORENCY","AD0859"
"AG0526","Agence de PONTOISE","AD0860"
"AG0527","Agence de VAUREAL","AD0861"
"AG0528","Agence de HERBLAY","AD0862"
"AG0529","Agence de ERMONT","AD0863"
"AG0530","Agence de SAINT-BRICE-SOUS-FORET","AD0864"
"AG0531","Agence de GOUSSAINVILLE","AD0865"
"AG0532","Agence de FRANCONVILLE","AD0866"
"AG0533","Agence de GONESSE","AD0867"
"AG0534","Agence de DEUIL-LA-BARRE","AD0868"
