Country,City,State,Region,Postal Code,State Abbrev
"United States","Redwood City","California","West","94061","CA"
"United States","Orem","Utah","West","84057","UT"
"United States","Seattle","Washington","West","98103","WA"
"United States","Edmonds","Washington","West","98026","WA"
"United States","Provo","Utah","West","84604","UT"
"United States","Seattle","Washington","West","98115","WA"
"United States","Las Vegas","Nevada","West","89115","NV"
"United States","Boise","Idaho","West","83704","ID"
"United States","Seattle","Washington","West","98105","WA"
"United States","Henderson","Nevada","West","89015","NV"
"United States","Twin Falls","Idaho","West","83301","ID"
"United States","Vancouver","Washington","West","98661","WA"
"United States","North Las Vegas","Nevada","West","89031","NV"
"United States","Spokane","Washington","West","99207","WA"
"United States","Santa Fe","New Mexico","West","87505","NM"
"United States","Covington","Washington","West","98042","WA"
"United States","Logan","Utah","West","84321","UT"
"United States","Draper","Utah","West","84020","UT"
"United States","Great Falls","Montana","West","59405","MT"
"United States","Pocatello","Idaho","West","83201","ID"
"United States","Longview","Washington","West","98632","WA"
"United States","Auburn","Washington","West","98002","WA"
"United States","West Jordan","Utah","West","84084","UT"
"United States","Helena","Montana","West","59601","MT"
"United States","Bellevue","Washington","West","98006","WA"
"United States","Pasco","Washington","West","99301","WA"
"United States","Pleasant Grove","Utah","West","84062","UT"
"United States","Albuquerque","New Mexico","West","87105","NM"
"United States","Sparks","Nevada","West","89431","NV"
"United States","Marysville","Washington","West","98270","WA"
"United States","Las Cruces","New Mexico","West","88001","NM"
"United States","Bozeman","Montana","West","59715","MT"
"United States","Redmond","Washington","West","98052","WA"
"United States","Carlsbad","New Mexico","West","88220","NM"
"United States","Kent","Washington","West","98031","WA"
"United States","Des Moines","Washington","West","98198","WA"
"United States","Layton","Utah","West","84041","UT"
"United States","Farmington","New Mexico","West","87401","NM"
"United States","Reno","Nevada","West","89502","NV"
"United States","Olympia","Washington","West","98502","WA"
"United States","Salt Lake City","Utah","West","84106","UT"
"United States","Murray","Utah","West","84107","UT"
"United States","Caldwell","Idaho","West","83605","ID"
"United States","Colorado Springs","Colorado","West","80906","CO"
"United States","Arvada","Colorado","West","80004","CO"
"United States","Louisville","Colorado","West","80027","CO"
"United States","Glendale","Arizona","West","85301","AZ"
"United States","Tucson","Arizona","West","85705","AZ"
"United States","Denver","Colorado","West","80219","CO"
"United States","Portland","Oregon","West","97206","OR"
"United States","Eugene","Oregon","West","97405","OR"
"United States","Longmont","Colorado","West","80501","CO"
"United States","Mesa","Arizona","West","85204","AZ"
"United States","Aurora","Colorado","West","80013","CO"
"United States","Hillsboro","Oregon","West","97123","OR"
"United States","Fort Collins","Colorado","West","80525","CO"
"United States","Phoenix","Arizona","West","85023","AZ"
"United States","Scottsdale","Arizona","West","85254","AZ"
"United States","Tempe","Arizona","West","85281","AZ"
"United States","Avondale","Arizona","West","85323","AZ"
"United States","Salem","Oregon","West","97301","OR"
"United States","Peoria","Arizona","West","85345","AZ"
"United States","Thornton","Colorado","West","80229","CO"
"United States","Springfield","Oregon","West","97477","OR"
"United States","Yuma","Arizona","West","85364","AZ"
"United States","Pueblo","Colorado","West","81001","CO"
"United States","Billings","Montana","West","59102","MT"
"United States","Parker","Colorado","West","80134","CO"
"United States","Broomfield","Colorado","West","80020","CO"
"United States","Gilbert","Arizona","West","85234","AZ"
"United States","Gresham","Oregon","West","97030","OR"
"United States","Cheyenne","Wyoming","West","82001","WY"
"United States","Rio Rancho","New Mexico","West","87124","NM"
"United States","Redmond","Oregon","West","97756","OR"
"United States","Bullhead City","Arizona","West","86442","AZ"
"United States","Sierra Vista","Arizona","West","85635","AZ"
"United States","Tigard","Oregon","West","97224","OR"
"United States","Englewood","Colorado","West","80112","CO"
"United States","Lehi","Utah","West","84043","UT"
"United States","Medford","Oregon","West","97504","OR"
"United States","Chandler","Arizona","West","85224","AZ"
"United States","Missoula","Montana","West","59801","MT"
"United States","Lewiston","Idaho","West","83501","ID"
"United States","Littleton","Colorado","West","80122","CO"
"United States","Manchester","Connecticut","East","06040","CT"
"United States","New Rochelle","New York","East","10801","NY"
"United States","Washington","District of Columbia","East","20016","DC"
"United States","Yonkers","New York","East","10701","NY"
"United States","Holyoke","Massachusetts","East","01040","MA"
"United States","Malden","Massachusetts","East","02148","MA"
"United States","Newark","Delaware","East","19711","DE"
"United States","Revere","Massachusetts","East","02151","MA"
"United States","Clinton","Maryland","East","20735","MD"
"United States","Franklin","Massachusetts","East","02038","MA"
"United States","Lakewood","New Jersey","East","08701","NJ"
"United States","Gaithersburg","Maryland","East","20877","MD"
"United States","Wilmington","Delaware","East","19805","DE"
"United States","Oceanside","New York","East","11572","NY"
"United States","Columbia","Maryland","East","21044","MD"
"United States","Plainfield","New Jersey","East","07060","NJ"
"United States","Baltimore","Maryland","East","21215","MD"
"United States","Everett","Massachusetts","East","02149","MA"
"United States","Providence","Rhode Island","East","02908","RI"
"United States","Perth Amboy","New Jersey","East","08861","NJ"
"United States","Burlington","Vermont","East","05408","VT"
"United States","Hackensack","New Jersey","East","07601","NJ"
"United States","Rockville","Maryland","East","20852","MD"
"United States","Lowell","Massachusetts","East","01852","MA"
"United States","Cranston","Rhode Island","East","02920","RI"
"United States","Fairfield","Connecticut","East","06824","CT"
"United States","Meriden","Connecticut","East","06450","CT"
"United States","Lawrence","Massachusetts","East","01841","MA"
"United States","Paterson","New Jersey","East","07501","NJ"
"United States","Belleville","New Jersey","East","07109","NJ"
"United States","Andover","Massachusetts","East","01810","MA"
"United States","Troy","New York","East","12180","NY"
"United States","Bayonne","New Jersey","East","07002","NJ"
"United States","Rochester","New York","East","14609","NY"
"United States","Dover","New Hampshire","East","03820","NH"
"United States","Shelton","Connecticut","East","06484","CT"
"United States","Dover","Delaware","East","19901","DE"
"United States","Linden","New Jersey","East","07036","NJ"
"United States","Concord","New Hampshire","East","03301","NH"
"United States","Passaic","New Jersey","East","07055","NJ"
"United States","Westfield","New Jersey","East","07090","NJ"
"United States","Lewiston","Maine","East","04240","ME"
"United States","Milford","Connecticut","East","06460","CT"
"United States","Jamestown","New York","East","14701","NY"
"United States","Bangor","Maine","East","04401","ME"
"United States","Utica","New York","East","13501","NY"
"United States","Auburn","New York","East","13021","NY"
"United States","Bristol","Connecticut","East","06010","CT"
"United States","Quincy","Massachusetts","East","02169","MA"
"United States","Long Beach","New York","East","11561","NY"
"United States","Cambridge","Massachusetts","East","02138","MA"
"United States","Niagara Falls","New York","East","14304","NY"
"United States","Hempstead","New York","East","11550","NY"
"United States","Waterbury","Connecticut","East","06708","CT"
"United States","Middletown","Connecticut","East","06457","CT"
"United States","Watertown","New York","East","13601","NY"
"United States","Woonsocket","Rhode Island","East","02895","RI"
"United States","Clifton","New Jersey","East","07011","NJ"
"United States","Freeport","New York","East","11520","NY"
"United States","Marlborough","Massachusetts","East","01752","MA"
"United States","Buffalo","New York","East","14215","NY"
"United States","Bridgeton","New Jersey","East","08302","NJ"
"United States","Leominster","Massachusetts","East","01453","MA"
"United States","Beverly","Massachusetts","East","01915","MA"
"United States","Morristown","New Jersey","East","07960","NJ"
"United States","East Orange","New Jersey","East","07017","NJ"
"United States","Vineland","New Jersey","East","08360","NJ"
"United States","Rome","New York","East","13440","NY"
"United States","Orange","New Jersey","East","07050","NJ"
"United States","Norwich","Connecticut","East","06360","CT"
"United States","Mount Vernon","New York","East","10550","NY"
"United States","Atlantic City","New Jersey","East","08401","NJ"
"United States","New Bedford","Massachusetts","East","02740","MA"
"United States","Warwick","Rhode Island","East","02886","RI"
"United States","Lindenhurst","New York","East","11757","NY"
"United States","New York City","New York","East","10011","NY"
"United States","New York City","New York","East","10009","NY"
"United States","New York City","New York","East","10024","NY"
"United States","New York City","New York","East","10035","NY"
"United States","Philadelphia","Pennsylvania","East","19140","PA"
"United States","Dublin","Ohio","East","43017","OH"
"United States","Cleveland","Ohio","East","44105","OH"
"United States","Philadelphia","Pennsylvania","East","19134","PA"
"United States","Columbus","Ohio","East","43229","OH"
"United States","Cincinnati","Ohio","East","45231","OH"
"United States","Newark","Ohio","East","43055","OH"
"United States","Akron","Ohio","East","44312","OH"
"United States","Toledo","Ohio","East","43615","OH"
"United States","Bethlehem","Pennsylvania","East","18018","PA"
"United States","Reading","Pennsylvania","East","19601","PA"
"United States","Lancaster","Ohio","East","43130","OH"
"United States","Philadelphia","Pennsylvania","East","19143","PA"
"United States","Mason","Ohio","East","45040","OH"
"United States","Lorain","Ohio","East","44052","OH"
"United States","Philadelphia","Pennsylvania","East","19120","PA"
"United States","Chester","Pennsylvania","East","19013","PA"
"United States","Lakewood","Ohio","East","44107","OH"
"United States","Springfield","Ohio","East","45503","OH"
"United States","Parma","Ohio","East","44134","OH"
"United States","Altoona","Pennsylvania","East","16602","PA"
"United States","Fairfield","Ohio","East","45014","OH"
"United States","Marion","Ohio","East","43302","OH"
"United States","Kent","Ohio","East","44240","OH"
"United States","Bowling Green","Ohio","East","43402","OH"
"United States","Troy","Ohio","East","45373","OH"
"United States","Cuyahoga Falls","Ohio","East","44221","OH"
"United States","Allentown","Pennsylvania","East","18103","PA"
"United States","Lancaster","Pennsylvania","East","17602","PA"
"United States","Hamilton","Ohio","East","45011","OH"
"United States","Medina","Ohio","East","44256","OH"
"United States","York","Pennsylvania","East","17403","PA"
"United States","Henderson","Kentucky","South","42420","KY"
"United States","Springfield","Virginia","South","22153","VA"
"United States","Harrisonburg","Virginia","South","22801","VA"
"United States","Arlington","Virginia","South","22204","VA"
"United States","Smyrna","Georgia","South","30080","GA"
"United States","Mobile","Alabama","South","36608","AL"
"United States","Columbus","Georgia","South","31907","GA"
"United States","Southaven","Mississippi","South","38671","MS"
"United States","Jackson","Mississippi","South","39212","MS"
"United States","Jonesboro","Arkansas","South","72401","AR"
"United States","Florence","Kentucky","South","41042","KY"
"United States","Chesapeake","Virginia","South","23320","VA"
"United States","Conway","Arkansas","South","72032","AR"
"United States","Decatur","Alabama","South","35601","AL"
"United States","Hattiesburg","Mississippi","South","39401","MS"
"United States","Montgomery","Alabama","South","36116","AL"
"United States","Waynesboro","Virginia","South","22980","VA"
"United States","Newport News","Virginia","South","23602","VA"
"United States","Sandy Springs","Georgia","South","30328","GA"
"United States","Lafayette","Louisiana","South","70506","LA"
"United States","Richmond","Kentucky","South","40475","KY"
"United States","Warner Robins","Georgia","South","31088","GA"
"United States","Richmond","Virginia","South","23223","VA"
"United States","Louisville","Kentucky","South","40214","KY"
"United States","Florence","Alabama","South","35630","AL"
"United States","Bowling Green","Kentucky","South","42104","KY"
"United States","Auburn","Alabama","South","36830","AL"
"United States","Lake Charles","Louisiana","South","70601","LA"
"United States","Mount Pleasant","South Carolina","South","29464","SC"
"United States","Hampton","Virginia","South","23666","VA"
"United States","Marietta","Georgia","South","30062","GA"
"United States","Texarkana","Arkansas","South","71854","AR"
"United States","Columbia","South Carolina","South","29203","SC"
"United States","Atlanta","Georgia","South","30318","GA"
"United States","Monroe","Louisiana","South","71203","LA"
"United States","Bossier City","Louisiana","South","71111","LA"
"United States","Macon","Georgia","South","31204","GA"
"United States","Roswell","Georgia","South","30076","GA"
"United States","Huntsville","Alabama","South","35810","AL"
"United States","Little Rock","Arkansas","South","72209","AR"
"United States","Kenner","Louisiana","South","70065","LA"
"United States","Virginia Beach","Virginia","South","23464","VA"
"United States","Woodstock","Georgia","South","30188","GA"
"United States","Hot Springs","Arkansas","South","71901","AR"
"United States","Fayetteville","Arkansas","South","72701","AR"
"United States","East Point","Georgia","South","30344","GA"
"United States","Alexandria","Virginia","South","22304","VA"
"United States","Georgetown","Kentucky","South","40324","KY"
"United States","Salem","Virginia","South","24153","VA"
"United States","Athens","Georgia","South","30605","GA"
"United States","Murray","Kentucky","South","42071","KY"
"United States","Gulfport","Mississippi","South","39503","MS"
"United States","Suffolk","Virginia","South","23434","VA"
"United States","Charlottesville","Virginia","South","22901","VA"
"United States","Florence","South Carolina","South","29501","SC"
"United States","North Charleston","South Carolina","South","29406","SC"
"United States","Rock Hill","South Carolina","South","29730","SC"
"United States","Owensboro","Kentucky","South","42301","KY"
"United States","Tampa","Florida","South","33614","FL"
"United States","Jacksonville","Florida","South","32216","FL"
"United States","Coral Springs","Florida","South","33065","FL"
"United States","Boynton Beach","Florida","South","33437","FL"
"United States","Fayetteville","North Carolina","South","28314","NC"
"United States","Raleigh","North Carolina","South","27604","NC"
"United States","Lakeland","Florida","South","33801","FL"
"United States","Hialeah","Florida","South","33012","FL"
"United States","Port Saint Lucie","Florida","South","34952","FL"
"United States","Saint Petersburg","Florida","South","33710","FL"
"United States","Palm Coast","Florida","South","32137","FL"
"United States","Apopka","Florida","South","32712","FL"
"United States","Smyrna","Tennessee","South","37167","TN"
"United States","Jacksonville","North Carolina","South","28540","NC"
"United States","Durham","North Carolina","South","27707","NC"
"United States","Nashville","Tennessee","South","37211","TN"
"United States","Monroe","North Carolina","South","28110","NC"
"United States","Miami","Florida","South","33180","FL"
"United States","Asheville","North Carolina","South","28806","NC"
"United States","Hickory","North Carolina","South","28601","NC"
"United States","Johnson City","Tennessee","South","37604","TN"
"United States","Columbia","Tennessee","South","38401","TN"
"United States","Charlotte","North Carolina","South","28205","NC"
"United States","Boca Raton","Florida","South","33433","FL"
"United States","Plantation","Florida","South","33317","FL"
"United States","Delray Beach","Florida","South","33445","FL"
"United States","Bristol","Tennessee","South","37620","TN"
"United States","Tamarac","Florida","South","33319","FL"
"United States","Cary","North Carolina","South","27511","NC"
"United States","Knoxville","Tennessee","South","37918","TN"
"United States","Greensboro","North Carolina","South","27405","NC"
"United States","Wilmington","North Carolina","South","28403","NC"
"United States","Homestead","Florida","South","33030","FL"
"United States","Miami","Florida","South","33178","FL"
"United States","Memphis","Tennessee","South","38109","TN"
"United States","Concord","North Carolina","South","28027","NC"
"United States","Clarksville","Tennessee","South","37042","TN"
"United States","Goldsboro","North Carolina","South","27534","NC"
"United States","Jackson","Tennessee","South","38301","TN"
"United States","Hollywood","Florida","South","33021","FL"
"United States","North Miami","Florida","South","33161","FL"
"United States","Murfreesboro","Tennessee","South","37130","TN"
"United States","Miami","Florida","South","33142","FL"
"United States","Tallahassee","Florida","South","32303","FL"
"United States","Deltona","Florida","South","32725","FL"
"United States","Orlando","Florida","South","32839","FL"
"United States","Chattanooga","Tennessee","South","37421","TN"
"United States","Wilson","North Carolina","South","27893","NC"
"United States","Coral Gables","Florida","South","33134","FL"
"United States","Fort Lauderdale","Florida","South","33311","FL"
"United States","Franklin","Tennessee","South","37064","TN"
"United States","Greenville","North Carolina","South","27834","NC"
"United States","Lebanon","Tennessee","South","37087","TN"
"United States","West Palm Beach","Florida","South","33407","FL"
"United States","Gastonia","North Carolina","South","28052","NC"
"United States","Pembroke Pines","Florida","South","33024","FL"
"United States","Daytona Beach","Florida","South","32114","FL"
"United States","Margate","Florida","South","33063","FL"
"United States","Thomasville","North Carolina","South","27360","NC"
"United States","Bartlett","Tennessee","South","38134","TN"
"United States","Burlington","North Carolina","South","27217","NC"
"United States","Pensacola","Florida","South","32503","FL"
"United States","Hendersonville","Tennessee","South","37075","TN"
"United States","Detroit","Michigan","Central","48227","MI"
"United States","Detroit","Michigan","Central","48205","MI"
"United States","Saint Peters","Missouri","Central","63376","MO"
"United States","Springfield","Missouri","Central","65807","MO"
"United States","Milwaukee","Wisconsin","Central","53209","WI"
"United States","Lincoln Park","Michigan","Central","48146","MI"
"United States","Jackson","Michigan","Central","49201","MI"
"United States","West Allis","Wisconsin","Central","53214","WI"
"United States","Kenosha","Wisconsin","Central","53142","WI"
"United States","Detroit","Michigan","Central","48234","MI"
"United States","Richmond","Indiana","Central","47374","IN"
"United States","Tulsa","Oklahoma","Central","74133","OK"
"United States","Minneapolis","Minnesota","Central","55407","MN"
"United States","Lawrence","Indiana","Central","46226","IN"
"United States","Franklin","Wisconsin","Central","53132","WI"
"United States","Des Moines","Iowa","Central","50315","IA"
"United States","Rapid City","South Dakota","Central","57701","SD"
"United States","Noblesville","Indiana","Central","46060","IN"
"United States","Oklahoma City","Oklahoma","Central","73120","OK"
"United States","Eau Claire","Wisconsin","Central","54703","WI"
"United States","Broken Arrow","Oklahoma","Central","74012","OK"
"United States","New Albany","Indiana","Central","47150","IN"
"United States","Lakeville","Minnesota","Central","55044","MN"
"United States","Dearborn","Michigan","Central","48126","MI"
"United States","Madison","Wisconsin","Central","53711","WI"
"United States","Moorhead","Minnesota","Central","56560","MN"
"United States","Mishawaka","Indiana","Central","46544","IN"
"United States","Dubuque","Iowa","Central","52001","IA"
"United States","Greenwood","Indiana","Central","46142","IN"
"United States","Taylor","Michigan","Central","48180","MI"
"United States","Midland","Michigan","Central","48640","MI"
"United States","Columbus","Indiana","Central","47201","IN"
"United States","La Crosse","Wisconsin","Central","54601","WI"
"United States","Omaha","Nebraska","Central","68104","NE"
"United States","Columbia","Missouri","Central","65203","MO"
"United States","Eagan","Minnesota","Central","55122","MN"
"United States","Green Bay","Wisconsin","Central","54302","WI"
"United States","South Bend","Indiana","Central","46614","IN"
"United States","Saint Louis","Missouri","Central","63116","MO"
"United States","Norman","Oklahoma","Central","73071","OK"
"United States","Overland Park","Kansas","Central","66212","KS"
"United States","Ann Arbor","Michigan","Central","48104","MI"
"United States","Cottage Grove","Minnesota","Central","55016","MN"
"United States","Sioux Falls","South Dakota","Central","57103","SD"
"United States","Westland","Michigan","Central","48185","MI"
"United States","Olathe","Kansas","Central","66062","KS"
"United States","Sheboygan","Wisconsin","Central","53081","WI"
"United States","Appleton","Wisconsin","Central","54915","WI"
"United States","Lansing","Michigan","Central","48911","MI"
"United States","La Porte","Indiana","Central","46350","IN"
"United States","Cedar Rapids","Iowa","Central","52402","IA"
"United States","Saint Paul","Minnesota","Central","55106","MN"
"United States","Bloomington","Indiana","Central","47401","IN"
"United States","Wichita","Kansas","Central","67212","KS"
"United States","Edmond","Oklahoma","Central","73034","OK"
"United States","New Castle","Indiana","Central","47362","IN"
"United States","Manhattan","Kansas","Central","66502","KS"
"United States","Trenton","Michigan","Central","48183","MI"
"United States","Superior","Wisconsin","Central","54880","WI"
"United States","Garden City","Kansas","Central","67846","KS"
"United States","Coon Rapids","Minnesota","Central","55433","MN"
"United States","Grand Rapids","Michigan","Central","49505","MI"
"United States","Mount Pleasant","Michigan","Central","48858","MI"
"United States","Kirkwood","Missouri","Central","63122","MO"
"United States","Jefferson City","Missouri","Central","65109","MO"
"United States","Rochester","Minnesota","Central","55901","MN"
"United States","Roseville","Minnesota","Central","55113","MN"
"United States","Waukesha","Wisconsin","Central","53186","WI"
"United States","Wausau","Wisconsin","Central","54401","WI"
"United States","Lafayette","Indiana","Central","47905","IN"
"United States","Apple Valley","Minnesota","Central","55124","MN"
"United States","Woodbury","Minnesota","Central","55125","MN"
"United States","Indianapolis","Indiana","Central","46203","IN"
"United States","Roseville","Michigan","Central","48066","MI"
"United States","Dearborn Heights","Michigan","Central","48127","MI"
"United States","Sterling Heights","Michigan","Central","48310","MI"
"United States","Portage","Indiana","Central","46368","IN"
"United States","Fremont","Nebraska","Central","68025","NE"
"United States","Urbandale","Iowa","Central","50322","IA"
"United States","Lawton","Oklahoma","Central","73505","OK"
"United States","Holland","Michigan","Central","49423","MI"
"United States","Norfolk","Nebraska","Central","68701","NE"
"United States","Marion","Iowa","Central","52302","IA"
"United States","Iowa City","Iowa","Central","52240","IA"
"United States","Saint Charles","Missouri","Central","63301","MO"
"United States","Royal Oak","Michigan","Central","48073","MI"
"United States","Richardson","Texas","Central","75080","TX"
"United States","Chicago","Illinois","Central","60610","IL"
"United States","Houston","Texas","Central","77070","TX"
"United States","Huntsville","Texas","Central","77340","TX"
"United States","Dallas","Texas","Central","75217","TX"
"United States","Evanston","Illinois","Central","60201","IL"
"United States","Houston","Texas","Central","77036","TX"
"United States","Houston","Texas","Central","77041","TX"
"United States","El Paso","Texas","Central","79907","TX"
"United States","Fort Worth","Texas","Central","76106","TX"
"United States","Arlington","Texas","Central","76017","TX"
"United States","Houston","Texas","Central","77095","TX"
"United States","Laredo","Texas","Central","78041","TX"
"United States","Chicago","Illinois","Central","60653","IL"
"United States","San Antonio","Texas","Central","78207","TX"
"United States","Austin","Texas","Central","78745","TX"
"United States","Glenview","Illinois","Central","60025","IL"
"United States","Chicago","Illinois","Central","60623","IL"
"United States","Brownsville","Texas","Central","78521","TX"
"United States","The Colony","Texas","Central","75056","TX"
"United States","Mcallen","Texas","Central","78501","TX"
"United States","Coppell","Texas","Central","75019","TX"
"United States","Decatur","Illinois","Central","62521","IL"
"United States","Dallas","Texas","Central","75220","TX"
"United States","Amarillo","Texas","Central","79109","TX"
"United States","Pasadena","Texas","Central","77506","TX"
"United States","Allen","Texas","Central","75002","TX"
"United States","Plano","Texas","Central","75023","TX"
"United States","Carrollton","Texas","Central","75007","TX"
"United States","Beaumont","Texas","Central","77705","TX"
"United States","Saint Charles","Illinois","Central","60174","IL"
"United States","San Marcos","Texas","Central","78666","TX"
"United States","Aurora","Illinois","Central","60505","IL"
"United States","Haltom City","Texas","Central","76117","TX"
"United States","Conroe","Texas","Central","77301","TX"
"United States","Port Arthur","Texas","Central","77642","TX"
"United States","Corpus Christi","Texas","Central","78415","TX"
"United States","Dallas","Texas","Central","75081","TX"
"United States","Bolingbrook","Illinois","Central","60440","IL"
"United States","Harlingen","Texas","Central","78550","TX"
"United States","Des Plaines","Illinois","Central","60016","IL"
"United States","Quincy","Illinois","Central","62301","IL"
"United States","Odessa","Texas","Central","79762","TX"
"United States","Edinburg","Texas","Central","78539","TX"
"United States","Irving","Texas","Central","75061","TX"
"United States","Frankfort","Illinois","Central","60423","IL"
"United States","Highland Park","Illinois","Central","60035","IL"
"United States","Round Rock","Texas","Central","78664","TX"
"United States","Park Ridge","Illinois","Central","60068","IL"
"United States","Rockford","Illinois","Central","61107","IL"
"United States","Orland Park","Illinois","Central","60462","IL"
"United States","Frisco","Texas","Central","75034","TX"
"United States","Pharr","Texas","Central","78577","TX"
"United States","Mesquite","Texas","Central","75150","TX"
"United States","Grand Prairie","Texas","Central","75051","TX"
"United States","Buffalo Grove","Illinois","Central","60089","IL"
"United States","Elmhurst","Illinois","Central","60126","IL"
"United States","Carol Stream","Illinois","Central","60188","IL"
"United States","Naperville","Illinois","Central","60540","IL"
"United States","Skokie","Illinois","Central","60076","IL"
"United States","Freeport","Illinois","Central","61032","IL"
"United States","Bloomington","Illinois","Central","61701","IL"
"United States","Arlington Heights","Illinois","Central","60004","IL"
"United States","Oswego","Illinois","Central","60543","IL"
"United States","Grapevine","Texas","Central","76051","TX"
"United States","Baytown","Texas","Central","77520","TX"
"United States","Waco","Texas","Central","76706","TX"
"United States","Cedar Hill","Texas","Central","75104","TX"
"United States","Bedford","Texas","Central","76021","TX"
"United States","League City","Texas","Central","77573","TX"
"United States","Lubbock","Texas","Central","79424","TX"
"United States","Peoria","Illinois","Central","61604","IL"
"United States","Wheeling","Illinois","Central","60090","IL"
"United States","Woodstock","Illinois","Central","60098","IL"
"United States","Tinley Park","Illinois","Central","60477","IL"
"United States","Champaign","Illinois","Central","61821","IL"
"United States","Normal","Illinois","Central","61761","IL"
"United States","San Angelo","Texas","Central","76903","TX"
"United States","Garland","Texas","Central","75043","TX"
"United States","Texas City","Texas","Central","77590","TX"
"United States","La Porte","Texas","Central","77571","TX"
"United States","Bryan","Texas","Central","77803","TX"
"United States","Tyler","Texas","Central","75701","TX"
"United States","Romeoville","Illinois","Central","60441","IL"
