MyIndex,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
42,2015-03-08 00:00:00.000,1.12,415147.69,152131.35,199610.67,13402.92,50002.75,50002.75,0.0,0.0,conventional,2015,Sacramento
11,2017-10-15 00:00:00.000,1.77,10197.11,2370.22,101.99,0.0,7724.9,7703.01,21.89,0.0,organic,2017,PhoenixTucson
28,2016-06-12 00:00:00.000,1.3,770843.17,50498.4,478335.91,140924.68,101084.18,98096.94,2213.29,773.95,conventional,2016,Chicago
34,2015-05-03 00:00:00.000,0.97,457411.45,271320.49,72324.54,26965.17,86801.25,70270.99,16530.26,0.0,conventional,2015,SouthCarolina
4,2017-12-03 00:00:00.000,1.31,318626.0,202974.0,23478.0,987.0,91187.0,60278.0,30905.0,3.0,conventional,2017,Orlando
21,2015-08-02 00:00:00.000,1.07,67763.91,51151.27,5140.89,5435.36,6036.39,5987.5,48.89,0.0,conventional,2015,Boise
49,2017-01-22 00:00:00.000,1.26,663735.14,4741.15,526892.92,11138.94,120962.13,118685.31,2276.82,0.0,conventional,2017,Boston
46,2016-02-07 00:00:00.000,0.58,696369.34,370221.57,119918.66,221.91,206007.2,50078.9,155928.3,0.0,conventional,2016,Orlando
2,2016-12-11 00:00:00.000,1.42,245721.9,3321.92,186954.78,2350.45,53094.75,51964.82,839.65,290.28,conventional,2016,HartfordSpringfield
49,2015-01-18 00:00:00.000,1.14,149319.82,2910.77,103890.9,2048.78,40469.37,22405.47,17913.92,149.98,conventional,2015,Indianapolis
17,2015-08-30 00:00:00.000,1.37,74510.02,1493.6,40727.85,3632.29,28656.28,20079.07,8573.41,3.8,conventional,2015,Pittsburgh
35,2017-04-30 00:00:00.000,0.72,1832450.4,576270.01,451254.61,10440.51,794485.27,164674.25,629791.58,19.44,conventional,2017,Houston
29,2015-06-07 00:00:00.000,1.46,12893.69,209.83,11403.27,0.0,1280.59,985.63,294.96,0.0,organic,2015,CincinnatiDayton
25,2017-07-09 00:00:00.000,1.26,267928.19,156935.51,23221.13,28.96,87742.59,80324.72,5261.2,2156.67,conventional,2017,NewOrleansMobile
33,2017-05-14 00:00:00.000,1.1,446864.94,64155.43,54107.85,268.13,328333.53,160414.47,167919.06,0.0,organic,2017,West
13,2015-09-27 00:00:00.000,1.72,18034.01,1045.73,10525.36,3.3,6459.62,0.0,6459.62,0.0,organic,2015,Portland
49,2017-01-22 00:00:00.000,1.4,6534.61,1189.05,791.05,0.0,4554.51,1287.78,3266.73,0.0,organic,2017,StLouis
40,2015-03-22 00:00:00.000,1.83,3795.21,1305.95,2489.26,0.0,0.0,0.0,0.0,0.0,organic,2015,StLouis
40,2015-03-22 00:00:00.000,1.24,11997.73,9802.17,1065.56,0.0,1130.0,1130.0,0.0,0.0,organic,2015,Houston
10,2015-10-18 00:00:00.000,2.07,12935.87,1528.22,9002.2,516.36,1889.09,169.72,1719.37,0.0,organic,2015,NewYork
12,2016-10-02 00:00:00.000,1.52,291185.37,18423.35,222357.93,3193.18,47210.91,47207.35,3.56,0.0,conventional,2016,NorthernNewEngland
5,2016-11-20 00:00:00.000,1.36,117495.72,35506.8,19385.22,192.2,62411.5,22359.45,40052.05,0.0,conventional,2016,Jacksonville
37,2016-04-10 00:00:00.000,0.83,590001.82,258662.26,141605.69,432.5,189301.37,69497.05,119037.82,766.5,conventional,2016,Atlanta
48,2016-01-24 00:00:00.000,1.83,1506.87,23.39,294.7,0.0,1188.78,1180.98,7.8,0.0,organic,2016,Albany
41,2017-03-19 00:00:00.000,1.68,45989.07,1720.14,40737.11,0.0,3531.82,3527.38,4.44,0.0,organic,2017,Chicago
23,2015-07-19 00:00:00.000,1.64,49484.06,7839.69,35593.5,73.11,5977.76,0.0,5977.76,0.0,organic,2015,Seattle
31,2016-05-22 00:00:00.000,1.12,168251.29,1532.9,72247.42,856.81,93614.16,92304.16,0.0,1310.0,conventional,2016,BuffaloRochester
29,2015-06-07 00:00:00.000,1.92,3892.36,1910.2,1704.54,0.0,277.62,103.33,174.29,0.0,organic,2015,StLouis
3,2015-12-06 00:00:00.000,1.49,4204.87,394.56,2569.3,0.0,1241.01,620.0,621.01,0.0,organic,2015,Nashville
1,2016-12-18 00:00:00.000,1.14,161136.65,908.23,109288.75,4631.16,46308.51,42335.09,3947.09,26.33,conventional,2016,GrandRapids
18,2017-08-27 00:00:00.000,2.17,6628.13,311.6,2074.07,0.0,4242.46,3087.88,1154.58,0.0,organic,2017,Roanoke
21,2016-07-31 00:00:00.000,1.03,38209.32,11152.52,584.88,0.0,26471.92,20744.05,5727.87,0.0,organic,2016,DallasFtWorth
9,2018-01-21 00:00:00.000,1.04,7053820.12,2218365.17,1811849.78,106001.28,2917603.89,1196963.03,1707643.76,12997.1,conventional,2018,West
11,2018-01-07 00:00:00.000,1.02,48277.42,123.72,6416.92,209.38,41527.4,41246.49,280.91,0.0,organic,2018,RaleighGreensboro
49,2015-01-18 00:00:00.000,2.35,2552.09,39.56,2233.79,12.07,266.67,266.67,0.0,0.0,organic,2015,HartfordSpringfield
47,2015-02-01 00:00:00.000,1.93,24697.84,1867.35,12683.96,7.36,10139.17,10139.17,0.0,0.0,organic,2015,NewYork
15,2017-09-17 00:00:00.000,2.94,2375.19,181.23,861.34,0.0,1332.62,312.22,1020.4,0.0,organic,2017,Spokane
36,2016-04-17 00:00:00.000,1.15,448082.46,158323.88,210773.79,21378.51,57606.28,57218.47,61.42,326.39,conventional,2016,Sacramento
2,2018-03-11 00:00:00.000,1.53,3375.33,92.46,616.99,3.93,2661.95,2561.1,100.85,0.0,organic,2018,Jacksonville
13,2017-10-01 00:00:00.000,1.44,12551.82,42.11,3419.13,0.0,9090.58,9090.58,0.0,0.0,organic,2017,GrandRapids
40,2015-03-22 00:00:00.000,2.18,2848.49,148.61,2276.05,0.0,423.83,423.83,0.0,0.0,organic,2015,HartfordSpringfield
6,2018-02-11 00:00:00.000,1.15,174606.68,80260.52,6205.36,372.01,87768.79,67859.82,19908.97,0.0,conventional,2018,StLouis
37,2015-04-12 00:00:00.000,1.69,1723.93,891.23,27.34,0.0,805.36,805.36,0.0,0.0,organic,2015,Tampa
26,2015-06-28 00:00:00.000,1.62,67201.29,7894.13,35220.02,4380.25,19706.89,12921.08,6785.81,0.0,organic,2015,Midsouth
6,2015-11-15 00:00:00.000,1.05,513738.98,5310.32,420936.8,139.71,87352.15,85604.19,1747.96,0.0,conventional,2015,Boston
25,2016-07-03 00:00:00.000,2.28,46314.26,4225.62,20280.75,1935.42,19872.47,19365.45,507.02,0.0,organic,2016,NewYork
48,2017-01-29 00:00:00.000,1.33,213609.12,48872.88,86135.67,9146.99,69453.58,58828.73,9630.41,994.44,conventional,2017,Charlotte
27,2017-06-25 00:00:00.000,0.77,1197422.34,551529.22,184895.41,12891.55,448106.16,239584.34,207048.21,1473.61,conventional,2017,PhoenixTucson
25,2015-07-05 00:00:00.000,1.13,3774004.27,502233.05,2055125.98,442059.88,774585.36,606612.51,140253.5,27719.35,conventional,2015,GreatLakes
51,2016-01-03 00:00:00.000,0.79,5693942.07,2512692.22,2024262.18,361423.55,795564.12,682311.74,109448.15,3804.23,conventional,2016,SouthCentral
9,2018-01-21 00:00:00.000,1.52,6871.05,76.66,407.09,0.0,6387.3,6375.55,11.75,0.0,organic,2018,Tampa
42,2016-03-06 00:00:00.000,1.79,3720.67,155.88,2740.17,376.34,448.28,443.33,4.95,0.0,organic,2016,RaleighGreensboro
22,2015-07-26 00:00:00.000,1.58,628331.04,150230.79,366576.34,32096.3,79427.61,78533.8,893.81,0.0,conventional,2015,SanFrancisco
1,2015-12-20 00:00:00.000,1.77,73826.41,5825.64,17999.1,2401.24,47600.43,40812.08,6788.35,0.0,organic,2015,Northeast
2,2015-12-13 00:00:00.000,1.03,53336.93,617.87,19731.07,34.72,32953.27,51.55,32901.72,0.0,organic,2015,Seattle
8,2017-11-05 00:00:00.000,1.37,115630.87,9707.4,54119.19,58.11,51746.17,19894.72,31804.78,46.67,conventional,2017,BuffaloRochester
28,2016-06-12 00:00:00.000,1.01,666340.59,108550.27,178700.42,12433.23,366656.67,365830.13,512.07,314.47,conventional,2016,Seattle
13,2017-10-01 00:00:00.000,2.09,60186.09,1616.73,15507.7,1134.3,41901.3,32057.02,9844.28,0.0,organic,2017,Plains
41,2017-03-19 00:00:00.000,1.23,11754.42,1756.42,4656.72,0.0,5341.28,125.41,5215.87,0.0,organic,2017,Atlanta
35,2016-04-24 00:00:00.000,0.88,752138.28,86998.66,222808.84,12051.07,430279.71,429116.57,197.83,965.31,conventional,2016,Seattle
8,2016-10-30 00:00:00.000,1.83,13196.5,181.18,5746.73,603.36,6665.23,6482.54,182.69,0.0,organic,2016,RaleighGreensboro
37,2017-04-16 00:00:00.000,0.98,19269.21,290.18,4390.45,0.0,14588.58,1115.74,13472.84,0.0,organic,2017,CincinnatiDayton
41,2015-03-15 00:00:00.000,1.68,1253.46,706.69,66.64,0.0,480.13,357.87,122.26,0.0,organic,2015,Pittsburgh
31,2017-05-28 00:00:00.000,0.87,1315258.8,627786.36,268181.39,5549.79,413741.26,187986.63,225754.63,0.0,conventional,2017,Houston
46,2015-02-08 00:00:00.000,0.95,32137333.01,13308193.4,13381347.54,737939.45,4709852.62,4022474.85,673453.54,13924.23,conventional,2015,TotalUS
2,2018-03-11 00:00:00.000,2.15,17722.27,147.46,8428.14,2.8,9143.87,9143.87,0.0,0.0,organic,2018,HartfordSpringfield
10,2018-01-14 00:00:00.000,1.73,29468.36,12.77,2380.23,0.0,27075.36,23926.76,3148.6,0.0,organic,2018,Boston
10,2016-10-16 00:00:00.000,1.83,2160.64,99.83,918.48,11.98,1130.35,4.44,1125.91,0.0,organic,2016,Spokane
42,2015-03-08 00:00:00.000,1.24,198900.07,41324.65,54059.83,37877.54,65638.05,65493.35,144.7,0.0,conventional,2015,RaleighGreensboro
48,2015-01-25 00:00:00.000,1.54,10849.4,7988.43,1728.24,0.0,1132.73,1120.0,12.73,0.0,organic,2015,PhoenixTucson
5,2016-11-20 00:00:00.000,1.41,31252.69,2457.09,4595.01,6.58,24194.01,775.81,23418.2,0.0,organic,2016,Portland
45,2016-02-14 00:00:00.000,1.0,334544.52,129795.42,51191.64,71030.49,82526.97,60254.29,12167.81,10104.87,conventional,2016,Detroit
