cod_pedido,versao,ISC,valor_venda,margem,valor_acessorios,emplacamento,seguro,captacao,data,cod_cliente,cod_vendedor,fext
13097,UX250 LUX 21/21,9.36,372968,14099,7955,0,1,1,2020-01-28 00:00:00.000,3,6,0
14970,COROLLA ALTIS 2.0L FFV CVT 21/22,9.57,123692,16866,6512,0,0,1,2021-05-11 00:00:00.000,13,7,1
10266,YARIS HB XLS AT CONNECT 21/22,9.94,98742,17706,7467,1,1,1,2018-03-09 00:00:00.000,2,56,0
10946,SW4 DSL 4X4 SRX AT 7S 21/21,9.66,321291,10750,7907,0,0,0,2018-08-26 00:00:00.000,4,62,1
12845,YARIS HATCH XLS AT CONNECT 21/21,9.09,96492,28518,1667,0,1,1,2019-12-03 00:00:00.000,12,11,1
11093,COROLLA XEI 2.0L FFV CVT 21/21,9.81,116045,25947,6572,1,1,1,2018-10-04 00:00:00.000,16,63,0
12698,COROLLA ALTIS PREM 1.8L HV FFV CVT 21/21,9.24,109251,26227,4011,0,0,1,2019-10-25 00:00:00.000,18,20,0
13808,HILUX CD DSL 4X4 SRX AT 21/21,9.74,286256,14177,1602,0,0,1,2020-07-26 00:00:00.000,8,39,0
13248,COROLLA XEI 2.0L FFV CVT 21/22,9.75,119274,22976,5058,0,0,1,2020-03-05 00:00:00.000,16,64,1
13100,SW4 DSL 4X4 SRX AT 7S 21/21,9.94,287527,10944,7619,1,1,0,2020-01-28 00:00:00.000,18,48,0
14663,ETIOS SEDAN X 15L AT 21/21,9.16,63691,9174,136,1,1,1,2021-02-20 00:00:00.000,2,59,1
12162,COROLLA ALTIS PREM 1.8L HV FFV CVT 21/21,9.83,139751,25806,2970,1,0,1,2019-06-24 00:00:00.000,6,32,1
14484,YARIS SEDAN XLS AT CONNECT 21/21,9.68,94538,14329,3334,0,0,1,2021-01-06 00:00:00.000,16,1,1
10807,YARIS HB X-WAY CONNECT 21/22,9.59,77497,17471,421,1,1,0,2018-07-24 00:00:00.000,2,50,1
10300,SW4 FFV 4X2 SRV AT 7S 21/21,9.17,311763,12443,3505,1,0,0,2018-03-20 00:00:00.000,15,21,1
13302,YARIS HB X-WAY CONNECT 21/22,9.35,89341,26359,669,0,0,1,2020-03-15 00:00:00.000,13,25,0
10608,YARIS SD XL AT LIVE 21/22,9.82,80903,737,1372,0,0,1,2018-06-07 00:00:00.000,8,49,0
12616,HILUX CD FFV 4X4 SRV AT 21/21,9.41,283768,2980,3290,1,0,1,2019-10-06 00:00:00.000,4,60,1
14177,YARIS HB XS AT CONNECT 21/22,9.38,78766,26498,1069,0,0,0,2020-10-29 00:00:00.000,9,25,0
10154,YARIS HB XL AT LIVE 21/22,9.71,89191,14724,1224,0,0,0,2018-02-05 00:00:00.000,8,46,0
10693,YARIS HATCH XS AT CONNECT 21/21,9.72,98756,15691,5184,1,1,1,2018-06-25 00:00:00.000,20,32,0
12271,COROLLA CROSS XR 2.0 21/22,9.19,130766,19592,1296,1,1,0,2019-07-21 00:00:00.000,9,39,1
12331,YARIS SD XL AT LIVE PPO 21/21,9.01,77476,15507,1398,1,1,1,2019-08-02 00:00:00.000,13,50,1
13283,YARIS HB X-WAY CONNECT 21/22,9.92,97173,13556,5576,0,1,1,2020-03-11 00:00:00.000,14,56,0
14206,ETIOS SEDAN X 15L AT 21/21,9.54,62518,4062,6183,1,0,0,2020-11-05 00:00:00.000,10,46,0
10731,UX250 LUX 21/21,9.05,328780,28189,3573,0,1,0,2018-07-04 00:00:00.000,14,49,1
13295,YARIS SEDAN XL PLUS CONNECT 21/21,9.5,82728,20765,306,1,0,0,2020-03-14 00:00:00.000,2,48,1
11531,ETIOS SEDAN X PLUS 15 AT 21/21,9.14,77974,4782,3414,0,1,1,2019-01-21 00:00:00.000,18,28,0
14353,SW4 DSL 4X4 SRX AT 5S 21/21,9.12,299340,17611,7882,0,1,1,2020-12-09 00:00:00.000,2,54,0
10849,HILUX CD DSL POWER PACK 21/21,9.48,255840,15414,2852,1,0,0,2018-08-05 00:00:00.000,6,63,1
13803,ETIOS SEDAN X 15L MT 21/21,9.48,75328,1093,3117,0,1,0,2020-07-24 00:00:00.000,5,64,0
10762,COROLLA ALTIS PREM 1.8L HV FFV CVT 21/21,9.01,139079,12928,845,0,1,0,2018-07-11 00:00:00.000,18,46,1
10219,COROLLA ALTIS 1.8L PREM HV FFV CVT 21/22,9.07,143490,18681,4945,1,0,0,2018-02-20 00:00:00.000,15,33,1
13256,ETIOS SEDAN X PLUS 15 MT 21/21,9.26,75745,23939,5449,0,0,1,2020-03-05 00:00:00.000,14,59,1
11926,HILUX CD DSL 4X4 SRV AT 21/21,9.88,266971,26437,6293,1,1,1,2019-05-01 00:00:00.000,15,48,1
13271,UX250 LUX 21/21,9.17,362617,2059,502,1,1,0,2020-03-08 00:00:00.000,1,49,0
13351,COROLLA GLI 2.0L FFV CVT 21/21,9.37,135641,13438,3660,1,1,0,2020-03-29 00:00:00.000,5,7,0
12173,ETIOS HATCH X 13L AT 21/21,9.64,79793,26103,2121,1,0,1,2019-06-28 00:00:00.000,3,60,1
12929,ETIOS HATCH X PLUS 15 MT 21/21,9.76,73504,5603,3053,1,1,1,2019-12-22 00:00:00.000,4,55,1
11553,YARIS HATCH X-WAY CONNECT 21/21,9.97,77287,29236,7064,1,0,0,2019-01-26 00:00:00.000,15,28,1
12297,LEXUS NX300H LUXURY 21/21,9.12,378234,29402,1772,1,1,1,2019-07-26 00:00:00.000,20,62,1
13841,YARIS SEDAN XS AT CONNECT 21/21,9.62,96207,6703,683,1,1,1,2020-08-04 00:00:00.000,4,49,0
10872,COROLLA CROSS XRX 1.8 HV 21/22,9.67,123347,15859,1112,1,1,1,2018-08-11 00:00:00.000,3,63,1
11933,ETIOS HATCH X PLUS 15 AT 21/21,9.19,70857,7307,5861,1,1,0,2019-05-03 00:00:00.000,19,46,1
10157,YARIS HB XS AT CONNECT 21/22,9.51,93080,29165,103,0,0,0,2018-02-05 00:00:00.000,6,59,1
12196,YARIS HATCH XL AT LIVE 21/21,9.7,73655,23406,1935,0,0,0,2019-07-04 00:00:00.000,1,32,0
10336,COROLLA GLI 2.0L FFV CVT 21/21,9.58,145486,22850,4615,0,1,1,2018-03-30 00:00:00.000,11,21,0
10412,HILUX CS DSL 4X4 CHASSI 21/21,9.72,283195,13497,4600,1,1,0,2018-04-21 00:00:00.000,17,16,1
11156,YARIS HATCH XLS AT CONNECT 21/21,9.83,95813,23356,3119,1,1,1,2018-10-20 00:00:00.000,4,12,1
12277,COROLLA GR-S 2.0L FFV CVT 21/22,9.69,130742,3352,2978,1,0,1,2019-07-22 00:00:00.000,3,25,0
10904,YARIS HATCH XLS AT CONNECT 21/21,9.74,83705,19076,2381,0,0,0,2018-08-16 00:00:00.000,20,21,0
12501,ETIOS SEDAN X 15L AT 21/21,9.99,63469,15190,5930,0,0,0,2019-09-08 00:00:00.000,14,15,0
11372,YARIS HATCH XL AT LIVE 21/21,9.77,86380,2059,1313,0,0,0,2018-12-13 00:00:00.000,11,62,1
13504,YARIS HB XL AT LIVE 21/22,9.25,79893,28465,4111,0,1,0,2020-05-11 00:00:00.000,16,40,1
13928,UX250 LUX 21/21,9.64,330295,16027,6256,0,1,1,2020-08-26 00:00:00.000,9,29,1
11840,COROLLA CROSS XRE 2.0 21/22,9.8,124413,6922,7455,1,1,0,2019-04-11 00:00:00.000,8,14,0
11092,COROLLA GR-S 2.0L FFV CVT 21/22,9.15,149058,10448,3095,1,1,0,2018-10-04 00:00:00.000,15,34,1
11662,YARIS HB XL AT LIVE 21/22,9.57,99667,9493,4735,0,1,1,2019-02-22 00:00:00.000,8,49,0
14152,YARIS HB S AT 21/21,9.3,72963,28600,2380,0,0,1,2020-10-23 00:00:00.000,11,15,1
14321,COROLLA ALTIS 2.0L FFV CVT 21/21,9.15,138624,28268,7024,1,0,0,2020-12-01 00:00:00.000,18,3,1
10843,LEXUS NX300H LUXURY 21/21,9.31,320963,14453,1103,1,1,1,2018-08-03 00:00:00.000,18,19,1
13144,ETIOS SEDAN X 15L MT 21/21,9.0,79025,3270,4175,1,1,1,2020-02-09 00:00:00.000,17,45,1
11040,YARIS HB XLS AT CONNECT 21/22,9.88,74323,13589,6140,1,1,0,2018-09-21 00:00:00.000,11,33,0
12201,YARIS HATCH X-WAY CONNECT 21/21,9.98,83354,24449,468,0,0,0,2019-07-04 00:00:00.000,20,17,1
11758,LEXUS NX300H LUXURY 21/21,9.8,399877,24713,6097,0,1,0,2019-03-20 00:00:00.000,10,3,1
14988,ETIOS SEDAN X PLUS 15 AT 21/21,9.36,77629,27646,5060,0,1,0,2021-05-15 00:00:00.000,1,41,0
12633,YARIS HB XL PLUS CON AT 21/22,9.43,88599,14260,7729,1,1,0,2019-10-10 00:00:00.000,9,32,0
10028,HILUX CD DSL POWER PACK 21/21,9.82,258295,8160,1637,0,0,1,2018-01-07 00:00:00.000,12,6,0
13141,ETIOS HATCH X PLUS 15 AT 21/21,9.19,72210,24979,6120,0,0,0,2020-02-09 00:00:00.000,17,20,0
12376,COROLLA ALTIS 2.0L FFV CVT 21/21,9.5,125883,507,1964,1,0,0,2019-08-12 00:00:00.000,1,6,1
14063,YARIS SD XL PLUS CONNECT 21/22,9.23,81872,25805,4890,0,1,0,2020-10-01 00:00:00.000,7,44,1
12521,YARIS HATCH XL MT LIVE 21/21,9.55,79259,216,2429,0,1,0,2019-09-13 00:00:00.000,1,43,0
11141,YARIS SEDAN XL PLUS CONNECT 21/21,9.93,76582,26606,2535,1,0,0,2018-10-15 00:00:00.000,15,47,1
11993,YARIS SD XL AT LIVE 21/22,9.29,91911,23193,5568,1,1,1,2019-05-16 00:00:00.000,4,50,1
14523,ETIOS SEDAN X PLUS 15 AT 21/21,9.4,66841,10976,2746,1,0,1,2021-01-16 00:00:00.000,18,53,1
13441,ETIOS HATCH X PLUS 15 AT 21/21,9.15,69554,25043,5458,0,0,1,2020-04-25 00:00:00.000,13,58,0
13092,YARIS HATCH XS AT CONNECT 21/21,9.76,92919,22459,1105,0,0,0,2020-01-27 00:00:00.000,20,10,0
10551,COROLLA GLI 2.0L FFV CVT 21/21,9.12,134169,14276,6929,1,1,0,2018-05-24 00:00:00.000,1,63,0
10174,YARIS SD XL PLUS CONNECT 21/22,9.7,97240,26065,2793,0,1,1,2018-02-09 00:00:00.000,9,18,1
14581,YARIS HB S AT 21/21,9.68,80757,2908,7331,1,0,1,2021-02-02 00:00:00.000,17,32,1
13182,YARIS SEDAN XS AT CONNECT 21/21,9.03,83337,22762,6703,0,1,0,2020-02-17 00:00:00.000,14,7,1
13266,LEXUS NX300H LUXURY 21/21,9.79,303103,487,2021,1,0,0,2020-03-08 00:00:00.000,7,43,1
