Row ID,Product ID,Category,Sub-Category,Product Name
1058,"OFF-BI-10001097","Office Supplies","Binders","Avery Hole Reinforcements"
1059,"OFF-BI-10001597","Office Supplies","Binders","Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue"
1067,"OFF-BI-10004330","Office Supplies","Binders","GBC Velobind Prepunched Cover Sets, Regency Series"
1070,"OFF-BI-10001524","Office Supplies","Binders","GBC Premium Transparent Covers with Diagonal Lined Pattern"
1073,"OFF-BI-10003669","Office Supplies","Binders","3M Organizer Strips"
1074,"OFF-BI-10003727","Office Supplies","Binders","Avery Durable Slant Ring Binders With Label Holder"
1075,"OFF-BI-10004967","Office Supplies","Binders","Round Ring Binders"
1080,"OFF-BI-10000404","Office Supplies","Binders","Avery Printable Repositionable Plastic Tabs"
1097,"OFF-BI-10004001","Office Supplies","Binders","GBC Recycled VeloBinder Covers"
1103,"OFF-BI-10004140","Office Supplies","Binders","Avery Non-Stick Binders"
1104,"OFF-BI-10002049","Office Supplies","Binders","UniKeep View Case Binders"
1108,"OFF-BI-10003676","Office Supplies","Binders","GBC Standard Recycled Report Covers, Clear Plastic Sheets"
1113,"OFF-BI-10002609","Office Supplies","Binders","Avery Hidden Tab Dividers for Binding Systems"
1114,"OFF-BI-10003364","Office Supplies","Binders","Binding Machine Supplies"
1141,"OFF-BI-10002072","Office Supplies","Binders","Cardinal Slant-D Ring Binders"
1149,"OFF-BI-10003350","Office Supplies","Binders","Acco Expandable Hanging Binders"
1154,"OFF-BI-10003984","Office Supplies","Binders","Lock-Up Easel 'Spel-Binder'"
1157,"OFF-BI-10003982","Office Supplies","Binders","Wilson Jones Century Plastic Molded Ring Binders"
1161,"OFF-BI-10004654","Office Supplies","Binders","Avery Binding System Hidden Tab Executive Style Index Sets"
1164,"OFF-BI-10004593","Office Supplies","Binders","Ibico Laser Imprintable Binding System Covers"
1165,"OFF-BI-10003429","Office Supplies","Binders","Cardinal HOLDit! Binder Insert Strips,Extra Strips"
1166,"OFF-BI-10001294","Office Supplies","Binders","Fellowes Binding Cases"
1173,"OFF-BI-10002976","Office Supplies","Binders","ACCOHIDE Binder by Acco"
1174,"OFF-BI-10000301","Office Supplies","Binders","GBC Instant Report Kit"
1175,"OFF-BI-10003694","Office Supplies","Binders","Avery 3 1/2"" Diskette Storage Pages, 10/Pack"
1185,"OFF-BI-10004656","Office Supplies","Binders","Peel & Stick Add-On Corner Pockets"
1200,"OFF-BI-10004995","Office Supplies","Binders","GBC DocuBind P400 Electric Binding System"
1202,"OFF-BI-10004967","Office Supplies","Binders","Round Ring Binders"
1208,"OFF-BI-10002160","Office Supplies","Binders","Acco Hanging Data Binders"
1211,"OFF-BI-10001031","Office Supplies","Binders","Pressboard Data Binders by Wilson Jones"
1214,"OFF-BI-10002432","Office Supplies","Binders","Wilson Jones Standard D-Ring Binders"
1215,"OFF-BI-10000069","Office Supplies","Binders","GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb"
1225,"OFF-BI-10004656","Office Supplies","Binders","Peel & Stick Add-On Corner Pockets"
1236,"OFF-BI-10003719","Office Supplies","Binders","Large Capacity Hanging Post Binders"
1243,"OFF-BI-10004519","Office Supplies","Binders","GBC DocuBind P100 Manual Binding Machine"
1258,"OFF-BI-10001575","Office Supplies","Binders","GBC Linen Binding Covers"
1262,"OFF-BI-10004236","Office Supplies","Binders","XtraLife ClearVue Slant-D Ring Binder, White, 3"""
1263,"OFF-BI-10001634","Office Supplies","Binders","Wilson Jones Active Use Binders"
1273,"OFF-BI-10002854","Office Supplies","Binders","Performers Binder/Pad Holder, Black"
1283,"OFF-BI-10002026","Office Supplies","Binders","Avery Arch Ring Binders"
1285,"OFF-BI-10002813","Office Supplies","Binders","Avery Reinforcements for Hole-Punch Pages"
1289,"OFF-BI-10000605","Office Supplies","Binders","Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red"
1291,"OFF-BI-10004970","Office Supplies","Binders","ACCOHIDE 3-Ring Binder, Blue, 1"""
1297,"OFF-BI-10002103","Office Supplies","Binders","Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl"
1298,"OFF-BI-10004632","Office Supplies","Binders","GBC Binding covers"
1308,"OFF-BI-10000320","Office Supplies","Binders","GBC Plastic Binding Combs"
1320,"OFF-BI-10000546","Office Supplies","Binders","Avery Durable Binders"
1321,"OFF-BI-10002071","Office Supplies","Binders","Fellowes Black Plastic Comb Bindings"
1326,"OFF-BI-10004139","Office Supplies","Binders","Fellowes Presentation Covers for Comb Binding Machines"
1333,"OFF-BI-10002012","Office Supplies","Binders","Wilson Jones Easy Flow II Sheet Lifters"
1335,"OFF-BI-10003684","Office Supplies","Binders","Wilson Jones Legal Size Ring Binders"
1342,"OFF-BI-10003694","Office Supplies","Binders","Avery 3 1/2"" Diskette Storage Pages, 10/Pack"
1343,"OFF-BI-10000474","Office Supplies","Binders","Avery Recycled Flexi-View Covers for Binding Systems"
1349,"OFF-BI-10001758","Office Supplies","Binders","Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders"
1350,"OFF-BI-10000136","Office Supplies","Binders","Avery Non-Stick Heavy Duty View Round Locking Ring Binders"
1364,"OFF-BI-10001036","Office Supplies","Binders","Cardinal EasyOpen D-Ring Binders"
1374,"OFF-BI-10000042","Office Supplies","Binders","Pressboard Data Binder, Crimson, 12"" X 8 1/2"""
1381,"OFF-BI-10002852","Office Supplies","Binders","Ibico Standard Transparent Covers"
1397,"OFF-BI-10000822","Office Supplies","Binders","Acco PRESSTEX Data Binder with Storage Hooks, Light Blue, 9 1/2"" X 11"""
1414,"OFF-BI-10002867","Office Supplies","Binders","GBC Recycled Regency Composition Covers"
1421,"OFF-BI-10000778","Office Supplies","Binders","GBC VeloBinder Electric Binding Machine"
1423,"OFF-BI-10003984","Office Supplies","Binders","Lock-Up Easel 'Spel-Binder'"
1427,"OFF-BI-10002949","Office Supplies","Binders","Prestige Round Ring Binders"
1429,"OFF-BI-10003708","Office Supplies","Binders","Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1"""
1432,"OFF-BI-10001191","Office Supplies","Binders","Canvas Sectional Post Binders"
1440,"OFF-BI-10004364","Office Supplies","Binders","Storex Dura Pro Binders"
1442,"OFF-BI-10001510","Office Supplies","Binders","Deluxe Heavy-Duty Vinyl Round Ring Binder"
1449,"OFF-BI-10004876","Office Supplies","Binders","Wilson Jones Suede Grain Vinyl Binders"
1451,"OFF-BI-10004352","Office Supplies","Binders","Wilson Jones DublLock D-Ring Binders"
1453,"OFF-BI-10000666","Office Supplies","Binders","Surelock Post Binders"
1454,"OFF-BI-10004352","Office Supplies","Binders","Wilson Jones DublLock D-Ring Binders"
1456,"OFF-BI-10000977","Office Supplies","Binders","Ibico Plastic Spiral Binding Combs"
1458,"OFF-BI-10002412","Office Supplies","Binders","Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders"
1461,"OFF-BI-10001765","Office Supplies","Binders","Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges"
1470,"OFF-BI-10003982","Office Supplies","Binders","Wilson Jones Century Plastic Molded Ring Binders"
1476,"OFF-BI-10000320","Office Supplies","Binders","GBC Plastic Binding Combs"
1499,"OFF-BI-10003981","Office Supplies","Binders","Avery Durable Plastic 1"" Binders"
1507,"OFF-BI-10003708","Office Supplies","Binders","Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1"""
1509,"OFF-BI-10004965","Office Supplies","Binders","Ibico Covers for Plastic or Wire Binding Elements"
1514,"OFF-BI-10001098","Office Supplies","Binders","Acco D-Ring Binder w/DublLock"
1515,"OFF-BI-10001636","Office Supplies","Binders","Ibico Plastic and Wire Spiral Binding Combs"
1518,"OFF-BI-10004593","Office Supplies","Binders","Ibico Laser Imprintable Binding System Covers"
1519,"OFF-BI-10002827","Office Supplies","Binders","Avery Durable Poly Binders"
1520,"OFF-BI-10001759","Office Supplies","Binders","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue"
1541,"OFF-BI-10001765","Office Supplies","Binders","Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges"
1544,"OFF-BI-10004230","Office Supplies","Binders","GBC Recycled Grain Textured Covers"
1548,"OFF-BI-10002867","Office Supplies","Binders","GBC Recycled Regency Composition Covers"
1554,"OFF-BI-10003719","Office Supplies","Binders","Large Capacity Hanging Post Binders"
1560,"OFF-BI-10003712","Office Supplies","Binders","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue"
1568,"OFF-BI-10000088","Office Supplies","Binders","GBC Imprintable Covers"
1583,"OFF-BI-10000545","Office Supplies","Binders","GBC Ibimaster 500 Manual ProClick Binding System"
1608,"OFF-BI-10000050","Office Supplies","Binders","Angle-D Binders with Locking Rings, Label Holders"
1610,"OFF-BI-10000591","Office Supplies","Binders","Avery Binder Labels"
1623,"OFF-BI-10001107","Office Supplies","Binders","GBC White Gloss Covers, Plain Front"
1630,"OFF-BI-10001510","Office Supplies","Binders","Deluxe Heavy-Duty Vinyl Round Ring Binder"
1640,"OFF-BI-10004728","Office Supplies","Binders","Wilson Jones Turn Tabs Binder Tool for Ring Binders"
1649,"OFF-BI-10004224","Office Supplies","Binders","Catalog Binders with Expanding Posts"
1656,"OFF-BI-10001116","Office Supplies","Binders","Wilson Jones 1"" Hanging DublLock Ring Binders"
1660,"OFF-BI-10004330","Office Supplies","Binders","GBC Velobind Prepunched Cover Sets, Regency Series"
1661,"OFF-BI-10002072","Office Supplies","Binders","Cardinal Slant-D Ring Binders"
1663,"OFF-BI-10002353","Office Supplies","Binders","GBC VeloBind Cover Sets"
1676,"OFF-BI-10000088","Office Supplies","Binders","GBC Imprintable Covers"
1686,"OFF-BI-10002813","Office Supplies","Binders","Avery Reinforcements for Hole-Punch Pages"
1687,"OFF-BI-10002414","Office Supplies","Binders","GBC ProClick Spines for 32-Hole Punch"
1692,"OFF-BI-10004182","Office Supplies","Binders","Economy Binders"
1696,"OFF-BI-10003314","Office Supplies","Binders","Tuff Stuff Recycled Round Ring Binders"
1701,"OFF-BI-10000320","Office Supplies","Binders","GBC Plastic Binding Combs"
1705,"OFF-BI-10003676","Office Supplies","Binders","GBC Standard Recycled Report Covers, Clear Plastic Sheets"
1706,"OFF-BI-10003638","Office Supplies","Binders","GBC Durable Plastic Covers"
1716,"OFF-BI-10003314","Office Supplies","Binders","Tuff Stuff Recycled Round Ring Binders"
1721,"OFF-BI-10002824","Office Supplies","Binders","Recycled Easel Ring Binders"
1747,"OFF-BI-10000138","Office Supplies","Binders","Acco Translucent Poly Ring Binders"
1758,"OFF-BI-10001765","Office Supplies","Binders","Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges"
1762,"OFF-BI-10001900","Office Supplies","Binders","DXL Angle-View Binders with Locking Rings, Black"
1768,"OFF-BI-10004410","Office Supplies","Binders","C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"
1769,"OFF-BI-10002735","Office Supplies","Binders","GBC Prestige Therm-A-Bind Covers"
1771,"OFF-BI-10003291","Office Supplies","Binders","Wilson Jones Leather-Like Binders with DublLock Round Rings"
1774,"OFF-BI-10001628","Office Supplies","Binders","Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity"
1783,"OFF-BI-10001597","Office Supplies","Binders","Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue"
1786,"OFF-BI-10002976","Office Supplies","Binders","ACCOHIDE Binder by Acco"
1798,"OFF-BI-10003910","Office Supplies","Binders","DXL Angle-View Binders with Locking Rings by Samsill"
1803,"OFF-BI-10002498","Office Supplies","Binders","Clear Mylar Reinforcing Strips"
1825,"OFF-BI-10003694","Office Supplies","Binders","Avery 3 1/2"" Diskette Storage Pages, 10/Pack"
1849,"OFF-BI-10004140","Office Supplies","Binders","Avery Non-Stick Binders"
1858,"OFF-BI-10002133","Office Supplies","Binders","Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets"
1880,"OFF-BI-10001191","Office Supplies","Binders","Canvas Sectional Post Binders"
1888,"OFF-BI-10004519","Office Supplies","Binders","GBC DocuBind P100 Manual Binding Machine"
1896,"OFF-BI-10004632","Office Supplies","Binders","Ibico Hi-Tech Manual Binding System"
1897,"OFF-BI-10001359","Office Supplies","Binders","GBC DocuBind TL300 Electric Binding System"
1899,"OFF-BI-10004390","Office Supplies","Binders","GBC DocuBind 200 Manual Binding Machine"
1907,"OFF-BI-10001757","Office Supplies","Binders","Pressboard Hanging Data Binders for Unburst Sheets"
1908,"OFF-BI-10000069","Office Supplies","Binders","GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb"
1920,"OFF-BI-10003091","Office Supplies","Binders","GBC DocuBind TL200 Manual Binding Machine"
1938,"OFF-BI-10002082","Office Supplies","Binders","GBC Twin Loop Wire Binding Elements"
1940,"OFF-BI-10001634","Office Supplies","Binders","Wilson Jones Active Use Binders"
1944,"OFF-BI-10002012","Office Supplies","Binders","Wilson Jones Easy Flow II Sheet Lifters"
1951,"OFF-BI-10004970","Office Supplies","Binders","ACCOHIDE 3-Ring Binder, Blue, 1"""
1959,"OFF-BI-10003669","Office Supplies","Binders","3M Organizer Strips"
1963,"OFF-BI-10002954","Office Supplies","Binders","Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders"
1973,"OFF-BI-10001249","Office Supplies","Binders","Avery Heavy-Duty EZD View Binder with Locking Rings"
1982,"OFF-BI-10004187","Office Supplies","Binders","3-ring staple pack"
1988,"OFF-BI-10002393","Office Supplies","Binders","Binder Posts"
