%event_id,event_name,deadline_time,average_entry_score,finished,data_checked,highest_scoring_entry,highest_score,is_previous,is_current,is_next,chip_plays,most_selected_player_id,most_transferred_in_player_id,most_points_player_id,top_element_info,transfers_made,gameweek_number,deadline_date,deadline_time(2),cup_leagues_created,h2h_ko_matches_created
11,"Gameweek 11",2021-11-05 18:30:00.000,42,True,True,282096,116,False,False,False,"[{'chip_name': 'bboost', 'num_played': 68950}, {'chip_name': 'freehit', 'num_played': 58097}, {'chip_name': 'wildcard', 'num_played': 96628}, {'chip_name': '3xc', 'num_played': 46698}]",233,142,256,"{'id': 256, 'points': 14}",9011081,11,2021-11-05 00:00:00.000,1899-12-30 18:30:00.000,"False","False"
12,"Gameweek 12",2021-11-20 11:00:00.000,57,True,True,8483204,135,False,False,False,"[{'chip_name': 'bboost', 'num_played': 54467}, {'chip_name': 'freehit', 'num_played': 53008}, {'chip_name': 'wildcard', 'num_played': 118724}, {'chip_name': '3xc', 'num_played': 60239}]",233,144,38,"{'id': 38, 'points': 15}",9746013,12,2021-11-20 00:00:00.000,1899-12-30 11:00:00.000,"False","False"
13,"Gameweek 13",2021-11-27 11:00:00.000,44,True,True,5696552,132,False,False,False,"[{'chip_name': 'bboost', 'num_played': 56266}, {'chip_name': 'freehit', 'num_played': 50861}, {'chip_name': 'wildcard', 'num_played': 90601}, {'chip_name': '3xc', 'num_played': 98808}]",233,142,212,"{'id': 212, 'points': 16}",9284925,13,2021-11-27 00:00:00.000,1899-12-30 11:00:00.000,"False","False"
14,"Gameweek 14",2021-11-30 18:00:00.000,58,True,True,2433836,126,False,False,False,"[{'chip_name': 'bboost', 'num_played': 30119}, {'chip_name': 'freehit', 'num_played': 30092}, {'chip_name': 'wildcard', 'num_played': 48051}, {'chip_name': '3xc', 'num_played': 41810}]",233,240,233,"{'id': 233, 'points': 15}",6239197,14,2021-11-30 00:00:00.000,1899-12-30 18:00:00.000,"False","False"
15,"Gameweek 15",2021-12-04 11:00:00.000,43,True,True,1224173,114,False,False,False,"[{'chip_name': 'bboost', 'num_played': 42048}, {'chip_name': 'freehit', 'num_played': 34252}, {'chip_name': 'wildcard', 'num_played': 55027}, {'chip_name': '3xc', 'num_played': 56527}]",233,450,45,"{'id': 45, 'points': 17}",7556146,15,2021-12-04 00:00:00.000,1899-12-30 11:00:00.000,"False","False"
16,"Gameweek 16",2021-12-10 18:30:00.000,55,True,True,6881091,128,False,False,False,"[{'chip_name': 'bboost', 'num_played': 31385}, {'chip_name': 'freehit', 'num_played': 114979}, {'chip_name': 'wildcard', 'num_played': 113709}, {'chip_name': '3xc', 'num_played': 67059}]",233,261,210,"{'id': 210, 'points': 16}",10664848,16,2021-12-10 00:00:00.000,1899-12-30 18:30:00.000,"True","True"
17,"Gameweek 17",2021-12-14 18:15:00.000,45,True,True,8741274,127,False,False,False,"[{'chip_name': 'bboost', 'num_played': 27449}, {'chip_name': 'freehit', 'num_played': 95245}, {'chip_name': 'wildcard', 'num_played': 70462}, {'chip_name': '3xc', 'num_played': 164689}]",233,450,251,"{'id': 251, 'points': 16}",8595948,17,2021-12-14 00:00:00.000,1899-12-30 18:15:00.000,"True","True"
18,"Gameweek 18",2021-12-18 16:00:00.000,39,True,True,1848785,121,False,False,False,"[{'chip_name': 'bboost', 'num_played': 11265}, {'chip_name': 'freehit', 'num_played': 387457}, {'chip_name': 'wildcard', 'num_played': 75472}, {'chip_name': '3xc', 'num_played': 22698}]",233,40,256,"{'id': 256, 'points': 18}",12347450,18,2021-12-18 00:00:00.000,1899-12-30 16:00:00.000,"True","True"
19,"Gameweek 19",2021-12-26 13:30:00.000,36,True,True,345569,119,False,False,False,"[{'chip_name': 'bboost', 'num_played': 23155}, {'chip_name': 'freehit', 'num_played': 704625}, {'chip_name': 'wildcard', 'num_played': 89658}, {'chip_name': '3xc', 'num_played': 45125}]",233,26,362,"{'id': 362, 'points': 17}",15207961,19,2021-12-26 00:00:00.000,1899-12-30 13:30:00.000,"True","True"
20,"Gameweek 20",2021-12-28 13:30:00.000,37,True,True,4157378,105,False,False,False,"[{'chip_name': 'bboost', 'num_played': 8301}, {'chip_name': 'freehit', 'num_played': 347024}, {'chip_name': 'wildcard', 'num_played': 72928}, {'chip_name': '3xc', 'num_played': 19132}]",233,413,200,"{'id': 200, 'points': 15}",8682576,20,2021-12-28 00:00:00.000,1899-12-30 13:30:00.000,"True","True"
21,"Gameweek 21",2022-01-01 11:00:00.000,46,True,True,542969,129,False,False,False,"[{'chip_name': 'bboost', 'num_played': 29973}, {'chip_name': 'freehit', 'num_played': 330165}, {'chip_name': 'wildcard', 'num_played': 299381}, {'chip_name': '3xc', 'num_played': 48107}]",233,420,420,"{'id': 420, 'points': 21}",13412732,21,2022-01-01 00:00:00.000,1899-12-30 11:00:00.000,"True","True"
22,"Gameweek 22",2022-01-14 18:30:00.000,51,True,True,3532161,145,False,False,False,"[{'chip_name': 'bboost', 'num_played': 57393}, {'chip_name': 'freehit', 'num_played': 677118}, {'chip_name': 'wildcard', 'num_played': 585135}, {'chip_name': '3xc', 'num_played': 56338}]",237,240,277,"{'id': 277, 'points': 23}",23424094,22,2022-01-14 00:00:00.000,1899-12-30 18:30:00.000,"True","True"
23,"Gameweek 23",2022-01-21 18:30:00.000,35,True,True,7969316,107,False,False,False,"[{'chip_name': 'bboost', 'num_played': 56752}, {'chip_name': 'freehit', 'num_played': 78202}, {'chip_name': 'wildcard', 'num_played': 259651}, {'chip_name': '3xc', 'num_played': 36867}]",237,681,112,"{'id': 112, 'points': 19}",12666677,23,2022-01-21 00:00:00.000,1899-12-30 18:30:00.000,"True","True"
24,"Gameweek 24",2022-02-08 18:15:00.000,50,True,True,563811,136,False,False,False,"[{'chip_name': 'bboost', 'num_played': 35256}, {'chip_name': 'freehit', 'num_played': 65881}, {'chip_name': 'wildcard', 'num_played': 230589}, {'chip_name': '3xc', 'num_played': 25846}]",237,586,681,"{'id': 681, 'points': 16}",8710540,24,2022-02-08 00:00:00.000,1899-12-30 18:15:00.000,"True","True"
25,"Gameweek 25",2022-02-12 11:00:00.000,47,True,True,1032188,125,True,False,False,"[{'chip_name': 'bboost', 'num_played': 22431}, {'chip_name': 'freehit', 'num_played': 90456}, {'chip_name': 'wildcard', 'num_played': 218499}, {'chip_name': '3xc', 'num_played': 80474}]",237,681,255,"{'id': 255, 'points': 18}",8374086,25,2022-02-12 00:00:00.000,1899-12-30 11:00:00.000,"True","True"
26,"Gameweek 26",2022-02-19 11:00:00.000,76,False,False,799920,207,False,True,False,"[{'chip_name': 'bboost', 'num_played': 239806}, {'chip_name': 'freehit', 'num_played': 345118}, {'chip_name': 'wildcard', 'num_played': 263793}, {'chip_name': '3xc', 'num_played': 1138950}]",233,233,233,"{'id': 233, 'points': 28}",14147393,26,2022-02-19 00:00:00.000,1899-12-30 11:00:00.000,"True","True"
27,"Gameweek 27",2022-02-25 18:30:00.000,0,False,False,,,False,False,True,"[]",,,,"",0,27,2022-02-25 00:00:00.000,1899-12-30 18:30:00.000,"False","False"
28,"Gameweek 28",2022-03-05 11:00:00.000,0,False,False,,,False,False,False,"[]",,,,"",0,28,2022-03-05 00:00:00.000,1899-12-30 11:00:00.000,"False","False"
29,"Gameweek 29",2022-03-12 11:00:00.000,0,False,False,,,False,False,False,"[]",,,,"",0,29,2022-03-12 00:00:00.000,1899-12-30 11:00:00.000,"False","False"
30,"Gameweek 30",2022-03-18 18:30:00.000,0,False,False,,,False,False,False,"[]",,,,"",0,30,2022-03-18 00:00:00.000,1899-12-30 18:30:00.000,"False","False"
31,"Gameweek 31",2022-04-02 10:00:00.000,0,False,False,,,False,False,False,"[]",,,,"",0,31,2022-04-02 00:00:00.000,1899-12-30 10:00:00.000,"False","False"
32,"Gameweek 32",2022-04-08 17:30:00.000,0,False,False,,,False,False,False,"[]",,,,"",0,32,2022-04-08 00:00:00.000,1899-12-30 17:30:00.000,"False","False"
33,"Gameweek 33",2022-04-16 12:30:00.000,0,False,False,,,False,False,False,"[]",,,,"",0,33,2022-04-16 00:00:00.000,1899-12-30 12:30:00.000,"False","False"
34,"Gameweek 34",2022-04-23 12:30:00.000,0,False,False,,,False,False,False,"[]",,,,"",0,34,2022-04-23 00:00:00.000,1899-12-30 12:30:00.000,"False","False"
35,"Gameweek 35",2022-04-30 12:30:00.000,0,False,False,,,False,False,False,"[]",,,,"",0,35,2022-04-30 00:00:00.000,1899-12-30 12:30:00.000,"False","False"
36,"Gameweek 36",2022-05-07 12:30:00.000,0,False,False,,,False,False,False,"[]",,,,"",0,36,2022-05-07 00:00:00.000,1899-12-30 12:30:00.000,"False","False"
37,"Gameweek 37",2022-05-15 12:30:00.000,0,False,False,,,False,False,False,"[]",,,,"",0,37,2022-05-15 00:00:00.000,1899-12-30 12:30:00.000,"False","False"
38,"Gameweek 38",2022-05-22 12:30:00.000,0,False,False,,,False,False,False,"[]",,,,"",0,38,2022-05-22 00:00:00.000,1899-12-30 12:30:00.000,"False","False"
