Source.Name,custSupID,custSupName,taxRegistrationCountry,custSupTp,bankAccNr,bankIdCd,Bank_Country,Afwijkende Landcode
"Twinfield_V31_2016.xaf","2040","Klein","NL","S","410184152","ABNANL2A","41","1"
"Twinfield_V31_2016.xaf","2042","Centraal Boekenhuis B.V.","NL","S","596870019","","59","1"
"Twinfield_V31_2016.xaf","1002","Bosman","NL","C","678912","","67","1"
"Twinfield_V31_2016.xaf","1003","Samkalde","NL","C","8946343","INGBNL2A","89","1"
"Twinfield_V31_2016.xaf","1004","De Jong","NL","C","67891","","67","1"
"Twinfield_V31_2016.xaf","1005","Meijer","NL","C","410184152","","41","1"
"Twinfield_V31_2016.xaf","1006","Zonneveld","NL","C","84152","INGBNL2A","84","1"
"Twinfield_V31_2016.xaf","1007","De Wit","NL","C","912345","","91","1"
"Twinfield_V31_2016.xaf","1008","Jansen","NL","C","212345","","21","1"
"Twinfield_V31_2016.xaf","1009","Ruis","NL","C","312345","","31","1"
"Twinfield_V31_2016.xaf","1010","Verstraete","NL","C","1234567","","12","1"
"Twinfield_V31_2016.xaf","1011","Spoelder","NL","C","512345678","","51","1"
"Twinfield_V31_2016.xaf","1012","Tenson","NL","C","6123456","","61","1"
"Twinfield_V31_2016.xaf","1013","Dalman","NL","C","712345","","71","1"
"Twinfield_V31_2016.xaf","1014","Goedhart","NL","C","712345","","71","1"
"Twinfield_V31_2016.xaf","1015","Verbeek","NL","C","712345","","71","1"
"Twinfield_V31_2016.xaf","1016","Stalknecht","NL","C","712345","","71","1"
"Twinfield_V31_2016.xaf","1017","Rendez Vous","NL","C","712345","","71","1"
"Twinfield_V31_2016.xaf","1018","Gebroeders Walter","NL","C","642363544","","64","1"
"Twinfield_V31_2016.xaf","1019","Roelofsen","NL","C","123456789","","12","1"
"Twinfield_V31_2016.xaf","1026","De Voetzoeker B.V.","NL","C","596870019","","59","1"
"ExactOnline_V32_2016.xaf","25","Belgium Bouncers","BE","C","0123456789","FTSBNL2R","01","1"
"Multivers_V32_2017.xaf","D1004","Garden Impressions Beverly","","","0123456789","ARLINGTON","01","1"
"Multivers_V32_2017.xaf","D1005","Gartencenter L�wenbrau","DE","","1643124111","KARLSRUHE","16","1"
"Multivers_V32_2017.xaf","D1009","MELBICKS Garden & Leisure","GB","","60161331926819","WARWICKSHIRE","60","1"
"Multivers_V32_2017.xaf","D1015","Vijver- en Tuincentrum Pelckmans","BE","","035-1649686-48","BRUGGE","03","1"
"Multivers_V32_2017.xaf","C7003","Von Lee Gartenh�user GmbH","DE","","1643124111","MUENCHEN","16","1"
"Multivers_V32_2017.xaf","C7004","Merit Garden Products Ltd","GB","","60161331926819","SUFFOLK","60","1"
"Multivers_V32_2017.xaf","C7010","McDonall Douglas Co.","","","CHA044000037","","CH","1"
"Twinfield_V31_2016.xaf","2001","Kendix","DE","S","4567","INGBNL2A","45","1"
"Twinfield_V31_2016.xaf","1000","Waardedijk","DE","C","123456789","TESTNL2A","12","1"
"Twinfield_V31_2016.xaf","1001","Witteveen","BE","C","23456","","23","1"
"XmlAuditfileFinancieel3.2_test.xaf","String","String","AD","B","String","String","St","1"
