Source.Name,periodNumber,startDatePeriod,endDatePeriod,periodDesc,startTimePeriod,endTimePeriod,Link
"Twinfield_V31_2016.xaf","0",2016-01-01 00:00:00.000,2016-01-01 00:00:00.000,"Openingsbalans 2016","","","Twinfield_V31_2016.xaf-0"
"Twinfield_V31_2016.xaf","1",2016-01-01 00:00:00.000,2016-01-31 00:00:00.000,"januari 2016","","","Twinfield_V31_2016.xaf-1"
"Twinfield_V31_2016.xaf","2",2016-02-01 00:00:00.000,2016-02-29 00:00:00.000,"februari 2016","","","Twinfield_V31_2016.xaf-2"
"Twinfield_V31_2016.xaf","3",2016-03-01 00:00:00.000,2016-03-31 00:00:00.000,"maart 2016","","","Twinfield_V31_2016.xaf-3"
"Twinfield_V31_2016.xaf","4",2016-04-01 00:00:00.000,2016-04-30 00:00:00.000,"april 2016","","","Twinfield_V31_2016.xaf-4"
"Twinfield_V31_2016.xaf","5",2016-05-01 00:00:00.000,2016-05-31 00:00:00.000,"mei 2016","","","Twinfield_V31_2016.xaf-5"
"Twinfield_V31_2016.xaf","6",2016-06-01 00:00:00.000,2016-06-30 00:00:00.000,"juni 2016","","","Twinfield_V31_2016.xaf-6"
"Twinfield_V31_2016.xaf","7",2016-07-01 00:00:00.000,2016-07-31 00:00:00.000,"juli 2016","","","Twinfield_V31_2016.xaf-7"
"Twinfield_V31_2016.xaf","8",2016-08-01 00:00:00.000,2016-08-31 00:00:00.000,"augustus 2016","","","Twinfield_V31_2016.xaf-8"
"Twinfield_V31_2016.xaf","9",2016-09-01 00:00:00.000,2016-09-30 00:00:00.000,"september 2016","","","Twinfield_V31_2016.xaf-9"
"Twinfield_V31_2016.xaf","10",2016-10-01 00:00:00.000,2016-10-31 00:00:00.000,"oktober 2016","","","Twinfield_V31_2016.xaf-10"
"Twinfield_V31_2016.xaf","11",2016-11-01 00:00:00.000,2016-11-30 00:00:00.000,"november 2016","","","Twinfield_V31_2016.xaf-11"
"Twinfield_V31_2016.xaf","12",2016-12-01 00:00:00.000,2016-12-31 00:00:00.000,"december 2016","","","Twinfield_V31_2016.xaf-12"
"Twinfield_V31_2016.xaf","55",2016-12-31 00:00:00.000,2016-12-31 00:00:00.000,"Voorafgaande journaalposten 2016","","","Twinfield_V31_2016.xaf-55"
"XmlAuditfileFinancieel3.2_test.xaf","1",1967-08-13 00:00:00.000,1967-08-13 00:00:00.000,"String","14:20:00-05:00","14:20:00-05:00","XmlAuditfileFinancieel3.2_test.xaf-1"
