Week number,Unnamed: 1,variable,value
Total deaths: average of corresponding,,21,9747
Week ended,,22,2019-05-31 00:00:00.000
"Total deaths, all ages",,22,8260
Total deaths: average of corresponding,,22,8125
Week ended,,23,2019-06-07 00:00:00.000
"Total deaths, all ages",,23,10140
Total deaths: average of corresponding,,23,9860
Week ended,,24,2019-06-14 00:00:00.000
"Total deaths, all ages",,24,9445
Total deaths: average of corresponding,,24,9408
Week ended,,25,2019-06-21 00:00:00.000
"Total deaths, all ages",,25,9458
Total deaths: average of corresponding,,25,9302
Week ended,,26,2019-06-28 00:00:00.000
"Total deaths, all ages",,26,9511
Total deaths: average of corresponding,,26,9177
Week ended,,27,2019-07-05 00:00:00.000
"Total deaths, all ages",,27,9062
Total deaths: average of corresponding,,27,9123
Week ended,,28,2019-07-12 00:00:00.000
"Total deaths, all ages",,28,9179
Total deaths: average of corresponding,,28,9170
Week ended,,29,2019-07-19 00:00:00.000
"Total deaths, all ages",,29,9080
Total deaths: average of corresponding,,29,9100
Week ended,,30,2019-07-26 00:00:00.000
"Total deaths, all ages",,30,9112
Total deaths: average of corresponding,,30,9023
Week ended,,31,2019-08-02 00:00:00.000
"Total deaths, all ages",,31,9271
Total deaths: average of corresponding,,31,8963
Week ended,,32,2019-08-09 00:00:00.000
"Total deaths, all ages",,32,9122
Total deaths: average of corresponding,,32,9026
Week ended,,33,2019-08-16 00:00:00.000
"Total deaths, all ages",,33,9093
Total deaths: average of corresponding,,33,9025
Week ended,,34,2019-08-23 00:00:00.000
"Total deaths, all ages",,34,8994
Total deaths: average of corresponding,,34,9113
Week ended,,35,2019-08-30 00:00:00.000
"Total deaths, all ages",,35,8242
Total deaths: average of corresponding,,35,8197
Week ended,,36,2019-09-06 00:00:00.000
"Total deaths, all ages",,36,9695
Total deaths: average of corresponding,,36,9177
Week ended,,37,2019-09-13 00:00:00.000
"Total deaths, all ages",,37,9513
Total deaths: average of corresponding,,37,9260
Week ended,,38,2019-09-20 00:00:00.000
"Total deaths, all ages",,38,9440
Total deaths: average of corresponding,,38,9197
Week ended,,39,2019-09-27 00:00:00.000
"Total deaths, all ages",,39,9517
Total deaths: average of corresponding,,39,9283
Week ended,,40,2019-10-04 00:00:00.000
"Total deaths, all ages",,40,9799
Total deaths: average of corresponding,,40,9450
Week ended,,41,2019-10-11 00:00:00.000
"Total deaths, all ages",,41,9973
Total deaths: average of corresponding,,41,9651
Week ended,,42,2019-10-18 00:00:00.000
"Total deaths, all ages",,42,10156
Total deaths: average of corresponding,,42,9726
Week ended,,43,2019-10-25 00:00:00.000
"Total deaths, all ages",,43,10021
Total deaths: average of corresponding,,43,9674
Week ended,,44,2019-11-01 00:00:00.000
"Total deaths, all ages",,44,10164
Total deaths: average of corresponding,,44,9777
Week ended,,45,2019-11-08 00:00:00.000
"Total deaths, all ages",,45,10697
Total deaths: average of corresponding,,45,10142
Week ended,,46,2019-11-15 00:00:00.000
"Total deaths, all ages",,46,10650
Total deaths: average of corresponding,,46,10226
Week ended,,47,2019-11-22 00:00:00.000
"Total deaths, all ages",,47,10882
Total deaths: average of corresponding,,47,10124
Week ended,,48,2019-11-29 00:00:00.000
"Total deaths, all ages",,48,10958
Total deaths: average of corresponding,,48,10164
Week ended,,49,2019-12-06 00:00:00.000
"Total deaths, all ages",,49,10816
Total deaths: average of corresponding,,49,10585
Week ended,,50,2019-12-13 00:00:00.000
"Total deaths, all ages",,50,11188
Total deaths: average of corresponding,,50,10622
Week ended,,51,2019-12-20 00:00:00.000
"Total deaths, all ages",,51,11926
Total deaths: average of corresponding,,51,11499
Week ended,,52,2019-12-27 00:00:00.000
"Total deaths, all ages",,52,7533
Total deaths: average of corresponding,,52,8014
