site,plant_id,material_code,batch,order_number,storage_location,order_type,mrp_controller,actual_finish_date,actual_start_date,delivered_quantity,total_quantity,first_pass_yield,Date
3100,2.0,72403518,19MM09694,1003156322,3110,XP01,TS2,2019-12-17 00:00:00.000,2019-12-16 00:00:00.000,199,200,99.5,2019-12-17 00:00:00.000
3100,5.0,74022123,19MM12009,1003158811,3150,XP01,O83,2020-01-06 00:00:00.000,2019-12-20 00:00:00.000,8,8,100.0,2020-01-06 00:00:00.000
3100,5.0,71421207,20CM03900,1003222815,3150,XP01,O87,2020-03-19 00:00:00.000,2020-03-06 00:00:00.000,8,8,100.0,2020-03-19 00:00:00.000
3100,2.0,71101412,19JM14441,1003092304,3110,XP01,I50,2019-09-21 00:00:00.000,2019-09-19 00:00:00.000,126,126,100.0,2019-09-21 00:00:00.000
3100,5.0,71343204,19LM08401,1003136163,3150,XP01,H28,2019-12-05 00:00:00.000,2019-11-15 00:00:00.000,15,16,93.8,2019-12-05 00:00:00.000
3100,5.0,74022115,19HM01592,1003049642,3150,XP01,O83,2019-08-15 00:00:00.000,2019-08-05 00:00:00.000,8,8,100.0,2019-08-15 00:00:00.000
3100,2.0,81082148,20FM12878,1003294468,3110,XP01,I21,2020-07-21 00:00:00.000,2020-07-16 00:00:00.000,0,8,0.0,2020-07-21 00:00:00.000
3100,4.0,71312238,19KM01729,1003104382,3130,XP01,HS3,2019-10-06 00:00:00.000,2019-10-03 00:00:00.000,5,5,100.0,2019-10-06 00:00:00.000
3100,1.0,71434255,20AM16070,1003182310,3100,XP01,A05,2020-02-19 00:00:00.000,2020-01-31 00:00:00.000,16,16,100.0,2020-02-19 00:00:00.000
3100,4.0,71306613,20GM08415,1003307997,3130,XP01,HS2,2020-07-21 00:00:00.000,2020-07-19 00:00:00.000,10,10,100.0,2020-07-21 00:00:00.000
3100,3.0,74027236,19MM07294,1003154266,3140,XP01,KP4,2019-12-12 00:00:00.000,2019-12-11 00:00:00.000,32,32,100.0,2019-12-12 00:00:00.000
3100,3.0,71420102,19JM08341,1003083303,3140,XP04,KF4,2019-09-18 00:00:00.000,2019-09-11 00:00:00.000,1,2,50.0,2019-09-18 00:00:00.000
3100,2.0,72403560,19MM04110,1003150520,3110,XP01,TS2,2019-12-18 00:00:00.000,2019-12-14 00:00:00.000,300,300,100.0,2019-12-18 00:00:00.000
3100,2.0,71070365,18KPH0002M,1003093933,3110,XP01,I50,2019-09-25 00:00:00.000,2019-09-20 00:00:00.000,10,10,100.0,2019-09-25 00:00:00.000
3100,3.0,74022214,19MM02222,1003148390,3140,XP01,KT5,2019-12-07 00:00:00.000,2019-12-05 00:00:00.000,16,16,100.0,2019-12-07 00:00:00.000
3100,5.0,74022116,19JM14782,1003092641,3150,XP01,O83,2019-10-11 00:00:00.000,2019-09-24 00:00:00.000,7,8,87.5,2019-10-11 00:00:00.000
3100,3.0,71423224,20EM04153,1003266735,3140,XP01,KF5,2020-05-17 00:00:00.000,2020-05-13 00:00:00.000,12,12,100.0,2020-05-17 00:00:00.000
3100,3.0,74025676,19HM13417,1003061958,3140,XP01,KP6,2019-08-20 00:00:00.000,2019-08-19 00:00:00.000,32,32,100.0,2019-08-20 00:00:00.000
3100,4.0,72442778,19LM11585,1003139509,3130,XP01,PV3,2019-12-06 00:00:00.000,2019-12-04 00:00:00.000,12,12,100.0,2019-12-06 00:00:00.000
3100,3.0,71420802,20GM00847,1003302960,3140,XP01,KP3,2020-07-21 00:00:00.000,2020-07-06 00:00:00.000,0,32,0.0,2020-07-21 00:00:00.000
3100,4.0,71316012,19MM07153,1003154130,3130,XP01,HS3,2019-12-15 00:00:00.000,2019-12-13 00:00:00.000,10,10,100.0,2019-12-15 00:00:00.000
3100,2.0,71364450,19MSA0029,1003197985,3110,XP01,I55,2020-02-12 00:00:00.000,2020-02-08 00:00:00.000,12,12,100.0,2020-02-12 00:00:00.000
3100,2.0,71118235,19MM06857,1003153849,3110,XP01,I50,2019-12-15 00:00:00.000,2019-12-11 00:00:00.000,26,26,100.0,2019-12-15 00:00:00.000
3100,3.0,71423234,20BM15721,1003209240,3140,XP01,KF5,2020-02-26 00:00:00.000,2020-02-20 00:00:00.000,10,12,83.3,2020-02-26 00:00:00.000
3100,4.0,71309016,19LM08805,1003136543,3130,XP01,HS1,2019-12-05 00:00:00.000,2019-11-17 00:00:00.000,8,10,80.0,2019-12-05 00:00:00.000
3100,2.0,74013469,20EM01346,1003263811,3110,XP01,I01,2020-06-06 00:00:00.000,2020-05-13 00:00:00.000,8,8,100.0,2020-06-06 00:00:00.000
3100,2.0,74016419,20AM07187,1003172000,3110,XP01,I20,2020-01-26 00:00:00.000,2020-01-10 00:00:00.000,10,12,83.3,2020-01-26 00:00:00.000
3100,2.0,71118239,20BM06231,1003200395,3110,XP01,I50,2020-02-13 00:00:00.000,2020-02-10 00:00:00.000,24,24,100.0,2020-02-13 00:00:00.000
3100,4.0,81085439,19MM13326,1003160650,3130,XP01,PB4,2020-01-08 00:00:00.000,2020-01-08 00:00:00.000,144,144,100.0,2020-01-08 00:00:00.000
3100,4.0,71322041,20DM05490A,1003254898,3130,XP04,HT2,2020-05-18 00:00:00.000,2020-04-29 00:00:00.000,1,1,100.0,2020-05-18 00:00:00.000
3100,2.0,72434740,19JM13585,1003089963,3110,XP01,TS2,2019-10-02 00:00:00.000,2019-09-26 00:00:00.000,93,100,93.0,2019-10-02 00:00:00.000
3100,4.0,71312410,20FM17497,1003300103,3130,XP01,HA2,2020-06-25 00:00:00.000,2020-06-24 00:00:00.000,50,50,100.0,2020-06-25 00:00:00.000
3100,2.0,72402714N,19JM20398,1003096620,3110,XP01,TSG,2019-10-03 00:00:00.000,2019-10-02 00:00:00.000,100,100,100.0,2019-10-03 00:00:00.000
3100,4.0,71335756,19MM15229,1003163393,3130,XP01,HP2,2020-01-05 00:00:00.000,2020-01-02 00:00:00.000,60,64,93.8,2020-01-05 00:00:00.000
3100,2.0,71631121,19GM13440,1003030529,3110,XP01,TD1,2019-08-20 00:00:00.000,2019-07-26 00:00:00.000,89,90,98.9,2019-08-20 00:00:00.000
3100,2.0,1152564,19EM00402,1002967989,3110,XP01,I98,2019-08-26 00:00:00.000,2019-05-08 00:00:00.000,12,12,100.0,2019-08-26 00:00:00.000
3100,2.0,72442135,20AM09418,1003174581,3110,XP01,IL1,2020-01-21 00:00:00.000,2020-01-17 00:00:00.000,201,204,98.5,2020-01-21 00:00:00.000
3100,2.0,81099653,19GM14198,1003036945,3110,XP01,I11,2019-08-29 00:00:00.000,2019-07-22 00:00:00.000,10,10,100.0,2019-08-29 00:00:00.000
3100,5.0,71421264,19KM14006,1003115745,3150,XP01,O85,2019-11-06 00:00:00.000,2019-10-18 00:00:00.000,7,8,87.5,2019-11-06 00:00:00.000
3100,2.0,74033634,19GAP0154A,1003160221,3110,XP01,I55,2020-01-04 00:00:00.000,2020-01-02 00:00:00.000,30,30,100.0,2020-01-04 00:00:00.000
3100,3.0,71420100,20FM15747,1003298494,3140,XP01,KF4,2020-06-26 00:00:00.000,2020-06-22 00:00:00.000,12,12,100.0,2020-06-26 00:00:00.000
3100,4.0,71302800,20AM21559,1003185180,3130,XP01,HH1,2020-01-28 00:00:00.000,2020-01-27 00:00:00.000,15,15,100.0,2020-01-28 00:00:00.000
3100,2.0,71645045,20CM20638,1003239284,3110,XP01,TSE,2020-04-02 00:00:00.000,2020-03-27 00:00:00.000,100,100,100.0,2020-04-02 00:00:00.000
3100,3.0,71453201,20CM09507,1003227391,3140,XP01,KP3,2020-03-18 00:00:00.000,2020-03-16 00:00:00.000,31,32,96.9,2020-03-18 00:00:00.000
3100,4.0,71316213,20AM00365,1003166231,3130,XP01,HS3,2020-01-06 00:00:00.000,2020-01-03 00:00:00.000,10,10,100.0,2020-01-06 00:00:00.000
3100,4.0,71312373,19JM15206,1003093233,3130,XP01,HS3,2019-12-13 00:00:00.000,2019-09-28 00:00:00.000,10,10,100.0,2019-12-13 00:00:00.000
3100,3.0,74022227,20FM13961,1003296444,3140,XP01,KT5,2020-06-24 00:00:00.000,2020-06-21 00:00:00.000,15,15,100.0,2020-06-24 00:00:00.000
3100,3.0,71420778,19KM22536,1003124402,3140,XP01,KP1,2019-11-17 00:00:00.000,2019-10-31 00:00:00.000,8,8,100.0,2019-11-17 00:00:00.000
3100,3.0,71453213,20AM07612,1003172567,3140,XP01,KP2,2020-01-12 00:00:00.000,2020-01-10 00:00:00.000,32,32,100.0,2020-01-12 00:00:00.000
3100,3.0,71422432,19CM24450,1002939466,3140,XP01,KT7,2019-08-15 00:00:00.000,2019-05-08 00:00:00.000,29,30,96.7,2019-08-15 00:00:00.000
3100,2.0,71430173,19JM04470,1003082206,3110,XP04,I05,2019-09-14 00:00:00.000,2019-09-09 00:00:00.000,16,16,100.0,2019-09-14 00:00:00.000
3100,5.0,71343204,19LM14112,1003141604,3150,XP01,H28,2019-12-09 00:00:00.000,2019-11-23 00:00:00.000,16,16,100.0,2019-12-09 00:00:00.000
3100,4.0,71309011,19JM05715,1003083745,3130,XP01,HS1,2019-09-27 00:00:00.000,2019-09-13 00:00:00.000,10,10,100.0,2019-09-27 00:00:00.000
3100,4.0,72442486N,20BM02200,1003195879,3130,XP01,PV1,2020-02-12 00:00:00.000,2020-02-10 00:00:00.000,11,12,91.7,2020-02-12 00:00:00.000
3100,4.0,71324044,19HM12042,1003061704,3130,XP01,HT2,2019-09-07 00:00:00.000,2019-08-18 00:00:00.000,10,10,100.0,2019-09-07 00:00:00.000
3100,2.0,72434740N,20AM08600,1003173822,3110,XP01,TS2,2020-01-28 00:00:00.000,2020-01-24 00:00:00.000,200,200,100.0,2020-01-28 00:00:00.000
3100,3.0,71420162,19JM21610,1003099680,3140,XP01,KT3,2019-09-28 00:00:00.000,2019-09-27 00:00:00.000,16,16,100.0,2019-09-28 00:00:00.000
3100,4.0,72467212N,20AM19178,1003185338,3130,XP01,PV8,2020-02-03 00:00:00.000,2020-01-29 00:00:00.000,12,12,100.0,2020-02-03 00:00:00.000
3100,3.0,81004410,19BSM0123,1003316454,3140,XP01,KSS,2020-07-31 00:00:00.000,2020-07-23 00:00:00.000,400,400,100.0,2020-07-31 00:00:00.000
3100,4.0,81067221,19MM10931,1003157838,3130,XP01,PB1,2019-12-18 00:00:00.000,2019-12-18 00:00:00.000,72,72,100.0,2019-12-18 00:00:00.000
3100,5.0,71421255,20AM17813G,1003199401,3150,XP04,O84,2020-04-21 00:00:00.000,2020-02-07 00:00:00.000,1,1,100.0,2020-04-21 00:00:00.000
3100,4.0,72440406N,20GM01229,1003303617,3130,XP01,PVD,2020-07-11 00:00:00.000,2020-07-07 00:00:00.000,12,12,100.0,2020-07-11 00:00:00.000
3100,5.0,81104306,19MM13555,1003160893,3150,XP01,H28,2020-01-09 00:00:00.000,2019-12-20 00:00:00.000,8,8,100.0,2020-01-09 00:00:00.000
3100,4.0,71354711,19HTM0038G,1003216986,3130,XP01,HA2,2020-03-02 00:00:00.000,2020-02-28 00:00:00.000,5,5,100.0,2020-03-02 00:00:00.000
3100,4.0,71369894,19KM20529,1003122401,3130,XP01,HA2,2019-10-29 00:00:00.000,2019-10-28 00:00:00.000,50,50,100.0,2019-10-29 00:00:00.000
3100,3.0,81045748,20DM06059,1003249791,3140,XP04,KA2,2020-04-22 00:00:00.000,2020-04-09 00:00:00.000,0,1,0.0,2020-04-22 00:00:00.000
3100,3.0,71422667,19LM18329,1003146112,3140,XP01,KP2,2019-12-02 00:00:00.000,2019-12-01 00:00:00.000,31,32,96.9,2019-12-02 00:00:00.000
3100,4.0,72463116N,20AM18093,1003184399,3130,XP01,PH1,2020-02-04 00:00:00.000,2020-01-30 00:00:00.000,12,12,100.0,2020-02-04 00:00:00.000
3100,3.0,71933648,19JM04394,1003082086,3140,XP01,KF7,2019-09-17 00:00:00.000,2019-09-08 00:00:00.000,17,17,100.0,2019-09-17 00:00:00.000
3100,1.0,71932592,20CM15822,1003235134,3100,XP01,A04,2020-04-16 00:00:00.000,2020-03-19 00:00:00.000,5,5,100.0,2020-04-16 00:00:00.000
3100,4.0,72469120N,19KM18291,1003120176,3130,XP01,PH5,2019-10-30 00:00:00.000,2019-10-28 00:00:00.000,3,10,30.0,2019-10-30 00:00:00.000
3100,5.0,71342804,19LM09926,1003137895,3150,XP01,H28,2019-12-09 00:00:00.000,2019-11-20 00:00:00.000,10,16,62.5,2019-12-09 00:00:00.000
3100,4.0,71362020,19JM08809,1003084876,3130,XP01,HA2,2019-12-05 00:00:00.000,2019-09-13 00:00:00.000,0,15,0.0,2019-12-05 00:00:00.000
3100,4.0,71316011,19MM07144,1003154121,3130,XP01,HS3,2019-12-14 00:00:00.000,2019-12-12 00:00:00.000,10,10,100.0,2019-12-14 00:00:00.000
3100,4.0,81104304,20EM13860,1003277181,3150,XP01,H29,2020-06-09 00:00:00.000,2020-05-26 00:00:00.000,8,8,100.0,2020-06-09 00:00:00.000
3100,4.0,71195160,19KM07813,1003110156,3130,XP01,PH9,2019-12-16 00:00:00.000,2019-10-18 00:00:00.000,9,12,75.0,2019-12-16 00:00:00.000
3100,2.0,71332520,19HM26424,1003076755,3110,XP01,TSF,2019-09-05 00:00:00.000,2019-08-31 00:00:00.000,297,300,99.0,2019-09-05 00:00:00.000
3100,2.0,74016412,19LM17550,1003145480,3110,XP01,I20,2020-01-03 00:00:00.000,2019-12-03 00:00:00.000,9,12,75.0,2020-01-03 00:00:00.000
3100,3.0,74022225,20AM01781,1003167487,3140,XP01,KT5,2020-01-08 00:00:00.000,2020-01-04 00:00:00.000,16,16,100.0,2020-01-08 00:00:00.000
3100,3.0,71423234,19MM01862,1003148200,3140,XP01,KF5,2019-12-08 00:00:00.000,2019-12-03 00:00:00.000,24,24,100.0,2019-12-08 00:00:00.000
