Sale Key,variable,value
172551,Bill To Customer Key,202
103073,Bill To Customer Key,0
82766,Bill To Customer Key,202
24812,Bill To Customer Key,202
225548,Bill To Customer Key,0
56192,Stock Item Key,160
227784,Stock Item Key,4
87978,Stock Item Key,57
16428,Stock Item Key,182
219559,Stock Item Key,149
6658,Stock Item Key,3
27492,Stock Item Key,217
73926,Stock Item Key,70
1005,Stock Item Key,82
50910,Stock Item Key,33
95305,Stock Item Key,67
167719,Stock Item Key,34
41573,Stock Item Key,30
14043,Stock Item Key,58
14405,Stock Item Key,6
135223,Stock Item Key,149
33043,Stock Item Key,98
178497,Stock Item Key,40
31366,Stock Item Key,130
11450,Stock Item Key,114
60471,Stock Item Key,27
37360,Stock Item Key,73
155288,Stock Item Key,177
3871,Stock Item Key,161
61336,Stock Item Key,205
57329,Stock Item Key,123
157954,Stock Item Key,145
63257,Stock Item Key,136
43209,Stock Item Key,166
161680,Stock Item Key,198
209632,Stock Item Key,166
5399,Stock Item Key,48
209334,Stock Item Key,135
177347,Stock Item Key,12
64581,Stock Item Key,144
132235,Stock Item Key,115
149976,Stock Item Key,28
83333,Stock Item Key,190
78971,Stock Item Key,71
26170,Stock Item Key,116
162063,Stock Item Key,66
54181,Stock Item Key,176
52444,Stock Item Key,5
116564,Stock Item Key,166
130622,Stock Item Key,206
50101,Stock Item Key,172
8408,Stock Item Key,2
71889,Stock Item Key,143
145986,Stock Item Key,2
202305,Stock Item Key,171
90949,Stock Item Key,61
210862,Stock Item Key,34
62079,Stock Item Key,185
191994,Stock Item Key,130
66367,Stock Item Key,29
130802,Stock Item Key,114
68882,Stock Item Key,114
158482,Stock Item Key,69
169629,Stock Item Key,217
80920,Stock Item Key,26
127141,Stock Item Key,114
211173,Stock Item Key,57
9675,Stock Item Key,156
29065,Stock Item Key,203
146157,Stock Item Key,129
5267,Stock Item Key,188
194110,Stock Item Key,171
166041,Stock Item Key,25
117570,Stock Item Key,113
36097,Stock Item Key,60
107986,Stock Item Key,6
47202,Stock Item Key,150
101779,Stock Item Key,144
199501,Stock Item Key,41
92957,Stock Item Key,53
147665,Stock Item Key,153
3175,Stock Item Key,85
205622,Stock Item Key,100
38843,Stock Item Key,38
165517,Stock Item Key,37
139602,Stock Item Key,168
83934,Stock Item Key,186
193626,Stock Item Key,15
109730,Stock Item Key,184
5181,Stock Item Key,9
125198,Stock Item Key,61
96242,Stock Item Key,65
64032,Stock Item Key,85
204301,Stock Item Key,177
217875,Stock Item Key,223
191973,Stock Item Key,211
80926,Stock Item Key,119
89209,Stock Item Key,193
15801,Stock Item Key,90
76169,Stock Item Key,178
172551,Stock Item Key,160
103073,Stock Item Key,86
82766,Stock Item Key,31
24812,Stock Item Key,113
225548,Stock Item Key,28
56192,Invoice Date Key,2013-12-02 00:00:00.000
227784,Invoice Date Key,2016-05-30 00:00:00.000
87978,Invoice Date Key,2014-06-02 00:00:00.000
16428,Invoice Date Key,2013-04-12 00:00:00.000
219559,Invoice Date Key,2016-04-19 00:00:00.000
6658,Invoice Date Key,2013-02-11 00:00:00.000
27492,Invoice Date Key,2013-06-14 00:00:00.000
73926,Invoice Date Key,2014-03-15 00:00:00.000
1005,Invoice Date Key,2013-01-07 00:00:00.000
50910,Invoice Date Key,2013-10-30 00:00:00.000
95305,Invoice Date Key,2014-07-09 00:00:00.000
167719,Invoice Date Key,2015-07-24 00:00:00.000
41573,Invoice Date Key,2013-09-04 00:00:00.000
14043,Invoice Date Key,2013-03-28 00:00:00.000
14405,Invoice Date Key,2013-04-01 00:00:00.000
135223,Invoice Date Key,2015-02-16 00:00:00.000
33043,Invoice Date Key,2013-07-13 00:00:00.000
178497,Invoice Date Key,2015-09-18 00:00:00.000
31366,Invoice Date Key,2013-07-04 00:00:00.000
11450,Invoice Date Key,2013-03-14 00:00:00.000
60471,Invoice Date Key,2013-12-30 00:00:00.000
37360,Invoice Date Key,2013-08-07 00:00:00.000
155288,Invoice Date Key,2015-05-26 00:00:00.000
3871,Invoice Date Key,2013-01-24 00:00:00.000
61336,Invoice Date Key,2014-01-02 00:00:00.000
57329,Invoice Date Key,2013-12-07 00:00:00.000
157954,Invoice Date Key,2015-06-08 00:00:00.000
63257,Invoice Date Key,2014-01-15 00:00:00.000
43209,Invoice Date Key,2013-09-14 00:00:00.000
161680,Invoice Date Key,2015-06-26 00:00:00.000
209632,Invoice Date Key,2016-02-29 00:00:00.000
5399,Invoice Date Key,2013-02-01 00:00:00.000
209334,Invoice Date Key,2016-02-26 00:00:00.000
177347,Invoice Date Key,2015-09-12 00:00:00.000
64581,Invoice Date Key,2014-01-22 00:00:00.000
132235,Invoice Date Key,2015-01-30 00:00:00.000
149976,Invoice Date Key,2015-04-29 00:00:00.000
83333,Invoice Date Key,2014-05-08 00:00:00.000
78971,Invoice Date Key,2014-04-15 00:00:00.000
26170,Invoice Date Key,2013-06-06 00:00:00.000
162063,Invoice Date Key,2015-06-29 00:00:00.000
54181,Invoice Date Key,2013-11-20 00:00:00.000
52444,Invoice Date Key,2013-11-09 00:00:00.000
116564,Invoice Date Key,2014-11-04 00:00:00.000
130622,Invoice Date Key,2015-01-22 00:00:00.000
50101,Invoice Date Key,2013-10-25 00:00:00.000
8408,Invoice Date Key,2013-02-25 00:00:00.000
71889,Invoice Date Key,2014-03-04 00:00:00.000
145986,Invoice Date Key,2015-04-10 00:00:00.000
202305,Invoice Date Key,2016-01-18 00:00:00.000
90949,Invoice Date Key,2014-06-16 00:00:00.000
210862,Invoice Date Key,2016-03-04 00:00:00.000
62079,Invoice Date Key,2014-01-07 00:00:00.000
191994,Invoice Date Key,2015-11-24 00:00:00.000
66367,Invoice Date Key,2014-01-31 00:00:00.000
130802,Invoice Date Key,2015-01-22 00:00:00.000
68882,Invoice Date Key,2014-02-14 00:00:00.000
158482,Invoice Date Key,2015-06-09 00:00:00.000
169629,Invoice Date Key,2015-08-03 00:00:00.000
80920,Invoice Date Key,2014-04-25 00:00:00.000
127141,Invoice Date Key,2015-01-01 00:00:00.000
211173,Invoice Date Key,2016-03-07 00:00:00.000
9675,Invoice Date Key,2013-03-05 00:00:00.000
29065,Invoice Date Key,2013-06-22 00:00:00.000
146157,Invoice Date Key,2015-04-11 00:00:00.000
5267,Invoice Date Key,2013-02-01 00:00:00.000
194110,Invoice Date Key,2015-12-07 00:00:00.000
166041,Invoice Date Key,2015-07-16 00:00:00.000
117570,Invoice Date Key,2014-11-10 00:00:00.000
36097,Invoice Date Key,2013-07-31 00:00:00.000
107986,Invoice Date Key,2014-09-19 00:00:00.000
47202,Invoice Date Key,2013-10-08 00:00:00.000
101779,Invoice Date Key,2014-08-12 00:00:00.000
199501,Invoice Date Key,2016-01-05 00:00:00.000
92957,Invoice Date Key,2014-06-26 00:00:00.000
147665,Invoice Date Key,2015-04-17 00:00:00.000
3175,Invoice Date Key,2013-01-19 00:00:00.000
205622,Invoice Date Key,2016-02-05 00:00:00.000
38843,Invoice Date Key,2013-08-17 00:00:00.000
165517,Invoice Date Key,2015-07-15 00:00:00.000
139602,Invoice Date Key,2015-03-10 00:00:00.000
83934,Invoice Date Key,2014-05-10 00:00:00.000
193626,Invoice Date Key,2015-12-04 00:00:00.000
109730,Invoice Date Key,2014-09-29 00:00:00.000
5181,Invoice Date Key,2013-01-31 00:00:00.000
125198,Invoice Date Key,2014-12-23 00:00:00.000
96242,Invoice Date Key,2014-07-14 00:00:00.000
64032,Invoice Date Key,2014-01-18 00:00:00.000
204301,Invoice Date Key,2016-01-28 00:00:00.000
217875,Invoice Date Key,2016-04-11 00:00:00.000
191973,Invoice Date Key,2015-11-24 00:00:00.000
80926,Invoice Date Key,2014-04-25 00:00:00.000
89209,Invoice Date Key,2014-06-07 00:00:00.000
15801,Invoice Date Key,2013-04-09 00:00:00.000
76169,Invoice Date Key,2014-03-29 00:00:00.000
172551,Invoice Date Key,2015-08-19 00:00:00.000
103073,Invoice Date Key,2014-08-20 00:00:00.000
82766,Invoice Date Key,2014-05-05 00:00:00.000
24812,Invoice Date Key,2013-05-30 00:00:00.000
225548,Invoice Date Key,2016-05-18 00:00:00.000
56192,Delivery Date Key,2013-12-03 00:00:00.000
227784,Delivery Date Key,2016-05-31 00:00:00.000
87978,Delivery Date Key,2014-06-03 00:00:00.000
16428,Delivery Date Key,2013-04-13 00:00:00.000
219559,Delivery Date Key,2016-04-20 00:00:00.000
6658,Delivery Date Key,2013-02-12 00:00:00.000
27492,Delivery Date Key,2013-06-15 00:00:00.000
73926,Delivery Date Key,2014-03-16 00:00:00.000
1005,Delivery Date Key,2013-01-08 00:00:00.000
50910,Delivery Date Key,2013-10-31 00:00:00.000
95305,Delivery Date Key,2014-07-10 00:00:00.000
167719,Delivery Date Key,2015-07-25 00:00:00.000
41573,Delivery Date Key,2013-09-05 00:00:00.000
14043,Delivery Date Key,2013-03-29 00:00:00.000
14405,Delivery Date Key,2013-04-02 00:00:00.000
135223,Delivery Date Key,2015-02-17 00:00:00.000
33043,Delivery Date Key,2013-07-14 00:00:00.000
178497,Delivery Date Key,2015-09-19 00:00:00.000
31366,Delivery Date Key,2013-07-05 00:00:00.000
11450,Delivery Date Key,2013-03-15 00:00:00.000
60471,Delivery Date Key,2013-12-31 00:00:00.000
37360,Delivery Date Key,2013-08-08 00:00:00.000
155288,Delivery Date Key,2015-05-27 00:00:00.000
3871,Delivery Date Key,2013-01-25 00:00:00.000
61336,Delivery Date Key,2014-01-03 00:00:00.000
57329,Delivery Date Key,2013-12-08 00:00:00.000
157954,Delivery Date Key,2015-06-09 00:00:00.000
63257,Delivery Date Key,2014-01-16 00:00:00.000
43209,Delivery Date Key,2013-09-15 00:00:00.000
161680,Delivery Date Key,2015-06-27 00:00:00.000
209632,Delivery Date Key,2016-03-01 00:00:00.000
5399,Delivery Date Key,2013-02-02 00:00:00.000
209334,Delivery Date Key,2016-02-27 00:00:00.000
177347,Delivery Date Key,2015-09-13 00:00:00.000
64581,Delivery Date Key,2014-01-23 00:00:00.000
132235,Delivery Date Key,2015-01-31 00:00:00.000
149976,Delivery Date Key,2015-04-30 00:00:00.000
83333,Delivery Date Key,2014-05-09 00:00:00.000
78971,Delivery Date Key,2014-04-16 00:00:00.000
26170,Delivery Date Key,2013-06-07 00:00:00.000
162063,Delivery Date Key,2015-06-30 00:00:00.000
54181,Delivery Date Key,2013-11-21 00:00:00.000
52444,Delivery Date Key,2013-11-10 00:00:00.000
116564,Delivery Date Key,2014-11-05 00:00:00.000
130622,Delivery Date Key,2015-01-23 00:00:00.000
50101,Delivery Date Key,2013-10-26 00:00:00.000
8408,Delivery Date Key,2013-02-26 00:00:00.000
71889,Delivery Date Key,2014-03-05 00:00:00.000
145986,Delivery Date Key,2015-04-11 00:00:00.000
202305,Delivery Date Key,2016-01-19 00:00:00.000
90949,Delivery Date Key,2014-06-17 00:00:00.000
210862,Delivery Date Key,2016-03-05 00:00:00.000
62079,Delivery Date Key,2014-01-08 00:00:00.000
191994,Delivery Date Key,2015-11-25 00:00:00.000
66367,Delivery Date Key,2014-02-01 00:00:00.000
130802,Delivery Date Key,2015-01-23 00:00:00.000
68882,Delivery Date Key,2014-02-15 00:00:00.000
158482,Delivery Date Key,2015-06-10 00:00:00.000
169629,Delivery Date Key,2015-08-04 00:00:00.000
80920,Delivery Date Key,2014-04-26 00:00:00.000
127141,Delivery Date Key,2015-01-02 00:00:00.000
211173,Delivery Date Key,2016-03-08 00:00:00.000
9675,Delivery Date Key,2013-03-06 00:00:00.000
29065,Delivery Date Key,2013-06-23 00:00:00.000
146157,Delivery Date Key,2015-04-12 00:00:00.000
5267,Delivery Date Key,2013-02-02 00:00:00.000
194110,Delivery Date Key,2015-12-08 00:00:00.000
166041,Delivery Date Key,2015-07-17 00:00:00.000
117570,Delivery Date Key,2014-11-11 00:00:00.000
36097,Delivery Date Key,2013-08-01 00:00:00.000
107986,Delivery Date Key,2014-09-20 00:00:00.000
47202,Delivery Date Key,2013-10-09 00:00:00.000
101779,Delivery Date Key,2014-08-13 00:00:00.000
199501,Delivery Date Key,2016-01-06 00:00:00.000
92957,Delivery Date Key,2014-06-27 00:00:00.000
147665,Delivery Date Key,2015-04-18 00:00:00.000
3175,Delivery Date Key,2013-01-20 00:00:00.000
205622,Delivery Date Key,2016-02-06 00:00:00.000
38843,Delivery Date Key,2013-08-18 00:00:00.000
165517,Delivery Date Key,2015-07-16 00:00:00.000
139602,Delivery Date Key,2015-03-11 00:00:00.000
83934,Delivery Date Key,2014-05-11 00:00:00.000
193626,Delivery Date Key,2015-12-05 00:00:00.000
109730,Delivery Date Key,2014-09-30 00:00:00.000
5181,Delivery Date Key,2013-02-01 00:00:00.000
125198,Delivery Date Key,2014-12-24 00:00:00.000
96242,Delivery Date Key,2014-07-15 00:00:00.000
64032,Delivery Date Key,2014-01-19 00:00:00.000
204301,Delivery Date Key,2016-01-29 00:00:00.000
217875,Delivery Date Key,2016-04-12 00:00:00.000
191973,Delivery Date Key,2015-11-25 00:00:00.000
80926,Delivery Date Key,2014-04-26 00:00:00.000
89209,Delivery Date Key,2014-06-08 00:00:00.000
15801,Delivery Date Key,2013-04-10 00:00:00.000
76169,Delivery Date Key,2014-03-30 00:00:00.000
172551,Delivery Date Key,2015-08-20 00:00:00.000
103073,Delivery Date Key,2014-08-21 00:00:00.000
82766,Delivery Date Key,2014-05-06 00:00:00.000
24812,Delivery Date Key,2013-05-31 00:00:00.000
225548,Delivery Date Key,2016-05-19 00:00:00.000
56192,Salesperson Key,86
227784,Salesperson Key,168
87978,Salesperson Key,90
16428,Salesperson Key,52
219559,Salesperson Key,152
6658,Salesperson Key,41
27492,Salesperson Key,49
73926,Salesperson Key,19
1005,Salesperson Key,7
50910,Salesperson Key,19
95305,Salesperson Key,102
167719,Salesperson Key,152
41573,Salesperson Key,81
14043,Salesperson Key,58
14405,Salesperson Key,51
135223,Salesperson Key,144
33043,Salesperson Key,49
178497,Salesperson Key,150
31366,Salesperson Key,65
11450,Salesperson Key,40
60471,Salesperson Key,39
37360,Salesperson Key,81
155288,Salesperson Key,19
3871,Salesperson Key,28
61336,Salesperson Key,93
57329,Salesperson Key,86
157954,Salesperson Key,127
63257,Salesperson Key,101
43209,Salesperson Key,74
161680,Salesperson Key,154
209632,Salesperson Key,150
5399,Salesperson Key,38
209334,Salesperson Key,158
177347,Salesperson Key,151
64581,Salesperson Key,81
132235,Salesperson Key,119
149976,Salesperson Key,119
83333,Salesperson Key,93
78971,Salesperson Key,102
26170,Salesperson Key,70
162063,Salesperson Key,151
54181,Salesperson Key,90
52444,Salesperson Key,89
116564,Salesperson Key,127
130622,Salesperson Key,138
50101,Salesperson Key,83
8408,Salesperson Key,47
71889,Salesperson Key,103
145986,Salesperson Key,119
202305,Salesperson Key,161
90949,Salesperson Key,90
210862,Salesperson Key,143
62079,Salesperson Key,19
191994,Salesperson Key,150
66367,Salesperson Key,94
130802,Salesperson Key,108
68882,Salesperson Key,102
158482,Salesperson Key,129
169629,Salesperson Key,154
80920,Salesperson Key,102
127141,Salesperson Key,116
211173,Salesperson Key,161
9675,Salesperson Key,47
29065,Salesperson Key,62
146157,Salesperson Key,129
5267,Salesperson Key,38
194110,Salesperson Key,19
166041,Salesperson Key,143
117570,Salesperson Key,19
36097,Salesperson Key,81
107986,Salesperson Key,116
47202,Salesperson Key,83
101779,Salesperson Key,108
199501,Salesperson Key,155
92957,Salesperson Key,86
147665,Salesperson Key,129
3175,Salesperson Key,19
205622,Salesperson Key,163
38843,Salesperson Key,77
165517,Salesperson Key,151
139602,Salesperson Key,143
83934,Salesperson Key,19
193626,Salesperson Key,143
109730,Salesperson Key,19
5181,Salesperson Key,38
125198,Salesperson Key,138
96242,Salesperson Key,105
64032,Salesperson Key,39
204301,Salesperson Key,161
217875,Salesperson Key,172
191973,Salesperson Key,19
80926,Salesperson Key,81
89209,Salesperson Key,102
15801,Salesperson Key,51
76169,Salesperson Key,86
172551,Salesperson Key,152
103073,Salesperson Key,93
82766,Salesperson Key,108
24812,Salesperson Key,70
225548,Salesperson Key,174
56192,WWI Invoice ID,17301
227784,WWI Invoice ID,70369
87978,WWI Invoice ID,27044
16428,WWI Invoice ID,5053
219559,WWI Invoice ID,67828
6658,WWI Invoice ID,2051
27492,WWI Invoice ID,8475
73926,WWI Invoice ID,22728
1005,WWI Invoice ID,389
50910,WWI Invoice ID,15692
95305,WWI Invoice ID,29316
167719,WWI Invoice ID,51699
41573,WWI Invoice ID,12843
14043,WWI Invoice ID,4305
14405,WWI Invoice ID,4426
135223,WWI Invoice ID,41647
33043,WWI Invoice ID,10186
178497,WWI Invoice ID,55046
31366,WWI Invoice ID,9664
11450,WWI Invoice ID,3515
60471,WWI Invoice ID,18618
37360,WWI Invoice ID,11522
155288,WWI Invoice ID,47850
3871,WWI Invoice ID,1240
61336,WWI Invoice ID,18883
57329,WWI Invoice ID,17651
157954,WWI Invoice ID,48664
63257,WWI Invoice ID,19475
43209,WWI Invoice ID,13347
161680,WWI Invoice ID,49821
209632,WWI Invoice ID,64732
5399,WWI Invoice ID,1686
209334,WWI Invoice ID,64641
177347,WWI Invoice ID,54681
64581,WWI Invoice ID,19870
132235,WWI Invoice ID,40724
149976,WWI Invoice ID,46193
83333,WWI Invoice ID,25617
78971,WWI Invoice ID,24272
26170,WWI Invoice ID,8052
162063,WWI Invoice ID,49933
54181,WWI Invoice ID,16682
52444,WWI Invoice ID,16157
116564,WWI Invoice ID,35889
130622,WWI Invoice ID,40230
50101,WWI Invoice ID,15437
8408,WWI Invoice ID,2590
71889,WWI Invoice ID,22129
145986,WWI Invoice ID,44966
202305,WWI Invoice ID,62405
90949,WWI Invoice ID,27962
210862,WWI Invoice ID,65118
62079,WWI Invoice ID,19110
191994,WWI Invoice ID,59191
66367,WWI Invoice ID,20418
130802,WWI Invoice ID,40285
68882,WWI Invoice ID,21203
158482,WWI Invoice ID,48822
169629,WWI Invoice ID,52286
80920,WWI Invoice ID,24888
127141,WWI Invoice ID,39144
211173,WWI Invoice ID,65215
9675,WWI Invoice ID,2975
29065,WWI Invoice ID,8944
146157,WWI Invoice ID,45017
5267,WWI Invoice ID,1646
194110,WWI Invoice ID,59860
166041,WWI Invoice ID,51165
117570,WWI Invoice ID,36204
36097,WWI Invoice ID,11140
107986,WWI Invoice ID,33252
47202,WWI Invoice ID,14564
101779,WWI Invoice ID,31321
199501,WWI Invoice ID,61535
92957,WWI Invoice ID,28590
147665,WWI Invoice ID,45477
3175,WWI Invoice ID,1030
205622,WWI Invoice ID,63453
38843,WWI Invoice ID,11994
165517,WWI Invoice ID,51011
139602,WWI Invoice ID,42995
83934,WWI Invoice ID,25797
193626,WWI Invoice ID,59714
109730,WWI Invoice ID,33793
5181,WWI Invoice ID,1620
125198,WWI Invoice ID,38547
96242,WWI Invoice ID,29602
64032,WWI Invoice ID,19704
204301,WWI Invoice ID,63037
217875,WWI Invoice ID,67297
191973,WWI Invoice ID,59184
80926,WWI Invoice ID,24890
89209,WWI Invoice ID,27424
15801,WWI Invoice ID,4858
76169,WWI Invoice ID,23415
172551,WWI Invoice ID,53188
103073,WWI Invoice ID,31729
82766,WWI Invoice ID,25442
24812,WWI Invoice ID,7638
225548,WWI Invoice ID,69674
56192,Description,RC toy sedan car with remote control (Blue) 1/50 scale
227784,Description,Void fill 100 L bag (White) 100L
87978,Description,32 mm Double sided bubble wrap 20m
16428,Description,Developer joke mug - inheritance is the OO way to become wealthy (White)
219559,Description,Ride on toy sedan car (Yellow) 1/12 scale
6658,Description,Void fill 200 L bag (White) 200L
27492,Description,Office cube periscope (Black)
73926,Description,Pack of 12 action figures (variety)
1005,Description,Furry animal socks (Pink) S
50910,Description,Express post box 5kg (White) 350x280x130mm
95305,Description,Small sized bubblewrap roll 10m
167719,Description,Shipping carton (Brown) 457x457x457mm
41573,Description,Clear packaging tape 48mmx100m
14043,Description,32 mm Double sided bubble wrap 10m
14405,Description,Air cushion film 200mmx200mm 325m
135223,Description,Ride on toy sedan car (Yellow) 1/12 scale
33043,Description,Ogre battery-powered slippers (Green) S
178497,Description,Shipping carton (Brown) 279x254x217mm
31366,Description,The Gu red shirt XML tag t-shirt (Black) XXS
11450,Description,Alien officer hoodie (Black) 5XL
60471,Description,Black and orange glass with care despatch tape 48mmx75m
37360,Description,Halloween skull mask (Gray) M
155288,Description,Developer joke mug - understanding recursion requires understanding recursion (Black)
3871,Description,RC toy sedan car with remote control (Red) 1/50 scale
61336,Description,USB food flash drive - dessert 10 drive variety pack
57329,Description,The Gu red shirt XML tag t-shirt (Black) 3XL
157954,Description,Ride on big wheel monster truck (Black) 1/12 scale
63257,Description,The Gu red shirt XML tag t-shirt (White) 3XL
43209,Description,IT joke mug - that behavior is by design (White)
161680,Description,DBA joke mug - it depends (White)
