Date,Age,Day of Week,Day of Year,Day Name,Start of Week,DayOfWeek,Weekend,MonthName,ShortMonth
2016-09-02 00:00:00.000,3,4,246,"Friday",2016-08-29 00:00:00.000,5,"Weekday","September","SEP"
2016-09-03 00:00:00.000,3,5,247,"Saturday",2016-08-29 00:00:00.000,6,"Weekend","September","SEP"
2016-09-04 00:00:00.000,3,6,248,"Sunday",2016-08-29 00:00:00.000,7,"Weekend","September","SEP"
2016-09-01 00:00:00.000,3,3,245,"Thursday",2016-08-29 00:00:00.000,4,"Weekday","September","SEP"
2016-08-27 00:00:00.000,3,5,240,"Saturday",2016-08-22 00:00:00.000,6,"Weekend","August","AUG"
2016-08-26 00:00:00.000,3,4,239,"Friday",2016-08-22 00:00:00.000,5,"Weekday","August","AUG"
2016-08-25 00:00:00.000,3,3,238,"Thursday",2016-08-22 00:00:00.000,4,"Weekday","August","AUG"
2016-08-24 00:00:00.000,3,2,237,"Wednesday",2016-08-22 00:00:00.000,3,"Weekday","August","AUG"
2016-08-23 00:00:00.000,3,1,236,"Tuesday",2016-08-22 00:00:00.000,2,"Weekday","August","AUG"
2016-08-22 00:00:00.000,3,0,235,"Monday",2016-08-22 00:00:00.000,1,"Weekday","August","AUG"
2016-08-28 00:00:00.000,3,6,241,"Sunday",2016-08-22 00:00:00.000,7,"Weekend","August","AUG"
2016-08-16 00:00:00.000,3,1,229,"Tuesday",2016-08-15 00:00:00.000,2,"Weekday","August","AUG"
2016-08-15 00:00:00.000,3,0,228,"Monday",2016-08-15 00:00:00.000,1,"Weekday","August","AUG"
2016-08-17 00:00:00.000,3,2,230,"Wednesday",2016-08-15 00:00:00.000,3,"Weekday","August","AUG"
2016-08-19 00:00:00.000,3,4,232,"Friday",2016-08-15 00:00:00.000,5,"Weekday","August","AUG"
2016-08-21 00:00:00.000,3,6,234,"Sunday",2016-08-15 00:00:00.000,7,"Weekend","August","AUG"
2016-08-18 00:00:00.000,3,3,231,"Thursday",2016-08-15 00:00:00.000,4,"Weekday","August","AUG"
2016-08-20 00:00:00.000,3,5,233,"Saturday",2016-08-15 00:00:00.000,6,"Weekend","August","AUG"
2016-08-14 00:00:00.000,3,6,227,"Sunday",2016-08-08 00:00:00.000,7,"Weekend","August","AUG"
2016-08-13 00:00:00.000,3,5,226,"Saturday",2016-08-08 00:00:00.000,6,"Weekend","August","AUG"
2016-08-12 00:00:00.000,3,4,225,"Friday",2016-08-08 00:00:00.000,5,"Weekday","August","AUG"
2016-08-11 00:00:00.000,3,3,224,"Thursday",2016-08-08 00:00:00.000,4,"Weekday","August","AUG"
2016-08-10 00:00:00.000,3,2,223,"Wednesday",2016-08-08 00:00:00.000,3,"Weekday","August","AUG"
2016-08-09 00:00:00.000,3,1,222,"Tuesday",2016-08-08 00:00:00.000,2,"Weekday","August","AUG"
2016-08-08 00:00:00.000,3,0,221,"Monday",2016-08-08 00:00:00.000,1,"Weekday","August","AUG"
2016-08-01 00:00:00.000,3,0,214,"Monday",2016-08-01 00:00:00.000,1,"Weekday","August","AUG"
2016-08-02 00:00:00.000,3,1,215,"Tuesday",2016-08-01 00:00:00.000,2,"Weekday","August","AUG"
2016-08-03 00:00:00.000,3,2,216,"Wednesday",2016-08-01 00:00:00.000,3,"Weekday","August","AUG"
2016-08-05 00:00:00.000,3,4,218,"Friday",2016-08-01 00:00:00.000,5,"Weekday","August","AUG"
2016-08-06 00:00:00.000,3,5,219,"Saturday",2016-08-01 00:00:00.000,6,"Weekend","August","AUG"
2016-08-07 00:00:00.000,3,6,220,"Sunday",2016-08-01 00:00:00.000,7,"Weekend","August","AUG"
2016-08-04 00:00:00.000,3,3,217,"Thursday",2016-08-01 00:00:00.000,4,"Weekday","August","AUG"
2016-07-31 00:00:00.000,3,6,213,"Sunday",2016-07-25 00:00:00.000,7,"Weekend","July","JUL"
2016-07-30 00:00:00.000,3,5,212,"Saturday",2016-07-25 00:00:00.000,6,"Weekend","July","JUL"
2016-07-29 00:00:00.000,3,4,211,"Friday",2016-07-25 00:00:00.000,5,"Weekday","July","JUL"
2016-07-28 00:00:00.000,3,3,210,"Thursday",2016-07-25 00:00:00.000,4,"Weekday","July","JUL"
2016-07-27 00:00:00.000,3,2,209,"Wednesday",2016-07-25 00:00:00.000,3,"Weekday","July","JUL"
2016-07-26 00:00:00.000,3,1,208,"Tuesday",2016-07-25 00:00:00.000,2,"Weekday","July","JUL"
2016-07-25 00:00:00.000,3,0,207,"Monday",2016-07-25 00:00:00.000,1,"Weekday","July","JUL"
2016-07-18 00:00:00.000,3,0,200,"Monday",2016-07-18 00:00:00.000,1,"Weekday","July","JUL"
2016-07-19 00:00:00.000,3,1,201,"Tuesday",2016-07-18 00:00:00.000,2,"Weekday","July","JUL"
2016-07-20 00:00:00.000,3,2,202,"Wednesday",2016-07-18 00:00:00.000,3,"Weekday","July","JUL"
2016-07-22 00:00:00.000,3,4,204,"Friday",2016-07-18 00:00:00.000,5,"Weekday","July","JUL"
2016-07-21 00:00:00.000,3,3,203,"Thursday",2016-07-18 00:00:00.000,4,"Weekday","July","JUL"
2016-07-24 00:00:00.000,3,6,206,"Sunday",2016-07-18 00:00:00.000,7,"Weekend","July","JUL"
2016-07-23 00:00:00.000,3,5,205,"Saturday",2016-07-18 00:00:00.000,6,"Weekend","July","JUL"
2016-07-11 00:00:00.000,3,0,193,"Monday",2016-07-11 00:00:00.000,1,"Weekday","July","JUL"
2016-07-12 00:00:00.000,3,1,194,"Tuesday",2016-07-11 00:00:00.000,2,"Weekday","July","JUL"
2016-07-13 00:00:00.000,3,2,195,"Wednesday",2016-07-11 00:00:00.000,3,"Weekday","July","JUL"
2016-07-17 00:00:00.000,3,6,199,"Sunday",2016-07-11 00:00:00.000,7,"Weekend","July","JUL"
2016-07-15 00:00:00.000,3,4,197,"Friday",2016-07-11 00:00:00.000,5,"Weekday","July","JUL"
2016-07-16 00:00:00.000,3,5,198,"Saturday",2016-07-11 00:00:00.000,6,"Weekend","July","JUL"
2016-07-14 00:00:00.000,3,3,196,"Thursday",2016-07-11 00:00:00.000,4,"Weekday","July","JUL"
2016-07-10 00:00:00.000,3,6,192,"Sunday",2016-07-04 00:00:00.000,7,"Weekend","July","JUL"
2016-07-09 00:00:00.000,3,5,191,"Saturday",2016-07-04 00:00:00.000,6,"Weekend","July","JUL"
2016-07-08 00:00:00.000,3,4,190,"Friday",2016-07-04 00:00:00.000,5,"Weekday","July","JUL"
2016-07-07 00:00:00.000,3,3,189,"Thursday",2016-07-04 00:00:00.000,4,"Weekday","July","JUL"
2016-07-06 00:00:00.000,3,2,188,"Wednesday",2016-07-04 00:00:00.000,3,"Weekday","July","JUL"
2016-07-05 00:00:00.000,3,1,187,"Tuesday",2016-07-04 00:00:00.000,2,"Weekday","July","JUL"
2016-07-04 00:00:00.000,3,0,186,"Monday",2016-07-04 00:00:00.000,1,"Weekday","July","JUL"
2016-06-27 00:00:00.000,3,0,179,"Monday",2016-06-27 00:00:00.000,1,"Weekday","June","JUN"
2016-06-28 00:00:00.000,3,1,180,"Tuesday",2016-06-27 00:00:00.000,2,"Weekday","June","JUN"
2016-06-29 00:00:00.000,3,2,181,"Wednesday",2016-06-27 00:00:00.000,3,"Weekday","June","JUN"
2016-07-03 00:00:00.000,3,6,185,"Sunday",2016-06-27 00:00:00.000,7,"Weekend","July","JUL"
2016-07-01 00:00:00.000,3,4,183,"Friday",2016-06-27 00:00:00.000,5,"Weekday","July","JUL"
2016-07-02 00:00:00.000,3,5,184,"Saturday",2016-06-27 00:00:00.000,6,"Weekend","July","JUL"
2016-06-30 00:00:00.000,3,3,182,"Thursday",2016-06-27 00:00:00.000,4,"Weekday","June","JUN"
2016-06-20 00:00:00.000,3,0,172,"Monday",2016-06-20 00:00:00.000,1,"Weekday","June","JUN"
2016-06-21 00:00:00.000,3,1,173,"Tuesday",2016-06-20 00:00:00.000,2,"Weekday","June","JUN"
2016-06-22 00:00:00.000,3,2,174,"Wednesday",2016-06-20 00:00:00.000,3,"Weekday","June","JUN"
2016-06-24 00:00:00.000,3,4,176,"Friday",2016-06-20 00:00:00.000,5,"Weekday","June","JUN"
2016-06-25 00:00:00.000,3,5,177,"Saturday",2016-06-20 00:00:00.000,6,"Weekend","June","JUN"
2016-06-26 00:00:00.000,3,6,178,"Sunday",2016-06-20 00:00:00.000,7,"Weekend","June","JUN"
2016-06-23 00:00:00.000,3,3,175,"Thursday",2016-06-20 00:00:00.000,4,"Weekday","June","JUN"
2016-06-19 00:00:00.000,3,6,171,"Sunday",2016-06-13 00:00:00.000,7,"Weekend","June","JUN"
2016-06-18 00:00:00.000,3,5,170,"Saturday",2016-06-13 00:00:00.000,6,"Weekend","June","JUN"
2016-06-17 00:00:00.000,3,4,169,"Friday",2016-06-13 00:00:00.000,5,"Weekday","June","JUN"
2016-06-16 00:00:00.000,3,3,168,"Thursday",2016-06-13 00:00:00.000,4,"Weekday","June","JUN"
2016-06-15 00:00:00.000,3,2,167,"Wednesday",2016-06-13 00:00:00.000,3,"Weekday","June","JUN"
2016-06-14 00:00:00.000,3,1,166,"Tuesday",2016-06-13 00:00:00.000,2,"Weekday","June","JUN"
2016-06-13 00:00:00.000,3,0,165,"Monday",2016-06-13 00:00:00.000,1,"Weekday","June","JUN"
2016-06-06 00:00:00.000,3,0,158,"Monday",2016-06-06 00:00:00.000,1,"Weekday","June","JUN"
2016-06-07 00:00:00.000,3,1,159,"Tuesday",2016-06-06 00:00:00.000,2,"Weekday","June","JUN"
2016-06-08 00:00:00.000,3,2,160,"Wednesday",2016-06-06 00:00:00.000,3,"Weekday","June","JUN"
2016-06-09 00:00:00.000,3,3,161,"Thursday",2016-06-06 00:00:00.000,4,"Weekday","June","JUN"
2016-06-11 00:00:00.000,3,5,163,"Saturday",2016-06-06 00:00:00.000,6,"Weekend","June","JUN"
2016-06-12 00:00:00.000,3,6,164,"Sunday",2016-06-06 00:00:00.000,7,"Weekend","June","JUN"
2016-06-10 00:00:00.000,3,4,162,"Friday",2016-06-06 00:00:00.000,5,"Weekday","June","JUN"
2016-06-05 00:00:00.000,3,6,157,"Sunday",2016-05-30 00:00:00.000,7,"Weekend","June","JUN"
2016-06-04 00:00:00.000,3,5,156,"Saturday",2016-05-30 00:00:00.000,6,"Weekend","June","JUN"
2016-06-03 00:00:00.000,3,4,155,"Friday",2016-05-30 00:00:00.000,5,"Weekday","June","JUN"
2016-06-02 00:00:00.000,3,3,154,"Thursday",2016-05-30 00:00:00.000,4,"Weekday","June","JUN"
2016-06-01 00:00:00.000,3,2,153,"Wednesday",2016-05-30 00:00:00.000,3,"Weekday","June","JUN"
2016-05-31 00:00:00.000,3,1,152,"Tuesday",2016-05-30 00:00:00.000,2,"Weekday","May","MAY"
2016-05-30 00:00:00.000,3,0,151,"Monday",2016-05-30 00:00:00.000,1,"Weekday","May","MAY"
2016-05-23 00:00:00.000,3,0,144,"Monday",2016-05-23 00:00:00.000,1,"Weekday","May","MAY"
2016-05-25 00:00:00.000,3,2,146,"Wednesday",2016-05-23 00:00:00.000,3,"Weekday","May","MAY"
2016-05-24 00:00:00.000,3,1,145,"Tuesday",2016-05-23 00:00:00.000,2,"Weekday","May","MAY"
2016-05-28 00:00:00.000,3,5,149,"Saturday",2016-05-23 00:00:00.000,6,"Weekend","May","MAY"
2016-05-27 00:00:00.000,3,4,148,"Friday",2016-05-23 00:00:00.000,5,"Weekday","May","MAY"
2016-05-26 00:00:00.000,3,3,147,"Thursday",2016-05-23 00:00:00.000,4,"Weekday","May","MAY"
2016-05-29 00:00:00.000,3,6,150,"Sunday",2016-05-23 00:00:00.000,7,"Weekend","May","MAY"
2016-05-22 00:00:00.000,3,6,143,"Sunday",2016-05-16 00:00:00.000,7,"Weekend","May","MAY"
2016-05-21 00:00:00.000,3,5,142,"Saturday",2016-05-16 00:00:00.000,6,"Weekend","May","MAY"
2016-05-20 00:00:00.000,3,4,141,"Friday",2016-05-16 00:00:00.000,5,"Weekday","May","MAY"
2016-05-19 00:00:00.000,3,3,140,"Thursday",2016-05-16 00:00:00.000,4,"Weekday","May","MAY"
2016-05-18 00:00:00.000,3,2,139,"Wednesday",2016-05-16 00:00:00.000,3,"Weekday","May","MAY"
2016-05-17 00:00:00.000,3,1,138,"Tuesday",2016-05-16 00:00:00.000,2,"Weekday","May","MAY"
2016-05-16 00:00:00.000,3,0,137,"Monday",2016-05-16 00:00:00.000,1,"Weekday","May","MAY"
2016-05-09 00:00:00.000,3,0,130,"Monday",2016-05-09 00:00:00.000,1,"Weekday","May","MAY"
2016-05-10 00:00:00.000,3,1,131,"Tuesday",2016-05-09 00:00:00.000,2,"Weekday","May","MAY"
2016-05-11 00:00:00.000,3,2,132,"Wednesday",2016-05-09 00:00:00.000,3,"Weekday","May","MAY"
2016-05-13 00:00:00.000,3,4,134,"Friday",2016-05-09 00:00:00.000,5,"Weekday","May","MAY"
2016-05-14 00:00:00.000,3,5,135,"Saturday",2016-05-09 00:00:00.000,6,"Weekend","May","MAY"
2016-05-15 00:00:00.000,3,6,136,"Sunday",2016-05-09 00:00:00.000,7,"Weekend","May","MAY"
2016-05-12 00:00:00.000,3,3,133,"Thursday",2016-05-09 00:00:00.000,4,"Weekday","May","MAY"
2016-05-08 00:00:00.000,3,6,129,"Sunday",2016-05-02 00:00:00.000,7,"Weekend","May","MAY"
2016-05-07 00:00:00.000,3,5,128,"Saturday",2016-05-02 00:00:00.000,6,"Weekend","May","MAY"
2016-05-06 00:00:00.000,3,4,127,"Friday",2016-05-02 00:00:00.000,5,"Weekday","May","MAY"
2016-05-05 00:00:00.000,3,3,126,"Thursday",2016-05-02 00:00:00.000,4,"Weekday","May","MAY"
2016-05-04 00:00:00.000,3,2,125,"Wednesday",2016-05-02 00:00:00.000,3,"Weekday","May","MAY"
2016-05-03 00:00:00.000,3,1,124,"Tuesday",2016-05-02 00:00:00.000,2,"Weekday","May","MAY"
2016-05-02 00:00:00.000,3,0,123,"Monday",2016-05-02 00:00:00.000,1,"Weekday","May","MAY"
2016-04-25 00:00:00.000,3,0,116,"Monday",2016-04-25 00:00:00.000,1,"Weekday","April","APR"
2016-04-27 00:00:00.000,3,2,118,"Wednesday",2016-04-25 00:00:00.000,3,"Weekday","April","APR"
2016-04-26 00:00:00.000,3,1,117,"Tuesday",2016-04-25 00:00:00.000,2,"Weekday","April","APR"
2016-04-29 00:00:00.000,3,4,120,"Friday",2016-04-25 00:00:00.000,5,"Weekday","April","APR"
2016-05-01 00:00:00.000,3,6,122,"Sunday",2016-04-25 00:00:00.000,7,"Weekend","May","MAY"
2016-04-28 00:00:00.000,3,3,119,"Thursday",2016-04-25 00:00:00.000,4,"Weekday","April","APR"
2016-04-30 00:00:00.000,3,5,121,"Saturday",2016-04-25 00:00:00.000,6,"Weekend","April","APR"
2016-04-24 00:00:00.000,3,6,115,"Sunday",2016-04-18 00:00:00.000,7,"Weekend","April","APR"
2016-04-23 00:00:00.000,3,5,114,"Saturday",2016-04-18 00:00:00.000,6,"Weekend","April","APR"
2016-04-22 00:00:00.000,3,4,113,"Friday",2016-04-18 00:00:00.000,5,"Weekday","April","APR"
2016-04-21 00:00:00.000,3,3,112,"Thursday",2016-04-18 00:00:00.000,4,"Weekday","April","APR"
2016-04-20 00:00:00.000,3,2,111,"Wednesday",2016-04-18 00:00:00.000,3,"Weekday","April","APR"
2016-04-19 00:00:00.000,3,1,110,"Tuesday",2016-04-18 00:00:00.000,2,"Weekday","April","APR"
2016-04-18 00:00:00.000,3,0,109,"Monday",2016-04-18 00:00:00.000,1,"Weekday","April","APR"
2016-04-11 00:00:00.000,3,0,102,"Monday",2016-04-11 00:00:00.000,1,"Weekday","April","APR"
2016-04-13 00:00:00.000,3,2,104,"Wednesday",2016-04-11 00:00:00.000,3,"Weekday","April","APR"
2016-04-12 00:00:00.000,3,1,103,"Tuesday",2016-04-11 00:00:00.000,2,"Weekday","April","APR"
2016-04-15 00:00:00.000,3,4,106,"Friday",2016-04-11 00:00:00.000,5,"Weekday","April","APR"
2016-04-16 00:00:00.000,3,5,107,"Saturday",2016-04-11 00:00:00.000,6,"Weekend","April","APR"
2016-04-17 00:00:00.000,3,6,108,"Sunday",2016-04-11 00:00:00.000,7,"Weekend","April","APR"
2016-04-14 00:00:00.000,3,3,105,"Thursday",2016-04-11 00:00:00.000,4,"Weekday","April","APR"
2016-04-10 00:00:00.000,3,6,101,"Sunday",2016-04-04 00:00:00.000,7,"Weekend","April","APR"
2016-04-09 00:00:00.000,3,5,100,"Saturday",2016-04-04 00:00:00.000,6,"Weekend","April","APR"
2016-04-08 00:00:00.000,3,4,99,"Friday",2016-04-04 00:00:00.000,5,"Weekday","April","APR"
2016-04-07 00:00:00.000,3,3,98,"Thursday",2016-04-04 00:00:00.000,4,"Weekday","April","APR"
2016-04-06 00:00:00.000,3,2,97,"Wednesday",2016-04-04 00:00:00.000,3,"Weekday","April","APR"
2016-04-05 00:00:00.000,3,1,96,"Tuesday",2016-04-04 00:00:00.000,2,"Weekday","April","APR"
2016-04-04 00:00:00.000,3,0,95,"Monday",2016-04-04 00:00:00.000,1,"Weekday","April","APR"
2016-04-03 00:00:00.000,3,6,94,"Sunday",2016-03-28 00:00:00.000,7,"Weekend","April","APR"
2016-04-02 00:00:00.000,3,5,93,"Saturday",2016-03-28 00:00:00.000,6,"Weekend","April","APR"
2016-04-01 00:00:00.000,3,4,92,"Friday",2016-03-28 00:00:00.000,5,"Weekday","April","APR"
2016-03-31 00:00:00.000,3,3,91,"Thursday",2016-03-28 00:00:00.000,4,"Weekday","March","MAR"
2016-03-29 00:00:00.000,3,1,89,"Tuesday",2016-03-28 00:00:00.000,2,"Weekday","March","MAR"
2016-03-28 00:00:00.000,3,0,88,"Monday",2016-03-28 00:00:00.000,1,"Weekday","March","MAR"
2016-03-30 00:00:00.000,3,2,90,"Wednesday",2016-03-28 00:00:00.000,3,"Weekday","March","MAR"
2016-03-27 00:00:00.000,3,6,87,"Sunday",2016-03-21 00:00:00.000,7,"Weekend","March","MAR"
2016-03-26 00:00:00.000,3,5,86,"Saturday",2016-03-21 00:00:00.000,6,"Weekend","March","MAR"
2016-03-25 00:00:00.000,3,4,85,"Friday",2016-03-21 00:00:00.000,5,"Weekday","March","MAR"
2016-03-24 00:00:00.000,3,3,84,"Thursday",2016-03-21 00:00:00.000,4,"Weekday","March","MAR"
2016-03-23 00:00:00.000,3,2,83,"Wednesday",2016-03-21 00:00:00.000,3,"Weekday","March","MAR"
2016-03-22 00:00:00.000,3,1,82,"Tuesday",2016-03-21 00:00:00.000,2,"Weekday","March","MAR"
2016-03-21 00:00:00.000,3,0,81,"Monday",2016-03-21 00:00:00.000,1,"Weekday","March","MAR"
2016-03-14 00:00:00.000,3,0,74,"Monday",2016-03-14 00:00:00.000,1,"Weekday","March","MAR"
2016-03-15 00:00:00.000,3,1,75,"Tuesday",2016-03-14 00:00:00.000,2,"Weekday","March","MAR"
2016-03-16 00:00:00.000,3,2,76,"Wednesday",2016-03-14 00:00:00.000,3,"Weekday","March","MAR"
2016-03-20 00:00:00.000,3,6,80,"Sunday",2016-03-14 00:00:00.000,7,"Weekend","March","MAR"
2016-03-18 00:00:00.000,3,4,78,"Friday",2016-03-14 00:00:00.000,5,"Weekday","March","MAR"
2016-03-19 00:00:00.000,3,5,79,"Saturday",2016-03-14 00:00:00.000,6,"Weekend","March","MAR"
2016-03-17 00:00:00.000,3,3,77,"Thursday",2016-03-14 00:00:00.000,4,"Weekday","March","MAR"
2016-03-08 00:00:00.000,3,1,68,"Tuesday",2016-03-07 00:00:00.000,2,"Weekday","March","MAR"
2016-03-07 00:00:00.000,3,0,67,"Monday",2016-03-07 00:00:00.000,1,"Weekday","March","MAR"
2016-03-09 00:00:00.000,3,2,69,"Wednesday",2016-03-07 00:00:00.000,3,"Weekday","March","MAR"
2016-03-13 00:00:00.000,3,6,73,"Sunday",2016-03-07 00:00:00.000,7,"Weekend","March","MAR"
2016-03-11 00:00:00.000,3,4,71,"Friday",2016-03-07 00:00:00.000,5,"Weekday","March","MAR"
2016-03-12 00:00:00.000,3,5,72,"Saturday",2016-03-07 00:00:00.000,6,"Weekend","March","MAR"
2016-03-10 00:00:00.000,3,3,70,"Thursday",2016-03-07 00:00:00.000,4,"Weekday","March","MAR"
2016-03-06 00:00:00.000,3,6,66,"Sunday",2016-02-29 00:00:00.000,7,"Weekend","March","MAR"
2016-03-05 00:00:00.000,3,5,65,"Saturday",2016-02-29 00:00:00.000,6,"Weekend","March","MAR"
2016-03-04 00:00:00.000,3,4,64,"Friday",2016-02-29 00:00:00.000,5,"Weekday","March","MAR"
2016-03-03 00:00:00.000,3,3,63,"Thursday",2016-02-29 00:00:00.000,4,"Weekday","March","MAR"
2016-03-02 00:00:00.000,3,2,62,"Wednesday",2016-02-29 00:00:00.000,3,"Weekday","March","MAR"
2016-03-01 00:00:00.000,3,1,61,"Tuesday",2016-02-29 00:00:00.000,2,"Weekday","March","MAR"
2016-02-29 00:00:00.000,3,0,60,"Monday",2016-02-29 00:00:00.000,1,"Weekday","February","FEB"
2016-02-23 00:00:00.000,3,1,54,"Tuesday",2016-02-22 00:00:00.000,2,"Weekday","February","FEB"
2016-02-22 00:00:00.000,3,0,53,"Monday",2016-02-22 00:00:00.000,1,"Weekday","February","FEB"
2016-02-24 00:00:00.000,3,2,55,"Wednesday",2016-02-22 00:00:00.000,3,"Weekday","February","FEB"
2016-02-28 00:00:00.000,3,6,59,"Sunday",2016-02-22 00:00:00.000,7,"Weekend","February","FEB"
2016-02-26 00:00:00.000,3,4,57,"Friday",2016-02-22 00:00:00.000,5,"Weekday","February","FEB"
2016-02-27 00:00:00.000,3,5,58,"Saturday",2016-02-22 00:00:00.000,6,"Weekend","February","FEB"
2016-02-25 00:00:00.000,3,3,56,"Thursday",2016-02-22 00:00:00.000,4,"Weekday","February","FEB"
2016-02-21 00:00:00.000,3,6,52,"Sunday",2016-02-15 00:00:00.000,7,"Weekend","February","FEB"
2016-02-20 00:00:00.000,3,5,51,"Saturday",2016-02-15 00:00:00.000,6,"Weekend","February","FEB"
2016-02-19 00:00:00.000,3,4,50,"Friday",2016-02-15 00:00:00.000,5,"Weekday","February","FEB"
2016-02-18 00:00:00.000,3,3,49,"Thursday",2016-02-15 00:00:00.000,4,"Weekday","February","FEB"
2016-02-17 00:00:00.000,3,2,48,"Wednesday",2016-02-15 00:00:00.000,3,"Weekday","February","FEB"
2016-02-16 00:00:00.000,3,1,47,"Tuesday",2016-02-15 00:00:00.000,2,"Weekday","February","FEB"
2016-02-15 00:00:00.000,3,0,46,"Monday",2016-02-15 00:00:00.000,1,"Weekday","February","FEB"
2016-02-08 00:00:00.000,3,0,39,"Monday",2016-02-08 00:00:00.000,1,"Weekday","February","FEB"
2016-02-09 00:00:00.000,3,1,40,"Tuesday",2016-02-08 00:00:00.000,2,"Weekday","February","FEB"
2016-02-10 00:00:00.000,3,2,41,"Wednesday",2016-02-08 00:00:00.000,3,"Weekday","February","FEB"
2016-02-12 00:00:00.000,3,4,43,"Friday",2016-02-08 00:00:00.000,5,"Weekday","February","FEB"
2016-02-13 00:00:00.000,3,5,44,"Saturday",2016-02-08 00:00:00.000,6,"Weekend","February","FEB"
2016-02-14 00:00:00.000,3,6,45,"Sunday",2016-02-08 00:00:00.000,7,"Weekend","February","FEB"
2016-02-11 00:00:00.000,3,3,42,"Thursday",2016-02-08 00:00:00.000,4,"Weekday","February","FEB"
2016-02-07 00:00:00.000,3,6,38,"Sunday",2016-02-01 00:00:00.000,7,"Weekend","February","FEB"
2016-02-06 00:00:00.000,3,5,37,"Saturday",2016-02-01 00:00:00.000,6,"Weekend","February","FEB"
2016-02-05 00:00:00.000,3,4,36,"Friday",2016-02-01 00:00:00.000,5,"Weekday","February","FEB"
2016-02-04 00:00:00.000,3,3,35,"Thursday",2016-02-01 00:00:00.000,4,"Weekday","February","FEB"
2016-02-03 00:00:00.000,3,2,34,"Wednesday",2016-02-01 00:00:00.000,3,"Weekday","February","FEB"
2016-02-02 00:00:00.000,3,1,33,"Tuesday",2016-02-01 00:00:00.000,2,"Weekday","February","FEB"
2016-02-01 00:00:00.000,3,0,32,"Monday",2016-02-01 00:00:00.000,1,"Weekday","February","FEB"
2016-01-26 00:00:00.000,3,1,26,"Tuesday",2016-01-25 00:00:00.000,2,"Weekday","January","JAN"
2016-01-25 00:00:00.000,3,0,25,"Monday",2016-01-25 00:00:00.000,1,"Weekday","January","JAN"
2016-01-27 00:00:00.000,3,2,27,"Wednesday",2016-01-25 00:00:00.000,3,"Weekday","January","JAN"
2016-01-31 00:00:00.000,3,6,31,"Sunday",2016-01-25 00:00:00.000,7,"Weekend","January","JAN"
2016-01-29 00:00:00.000,3,4,29,"Friday",2016-01-25 00:00:00.000,5,"Weekday","January","JAN"
