Credit Scoring,KeyPI100,nadb_measuredate_pjrisk,_nadb_creditriskratingadministration_value,MethodologySum,Prob Of Default,Date,_nadb_internalcreditriskrating_value,Value for Scale,EX-Probabilitylist,EX-CreditScorelist,EXMeth,EX-CreditScorelist - Copy
,"",,"",,,"","",,0.98175760731519879,27,"Clean Energy (Solar and Wind)","27"
,"",,"",,,"","",,0.97838063800882313,28,"Clean Energy (Solar and Wind)","28"
,"",,"",,,"","",,0.97439483975647079,29,"Clean Energy (Solar and Wind)","29"
,"",,"",,,"","",,0.96969696969696972,30,"Clean Energy (Solar and Wind)","30"
,"",,"",,,"","",,0.96416886035023242,31,"Clean Energy (Solar and Wind)","31"
,"",,"",,,"","",,0.95767628767520652,32,"Clean Energy (Solar and Wind)","32"
,"",,"",,,"","",,0.95006819147156163,33,"Clean Energy (Solar and Wind)","33"
,"",,"",,,"","",,0.94117647058823528,34,"Clean Energy (Solar and Wind)","34"
,"",,"",,,"","",,0.93081663935710091,35,"Clean Energy (Solar and Wind)","35"
,"",,"",,,"","",,0.91878969685838763,36,"Clean Energy (Solar and Wind)","36"
,"",,"",,,"","",,0.90488561614602037,37,"Clean Energy (Solar and Wind)","37"
,"",,"",,,"","",,0.88888888888888884,38,"Clean Energy (Solar and Wind)","38"
,"",,"",,,"","",,0.8705865369971727,39,"Clean Energy (Solar and Wind)","39"
,"",,"",,,"","",,0.84977889517766514,40,"Clean Energy (Solar and Wind)","40"
,"",,"",,,"","",,0.82629324341581833,41,"Clean Energy (Solar and Wind)","41"
,"",,"",,,"","",,0.8,42,"Clean Energy (Solar and Wind)","42"
,"",,"",,,"","",,0.77083067053451038,43,"Clean Energy (Solar and Wind)","43"
,"",,"",,,"","",,0.73879612503625858,44,"Clean Energy (Solar and Wind)","44"
,"",,"",,,"","",,0.70400314114282281,45,"Clean Energy (Solar and Wind)","45"
,"",,"",,,"","",,0.66666666666666663,46,"Clean Energy (Solar and Wind)","46"
,"",,"",,,"","",,0.627115119175411,47,"Clean Energy (Solar and Wind)","47"
,"",,"",,,"","",,0.585786437626905,48,"Clean Energy (Solar and Wind)","48"
,"",,"",,,"","",,0.54321361686294489,49,"Clean Energy (Solar and Wind)","49"
,"",,"",,,"","",,0.5,50,"Clean Energy (Solar and Wind)","50"
,"",,"",,,"","",,0.45678638313705516,51,"Clean Energy (Solar and Wind)","51"
,"",,"",,,"","",,0.41421356237309509,52,"Clean Energy (Solar and Wind)","52"
,"",,"",,,"","",,0.37288488082458909,53,"Clean Energy (Solar and Wind)","53"
,"",,"",,,"","",,0.33333333333333331,54,"Clean Energy (Solar and Wind)","54"
,"",,"",,,"","",,0.29599685885717725,55,"Clean Energy (Solar and Wind)","55"
,"",,"",,,"","",,0.26120387496374148,56,"Clean Energy (Solar and Wind)","56"
,"",,"",,,"","",,0.22916932946548957,57,"Clean Energy (Solar and Wind)","57"
,"",,"",,,"","",,0.2,58,"Clean Energy (Solar and Wind)","58"
,"",,"",,,"","",,0.17370675658418167,59,"Clean Energy (Solar and Wind)","59"
,"",,"",,,"","",,0.15022110482233483,60,"Clean Energy (Solar and Wind)","60"
,"",,"",,,"","",,0.12941346300282719,61,"Clean Energy (Solar and Wind)","61"
,"",,"",,,"","",,0.11111111111111113,62,"Clean Energy (Solar and Wind)","62"
,"",,"",,,"","",,0.095114383853979675,63,"Clean Energy (Solar and Wind)","63"
,"",,"",,,"","",,0.081210303141612289,64,"Clean Energy (Solar and Wind)","64"
,"",,"",,,"","",,0.069183360642899136,65,"Clean Energy (Solar and Wind)","65"
,"",,"",,,"","",,0.058823529411764705,66,"Clean Energy (Solar and Wind)","66"
,"",,"",,,"","",,0.049931808528438489,67,"Clean Energy (Solar and Wind)","67"
,"",,"",,,"","",,0.042323712324793587,68,"Clean Energy (Solar and Wind)","68"
,"",,"",,,"","",,0.035831139649767543,69,"Clean Energy (Solar and Wind)","69"
,"",,"",,,"","",,0.030303030303030304,70,"Clean Energy (Solar and Wind)","70"
,"",,"",,,"","",,0.025605160243529185,71,"Clean Energy (Solar and Wind)","71"
,"",,"",,,"","",,0.021619361991176863,72,"Clean Energy (Solar and Wind)","72"
,"",,"",,,"","",,0.018242392684801278,73,"Clean Energy (Solar and Wind)","73"
,"",,"",,,"","",,0.015384615384615391,74,"Clean Energy (Solar and Wind)","74"
,"",,"",,,"","",,0.01296861181357596,75,"Clean Energy (Solar and Wind)","75"
,"",,"",,,"","",,0.010927807104367977,76,"Clean Energy (Solar and Wind)","76"
,"",,"",,,"","",,0.00920515839952561,77,"Clean Energy (Solar and Wind)","77"
,"",,"",,,"","",,0.0077519379844961257,78,"Clean Energy (Solar and Wind)","78"
,"",,"",,,"","",,0.0046238608856979139,81,"Clean Energy (Solar and Wind)","81"
,"",,"",,,"","",,0.0038910505836575885,82,"Clean Energy (Solar and Wind)","82"
,"",,"",,,"","",,0.0032739973539656843,83,"Clean Energy (Solar and Wind)","83"
,"",,"",,,"","",,0.0019493177387914229,86,"Clean Energy (Solar and Wind)","86"
,"",,"",,,"","",,0.001639682835615416,87,"Clean Energy (Solar and Wind)","87"
,"",,"",,,"","",,0.0013791632139172338,88,"Clean Energy (Solar and Wind)","88"
,"",,"",,,"","",,0.0011599879385672462,89,"Clean Energy (Solar and Wind)","89"
,"",,"",,,"","",,0.000975609756097561,90,"Clean Energy (Solar and Wind)","90"
,"",,"",,,"","",,0.00082051410925837345,91,"Clean Energy (Solar and Wind)","91"
,"",,"",,,"","",,0.00069005745788932183,92,"Clean Energy (Solar and Wind)","92"
,"",,"",,,"","",,0.00058033055750716825,93,"Clean Energy (Solar and Wind)","93"
,"",,"",,,"","",,0.0004880429477794046,94,"Clean Energy (Solar and Wind)","94"
,"",,"",,,"","",,0.00041042543455911386,95,"Clean Energy (Solar and Wind)","95"
,"",,"",,,"","",,0.00034514781485651892,96,"Clean Energy (Solar and Wind)","96"
,"",,"",,,"","",,0.00029024949908039259,97,"Clean Energy (Solar and Wind)","97"
,"",,"",,,"","",,0.00024408103490358821,98,"Clean Energy (Solar and Wind)","98"
,"",,"",,,"","",,0.00020525483818263513,99,"Clean Energy (Solar and Wind)","99"
,"",,"",,,"","",,0.00017260369432222516,100,"Clean Energy (Solar and Wind)","100"
79,"79",2019-01-01 00:00:00.000,"06b27cba-1459-ea11-a811-000d3a4f6c19",100,0.0065266265498767446,"1/1/2019","739a0343-d754-ea11-a812-000d3a4f6c19",0.65266265498767451,0.0065266265498767446,79,"Clean Energy (Solar and Wind)","79"
79,"79",2018-01-01 00:00:00.000,"06b27cba-1459-ea11-a811-000d3a4f6c19",100,0.0065266265498767446,"1/1/2018","f917e21c-1859-ea11-a811-000d3a4f6c19",0.65266265498767451,0.0065266265498767446,79,"Clean Energy (Solar and Wind)","79"
80,"80",2019-01-01 00:00:00.000,"d8c2e488-e658-ea11-a811-000d3a4f6db7",100,0.0054939218110829861,"1/1/2019","739a0343-d754-ea11-a812-000d3a4f6c19",0.54939218110829857,0.0054939218110829861,80,"Clean Energy (Solar and Wind)","80"
84,"84",2017-01-01 00:00:00.000,"06b27cba-1459-ea11-a811-000d3a4f6c19",100,0.0027545274848556306,"1/1/2017","f917e21c-1859-ea11-a811-000d3a4f6c19",0.27545274848556306,0.0027545274848556306,84,"Clean Energy (Solar and Wind)","84"
85,"85",2018-01-01 00:00:00.000,"d8c2e488-e658-ea11-a811-000d3a4f6db7",100,0.0023172878511769392,"1/1/2018","f917e21c-1859-ea11-a811-000d3a4f6c19",0.2317287851176939,0.0023172878511769392,85,"Clean Energy (Solar and Wind)","85"
