OrderNumber,variable,value
2126959,SalespersonKey,326
1945389,SalespersonKey,265
1912891,SalespersonKey,265
2013402,SalespersonKey,285
2171813,SalespersonKey,102
1858995,SalespersonKey,669
1914164,SalespersonKey,183
1696112,SalespersonKey,196
2043230,SalespersonKey,102
1596899,SalespersonKey,215
1972366,SalespersonKey,144
1600532,SalespersonKey,125
1968576,SalespersonKey,125
1738746,SalespersonKey,265
1652578,SalespersonKey,196
2140301,SalespersonKey,144
1842617,SalespersonKey,215
1601541,SalespersonKey,144
2023862,SalespersonKey,326
2083753,SalespersonKey,144
1999616,SalespersonKey,285
1880161,SalespersonKey,215
2106398,SalespersonKey,285
2018152,SalespersonKey,265
2082762,SalespersonKey,194
2117811,SalespersonKey,326
2097802,SalespersonKey,265
1501548,SalespersonKey,125
1671455,SalespersonKey,215
1735974,SalespersonKey,265
2057445,SalespersonKey,326
1496357,SalespersonKey,196
2153826,SalespersonKey,144
1659744,SalespersonKey,215
1958505,SalespersonKey,215
1936135,SalespersonKey,196
1935612,SalespersonKey,125
1809605,SalespersonKey,125
1878651,SalespersonKey,144
1918521,SalespersonKey,144
2135341,SalespersonKey,194
1771684,SalespersonKey,265
2110998,SalespersonKey,326
1886896,SalespersonKey,125
1792650,SalespersonKey,265
2060789,SalespersonKey,215
1720307,SalespersonKey,125
1809489,SalespersonKey,265
1765086,SalespersonKey,215
2005198,SalespersonKey,285
1677984,SalespersonKey,144
1867348,SalespersonKey,125
1753699,SalespersonKey,144
2091780,SalespersonKey,215
1787980,SalespersonKey,125
2007136,SalespersonKey,326
1798551,SalespersonKey,215
1996020,SalespersonKey,215
2021567,SalespersonKey,125
1863651,SalespersonKey,196
1833295,SalespersonKey,669
1670975,SalespersonKey,215
2142043,SalespersonKey,326
2056474,SalespersonKey,215
1528195,SalespersonKey,125
2096943,SalespersonKey,144
1773713,SalespersonKey,196
2020208,SalespersonKey,196
2033006,SalespersonKey,102
1903103,SalespersonKey,125
2004742,SalespersonKey,215
2150828,SalespersonKey,669
2054446,Channel,Retail
1575494,Channel,Distributor
1996271,Channel,Retail
1677304,Channel,Distributor
2121973,Channel,Online
1673809,Channel,Retail
2075561,Channel,Retail
1758285,Channel,Retail
1729401,Channel,Retail
1748357,Channel,Distributor
2126318,Channel,Retail
2171876,Channel,Retail
1861653,Channel,Distributor
2157691,Channel,Retail
1876486,Channel,Distributor
1788168,Channel,Retail
1590736,Channel,Distributor
2029642,Channel,Online
1590911,Channel,Retail
2145690,Channel,Online
2156801,Channel,Distributor
1636487,Channel,Retail
2049862,Channel,Online
1890128,Channel,Online
1594626,Channel,Distributor
1759547,Channel,Online
2022825,Channel,Retail
2164120,Channel,Online
2126959,Channel,Online
1945389,Channel,Distributor
1912891,Channel,Distributor
2013402,Channel,Online
2171813,Channel,Retail
1858995,Channel,Retail
1914164,Channel,Retail
1696112,Channel,Retail
2043230,Channel,Retail
1596899,Channel,Retail
1972366,Channel,Online
1600532,Channel,Distributor
1968576,Channel,Distributor
1738746,Channel,Distributor
1652578,Channel,Retail
2140301,Channel,Online
1842617,Channel,Retail
1601541,Channel,Online
2023862,Channel,Online
2083753,Channel,Online
1999616,Channel,Online
1880161,Channel,Retail
2106398,Channel,Online
2018152,Channel,Distributor
2082762,Channel,Distributor
2117811,Channel,Online
2097802,Channel,Distributor
1501548,Channel,Distributor
1671455,Channel,Retail
1735974,Channel,Distributor
2057445,Channel,Online
1496357,Channel,Retail
2153826,Channel,Online
1659744,Channel,Retail
1958505,Channel,Retail
1936135,Channel,Retail
1935612,Channel,Distributor
1809605,Channel,Distributor
1878651,Channel,Online
1918521,Channel,Online
2135341,Channel,Distributor
1771684,Channel,Distributor
2110998,Channel,Online
1886896,Channel,Distributor
1792650,Channel,Distributor
2060789,Channel,Retail
1720307,Channel,Distributor
1809489,Channel,Distributor
1765086,Channel,Retail
2005198,Channel,Online
1677984,Channel,Online
1867348,Channel,Distributor
1753699,Channel,Online
2091780,Channel,Retail
1787980,Channel,Distributor
2007136,Channel,Online
1798551,Channel,Retail
1996020,Channel,Retail
2021567,Channel,Distributor
1863651,Channel,Retail
1833295,Channel,Retail
1670975,Channel,Retail
2142043,Channel,Online
2056474,Channel,Retail
1528195,Channel,Distributor
2096943,Channel,Online
1773713,Channel,Retail
2020208,Channel,Retail
2033006,Channel,Retail
1903103,Channel,Distributor
2004742,Channel,Retail
2150828,Channel,Retail
2054446,Quantity,10
1575494,Quantity,15
1996271,Quantity,24
1677304,Quantity,10
2121973,Quantity,9
1673809,Quantity,6
2075561,Quantity,3
1758285,Quantity,6
1729401,Quantity,20
1748357,Quantity,24
2126318,Quantity,14
2171876,Quantity,1
1861653,Quantity,24
2157691,Quantity,11
1876486,Quantity,18
1788168,Quantity,5
1590736,Quantity,9
2029642,Quantity,14
1590911,Quantity,132
2145690,Quantity,15
2156801,Quantity,30
1636487,Quantity,12
2049862,Quantity,16
1890128,Quantity,10
1594626,Quantity,30
1759547,Quantity,24
2022825,Quantity,6
2164120,Quantity,11
2126959,Quantity,30
1945389,Quantity,24
1912891,Quantity,4
2013402,Quantity,28
2171813,Quantity,30
1858995,Quantity,3
1914164,Quantity,2
1696112,Quantity,24
2043230,Quantity,3
1596899,Quantity,6
1972366,Quantity,1
1600532,Quantity,5
1968576,Quantity,6
1738746,Quantity,3
1652578,Quantity,11
2140301,Quantity,24
1842617,Quantity,24
1601541,Quantity,48
2023862,Quantity,24
2083753,Quantity,12
1999616,Quantity,48
1880161,Quantity,6
2106398,Quantity,30
2018152,Quantity,11
2082762,Quantity,4
2117811,Quantity,14
2097802,Quantity,18
1501548,Quantity,6
1671455,Quantity,6
1735974,Quantity,10
2057445,Quantity,12
1496357,Quantity,1
2153826,Quantity,20
1659744,Quantity,6
1958505,Quantity,56
1936135,Quantity,12
1935612,Quantity,13
1809605,Quantity,2
1878651,Quantity,63
1918521,Quantity,48
2135341,Quantity,4
1771684,Quantity,12
2110998,Quantity,10
1886896,Quantity,72
1792650,Quantity,14
2060789,Quantity,24
1720307,Quantity,18
1809489,Quantity,10
1765086,Quantity,26
2005198,Quantity,5
1677984,Quantity,30
1867348,Quantity,20
1753699,Quantity,63
2091780,Quantity,24
1787980,Quantity,11
2007136,Quantity,6
1798551,Quantity,52
1996020,Quantity,9
2021567,Quantity,600
1863651,Quantity,30
1833295,Quantity,2
1670975,Quantity,4
2142043,Quantity,6
2056474,Quantity,8
1528195,Quantity,48
2096943,Quantity,40
1773713,Quantity,10
2020208,Quantity,6
2033006,Quantity,18
1903103,Quantity,14
2004742,Quantity,60
2150828,Quantity,1
2054446,UnitPrice,3.26
1575494,UnitPrice,1.24
1996271,UnitPrice,4.28
1677304,UnitPrice,0.96
2121973,UnitPrice,1.74
1673809,UnitPrice,3.18
2075561,UnitPrice,2.07
1758285,UnitPrice,4.04
1729401,UnitPrice,6.02
1748357,UnitPrice,4.3
2126318,UnitPrice,3.86
2171876,UnitPrice,34.4
1861653,UnitPrice,1.8
2157691,UnitPrice,1.68
1876486,UnitPrice,1.58
1788168,UnitPrice,2.18
1590736,UnitPrice,1.67
2029642,UnitPrice,3.65
1590911,UnitPrice,2.3
2145690,UnitPrice,1.54
2156801,UnitPrice,0.95
1636487,UnitPrice,2.23
2049862,UnitPrice,0.74
1890128,UnitPrice,1.22
1594626,UnitPrice,1.16
1759547,UnitPrice,1.5
2022825,UnitPrice,2.99
2164120,UnitPrice,2.49
2126959,UnitPrice,0.99
1945389,UnitPrice,0.54
1912891,UnitPrice,2.5
2013402,UnitPrice,3.31
2171813,UnitPrice,0.94
1858995,UnitPrice,81.59
1914164,UnitPrice,34.09
1696112,UnitPrice,1.86
2043230,UnitPrice,7.66
1596899,UnitPrice,3.03
1972366,UnitPrice,86.09
1600532,UnitPrice,2.96
1968576,UnitPrice,3.64
1738746,UnitPrice,3.98
1652578,UnitPrice,1.65
2140301,UnitPrice,7.22
1842617,UnitPrice,1.91
1601541,UnitPrice,1.75
2023862,UnitPrice,1.36
2083753,UnitPrice,3.93
1999616,UnitPrice,1.95
1880161,UnitPrice,5.33
2106398,UnitPrice,1.17
2018152,UnitPrice,1.7
2082762,UnitPrice,2.67
2117811,UnitPrice,3.93
2097802,UnitPrice,1.48
1501548,UnitPrice,6.02
1671455,UnitPrice,7.48
1735974,UnitPrice,1.01
2057445,UnitPrice,3.65
1496357,UnitPrice,18.08
2153826,UnitPrice,1.05
1659744,UnitPrice,5.06
1958505,UnitPrice,3.27
1936135,UnitPrice,2.91
1935612,UnitPrice,1.61
1809605,UnitPrice,15.95
1878651,UnitPrice,1.59
1918521,UnitPrice,0.66
2135341,UnitPrice,5.78
1771684,UnitPrice,2.2
2110998,UnitPrice,2.33
1886896,UnitPrice,0.41
1792650,UnitPrice,4.29
2060789,UnitPrice,9.25
1720307,UnitPrice,1.87
1809489,UnitPrice,1.91
1765086,UnitPrice,0.76
2005198,UnitPrice,2.99
1677984,UnitPrice,1.12
1867348,UnitPrice,3.02
1753699,UnitPrice,1.55
2091780,UnitPrice,3.78
1787980,UnitPrice,1.74
2007136,UnitPrice,3.21
1798551,UnitPrice,1.17
1996020,UnitPrice,1.72
2021567,UnitPrice,7.99
1863651,UnitPrice,1.09
1833295,UnitPrice,87.17
1670975,UnitPrice,7.36
2142043,UnitPrice,3.32
2056474,UnitPrice,2.32
1528195,UnitPrice,0.86
2096943,UnitPrice,3.95
1773713,UnitPrice,1.02
2020208,UnitPrice,3.01
2033006,UnitPrice,1.31
1903103,UnitPrice,4.04
2004742,UnitPrice,4.21
2150828,UnitPrice,152.21
2054446,Multiplication,32.599999999999994
1575494,Multiplication,18.6
1996271,Multiplication,102.72
1677304,Multiplication,9.6
2121973,Multiplication,15.66
1673809,Multiplication,19.08
2075561,Multiplication,6.209999999999999
1758285,Multiplication,24.24
1729401,Multiplication,120.4
1748357,Multiplication,103.2
2126318,Multiplication,54.04
2171876,Multiplication,34.4
1861653,Multiplication,43.2
2157691,Multiplication,18.48
1876486,Multiplication,28.44
1788168,Multiplication,10.9
1590736,Multiplication,15.03
2029642,Multiplication,51.1
1590911,Multiplication,303.6
2145690,Multiplication,23.1
2156801,Multiplication,28.5
1636487,Multiplication,26.76
2049862,Multiplication,11.84
1890128,Multiplication,12.2
1594626,Multiplication,34.8
1759547,Multiplication,36.0
2022825,Multiplication,17.94
2164120,Multiplication,27.39
2126959,Multiplication,29.7
1945389,Multiplication,12.96
1912891,Multiplication,10.0
2013402,Multiplication,92.68
2171813,Multiplication,28.2
1858995,Multiplication,244.77
1914164,Multiplication,68.18
1696112,Multiplication,44.64
2043230,Multiplication,22.98
1596899,Multiplication,18.18
1972366,Multiplication,86.09
1600532,Multiplication,14.8
1968576,Multiplication,21.84
1738746,Multiplication,11.94
1652578,Multiplication,18.15
2140301,Multiplication,173.28
1842617,Multiplication,45.84
1601541,Multiplication,84.0
2023862,Multiplication,32.64
2083753,Multiplication,47.16
1999616,Multiplication,93.6
1880161,Multiplication,31.98
2106398,Multiplication,35.099999999999994
2018152,Multiplication,18.7
2082762,Multiplication,10.68
2117811,Multiplication,55.02
2097802,Multiplication,26.64
1501548,Multiplication,36.12
1671455,Multiplication,44.88
1735974,Multiplication,10.1
2057445,Multiplication,43.8
1496357,Multiplication,18.08
2153826,Multiplication,21.0
1659744,Multiplication,30.36
1958505,Multiplication,183.12
1936135,Multiplication,34.92
1935612,Multiplication,20.93
1809605,Multiplication,31.9
1878651,Multiplication,100.17
1918521,Multiplication,31.68
2135341,Multiplication,23.12
1771684,Multiplication,26.4
2110998,Multiplication,23.3
1886896,Multiplication,29.52
1792650,Multiplication,60.06
2060789,Multiplication,222.0
1720307,Multiplication,33.660000000000004
1809489,Multiplication,19.1
1765086,Multiplication,19.76
2005198,Multiplication,14.95
1677984,Multiplication,33.6
1867348,Multiplication,60.4
1753699,Multiplication,97.65
2091780,Multiplication,90.72
1787980,Multiplication,19.14
2007136,Multiplication,19.26
1798551,Multiplication,60.84
1996020,Multiplication,15.48
2021567,Multiplication,4794.0
1863651,Multiplication,32.7
1833295,Multiplication,174.34
1670975,Multiplication,29.44
2142043,Multiplication,19.92
2056474,Multiplication,18.56
1528195,Multiplication,41.28
2096943,Multiplication,158.0
1773713,Multiplication,10.2
2020208,Multiplication,18.06
2033006,Multiplication,23.58
1903103,Multiplication,56.56
2004742,Multiplication,252.6
2150828,Multiplication,152.21
2054446,OrderDate,2020-10-20 00:00:00.000
1575494,OrderDate,2019-04-11 00:00:00.000
1996271,OrderDate,2020-06-17 00:00:00.000
1677304,OrderDate,2019-09-07 00:00:00.000
2121973,OrderDate,2020-12-25 00:00:00.000
1673809,OrderDate,2019-07-23 00:00:00.000
2075561,OrderDate,2020-09-27 00:00:00.000
1758285,OrderDate,2019-10-31 00:00:00.000
1729401,OrderDate,2019-09-26 00:00:00.000
1748357,OrderDate,2019-11-04 00:00:00.000
2126318,OrderDate,2020-10-21 00:00:00.000
2171876,OrderDate,2020-11-18 00:00:00.000
1861653,OrderDate,2020-02-05 00:00:00.000
2157691,OrderDate,2020-12-20 00:00:00.000
1876486,OrderDate,2020-04-04 00:00:00.000
1788168,OrderDate,2019-11-01 00:00:00.000
1590736,OrderDate,2019-04-23 00:00:00.000
2029642,OrderDate,2020-08-30 00:00:00.000
1590911,OrderDate,2019-05-15 00:00:00.000
2145690,OrderDate,2021-01-25 00:00:00.000
2156801,OrderDate,2021-02-14 00:00:00.000
1636487,OrderDate,2019-06-23 00:00:00.000
2049862,OrderDate,2020-08-20 00:00:00.000
1890128,OrderDate,2020-04-21 00:00:00.000
1594626,OrderDate,2019-05-26 00:00:00.000
1759547,OrderDate,2020-01-01 00:00:00.000
2022825,OrderDate,2020-09-28 00:00:00.000
2164120,OrderDate,2021-01-12 00:00:00.000
2126959,OrderDate,2020-12-09 00:00:00.000
1945389,OrderDate,2020-07-15 00:00:00.000
1912891,OrderDate,2020-03-09 00:00:00.000
2013402,OrderDate,2020-10-06 00:00:00.000
2171813,OrderDate,2020-12-27 00:00:00.000
1858995,OrderDate,2020-05-16 00:00:00.000
1914164,OrderDate,2020-04-30 00:00:00.000
1696112,OrderDate,2019-08-31 00:00:00.000
2043230,OrderDate,2020-11-02 00:00:00.000
1596899,OrderDate,2019-07-03 00:00:00.000
1972366,OrderDate,2020-08-02 00:00:00.000
1600532,OrderDate,2019-05-19 00:00:00.000
1968576,OrderDate,2020-05-28 00:00:00.000
1738746,OrderDate,2019-11-13 00:00:00.000
1652578,OrderDate,2019-08-20 00:00:00.000
2140301,OrderDate,2020-12-11 00:00:00.000
1842617,OrderDate,2019-12-26 00:00:00.000
1601541,OrderDate,2019-08-20 00:00:00.000
2023862,OrderDate,2020-08-07 00:00:00.000
2083753,OrderDate,2020-08-31 00:00:00.000
1999616,OrderDate,2020-06-23 00:00:00.000
1880161,OrderDate,2020-05-15 00:00:00.000
2106398,OrderDate,2020-11-07 00:00:00.000
2018152,OrderDate,2020-09-28 00:00:00.000
2082762,OrderDate,2020-12-09 00:00:00.000
2117811,OrderDate,2020-11-19 00:00:00.000
2097802,OrderDate,2020-12-21 00:00:00.000
1501548,OrderDate,2019-04-13 00:00:00.000
1671455,OrderDate,2019-10-24 00:00:00.000
1735974,OrderDate,2019-09-19 00:00:00.000
2057445,OrderDate,2020-10-04 00:00:00.000
1496357,OrderDate,2019-03-25 00:00:00.000
2153826,OrderDate,2020-11-10 00:00:00.000
1659744,OrderDate,2019-07-17 00:00:00.000
1958505,OrderDate,2020-06-26 00:00:00.000
1936135,OrderDate,2020-07-13 00:00:00.000
1935612,OrderDate,2020-04-27 00:00:00.000
1809605,OrderDate,2020-03-07 00:00:00.000
1878651,OrderDate,2020-05-30 00:00:00.000
1918521,OrderDate,2020-05-06 00:00:00.000
2135341,OrderDate,2021-01-26 00:00:00.000
1771684,OrderDate,2019-11-14 00:00:00.000
2110998,OrderDate,2020-11-14 00:00:00.000
1886896,OrderDate,2020-05-14 00:00:00.000
1792650,OrderDate,2020-02-22 00:00:00.000
2060789,OrderDate,2020-11-05 00:00:00.000
1720307,OrderDate,2019-09-06 00:00:00.000
1809489,OrderDate,2019-12-13 00:00:00.000
1765086,OrderDate,2019-12-17 00:00:00.000
2005198,OrderDate,2020-09-30 00:00:00.000
1677984,OrderDate,2019-09-26 00:00:00.000
1867348,OrderDate,2020-05-15 00:00:00.000
1753699,OrderDate,2019-10-09 00:00:00.000
2091780,OrderDate,2020-10-25 00:00:00.000
1787980,OrderDate,2019-11-05 00:00:00.000
2007136,OrderDate,2020-08-21 00:00:00.000
1798551,OrderDate,2019-12-08 00:00:00.000
1996020,OrderDate,2020-09-13 00:00:00.000
2021567,OrderDate,2020-09-11 00:00:00.000
1863651,OrderDate,2020-04-30 00:00:00.000
1833295,OrderDate,2020-03-17 00:00:00.000
1670975,OrderDate,2019-08-12 00:00:00.000
2142043,OrderDate,2021-01-26 00:00:00.000
2056474,OrderDate,2020-11-08 00:00:00.000
1528195,OrderDate,2019-05-15 00:00:00.000
2096943,OrderDate,2020-11-15 00:00:00.000
1773713,OrderDate,2019-12-08 00:00:00.000
2020208,OrderDate,2020-09-06 00:00:00.000
2033006,OrderDate,2020-08-16 00:00:00.000
1903103,OrderDate,2020-06-19 00:00:00.000
2004742,OrderDate,2020-06-22 00:00:00.000
2150828,OrderDate,2020-11-17 00:00:00.000
