Date,Year,Start of Year,End of Year,Month,Start of Month,End of Month,Days in Month,Day,Day Name,Day of Week,Day of Year,Month Name,Quarter,Start of Quarter,End of Quarter,Week of Year,Week of Month,Start of Week,End of Week,Fiscal Year,Fiscal Quarter,Fiscal Month,Day Offset,Month Offset,Year Offset,Quarter Offset
2020-05-08 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,5,2020-05-01 00:00:00.000,2020-05-31 00:00:00.000,31,8,"Friday",5,129,"May",2,2020-04-01 00:00:00.000,2020-06-30 00:00:00.000,19,2,2020-05-04 00:00:00.000,2020-05-10 00:00:00.000,2020,2,5,-262,-8,-1,-3
2020-05-09 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,5,2020-05-01 00:00:00.000,2020-05-31 00:00:00.000,31,9,"Saturday",6,130,"May",2,2020-04-01 00:00:00.000,2020-06-30 00:00:00.000,19,2,2020-05-04 00:00:00.000,2020-05-10 00:00:00.000,2020,2,5,-261,-8,-1,-3
2020-05-10 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,5,2020-05-01 00:00:00.000,2020-05-31 00:00:00.000,31,10,"Sunday",0,131,"May",2,2020-04-01 00:00:00.000,2020-06-30 00:00:00.000,19,2,2020-05-04 00:00:00.000,2020-05-10 00:00:00.000,2020,2,5,-260,-8,-1,-3
2020-07-06 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,7,2020-07-01 00:00:00.000,2020-07-31 00:00:00.000,31,6,"Monday",1,188,"July",3,2020-07-01 00:00:00.000,2020-09-30 00:00:00.000,28,2,2020-07-06 00:00:00.000,2020-07-12 00:00:00.000,2020,3,7,-203,-6,-1,-2
2020-07-07 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,7,2020-07-01 00:00:00.000,2020-07-31 00:00:00.000,31,7,"Tuesday",2,189,"July",3,2020-07-01 00:00:00.000,2020-09-30 00:00:00.000,28,2,2020-07-06 00:00:00.000,2020-07-12 00:00:00.000,2020,3,7,-202,-6,-1,-2
2020-07-08 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,7,2020-07-01 00:00:00.000,2020-07-31 00:00:00.000,31,8,"Wednesday",3,190,"July",3,2020-07-01 00:00:00.000,2020-09-30 00:00:00.000,28,2,2020-07-06 00:00:00.000,2020-07-12 00:00:00.000,2020,3,7,-201,-6,-1,-2
2020-07-09 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,7,2020-07-01 00:00:00.000,2020-07-31 00:00:00.000,31,9,"Thursday",4,191,"July",3,2020-07-01 00:00:00.000,2020-09-30 00:00:00.000,28,2,2020-07-06 00:00:00.000,2020-07-12 00:00:00.000,2020,3,7,-200,-6,-1,-2
2020-07-10 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,7,2020-07-01 00:00:00.000,2020-07-31 00:00:00.000,31,10,"Friday",5,192,"July",3,2020-07-01 00:00:00.000,2020-09-30 00:00:00.000,28,2,2020-07-06 00:00:00.000,2020-07-12 00:00:00.000,2020,3,7,-199,-6,-1,-2
2020-07-11 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,7,2020-07-01 00:00:00.000,2020-07-31 00:00:00.000,31,11,"Saturday",6,193,"July",3,2020-07-01 00:00:00.000,2020-09-30 00:00:00.000,28,2,2020-07-06 00:00:00.000,2020-07-12 00:00:00.000,2020,3,7,-198,-6,-1,-2
2020-07-12 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,7,2020-07-01 00:00:00.000,2020-07-31 00:00:00.000,31,12,"Sunday",0,194,"July",3,2020-07-01 00:00:00.000,2020-09-30 00:00:00.000,28,2,2020-07-06 00:00:00.000,2020-07-12 00:00:00.000,2020,3,7,-197,-6,-1,-2
2020-08-03 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,8,2020-08-01 00:00:00.000,2020-08-31 00:00:00.000,31,3,"Monday",1,216,"August",3,2020-07-01 00:00:00.000,2020-09-30 00:00:00.000,32,2,2020-08-03 00:00:00.000,2020-08-09 00:00:00.000,2020,3,8,-175,-5,-1,-2
2020-08-04 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,8,2020-08-01 00:00:00.000,2020-08-31 00:00:00.000,31,4,"Tuesday",2,217,"August",3,2020-07-01 00:00:00.000,2020-09-30 00:00:00.000,32,2,2020-08-03 00:00:00.000,2020-08-09 00:00:00.000,2020,3,8,-174,-5,-1,-2
2020-08-05 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,8,2020-08-01 00:00:00.000,2020-08-31 00:00:00.000,31,5,"Wednesday",3,218,"August",3,2020-07-01 00:00:00.000,2020-09-30 00:00:00.000,32,2,2020-08-03 00:00:00.000,2020-08-09 00:00:00.000,2020,3,8,-173,-5,-1,-2
2020-08-06 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,8,2020-08-01 00:00:00.000,2020-08-31 00:00:00.000,31,6,"Thursday",4,219,"August",3,2020-07-01 00:00:00.000,2020-09-30 00:00:00.000,32,2,2020-08-03 00:00:00.000,2020-08-09 00:00:00.000,2020,3,8,-172,-5,-1,-2
2020-08-07 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,8,2020-08-01 00:00:00.000,2020-08-31 00:00:00.000,31,7,"Friday",5,220,"August",3,2020-07-01 00:00:00.000,2020-09-30 00:00:00.000,32,2,2020-08-03 00:00:00.000,2020-08-09 00:00:00.000,2020,3,8,-171,-5,-1,-2
2020-08-08 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,8,2020-08-01 00:00:00.000,2020-08-31 00:00:00.000,31,8,"Saturday",6,221,"August",3,2020-07-01 00:00:00.000,2020-09-30 00:00:00.000,32,2,2020-08-03 00:00:00.000,2020-08-09 00:00:00.000,2020,3,8,-170,-5,-1,-2
2020-08-09 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,8,2020-08-01 00:00:00.000,2020-08-31 00:00:00.000,31,9,"Sunday",0,222,"August",3,2020-07-01 00:00:00.000,2020-09-30 00:00:00.000,32,2,2020-08-03 00:00:00.000,2020-08-09 00:00:00.000,2020,3,8,-169,-5,-1,-2
2020-10-05 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,10,2020-10-01 00:00:00.000,2020-10-31 00:00:00.000,31,5,"Monday",1,279,"October",4,2020-10-01 00:00:00.000,2020-12-31 00:00:00.000,41,2,2020-10-05 00:00:00.000,2020-10-11 00:00:00.000,2020,4,10,-112,-3,-1,-1
2020-10-06 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,10,2020-10-01 00:00:00.000,2020-10-31 00:00:00.000,31,6,"Tuesday",2,280,"October",4,2020-10-01 00:00:00.000,2020-12-31 00:00:00.000,41,2,2020-10-05 00:00:00.000,2020-10-11 00:00:00.000,2020,4,10,-111,-3,-1,-1
2020-10-07 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,10,2020-10-01 00:00:00.000,2020-10-31 00:00:00.000,31,7,"Wednesday",3,281,"October",4,2020-10-01 00:00:00.000,2020-12-31 00:00:00.000,41,2,2020-10-05 00:00:00.000,2020-10-11 00:00:00.000,2020,4,10,-110,-3,-1,-1
2020-10-08 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,10,2020-10-01 00:00:00.000,2020-10-31 00:00:00.000,31,8,"Thursday",4,282,"October",4,2020-10-01 00:00:00.000,2020-12-31 00:00:00.000,41,2,2020-10-05 00:00:00.000,2020-10-11 00:00:00.000,2020,4,10,-109,-3,-1,-1
2020-10-09 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,10,2020-10-01 00:00:00.000,2020-10-31 00:00:00.000,31,9,"Friday",5,283,"October",4,2020-10-01 00:00:00.000,2020-12-31 00:00:00.000,41,2,2020-10-05 00:00:00.000,2020-10-11 00:00:00.000,2020,4,10,-108,-3,-1,-1
2020-10-10 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,10,2020-10-01 00:00:00.000,2020-10-31 00:00:00.000,31,10,"Saturday",6,284,"October",4,2020-10-01 00:00:00.000,2020-12-31 00:00:00.000,41,2,2020-10-05 00:00:00.000,2020-10-11 00:00:00.000,2020,4,10,-107,-3,-1,-1
2020-10-11 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,10,2020-10-01 00:00:00.000,2020-10-31 00:00:00.000,31,11,"Sunday",0,285,"October",4,2020-10-01 00:00:00.000,2020-12-31 00:00:00.000,41,2,2020-10-05 00:00:00.000,2020-10-11 00:00:00.000,2020,4,10,-106,-3,-1,-1
2020-12-07 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,12,2020-12-01 00:00:00.000,2020-12-31 00:00:00.000,31,7,"Monday",1,342,"December",4,2020-10-01 00:00:00.000,2020-12-31 00:00:00.000,50,2,2020-12-07 00:00:00.000,2020-12-13 00:00:00.000,2020,4,12,-49,-1,-1,-1
2020-12-08 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,12,2020-12-01 00:00:00.000,2020-12-31 00:00:00.000,31,8,"Tuesday",2,343,"December",4,2020-10-01 00:00:00.000,2020-12-31 00:00:00.000,50,2,2020-12-07 00:00:00.000,2020-12-13 00:00:00.000,2020,4,12,-48,-1,-1,-1
2020-12-09 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,12,2020-12-01 00:00:00.000,2020-12-31 00:00:00.000,31,9,"Wednesday",3,344,"December",4,2020-10-01 00:00:00.000,2020-12-31 00:00:00.000,50,2,2020-12-07 00:00:00.000,2020-12-13 00:00:00.000,2020,4,12,-47,-1,-1,-1
2020-12-10 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,12,2020-12-01 00:00:00.000,2020-12-31 00:00:00.000,31,10,"Thursday",4,345,"December",4,2020-10-01 00:00:00.000,2020-12-31 00:00:00.000,50,2,2020-12-07 00:00:00.000,2020-12-13 00:00:00.000,2020,4,12,-46,-1,-1,-1
2020-12-11 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,12,2020-12-01 00:00:00.000,2020-12-31 00:00:00.000,31,11,"Friday",5,346,"December",4,2020-10-01 00:00:00.000,2020-12-31 00:00:00.000,50,2,2020-12-07 00:00:00.000,2020-12-13 00:00:00.000,2020,4,12,-45,-1,-1,-1
2020-12-12 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,12,2020-12-01 00:00:00.000,2020-12-31 00:00:00.000,31,12,"Saturday",6,347,"December",4,2020-10-01 00:00:00.000,2020-12-31 00:00:00.000,50,2,2020-12-07 00:00:00.000,2020-12-13 00:00:00.000,2020,4,12,-44,-1,-1,-1
2020-12-13 00:00:00.000,2020,2020-01-01 00:00:00.000,2020-12-31 00:00:00.000,12,2020-12-01 00:00:00.000,2020-12-31 00:00:00.000,31,13,"Sunday",0,348,"December",4,2020-10-01 00:00:00.000,2020-12-31 00:00:00.000,50,2,2020-12-07 00:00:00.000,2020-12-13 00:00:00.000,2020,4,12,-43,-1,-1,-1
2021-01-04 00:00:00.000,2021,2021-01-01 00:00:00.000,2021-12-31 00:00:00.000,1,2021-01-01 00:00:00.000,2021-01-31 00:00:00.000,31,4,"Monday",1,4,"January",1,2021-01-01 00:00:00.000,2021-03-31 00:00:00.000,2,2,2021-01-04 00:00:00.000,2021-01-10 00:00:00.000,2021,1,1,-21,0,0,0
2021-01-05 00:00:00.000,2021,2021-01-01 00:00:00.000,2021-12-31 00:00:00.000,1,2021-01-01 00:00:00.000,2021-01-31 00:00:00.000,31,5,"Tuesday",2,5,"January",1,2021-01-01 00:00:00.000,2021-03-31 00:00:00.000,2,2,2021-01-04 00:00:00.000,2021-01-10 00:00:00.000,2021,1,1,-20,0,0,0
2021-01-06 00:00:00.000,2021,2021-01-01 00:00:00.000,2021-12-31 00:00:00.000,1,2021-01-01 00:00:00.000,2021-01-31 00:00:00.000,31,6,"Wednesday",3,6,"January",1,2021-01-01 00:00:00.000,2021-03-31 00:00:00.000,2,2,2021-01-04 00:00:00.000,2021-01-10 00:00:00.000,2021,1,1,-19,0,0,0
2021-01-07 00:00:00.000,2021,2021-01-01 00:00:00.000,2021-12-31 00:00:00.000,1,2021-01-01 00:00:00.000,2021-01-31 00:00:00.000,31,7,"Thursday",4,7,"January",1,2021-01-01 00:00:00.000,2021-03-31 00:00:00.000,2,2,2021-01-04 00:00:00.000,2021-01-10 00:00:00.000,2021,1,1,-18,0,0,0
2021-01-08 00:00:00.000,2021,2021-01-01 00:00:00.000,2021-12-31 00:00:00.000,1,2021-01-01 00:00:00.000,2021-01-31 00:00:00.000,31,8,"Friday",5,8,"January",1,2021-01-01 00:00:00.000,2021-03-31 00:00:00.000,2,2,2021-01-04 00:00:00.000,2021-01-10 00:00:00.000,2021,1,1,-17,0,0,0
2021-01-09 00:00:00.000,2021,2021-01-01 00:00:00.000,2021-12-31 00:00:00.000,1,2021-01-01 00:00:00.000,2021-01-31 00:00:00.000,31,9,"Saturday",6,9,"January",1,2021-01-01 00:00:00.000,2021-03-31 00:00:00.000,2,2,2021-01-04 00:00:00.000,2021-01-10 00:00:00.000,2021,1,1,-16,0,0,0
2021-01-10 00:00:00.000,2021,2021-01-01 00:00:00.000,2021-12-31 00:00:00.000,1,2021-01-01 00:00:00.000,2021-01-31 00:00:00.000,31,10,"Sunday",0,10,"January",1,2021-01-01 00:00:00.000,2021-03-31 00:00:00.000,2,2,2021-01-04 00:00:00.000,2021-01-10 00:00:00.000,2021,1,1,-15,0,0,0
2021-03-08 00:00:00.000,2021,2021-01-01 00:00:00.000,2021-12-31 00:00:00.000,3,2021-03-01 00:00:00.000,2021-03-31 00:00:00.000,31,8,"Monday",1,67,"March",1,2021-01-01 00:00:00.000,2021-03-31 00:00:00.000,11,2,2021-03-08 00:00:00.000,2021-03-14 00:00:00.000,2021,1,3,42,2,0,0
2021-03-09 00:00:00.000,2021,2021-01-01 00:00:00.000,2021-12-31 00:00:00.000,3,2021-03-01 00:00:00.000,2021-03-31 00:00:00.000,31,9,"Tuesday",2,68,"March",1,2021-01-01 00:00:00.000,2021-03-31 00:00:00.000,11,2,2021-03-08 00:00:00.000,2021-03-14 00:00:00.000,2021,1,3,43,2,0,0
2021-03-10 00:00:00.000,2021,2021-01-01 00:00:00.000,2021-12-31 00:00:00.000,3,2021-03-01 00:00:00.000,2021-03-31 00:00:00.000,31,10,"Wednesday",3,69,"March",1,2021-01-01 00:00:00.000,2021-03-31 00:00:00.000,11,2,2021-03-08 00:00:00.000,2021-03-14 00:00:00.000,2021,1,3,44,2,0,0
2021-03-11 00:00:00.000,2021,2021-01-01 00:00:00.000,2021-12-31 00:00:00.000,3,2021-03-01 00:00:00.000,2021-03-31 00:00:00.000,31,11,"Thursday",4,70,"March",1,2021-01-01 00:00:00.000,2021-03-31 00:00:00.000,11,2,2021-03-08 00:00:00.000,2021-03-14 00:00:00.000,2021,1,3,45,2,0,0
2021-03-12 00:00:00.000,2021,2021-01-01 00:00:00.000,2021-12-31 00:00:00.000,3,2021-03-01 00:00:00.000,2021-03-31 00:00:00.000,31,12,"Friday",5,71,"March",1,2021-01-01 00:00:00.000,2021-03-31 00:00:00.000,11,2,2021-03-08 00:00:00.000,2021-03-14 00:00:00.000,2021,1,3,46,2,0,0
2021-03-13 00:00:00.000,2021,2021-01-01 00:00:00.000,2021-12-31 00:00:00.000,3,2021-03-01 00:00:00.000,2021-03-31 00:00:00.000,31,13,"Saturday",6,72,"March",1,2021-01-01 00:00:00.000,2021-03-31 00:00:00.000,11,2,2021-03-08 00:00:00.000,2021-03-14 00:00:00.000,2021,1,3,47,2,0,0
2021-03-14 00:00:00.000,2021,2021-01-01 00:00:00.000,2021-12-31 00:00:00.000,3,2021-03-01 00:00:00.000,2021-03-31 00:00:00.000,31,14,"Sunday",0,73,"March",1,2021-01-01 00:00:00.000,2021-03-31 00:00:00.000,11,2,2021-03-08 00:00:00.000,2021-03-14 00:00:00.000,2021,1,3,48,2,0,0
2021-05-03 00:00:00.000,2021,2021-01-01 00:00:00.000,2021-12-31 00:00:00.000,5,2021-05-01 00:00:00.000,2021-05-31 00:00:00.000,31,3,"Monday",1,123,"May",2,2021-04-01 00:00:00.000,2021-06-30 00:00:00.000,19,2,2021-05-03 00:00:00.000,2021-05-09 00:00:00.000,2021,2,5,98,4,0,1
2021-05-04 00:00:00.000,2021,2021-01-01 00:00:00.000,2021-12-31 00:00:00.000,5,2021-05-01 00:00:00.000,2021-05-31 00:00:00.000,31,4,"Tuesday",2,124,"May",2,2021-04-01 00:00:00.000,2021-06-30 00:00:00.000,19,2,2021-05-03 00:00:00.000,2021-05-09 00:00:00.000,2021,2,5,99,4,0,1
2021-05-05 00:00:00.000,2021,2021-01-01 00:00:00.000,2021-12-31 00:00:00.000,5,2021-05-01 00:00:00.000,2021-05-31 00:00:00.000,31,5,"Wednesday",3,125,"May",2,2021-04-01 00:00:00.000,2021-06-30 00:00:00.000,19,2,2021-05-03 00:00:00.000,2021-05-09 00:00:00.000,2021,2,5,100,4,0,1
2021-05-06 00:00:00.000,2021,2021-01-01 00:00:00.000,2021-12-31 00:00:00.000,5,2021-05-01 00:00:00.000,2021-05-31 00:00:00.000,31,6,"Thursday",4,126,"May",2,2021-04-01 00:00:00.000,2021-06-30 00:00:00.000,19,2,2021-05-03 00:00:00.000,2021-05-09 00:00:00.000,2021,2,5,101,4,0,1
2021-05-07 00:00:00.000,2021,2021-01-01 00:00:00.000,2021-12-31 00:00:00.000,5,2021-05-01 00:00:00.000,2021-05-31 00:00:00.000,31,7,"Friday",5,127,"May",2,2021-04-01 00:00:00.000,2021-06-30 00:00:00.000,19,2,2021-05-03 00:00:00.000,2021-05-09 00:00:00.000,2021,2,5,102,4,0,1
2021-05-08 00:00:00.000,2021,2021-01-01 00:00:00.000,2021-12-31 00:00:00.000,5,2021-05-01 00:00:00.000,2021-05-31 00:00:00.000,31,8,"Saturday",6,128,"May",2,2021-04-01 00:00:00.000,2021-06-30 00:00:00.000,19,2,2021-05-03 00:00:00.000,2021-05-09 00:00:00.000,2021,2,5,103,4,0,1
2021-05-09 00:00:00.000,2021,2021-01-01 00:00:00.000,2021-12-31 00:00:00.000,5,2021-05-01 00:00:00.000,2021-05-31 00:00:00.000,31,9,"Sunday",0,129,"May",2,2021-04-01 00:00:00.000,2021-06-30 00:00:00.000,19,2,2021-05-03 00:00:00.000,2021-05-09 00:00:00.000,2021,2,5,104,4,0,1
2021-07-05 00:00:00.000,2021,2021-01-01 00:00:00.000,2021-12-31 00:00:00.000,7,2021-07-01 00:00:00.000,2021-07-31 00:00:00.000,31,5,"Monday",1,186,"July",3,2021-07-01 00:00:00.000,2021-09-30 00:00:00.000,28,2,2021-07-05 00:00:00.000,2021-07-11 00:00:00.000,2021,3,7,161,6,0,2
2021-07-06 00:00:00.000,2021,2021-01-01 00:00:00.000,2021-12-31 00:00:00.000,7,2021-07-01 00:00:00.000,2021-07-31 00:00:00.000,31,6,"Tuesday",2,187,"July",3,2021-07-01 00:00:00.000,2021-09-30 00:00:00.000,28,2,2021-07-05 00:00:00.000,2021-07-11 00:00:00.000,2021,3,7,162,6,0,2
2021-07-07 00:00:00.000,2021,2021-01-01 00:00:00.000,2021-12-31 00:00:00.000,7,2021-07-01 00:00:00.000,2021-07-31 00:00:00.000,31,7,"Wednesday",3,188,"July",3,2021-07-01 00:00:00.000,2021-09-30 00:00:00.000,28,2,2021-07-05 00:00:00.000,2021-07-11 00:00:00.000,2021,3,7,163,6,0,2
2021-07-08 00:00:00.000,2021,2021-01-01 00:00:00.000,2021-12-31 00:00:00.000,7,2021-07-01 00:00:00.000,2021-07-31 00:00:00.000,31,8,"Thursday",4,189,"July",3,2021-07-01 00:00:00.000,2021-09-30 00:00:00.000,28,2,2021-07-05 00:00:00.000,2021-07-11 00:00:00.000,2021,3,7,164,6,0,2
2021-07-09 00:00:00.000,2021,2021-01-01 00:00:00.000,2021-12-31 00:00:00.000,7,2021-07-01 00:00:00.000,2021-07-31 00:00:00.000,31,9,"Friday",5,190,"July",3,2021-07-01 00:00:00.000,2021-09-30 00:00:00.000,28,2,2021-07-05 00:00:00.000,2021-07-11 00:00:00.000,2021,3,7,165,6,0,2
