Order ID,Add-On Beverage Item [Arabic Cold Brew],Add-On Beverage Item [Kombucha Beetroot],Add-On Beverage Item [Kombucha Green Tea],Add-On Beverage Item [Kombucha Lemongrass & Green Tea],Add-On Beverage Item [Kombucha Passionfruit],Add-On Beverage Item [N. Soda Apply & Vanilla],Add-On Beverage Item [N. Soda Guava & Lemongr],Add-On Beverage Item [N. Soda Lengkuas & Lemonade],Add-On Food Item [Amazin' Grace Granola],Add-On Food Item [Amazin' Grace Nut Mix],Add-On Food Item [Buttermilk Pita Chips],Add-On Food Item [Cheese Pita Chips],Add-On Food Item [Cooked Falafel],Add-On Food Item [Cookies],Add-On Food Item [Fresh Mantu],Add-On Food Item [Frozen Bolani],Add-On Food Item [Frozen Chicken Meatball],Add-On Food Item [Frozen Falafel Mix],Add-On Food Item [Frozen Sambusak],Add-On Food Item [Hummus & Bread],Add-On Food Item [Mandi Rice],Add-On Food Item [Mediterranean Lamb Stew],Add-On Food Item [Pulut Hitam Creme Brul̩e],Add-On Food Item [Shawarma Pita Chips],Add-On Food Item [Sourdough (Kefir King)],Menu Orders [PM1 - Chicken Mandi],Menu Orders [PM2 - CNY Special - Pan Seared Seabass Fillet],Menu Orders [PM3 - Picha Lamb Dhansak],Menu Orders [SM1 - Soy Chunk & Tofu Butter Masala],Menu Orders [SM2 - CNY Special Fried Chicken],Menu Orders [SM3 - Mediterranean Beef Kofta],Menu Orders [SM4 - Koshari],Menu Orders [SM5 - Young Jackfruit Rendang],Menu Orders [SM6 - Kimchi Roasted Chicken],Menu Orders [SM7 - Coriander Chicken Meatballs],Menu Orders [SM8 - Roasted Pumpkin],Menu Orders [SM9 - Chicken Jalfrezi],Menu Orders [VM1 - Afghan Eggplant Curry],Menu Orders [VM2 - Cauli-Chickpeas Veggie Balls],Menu Orders [VM3 - Soy Chunk & Tofu Butter Masala]
198,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,
2,4,5,3,,3,,5,,,4,,,,,4,,,,,3,4,,3,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,1,,1,,1,,,
202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,1,1,1,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,,1,,,,,
206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,
214,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,1,1,1,1,,,
215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,1,1
217,,,,,5,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,1,,1,,,,
219,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,,1,1,1,1,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,
226,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,1,,1,,,
23,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,1,,,
230,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,
237,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,2,,,1,,,,
239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,1,1,,,,
240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,,,
241,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,1,,,,1,,
243,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,2,2,,1,2,2,1,,1,,
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,
245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,
246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1
249,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,1,1,,,1,1,1,,,,
252,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,1,,1,1,,,,,
254,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,1,1,,1,,,
255,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,1,1,1,,1,,1,,,
256,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,1,,1,1,1,1,,,
260,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,2,2,2,,2,2,2,,,
268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,
269,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,1,,,
277,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,1,,,
283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,
288,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,1,,,,1,,,1,,,
290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,
291,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,,1,,1,1,,,
292,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,1,,,,2,1,1,1
294,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,1,,1,1,,,,
295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,
296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,
297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,
298,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,1,1,,,,
300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,
302,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,1,,,,1,,,
304,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,1,1,,1,1,1,,1,
305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,
307,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,,,,1,1,1
309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,
310,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,1,1,1,1,,,1,,,
312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,
313,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,1,,,,,,
315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
326,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,1,,,
327,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,,1,2,,,2,,,
328,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,2,,,,2,,,
329,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,2,,,,3,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
332,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,2,2,2,,2,2,2,,,
333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2
335,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,,1,1,1,,,
337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,
339,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,,,1,1,,,
340,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,1,,1,1,1,,,
341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
342,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,,1,1,1,1,,,
344,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,2,,,,1,,,
345,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,5,,,,,,,5,
349,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,1,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,,1,,,,
350,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,2,,2,,,,,,,
351,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,2,,2,,,,,,,
353,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,1,,1,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,1,1,,
360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,
361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,
362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,
363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,
364,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
365,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,2,,,1,,,,
366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,1,1,1,1,1,1,,,
368,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
37,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,2,2,,1,,1,,1,,,,
374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,
375,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,1,,1,1,,,
376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,
377,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,2,1,,,,2,,,
378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,
379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,1,,
383,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,1,1,,1,,1,,,
384,,,,,5,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,1,1,,,,
389,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,1,2,1,,,2,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,1,,1,,1,1,,,
393,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,2,1,1,2,1,,,,
395,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,2,2,1,2,,,,,,,
396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,
400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,
401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,
402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,
403,,,,,,,,,,,,,,,,,1,,1,,,,,,1,1,,,1,,1,1,,1,,,1,,,
404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,
406,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,1,1,,,1,1,1
410,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,2,,,,,,,2,
412,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3
426,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,1,,1,,,
427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,
428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,
429,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,1,,,,1,,,
430,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,,,1,,,
431,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,2,1,1,,,,,
433,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,,1,1,1,,,
436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,
438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,1,1,1
439,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,3,,,,,1,1,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,1,,,,,,
440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,1,1
441,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,1,1,1,1,1,,,,,
442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,
446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,1,,,1,,1,
453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,
456,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,,1,,1,,,
457,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,1,1,1,1,1,1,1,1,1
461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,
463,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,1,1,1,1,,1,,,
465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,
468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,1,1
477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,1,1,1,,,
478,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,1,,1,1,1,,,
481,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,1,,,,,
484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,
491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,
494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,
496,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,
5,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,2,2,2,1,2,1,2,1,,,
500,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,
502,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,
503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,
504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,
507,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,1,1,,1,1,1,,,
509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1
514,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,
516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,2,2,2
520,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,1,1,1,1,1,1,,,,
521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,
522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
525,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,
532,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,1,,2,2,2,,,,
541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,
542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,
543,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,1,3,,,2,,,
546,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,1,,1,,,
547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1
548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,5,5,,,,,,,
551,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,1,1,1,,,
554,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,,1,1,1,1,1,,,
558,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,1,1,1,,1,,2,,,
563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,
574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,1,1,1,,,
575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,
576,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,1,1,1,,,
577,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,,1,1,,1,1,,,
